,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
164,Pleasanton,0.0,12.06,50.05,9.1,5.0,5.92,4.2,1.82,0.98,3.05,4.6,3.08,13.89,8.03,10.03,4.51,1.74,2.41,5.12,2.0,2.64,1.44,0.91,9.56,1.07,2.0,8.42,2.73,81.9,2.28,1.41,30.03,0.86,20475.0,20020.0,113.75,0.14,57.33,64.84,6.37,12.28,1698.67,27467.15,57.92,38.05,72.8,92.14,1842.75,1797.25,3389.75,3150.88,5233.88,4422.52,6502.37
165,Beaverton,0.0,13.65,54.6,6.37,3.87,5.46,4.37,1.73,0.81,2.98,2.61,2.43,13.94,8.82,11.48,4.26,1.6,3.51,4.26,1.86,2.16,1.47,1.67,10.92,4.12,3.47,7.28,2.28,91.0,2.87,1.47,27.3,0.75,18200.0,19765.2,127.46,0.1,56.27,50.96,15.47,11.38,728.0,13650.0,41.44,36.4,73.94,69.16,1205.4,1119.0,1796.57,1634.97,2418.95,2188.7,3953.43
166,Vancouver,70.21,16.38,72.8,9.56,6.37,6.82,4.09,2.07,2.34,3.25,4.21,3.77,17.08,14.87,17.81,3.62,1.83,3.64,4.43,3.28,3.18,2.67,2.38,18.2,2.98,3.84,14.56,2.73,89.18,3.41,1.71,30.81,1.32,23660.0,22081.67,81.66,0.36,71.35,52.05,15.81,13.65,1142.68,19630.0,71.04,48.72,101.77,131.15,1897.65,1488.04,3470.29,2600.13,11510.03,8489.46,3903.8
167,Hamilton,61.38,16.38,54.6,10.6,4.55,6.6,3.47,2.05,3.13,2.48,3.6,2.85,7.95,13.34,9.1,3.27,1.24,3.95,2.39,3.02,3.74,1.93,2.73,13.65,2.1,2.52,14.56,2.73,98.28,3.55,1.64,30.41,1.04,22750.0,21756.48,149.03,0.35,70.74,38.68,16.38,12.74,1146.6,8918.0,49.98,43.4,92.25,108.94,1076.71,932.56,1685.57,1523.05,4612.57,3344.86,3248.86
168,Syracuse,77.84,13.65,50.05,7.28,3.41,4.55,2.05,1.63,0.66,2.83,6.01,2.12,10.56,8.02,10.5,5.88,1.67,7.0,3.99,3.99,2.4,2.78,2.28,10.92,3.18,3.64,10.01,1.82,45.5,2.55,1.81,18.2,0.66,24570.0,21840.0,98.09,0.11,50.5,33.15,27.3,11.83,758.33,13650.0,37.71,27.3,64.86,67.49,978.25,650.14,1622.68,1339.0,837.48,404.21,2285.71
169,Seattle,86.54,15.7,72.8,8.19,5.46,7.28,4.09,2.16,0.88,3.11,4.2,2.59,15.0,10.36,12.64,4.55,1.63,3.51,4.63,2.22,2.42,1.8,1.89,13.65,1.99,2.48,9.33,2.5,90.09,2.37,1.53,27.3,0.85,22750.0,21437.5,162.32,0.13,60.24,56.47,28.21,13.65,1683.5,24421.09,44.42,39.09,82.96,125.43,1928.72,1503.86,3416.0,2432.96,6910.98,4199.01,5171.91
170,Ogden,0.0,18.2,59.15,7.28,4.1,4.1,5.76,1.97,0.61,2.34,2.0,1.48,8.69,6.34,10.01,2.87,1.26,4.01,4.01,1.53,1.33,1.82,0.97,10.0,1.79,2.73,5.45,2.28,76.21,2.73,1.48,13.65,0.69,22527.05,18354.7,144.95,0.09,63.24,29.12,13.65,7.28,439.83,8041.97,41.86,32.08,60.29,76.44,819.0,637.0,1531.83,1001.0,2078.2,1699.46,2668.82
171,Pasadena,0.0,13.65,54.6,7.28,3.64,5.46,3.47,1.36,0.66,2.24,1.0,2.05,7.53,5.0,9.02,2.49,1.26,2.68,2.26,2.03,1.3,1.23,1.36,8.19,1.95,1.82,7.27,1.59,91.0,2.59,1.53,21.47,0.86,18200.0,18958.33,152.84,0.09,55.38,45.5,0.0,10.92,1023.75,13650.0,37.05,31.62,57.03,72.04,2208.14,1821.15,3185.0,2396.33,6536.63,5285.3,4494.14
172,Ames,0.0,10.92,40.95,7.28,2.73,3.64,3.55,1.76,0.66,1.76,1.87,1.46,9.03,3.61,8.01,3.93,1.26,2.19,3.14,1.0,2.6,0.9,0.91,5.46,2.63,2.8,8.19,0.91,40.95,2.28,0.68,10.92,0.59,20427.23,19565.0,119.12,0.09,56.96,53.08,9.1,8.44,594.53,16170.7,41.44,30.19,67.64,92.75,717.76,614.25,1564.06,1032.85,1574.41,1473.19,2641.8
173,Charlotte,75.08,13.65,60.06,6.37,4.55,5.46,3.94,1.62,0.68,2.54,3.13,1.7,6.89,5.68,12.42,4.84,1.01,4.29,2.94,3.49,2.59,1.48,2.18,13.65,2.23,2.7,6.82,2.0,80.08,2.5,1.98,31.85,0.6,22072.96,19489.17,142.43,0.26,56.15,45.32,20.02,10.92,884.98,16929.41,42.09,39.83,77.73,112.89,1347.82,957.57,2090.66,1585.98,2718.43,1538.0,4042.94
