,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
194,Chattanooga,58.67,10.46,40.95,5.46,3.64,5.0,4.06,1.38,0.83,1.89,2.8,1.55,7.21,5.4,7.2,3.75,1.32,2.94,2.18,1.93,1.63,1.57,1.59,13.2,1.77,2.41,5.48,1.36,45.5,2.28,1.13,18.2,0.56,21840.0,20704.55,131.71,0.09,59.94,33.55,11.38,10.01,787.91,12891.67,39.74,42.46,71.05,85.46,1021.22,767.13,1779.56,1174.81,1283.9,863.69,2784.12
195,Houston,68.06,13.65,54.6,7.28,5.46,6.37,3.99,1.89,0.68,2.24,3.66,1.98,8.47,7.17,10.31,4.02,1.33,3.94,2.37,2.88,1.72,1.36,1.76,10.92,2.07,2.83,7.28,1.14,45.5,2.73,1.41,21.84,0.55,20930.0,19892.2,137.89,0.15,56.77,33.78,11.45,10.92,871.16,20418.12,39.29,35.16,65.98,93.56,1321.61,905.55,2387.64,1583.44,2070.09,1146.99,3736.32
196,Freeport,0.0,13.65,74.62,7.74,3.64,4.55,4.4,2.35,2.09,2.66,4.26,3.34,7.29,7.58,9.47,3.41,2.64,2.17,3.35,3.0,2.86,2.73,2.5,9.1,2.43,3.18,6.37,1.36,47.88,2.96,2.2,63.7,1.06,20475.0,26390.0,328.06,0.27,57.94,74.32,68.25,10.92,333.67,6279.0,62.18,43.98,141.05,219.92,637.0,546.0,1615.25,1325.19,906.21,455.0,2214.33
197,Georgetown,0.0,1092.0,9100.0,1274.0,409.5,637.0,766.31,215.0,354.9,232.81,118.3,433.77,1001.0,586.95,364.0,819.0,436.8,273.0,391.3,127.4,109.2,455.0,273.0,3640.0,119.74,292.72,364.0,91.0,6508.47,364.0,455.0,1592.5,199.49,2184000.0,2548000.0,15470.0,26.69,10351.14,5328.56,3185.0,1365.0,10540.83,163041.67,7393.75,8796.67,14950.0,12480.0,44362.5,29006.25,95550.0,62562.5,575608.77,146927.38,65952.7
198,Orem,0.0,7.1,40.95,7.28,4.78,8.19,4.55,1.47,0.56,2.68,2.31,1.56,6.02,5.0,7.03,2.58,1.1,3.19,2.58,0.5,1.2,0.9,1.14,13.42,1.45,1.52,4.64,2.28,65.41,2.05,1.25,54.6,0.67,25025.0,18048.33,129.55,0.01,55.51,17.06,22.75,8.42,561.17,13650.0,34.58,40.27,73.71,107.84,970.67,773.37,1471.17,1097.69,2308.8,1924.75,3453.15
199,Milwaukee,74.85,12.28,61.42,7.23,3.64,5.92,3.47,1.82,0.7,2.63,3.74,2.88,9.53,7.77,10.03,5.51,1.27,3.54,4.0,2.4,2.66,2.09,3.64,10.92,2.0,2.28,6.6,2.05,65.52,2.62,1.41,40.95,0.6,26390.0,18905.25,114.57,0.14,56.57,28.72,31.85,10.01,788.67,13195.0,39.69,28.54,66.86,83.97,944.02,740.61,1914.79,1173.9,1761.32,980.04,2778.66
200,Hoboken,0.0,11.38,54.6,8.31,6.37,7.28,2.73,1.36,0.78,6.02,3.01,1.82,10.03,8.03,10.03,8.03,1.6,4.01,3.01,1.5,3.31,1.36,0.91,13.65,1.79,2.73,8.19,2.5,80.99,4.55,2.83,18.2,0.62,20020.0,18803.33,128.76,0.11,67.11,89.48,27.3,12.28,2047.5,10374.0,72.65,43.98,68.25,170.62,2714.83,2002.0,4064.67,3185.0,7108.02,6993.74,4033.73
201,Honolulu,84.43,13.65,63.7,7.96,5.0,6.37,4.57,2.01,1.51,3.41,4.51,3.62,11.03,8.18,12.37,4.0,2.67,4.4,4.17,2.79,3.93,2.44,2.12,13.65,2.15,2.07,9.1,2.5,63.7,3.28,2.04,36.86,0.86,22749.54,19387.13,239.76,0.14,55.54,45.06,9.78,11.83,1050.0,18806.67,45.85,32.87,76.4,96.29,1649.45,1388.98,3137.02,2807.35,6899.06,4835.04,3161.34
202,Victoria,68.2,17.29,68.25,9.1,6.37,6.82,4.16,2.24,1.97,2.99,6.57,3.42,13.86,16.28,14.06,4.17,1.62,4.14,5.0,3.17,3.19,2.55,2.44,18.2,3.07,3.89,12.74,2.28,77.35,3.18,1.82,40.95,1.29,23860.2,21242.0,103.44,0.28,68.53,48.61,11.42,13.65,920.11,14226.33,62.97,41.33,100.57,136.97,1425.55,1192.75,2526.67,2068.18,6003.35,3729.3,3325.89
203,Irvine,78.62,13.65,65.98,8.19,6.14,7.28,4.18,1.92,0.93,3.34,4.77,2.73,17.04,8.22,10.8,4.34,1.99,1.78,3.27,1.67,1.54,2.12,1.71,9.1,1.74,3.18,7.28,1.82,95.55,3.18,1.56,37.09,0.89,22371.44,19557.26,129.78,0.06,61.4,34.35,33.37,13.65,1129.92,16986.67,46.2,31.09,73.86,119.31,1927.03,1736.62,3013.46,2687.23,5034.85,4398.08,5208.61
204,Champaign,0.0,10.01,45.5,6.37,3.64,4.55,3.37,1.65,0.65,1.34,2.8,1.21,4.68,6.69,8.49,5.69,2.34,4.01,5.35,3.01,3.68,1.52,1.36,8.19,2.05,3.03,7.28,0.91,22.75,2.73,0.71,18.2,0.66,20475.0,17290.0,90.36,0.09,44.59,16.38,13.65,8.64,728.0,9100.0,31.62,38.68,55.33,80.38,882.7,627.9,1512.88,1073.8,2448.79,1273.37,2740.25
205,Fresno,66.96,10.92,45.5,7.28,3.64,5.46,3.82,1.77,0.69,1.79,2.32,1.87,8.54,7.02,11.35,2.0,1.99,1.93,2.45,2.04,1.89,1.63,2.24,7.28,2.2,3.38,10.0,1.14,43.68,3.09,1.4,29.12,0.87,20930.0,20224.75,184.24,0.13,58.62,22.3,6.07,11.33,708.5,10920.0,42.77,31.75,63.35,83.49,911.52,843.64,1433.19,1280.43,1683.14,1303.17,2947.66
206,Arlington,0.0,13.65,54.6,6.82,4.55,6.37,3.44,1.6,0.89,2.96,3.02,2.45,9.86,8.52,11.02,5.61,1.49,2.0,7.02,3.88,4.29,1.83,1.82,13.65,1.05,2.17,5.92,3.18,138.78,2.68,1.22,22.75,0.62,19383.0,17651.27,110.21,0.09,56.23,52.12,40.95,11.38,1083.58,22386.0,40.21,27.63,70.83,88.48,1967.4,1552.24,3071.25,2569.04,5254.84,3864.84,4553.65
207,Redmond,78.94,16.38,45.5,7.28,5.46,7.28,4.3,1.99,0.66,2.59,7.53,2.64,9.03,6.02,20.07,3.86,1.23,2.36,3.26,1.86,1.66,1.14,1.71,15.47,3.25,4.1,5.46,2.5,90.54,2.28,1.69,45.5,0.78,21840.0,19322.33,111.07,0.08,59.15,79.72,19.72,12.63,1378.95,18200.0,44.77,31.85,65.34,134.0,1763.58,1625.99,2644.69,2343.25,4544.13,3971.11,3801.78
208,Dothan,0.0,9.56,29.12,5.69,2.73,4.55,2.43,1.27,0.66,1.84,2.99,1.87,8.58,4.51,7.15,3.19,0.92,1.57,2.17,2.0,2.27,1.41,0.78,4.55,1.5,2.28,5.0,0.0,0.0,2.73,1.97,22.3,0.56,20247.5,19548.94,135.98,0.05,71.08,28.82,9.1,9.1,364.0,7886.67,34.88,18.5,57.63,95.55,515.67,470.17,1016.17,864.5,979.51,734.63,2753.33
209,Biloxi,0.0,13.2,40.95,5.92,3.18,3.18,4.2,1.59,0.78,2.44,2.39,1.43,8.69,4.87,8.69,3.01,1.5,2.0,2.94,2.28,2.29,1.57,1.55,9.56,2.77,3.41,5.92,2.73,45.5,3.64,0.43,18.2,0.51,22750.0,17441.67,154.7,0.11,69.84,77.35,0.0,9.1,485.33,5460.0,32.21,22.75,65.52,91.0,728.0,606.67,1001.0,879.67,981.47,924.94,1284.92
210,Pittsburgh,78.12,11.38,54.6,7.28,3.64,5.46,3.39,1.9,0.94,2.95,4.0,1.77,9.17,8.15,12.62,4.73,1.19,4.0,5.0,6.02,3.65,1.7,2.05,13.65,1.87,2.73,8.19,2.5,88.72,3.64,1.41,19.11,0.68,19878.95,17563.0,162.37,0.13,64.54,31.72,28.44,9.1,970.67,10616.67,44.33,32.83,68.47,80.69,1115.68,802.18,1872.0,1284.42,1758.57,843.27,3378.73
211,Joplin,0.0,10.92,40.95,6.37,3.64,4.55,4.1,1.6,0.66,2.12,4.01,1.31,6.35,6.02,11.34,4.97,1.12,4.0,5.3,4.0,2.86,1.42,1.97,8.64,2.6,2.85,4.55,0.68,22.75,2.28,1.84,9.1,0.56,20020.0,18351.67,176.31,0.09,52.1,33.06,0.0,11.83,527.8,13195.0,38.95,24.27,61.2,81.9,625.62,546.0,1035.12,762.12,881.56,685.66,2563.17
212,Phoenix,67.69,10.92,54.6,6.82,3.64,4.96,3.73,1.58,0.61,2.48,4.3,1.97,10.43,9.18,9.39,3.12,1.55,2.95,3.73,2.24,1.98,1.25,1.54,13.65,1.36,1.64,7.08,1.82,58.24,2.96,1.27,32.76,0.72,19478.55,18344.74,169.14,0.13,66.76,27.04,11.91,10.92,721.76,13680.33,36.12,28.63,66.47,78.51,1139.75,858.54,1810.74,1361.16,2273.94,1501.93,3274.93
213,Ocala,80.19,13.2,36.4,6.82,3.18,5.46,2.43,1.33,0.94,3.06,4.4,2.13,6.54,5.51,16.51,9.28,1.66,8.35,7.02,2.64,2.5,1.65,1.51,13.97,2.15,3.43,6.36,1.82,31.85,2.09,1.06,15.82,0.6,25889.5,18234.4,144.95,0.27,85.15,23.66,6.67,13.2,386.75,9555.0,40.84,42.16,70.53,152.2,818.82,655.96,1143.19,1091.09,734.63,489.76,2223.61
214,Olympia,70.34,10.92,54.6,8.19,4.44,6.6,4.25,1.59,0.55,2.35,3.0,2.05,11.23,7.52,10.52,3.44,1.3,3.75,4.0,2.08,1.98,1.4,2.43,9.1,2.54,3.03,8.19,1.36,43.68,2.28,1.41,45.5,0.77,27300.0,21808.88,141.98,0.09,81.41,35.42,5.92,11.38,1183.0,16164.63,43.22,36.05,63.19,92.92,1241.5,904.31,2002.0,1564.06,2194.11,1976.17,3306.33
215,Glendale,0.0,12.74,45.5,6.14,5.46,7.28,4.01,1.9,0.91,3.23,4.7,3.18,11.26,11.79,10.85,4.12,2.0,2.85,3.33,2.0,2.27,1.42,1.91,18.2,2.1,2.77,8.19,1.59,70.53,2.59,1.53,18.2,0.85,19019.0,19509.17,115.1,0.09,49.5,52.1,25.02,13.65,455.0,21092.03,38.22,33.2,58.24,86.45,2185.47,1965.71,3154.67,2730.0,6058.38,4661.25,3219.81
216,Oceanside,78.99,18.2,59.15,9.56,5.69,6.82,5.46,1.93,0.84,2.59,3.85,2.39,12.04,14.71,8.79,5.35,1.53,3.01,3.01,2.88,2.0,0.91,1.82,10.92,0.91,0.91,13.65,2.17,54.14,2.75,1.81,22.75,0.85,21385.0,24570.0,103.28,0.15,67.35,20.93,11.22,13.2,788.67,3640.0,48.34,34.12,78.52,98.8,1394.63,1395.33,2126.11,2138.5,6774.99,3167.1,3510.22
217,Asheville,77.11,13.65,59.15,7.28,4.55,5.46,3.83,1.78,0.88,2.56,3.51,2.28,12.3,11.27,15.38,4.19,1.93,4.01,5.11,1.87,1.9,1.82,2.68,14.74,2.82,3.64,5.46,0.91,27.3,5.46,2.68,25.56,0.62,20475.0,18427.5,147.27,0.14,57.41,38.12,19.72,10.92,637.0,15470.0,39.07,26.47,69.11,97.31,1193.47,858.13,2269.65,1424.98,4359.83,1922.3,3109.68
218,Plano,0.0,9.1,43.22,6.36,4.1,6.37,3.29,1.7,0.66,2.28,3.26,1.87,7.28,6.34,9.69,3.4,0.97,2.7,2.57,1.87,1.84,1.19,1.38,10.92,2.51,2.78,6.37,2.73,72.8,2.05,1.02,16.38,0.56,14105.0,17850.1,138.14,0.15,52.55,30.03,31.85,9.1,891.34,7735.0,39.61,37.97,73.48,81.9,978.25,954.74,2396.33,1565.2,1414.37,1269.34,4777.61
219,Jonesboro,0.0,5.46,36.4,6.37,2.05,3.64,3.94,1.29,0.75,1.59,2.68,0.86,5.01,5.81,6.02,5.67,1.3,3.57,3.93,1.5,3.3,0.91,1.47,8.19,2.28,4.1,4.9,1.14,29.77,2.28,0.56,18.2,0.56,24044.02,21402.9,117.39,0.11,44.59,19.72,8.34,8.54,728.0,13650.0,38.37,34.12,57.63,93.73,773.5,606.67,1274.0,1057.07,957.64,595.22,2400.58
220,Baltimore,74.01,13.65,59.15,6.37,5.46,6.37,3.51,1.76,0.76,2.34,3.87,2.4,7.67,7.09,12.19,3.93,1.34,5.09,4.91,3.09,3.32,1.39,1.16,10.92,1.85,1.97,6.94,1.73,66.43,3.64,1.92,31.4,0.62,21840.0,19228.56,138.56,0.1,64.48,40.17,22.07,10.92,839.48,26287.17,42.06,27.3,73.55,93.67,1364.87,954.53,2110.06,1618.5,2209.83,1207.97,3372.2
221,Tacoma,75.52,11.83,45.5,8.19,3.64,5.0,3.89,1.63,0.76,2.93,4.26,2.45,13.16,6.61,10.79,3.34,1.27,3.26,5.34,2.51,1.69,1.54,1.26,12.74,2.03,2.18,9.1,2.28,66.89,3.18,1.41,54.6,0.74,19924.45,18129.17,188.17,0.3,65.85,33.08,25.78,10.92,608.18,16622.67,39.38,34.4,73.08,98.46,1223.4,1071.45,2044.25,1616.77,2828.63,2165.45,3453.73
222,Detroit,63.92,10.01,40.95,6.37,3.18,4.55,3.37,1.67,0.57,2.17,3.01,1.43,8.69,6.52,9.03,3.36,0.95,5.51,3.39,2.1,2.59,1.42,1.46,9.1,2.82,3.28,6.82,1.82,59.15,2.73,1.06,13.65,0.59,19453.53,19000.8,125.23,0.15,51.22,22.03,32.99,10.01,682.5,12133.33,37.97,29.48,73.66,80.76,1300.77,793.58,2229.5,1297.73,511.52,547.1,2240.64
223,Austin,63.87,13.65,45.5,6.82,3.64,5.46,3.88,1.77,0.74,1.97,2.8,2.2,8.37,6.3,9.78,3.91,1.09,3.63,3.92,2.37,2.15,1.77,1.42,10.01,1.82,2.56,6.37,1.32,37.54,2.28,1.36,26.39,0.55,19878.95,18090.8,124.72,0.08,57.89,35.89,9.1,10.92,858.69,15055.44,36.65,33.34,71.35,79.64,1568.53,1005.85,2811.59,1746.38,3212.72,1893.94,3966.97
