Date,Team,Acquired,Relinquished,Notes
2010-12-20,Hornets,,Marcus Banks,placed on IL (P)
2010-12-20,Hornets,Aaron Gray,,activated from IL
2010-12-20,Jazz,,Mehmet Okur,placed on IL with sprained right ankle
2010-12-20,Jazz,Gordon Hayward,,activated from IL
2010-12-20,Pacers,,Dahntay Jones,placed on IL
2010-12-20,Pacers,Josh McRoberts,,activated from IL
2010-12-20,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-20,Timberwolves,,Sundiata Gaines,placed on IL
2010-12-20,Timberwolves,Darko Milicic,,activated from IL
2010-12-20,Warriors,,Dan Gadzuric,strained left groin (DNP)
2010-12-20,Bucks,Carlos Delfino,,activated from IL
2010-12-20,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-21,Bobcats,,DeSagana Diop,placed on IL
2010-12-21,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-21,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-21,Bulls,,Taj Gibson,placed on IL with concussion
2010-12-21,Bulls,John Lucas III,,activated from IL
2010-12-21,Magic,,Malik Allen,sprained left ankle (DNP)
2010-12-21,Mavericks,,Steve Novak,placed on IL
2010-12-21,Mavericks,Alex Ajinca,,activated from IL
2010-12-21,Nets,,Quinton Ross,bruised lower back (DNP)
2010-12-21,Warriors,,Dan Gadzuric,strained left groin (DNP)
2010-12-21,Bobcats,Sherron Collins,,activated from IL
2010-12-22,76ers,,Darius Songaila,placed on IL
2010-12-22,76ers,Craig Brackins,,activated from IL
2010-12-22,Bulls,,John Lucas III,placed on IL
2010-12-22,Bulls,Taj Gibson,,activated from IL
2010-12-22,Cavaliers,,Samardo Samuels,placed on IL
2010-12-22,Cavaliers,Leon Powe,,activated from IL
2010-12-22,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2010-12-22,Clippers,,Craig Smith,placed on IL with herniated disc in lower back
2010-12-22,Hawks,,Etan Thomas,placed on IL
2010-12-22,Hawks,Jordan Crawford,,activated from IL
2010-12-22,Nets,,Quinton Ross,bruised lower back (DNP)
2010-12-22,Nuggets,,Melvin Ely,placed on IL
2010-12-22,Nuggets,Chris Andersen,,activated from IL
2010-12-22,Nuggets,Kenyon Martin,,activated from IL
2010-12-22,Pistons,,DaJuan Summers,placed on IL
2010-12-22,Pistons,Austin Daye,,activated from IL
2010-12-22,Raptors,,Jerryd Bayless,food poisoning (DNP)
2010-12-22,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-22,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-22,Timberwolves,,Sebastian Telfair,placed on IL with plantar fasciitis in right foot
2010-12-22,Timberwolves,Sundiata Gaines,,activated from IL
2010-12-22,Wizards,,Hamady N'Diaye,placed on IL
2010-12-23,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-23,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-23,Heat,,Dwyane Wade,placed on IL with sore left knee
2010-12-23,Heat,Jamaal Magloire,,activated from IL
2010-12-23,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
2010-12-23,Magic,,Malik Allen,placed on IL with sprained left ankle
2010-12-23,Magic,Ryan Anderson,,activated from IL
2010-12-23,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-23,Suns,,Vince Carter,placed on IL with sore left knee
2010-12-23,Suns,Gani Lawal,,activated from IL
2010-12-23,Suns,Garret Siler,,activated from IL
2010-12-25,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-25,Celtics,,Rajon Rondo,placed on IL with sprained left ankle
2010-12-25,Celtics,,Semih Erden,stomach virus (DTD)
2010-12-25,Celtics,Jermaine O'Neal,,activated from IL
2010-12-25,Heat,,Jamaal Magloire,placed on IL
2010-12-25,Heat,Dwyane Wade,,activated from IL
2010-12-25,Lakers,,Devin Ebanks,placed on IL
2010-12-25,Lakers,Derrick Caracter,,activated from IL
2010-12-25,Magic,,Jason Williams,sore left foot (DNP)
2010-12-25,Nuggets,,Renaldo Balkman,placed on IL
2010-12-25,Nuggets,Melvin Ely,,activated from IL
2010-12-25,Thunder,,Cole Aldrich,placed on IL
2010-12-25,Thunder,Nenad Krstic,,activated from IL
2010-12-25,Warriors,,Charlie Bell,placed on IL
2010-12-25,Warriors,,Dan Gadzuric,placed on IL with strained left groin
2010-12-25,Warriors,Brandan Wright,,activated from IL
2010-12-25,Warriors,Stephen Curry,,activated from IL
2010-12-26,76ers,Darius Songaila,,activated from IL
2010-12-26,Cavaliers,,Daniel Gibson,placed on IL with flu
2010-12-26,Cavaliers,Samardo Samuels,,activated from IL
2010-12-26,Hawks,,Jordan Crawford,placed on IL
2010-12-26,Hawks,Jamal Crawford,,activated from IL
2010-12-26,Pacers,,A.J. Price,placed on IL
2010-12-26,Pacers,Dahntay Jones,,activated from IL
2010-12-26,Timberwolves,,Sundiata Gaines,placed on IL
2010-12-26,Timberwolves,Sebastian Telfair,,activated from IL
2010-12-26,Wizards,Hamady N'Diaye,,activated from IL
2010-12-26,Wizards,John Wallace,,activated from IL
2010-12-27,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
2010-12-27,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-27,Bobcats,,Dominic McGuire,placed on IL
2010-12-27,Bobcats,,Sherron Collins,placed on IL
2010-12-27,Bobcats,DeSagana Diop,,activated from IL
2010-12-27,Bobcats,Eduardo Najera,,activated from IL
2010-12-27,Bucks,,Carlos Delfino,placed on IL with concussion
2010-12-27,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-27,Bucks,Corey Maggette,,activated from IL
2010-12-27,Jazz,,Jeremy Evans,placed on IL
2010-12-27,Jazz,Mehmet Okur,,activated from IL
2010-12-27,Kings,,Luther Head,placed on IL
2010-12-27,Kings,Jason Thompson,,activated from IL
2010-12-27,Magic,,Jason Williams,sore left foot (DNP)
2010-12-27,Mavericks,,Brian Cardinal,placed on IL with stomach flu
2010-12-27,Mavericks,Steve Novak,,activated from IL
2010-12-27,Raptors,,Andrea Bargnani,placed on IL with strained left calf
2010-12-27,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-27,Timberwolves,,Lazar Hayward,placed on IL
2010-12-27,Timberwolves,Nikola Pekovic,,activated from IL
2010-12-27,Wizards,,Hamady N'Diaye,placed on IL
2010-12-27,Wizards,,Hilton Armstrong,placed on IL with foot injury
2010-12-28,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-28,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP)
2010-12-28,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2010-12-28,Cavaliers,,Samardo Samuels,placed on IL
2010-12-28,Cavaliers,Daniel Gibson,,activated from IL
2010-12-28,Magic,,Jason Williams,sore left foot (DNP)
2010-12-28,Magic,,Quentin Richardson,flu-like symptoms (DNP)
2010-12-28,Mavericks,,Dirk Nowitzki,placed on IL with sprained right knee
2010-12-28,Mavericks,Brian Cardinal,,activated from IL
2010-12-28,Nuggets,,Al Harrington,placed on IL with dislocated right thumb
2010-12-28,Nuggets,Renaldo Balkman,,activated from IL
2010-12-28,Raptors,,Jose Calderon,sore ankle (DNP)
2010-12-28,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-29,76ers,,Andre Iguodala,placed on IL with right Achilles tendinitis
2010-12-29,76ers,,Darius Songaila,placed on IL
2010-12-29,76ers,Jason Kapono,,activated from IL
2010-12-29,Bobcats,,Eduardo Najera,placed on IL
2010-12-29,Bobcats,,Kwame Brown,placed on IL
2010-12-29,Bobcats,,Tyrus Thomas,placed on IL with sore wrist
2010-12-29,Bobcats,Dominic McGuire,,activated from IL
2010-12-29,Bobcats,Gerald Wallace,,activated from IL
2010-12-29,Bobcats,Sherron Collins,,activated from IL
2010-12-29,Cavaliers,,Mo Williams,strained left hip flexor (DNP)
2010-12-29,Celtics,,Semih Erden,upper respiratory infection (DNP)
2010-12-29,Hornets,,Aaron Gray,placed on IL
2010-12-29,Jazz,,Andrei Kirilenko,placed on IL with strained lower back
2010-12-29,Jazz,,C.J. Miles,flu-like symptoms (DNP)
2010-12-29,Jazz,Jeremy Evans,,activated from IL
2010-12-29,Nuggets,,Kenyon Martin,sore left knee (DNP)
2010-12-29,Nuggets,,Nene Hilario ,sore hamstring (DNP)
2010-12-29,Pacers,,Dahntay Jones,placed on IL
2010-12-29,Pacers,,Jeff Foster,placed on IL (P)
2010-12-29,Pacers,A.J. Price,,activated from IL
2010-12-29,Pacers,Paul George,,activated from IL
2010-12-29,Pistons,,Rodney Stuckey,placed on IL with stomach virus
2010-12-29,Pistons,DaJuan Summers,,activated from IL
2010-12-29,Suns,,Gani Lawal,placed on IL
2010-12-29,Suns,Vince Carter,,activated from IL
2010-12-29,Warriors,,Jeremy Lin,placed on IL
2010-12-29,Warriors,Charlie Bell,,activated from IL
2010-12-29,Wizards,,Lester Hudson,placed on IL
2010-12-29,Wizards,Hilton Armstrong,,activated from IL
2010-12-30,Jazz,,C.J. Miles,flu (DNP)
2010-12-30,Jazz,,Mehmet Okur,strained lower back (DNP)
2010-12-30,Magic,,Jason Williams,sore left foot (DNP)
2010-12-30,Magic,,Quentin Richardson,flu-like symptoms (DNP)
2010-12-30,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
2010-12-31,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
2010-12-31,Celtics,,Kevin Garnett,placed on IL with strained right calf
2010-12-31,Hawks,,Marvin Williams,bruised back (DTD)
2010-12-31,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
2010-12-31,Nets,,Troy Murphy,placed on IL with viral infection
2010-12-31,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-31,Rockets,,Chuck Hayes,placed on IL with sprained right ankle
2010-12-31,Rockets,Jared Jeffries,,activated from IL
2010-12-31,Suns,,Garret Siler,placed on IL
2010-12-31,Suns,Gani Lawal,,activated from IL
2010-12-31,Warriors,,Brandan Wright,strained lower back (out indefinitely)
2010-12-31,Wizards,,Kevin Seraphin,placed on IL
2010-12-31,Wizards,,Kirk Hinrich,placed on IL with bruised left thigh
2010-12-31,Wizards,Lester Hudson,,activated from IL
2010-12-31,Wizards,Jianlian Yi,,activated from IL
2010-12-31,Celtics,Rajon Rondo,,activated from IL
2010-12-31,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2011-01-01,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-01,Cavaliers,,Anderson Varejao,placed on IL with fractured cheekbone
2011-01-01,Cavaliers,,Daniel Gibson,bruised left thigh (DNP)
2011-01-01,Cavaliers,,Mo Williams,strained left hip flexor (DNP)
2011-01-01,Cavaliers,Samardo Samuels,,activated from IL
2011-01-01,Grizzlies,,Rudy Gay,stomach virus (DNP)
2011-01-01,Grizzlies,,Xavier Henry,sore right knee (DNP)
2011-01-01,Hornets,,Didier Mbenga ,placed on IL
2011-01-01,Hornets,Aaron Gray,,activated from IL
2011-01-01,Jazz,,C.J. Miles,flu-like symptoms (DNP)
2011-01-01,Jazz,,Mehmet Okur,placed on IL with strained lower back
2011-01-01,Jazz,Andrei Kirilenko,,activated from IL
2011-01-01,Mavericks,,Shawn Marion,bruised thigh (DNP)
2011-01-01,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
2011-01-01,Nuggets,,Melvin Ely,placed on IL
2011-01-01,Timberwolves,,Jonny Flynn,placed on IL with sprained right ankle
2011-01-01,Timberwolves,Sundiata Gaines,,activated from IL
2011-01-01,Wizards,,Josh Howard,placed on IL with sore left knee
2011-01-01,Wizards,Kevin Seraphin,,activated from IL
2011-01-02,Blazers,,Brandon Roy,sore left knee (DNP)
2011-01-02,Cavaliers,,Daniel Gibson,placed on IL with bruised left thigh
2011-01-02,Hawks,,Marvin Williams,placed on IL with sore lower back
2011-01-02,Hawks,Etan Thomas,,activated from IL
2011-01-02,Knicks,,Timofey Mozgov,shin injury (DTD)
2011-01-02,Mavericks,,Caron Butler,placed on IL with torn patella tendon in right knee (out for season)
2011-01-02,Pacers,,A.J. Price,placed on IL
2011-01-02,Pacers,Jeff Foster,,activated from IL
2011-01-02,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2011-01-02,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-02,Mavericks,Dominique Jones,,activated from IL
2011-01-02,Cavaliers,Christian Eyenga,,activated from IL
2011-01-03,76ers,,Spencer Hawes,strained back (DNP)
2011-01-03,Bobcats,,DeSagana Diop,placed on IL with ruptured right Achilles tendon (out for season)
2011-01-03,Bobcats,,Gerald Wallace,placed on IL with left ankle injury
2011-01-03,Bobcats,,Nazr Mohammed,placed on IL with right knee injury
2011-01-03,Bobcats,Eduardo Najera,,activated from IL
2011-01-03,Bobcats,Kwame Brown,,activated from IL
2011-01-03,Bobcats,Tyrus Thomas,,activated from IL
2011-01-03,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
2011-01-03,Pistons,,Chris Wilcox,groin injury (DTD)
2011-01-03,Pistons,Rodney Stuckey,,activated from IL
2011-01-03,Timberwolves,,Sundiata Gaines,placed on IL
2011-01-03,Timberwolves,Jonny Flynn,,activated from IL
2011-01-03,Warriors,,David Lee,placed on IL with back injury
2011-01-03,Warriors,Brandan Wright,,returned to lineup
2011-01-03,Warriors,Dan Gadzuric,,activated from IL
2011-01-04,Blazers,,Brandon Roy,placed on IL with sore left knee
2011-01-04,Blazers,Joel Przybilla,,activated from IL
2011-01-04,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-04,Grizzlies,,O.J. Mayo,bronchitis (DNP)
2011-01-04,Grizzlies,,Xavier Henry,sore right knee (DNP)
2011-01-04,Knicks,,Danilo Gallinari,placed on IL with sprained left knee
2011-01-04,Knicks,Andy Rautins,,activated from IL
2011-01-04,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
2011-01-04,Pistons,,Chris Wilcox,placed on IL
2011-01-04,Raptors,,Sonny Weems,placed on IL with back spasms
2011-01-04,Raptors,Andrea Bargnani,,activated from IL
2011-01-05,76ers,,Tony Battie,rotator cuff injury (DTD)
2011-01-05,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
2011-01-05,Bobcats,,Stephen Jackson,hyperextended left knee (DNP)
2011-01-05,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
2011-01-05,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-05,Bucks,Brandon Jennings,,activated from IL
2011-01-05,Cavaliers,,Anthony Parker,placed on IL with sore back
2011-01-05,Cavaliers,,Jamario Moon,placed on IL
2011-01-05,Cavaliers,Anderson Varejao,,activated from IL
2011-01-05,Cavaliers,Daniel Gibson,,activated from IL
2011-01-05,Hawks,Jordan Crawford,,activated from IL
2011-01-05,Jazz,,Paul Millsap,bruised right hip (DNP)
2011-01-05,Nuggets,,Renaldo Balkman,placed on IL
2011-01-05,Nuggets,Al Harrington,,activated from IL
2011-01-05,Rockets,,Aaron Brooks,placed on IL with sore/sprained left ankle
2011-01-05,Rockets,Ish Smith,,activated from IL
2011-01-05,Warriors,,Charlie Bell,placed on IL
2011-01-05,Warriors,Andris Biedrins,,activated from IL
2011-01-05,Warriors,David Lee,,activated from IL
2011-01-05,Wizards,,Cartier Martin,placed on IL
2011-01-05,Wizards,Josh Howard,,activated from IL
2011-01-05,Wizards,Kirk Hinrich,,activated from IL
2011-01-06,Cavaliers,,Daniel Gibson,sprained left ankle (DTD)
2011-01-06,Nuggets,,Kenyon Martin,placed on IL with left knee injury
2011-01-06,Nuggets,Renaldo Balkman,,activated from IL
2011-01-06,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
2011-01-07,76ers,,Tony Battie,placed on IL with right rotator cuff tendinitis
2011-01-07,76ers,Darius Songaila,,activated from IL
2011-01-07,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-07,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-07,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
2011-01-07,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-07,Cavaliers,,Daniel Gibson,placed on IL with sprained left ankle
2011-01-07,Cavaliers,,Leon Powe,placed on IL recovering from surgery on right knee to repair torn meniscus (out indefinitely)
2011-01-07,Cavaliers,Anthony Parker,,activated from IL
2011-01-07,Cavaliers,Jamario Moon,,activated from IL
2011-01-07,Grizzlies,,Xavier Henry,placed on IL with sore right knee
2011-01-07,Grizzlies,DeMarre Carroll,,activated from IL
2011-01-07,Nets,Troy Murphy,,activated from IL
2011-01-07,Pacers,,Solomon Jones,placed on IL
2011-01-07,Pacers,Lance Stephenson,,activated from IL
2011-01-07,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2011-01-07,Raptors,,Solomon Alabi,placed on IL
2011-01-07,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
2011-01-07,Timberwolves,,Sebastian Telfair,placed on IL
2011-01-07,Timberwolves,Anthony Tolliver,,activated from IL
2011-01-07,Wizards,,Josh Howard,placed on IL with sore left knee
2011-01-07,Wizards,Cartier Martin,,activated from IL
2011-01-07,Raptors,Sonny Weems,,activated from IL
2011-01-07,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-08,Bucks,,Andrew Bogut,virus (DNP)
2011-01-08,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-08,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-08,Hawks,,Etan Thomas,placed on IL
2011-01-08,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
2011-01-08,Nets,,Devin Harris,bruised right quadriceps (DNP)
2011-01-08,Pacers,,Josh McRoberts,placed on IL
2011-01-08,Pacers,,Lance Stephenson,placed on IL
2011-01-08,Pacers,A.J. Price,,activated from IL
2011-01-08,Pacers,Solomon Jones,,activated from IL
2011-01-08,Pistons,,DaJuan Summers,placed on IL
2011-01-08,Pistons,Chris Wilcox,,activated from IL
2011-01-09,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-09,Kings,,Tyreke Evans,placed on IL with left foot injury / sprained left ankle (CBC)
2011-01-09,Kings,Luther Head,,activated from IL
2011-01-09,Lakers,,Matt Barnes,placed on IL with torn cartilage in right knee (surgery)
2011-01-09,Nuggets,,Chris Andersen,placed on IL with sore right knee
2011-01-09,Nuggets,,Ty Lawson,strained left knee (DNP)
2011-01-09,Nuggets,Melvin Ely,,activated from IL
2011-01-09,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-09,Suns,,Gani Lawal,placed on IL with torn ACL and partially torn MCL in right knee (out for season)
2011-01-09,Timberwolves,,Kosta Koufos,placed on IL
2011-01-09,Timberwolves,Sebastian Telfair,,activated from IL
2011-01-09,Lakers,Devin Ebanks,,activated from IL
2011-01-10,Rockets,,Brad Miller,sore right knee (DNP)
2011-01-10,Rockets,,Kevin Martin,placed on IL with sprained right wrist
2011-01-10,Rockets,Aaron Brooks,,activated from IL
2011-01-11,76ers,,Darius Songaila,placed on IL
2011-01-11,76ers,Andre Iguodala,,activated from IL
2011-01-11,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP)
2011-01-11,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-11,Knicks,,Anthony Randolph,flu-like symptoms (DNP)
2011-01-11,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011-01-11,Nuggets,,Melvin Ely,placed on IL
2011-01-11,Nuggets,,Renaldo Balkman,placed on IL
2011-01-11,Nuggets,Chris Andersen,,activated from IL
2011-01-11,Nuggets,Kenyon Martin,,activated from IL
2011-01-11,Suns,,Grant Hill,placed on IL with sore/sprained right knee
2011-01-11,Suns,Garret Siler,,activated from IL
2011-01-12,Bobcats,,Derrick Brown,placed on IL
2011-01-12,Bobcats,Gerald Wallace,,activated from IL
2011-01-12,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-12,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-12,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-12,Hornets,,David Andersen,placed on IL
2011-01-12,Hornets,Didier Mbenga ,,activated from IL
2011-01-12,Jazz,,Jeremy Evans,placed on IL
2011-01-12,Jazz,Mehmet Okur,,activated from IL
2011-01-12,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-12,Nets,,Troy Murphy,placed on IL
2011-01-12,Nets,Anthony Morrow,,activated from IL
2011-01-12,Pistons,,Ben Wallace,placed on IL with left ankle injury
2011-01-12,Pistons,DaJuan Summers,,activated from IL
2011-01-12,Rockets,,Brad Miller,sore right knee (DNP)
2011-01-12,Warriors,,Reggie Williams,Achilles tendon injury (DTD)
2011-01-13,Heat,,LeBron James,sprained left ankle (DNP)
2011-01-13,Nuggets,,Chris Andersen,placed on IL with sore right knee and lower back
2011-01-13,Nuggets,Melvin Ely,,activated from IL
2011-01-13,Timberwolves,,Michael Beasley,placed on IL with sprained left ankle
2011-01-13,Timberwolves,,Sebastian Telfair,placed on IL
2011-01-13,Timberwolves,Kosta Koufos,,activated from IL
2011-01-13,Timberwolves,Lazar Hayward,,activated from IL
2011-01-13,Wizards,,Andray Blatche,sprained right shoulder (DNP)
2011-01-14,76ers,,Craig Brackins,placed on IL
2011-01-14,76ers,Darius Songaila,,activated from IL
2011-01-14,Bobcats,,Sherron Collins,placed on IL
2011-01-14,Bobcats,Derrick Brown,,activated from IL
2011-01-14,Bobcats,Nazr Mohammed,,activated from IL
2011-01-14,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-14,Cavaliers,,Anderson Varejao,placed on IL with torn tendon in right ankle (out for season)
2011-01-14,Cavaliers,,Anthony Parker,placed on IL with strained lower back
2011-01-14,Cavaliers,,Christian Eyenga,sprained right ankle (DNP)
2011-01-14,Cavaliers,,Daniel Gibson,sprained left ankle (DNP)
2011-01-14,Cavaliers,Daniel Gibson,,activated from IL
2011-01-14,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-14,Celtics,,Kevin Garnett,strained right leg (DNP)
2011-01-14,Celtics,Kevin Garnett,,activated from IL
2011-01-14,Hornets,,Marco Belinelli,placed on IL with sprained right ankle
2011-01-14,Hornets,David Andersen,,activated from IL
2011-01-14,Kings,,Luther Head,placed on IL
2011-01-14,Kings,Tyreke Evans,,activated from IL
2011-01-14,Knicks,,Ronny Turiaf,right hip pointer (DTD)
2011-01-14,Pacers,,A.J. Price,placed on IL
2011-01-14,Pacers,,Solomon Jones,placed on IL
2011-01-14,Pacers,Josh McRoberts,,activated from IL
2011-01-14,Pacers,Lance Stephenson,,activated from IL
2011-01-14,Raptors,,Leandro Barbosa,strained right hamstring (DTD)
2011-01-14,Raptors,,Sonny Weems,placed on IL with sore back
2011-01-14,Rockets,,Brad Miller,placed on IL with sore right knee
2011-01-14,Rockets,,Ish Smith,placed on IL
2011-01-14,Rockets,Chuck Hayes,,activated from IL
2011-01-14,Rockets,Kevin Martin,,activated from IL
2011-01-14,Spurs,,Matt Bonner,sore right knee (DTD)
2011-01-14,Suns,,Garret Siler,placed on IL
2011-01-14,Suns,Grant Hill,,activated from IL
2011-01-14,Warriors,,Brandan Wright,strained lower back (DTD)
2011-01-14,Cavaliers,Joey Graham,,activated from iL
2011-01-14,Celtics,,Avery Bradley,placed on IL
2011-01-14,Raptors,Solomon Alabi,,activated from IL
2011-01-14,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
2011-01-15,Bobcats,,Derrick Brown,placed on IL
2011-01-15,Cavaliers,,Christian Eyenga,sprained left ankle (DNP)
2011-01-15,Cavaliers,,Daniel Gibson,sprained right ankle (DNP)
2011-01-15,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
2011-01-15,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-15,Heat,,LeBron James,placed on IL with sprained left ankle
2011-01-15,Heat,Jamaal Magloire,,activated from IL
2011-01-15,Mavericks,,Tyson Chandler,placed on IL with flu
2011-01-15,Mavericks,Dirk Nowitzki,,activated from IL
2011-01-15,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-15,Nuggets,,Kenyon Martin,placed on IL with sore knee
2011-01-15,Nuggets,Renaldo Balkman,,activated from IL
2011-01-15,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP)
2011-01-15,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-16,Nuggets,,Renaldo Balkman,placed on IL
2011-01-16,Nuggets,Kenyon Martin,,activated from IL
2011-01-16,Spurs,,Matt Bonner,sore right knee (DNP)
2011-01-17,76ers,,Andres Nocioni,placed on IL with dislocated right middle finger
2011-01-17,76ers,Tony Battie,,activated from IL
2011-01-17,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
2011-01-17,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-17,Bulls,,Carlos Boozer,sprained left ankle (DNP)
2011-01-17,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-17,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-17,Hawks,,Jordan Crawford,placed on IL
2011-01-17,Hawks,Etan Thomas,,activated from IL
2011-01-17,Hornets,,Didier Mbenga ,placed on IL
2011-01-17,Hornets,Marco Belinelli,,activated from IL
2011-01-17,Jazz,,Gordon Hayward,placed on IL with sinus infection
2011-01-17,Jazz,Jeremy Evans,,activated from IL
2011-01-17,Kings,,Francisco Garcia,placed on IL with sore left calf
2011-01-17,Kings,Luther Head,,activated from IL
2011-01-17,Knicks,,Ronny Turiaf,placed on IL with right hip pointer
2011-01-17,Knicks,Danilo Gallinari,,activated from IL
2011-01-17,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-17,Pacers,,Lance Stephenson,placed on IL
2011-01-17,Pacers,Solomon Jones,,activated from IL
2011-01-17,Raptors,,Jerryd Bayless,sore left ankle (DNP)
2011-01-17,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-17,Raptors,,Linas Kleiza,sore right knee (DNP)
2011-01-17,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP)
2011-01-17,Timberwolves,,Lazar Hayward,placed on IL
2011-01-17,Timberwolves,Michael Beasley,,activated from IL
2011-01-18,Bobcats,,Eduardo Najera,placed on IL
2011-01-18,Bobcats,Sherron Collins,,activated from IL
2011-01-18,Bulls,,Carlos Boozer,sprained left ankle (DNP)
2011-01-18,Hawks,,Etan Thomas,placed on IL
2011-01-18,Hawks,Jordan Crawford,,activated from IL
2011-01-18,Heat,,Chris Bosh,placed on IL with sprained left ankle
2011-01-18,Heat,LeBron James,,activated from IL
2011-01-19,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-19,Bucks,,John Salmons,sore right hip (DNP)
2011-01-19,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-19,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-19,Jazz,,Jeremy Evans,placed on IL
2011-01-19,Jazz,Gordon Hayward,,activated from IL
2011-01-19,Knicks,,Andy Rautins,placed on IL
2011-01-19,Knicks,Ronny Turiaf,,activated from IL
2011-01-19,Mavericks,,Alex Ajinca,placed on IL
2011-01-19,Mavericks,Tyson Chandler,,activated from IL
2011-01-19,Pacers,,Roy Hibbert,placed on IL with upper respiratory infection
2011-01-19,Pacers,A.J. Price,,activated from IL
2011-01-19,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-19,Spurs,,Matt Bonner,placed on IL with sore right knee
2011-01-19,Spurs,James Anderson,,activated from IL
2011-01-19,Timberwolves,,Nikola Pekovic,placed on IL
2011-01-19,Timberwolves,Lazar Hayward,,activated from IL
2011-01-20,Bobcats,,Sherron Collins,placed on IL
