Category: All categories

Region,Facebook Messenger: (8/16/19 - 8/16/20)
West Virginia,100
Vermont,78
Maine,77
Kentucky,77
Arkansas,74
Alabama,73
Mississippi,72
Kansas,70
Oklahoma,70
Alaska,68
Iowa,66
Montana,66
Indiana,64
Missouri,64
South Dakota,64
Tennessee,63
Wisconsin,63
Wyoming,62
New Mexico,61
North Dakota,60
South Carolina,60
Michigan,58
Nebraska,58
Washington,58
Idaho,57
Louisiana,57
Oregon,56
Rhode Island,55
Hawaii,55
Ohio,55
Illinois,54
Texas,53
Arizona,53
Minnesota,53
North Carolina,53
Nevada,53
New Hampshire,52
Georgia,52
Colorado,51
Pennsylvania,51
Virginia,51
Utah,49
Florida,47
Massachusetts,46
California,46
Connecticut,45
Delaware,44
New York,44
Maryland,41
New Jersey,41
District of Columbia,28
