Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
Asia,Kyrgyzstan,11-10-2021,179338,2620,27056.218,395.272,,,1545233,880003,663856,6628347,32.333,26.3,4.489,2.882,3393.474
Asia,Laos,11-10-2021,28849,30,3909.419,4.065,612410,0.083,,2983763,2080368,7379358,29.715,24.4,4.029,2.322,6397.36
Europe,Latvia,11-10-2021,172278,2806,92278.57,1502.999,,,1703879,963175,897919,1866934,31.212,43.9,19.754,14.136,25063.846
Asia,Lebanon,11-10-2021,630382,8389,93125.711,1239.299,,,3028487,1664450,1364037,6769151,594.561,31.1,8.514,5.43,13367.565
Africa,Lesotho,11-10-2021,21460,652,9939.478,301.982,,,383341,347836,339506,2159067,73.562,22.2,4.506,2.647,2851.153
Africa,Liberia,11-10-2021,5801,286,1119.839,55.21,,,93617,84482,9135,5180208,49.127,19.2,3.057,1.756,752.788
Africa,Libya,11-10-2021,346813,4792,49839.923,688.65,,,1689252,1424692,264560,6958538,3.623,29,4.424,2.816,17881.509
Europe,Liechtenstein,11-10-2021,3567,60,93245.151,1568.463,69730,0.011,47078,24744,23015,38254,237.012,,,,
Europe,Lithuania,11-10-2021,353289,5248,131340.939,1951.029,5381950,0.104,3279760,1768497,1637461,2689862,45.135,43.5,19.002,13.778,29524.265
Europe,Luxembourg,11-10-2021,79196,837,124754.653,1318.496,3543784,0.044,799074,421719,,634814,231.447,39.7,14.312,9.842,94277.965
Asia,Macao,03-10-2021,,,,,,,684611,372726,313997,658391,20546.766,39.2,9.798,4.991,104861.851
Africa,Madagascar,11-10-2021,43610,960,1534.087,33.77,,,,,,28427333,43.951,19.6,2.929,1.686,1416.44
Africa,Malawi,11-10-2021,61679,2290,3139.251,116.553,,,1117234,868390,510239,19647681,197.519,18.1,2.979,1.783,1095.042
Asia,Malaysia,11-10-2021,2346303,27422,71585.582,836.644,,,45835200,24511724,21437380,32776195,96.254,29.9,6.293,3.407,26808.164
Asia,Maldives,11-10-2021,85622,234,157503.403,430.448,1543706,0.02,739914,393133,346781,543620,1454.433,30.6,4.12,2.875,15183.616
Africa,Mali,11-10-2021,15490,553,742.722,26.516,,,413563,318655,240321,20855724,15.196,16.4,2.519,1.486,2014.306
Europe,Malta,11-10-2021,37358,459,72601.27,892.017,1306982,0.012,840675,423849,423566,514564,1454.037,42.4,19.426,11.324,36513.323
Oceania,Marshall Islands,11-10-2021,4,,67.094,,,,,,,59618,295.15,,,,3819.202
Africa,Mauritania,11-10-2021,36432,785,7629.562,164.394,,,,,,4775110,4.289,20.3,3.138,1.792,3597.633
Africa,Mauritius,11-10-2021,16291,110,12793.028,86.381,,,1686047,870130,815917,1273428,622.962,37.4,10.945,5.884,20292.745
North America,Mexico,11-10-2021,3725242,282227,28598.023,2166.607,10389202,0.249,107381477,66680553,48482445,130262220,66.444,29.3,6.857,4.321,17336.469
Oceania,Micronesia (country),11-10-2021,1,,8.602,,,,,,,116255,150.777,23,4.81,2.392,3299.464
Europe,Moldova,11-10-2021,307182,7048,76337.001,1751.48,1822979,0.189,1437198,824986,812959,4024025,123.655,37.6,10.864,6.955,5189.972
Europe,Monaco,11-10-2021,3336,35,84412.955,885.628,,,,,,39520,19347.5,,,,
Asia,Mongolia,11-10-2021,326738,1450,98140.68,435.529,4074039,0.259,4387025,2252914,2134111,3329282,1.98,28.6,4.031,2.421,11840.846
Europe,Montenegro,11-10-2021,135533,1992,215799.354,3171.717,,,475813,250947,224866,628051,46.28,39.1,14.762,9.395,16409.288
North America,Montserrat,08-10-2021,,,,,,,2911,1502,1409,4981,,,,,
Africa,Morocco,11-10-2021,939356,14474,25153.604,387.578,8853903,0.052,43122611,23023859,20098752,37344787,80.08,29.6,6.769,4.209,7485.013
Africa,Mozambique,11-10-2021,150991,1924,4694.549,59.82,901901,0.038,3677063,1903730,1773333,32163045,37.728,17.7,3.158,1.87,1136.103
Asia,Myanmar,11-10-2021,479848,18162,8755.39,331.387,4376017,0.078,12263702,8390746,3872956,54806014,81.721,29.1,5.732,3.12,5591.597
Africa,Namibia,11-10-2021,128129,3527,49521.44,1363.174,713463,0.037,472404,276431,195973,2587344,3.078,22,3.552,2.085,9541.808
Asia,Nepal,11-10-2021,802861,11243,27055.204,378.872,4256803,0.091,14780678,8317902,6462776,29674920,204.43,25,5.809,3.212,2442.804
