Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
Asia,South Korea,11-10-2021,334163,2594,6513.24,50.56,13721674,0.054,69161152,40014733,30606048,51305184,527.967,43.4,13.914,8.622,35938.374
Africa,South Sudan,11-10-2021,12114,130,1064.37,11.422,,,113013,81061,31952,11381377,,19.2,3.441,2.032,1569.888
Europe,Spain,11-10-2021,4977448,86827,106480.384,1857.452,59314343,0.024,70822813,37816635,36937743,46745211,93.105,45.5,19.436,13.799,34272.36
Asia,Sri Lanka,11-10-2021,527064,13354,24517.677,621.194,5355028,0.134,27102057,14703606,12398451,21497306,341.955,34.1,10.069,5.331,11669.077
Africa,Sudan,11-10-2021,38827,2953,864.564,65.755,,,,,,44909351,23.258,19.7,3.548,2.034,4466.507
South America,Suriname,11-10-2021,44306,968,74866.762,1635.693,,,417831,237707,180124,591798,3.612,29.6,6.933,4.229,13767.119
Europe,Sweden,11-10-2021,1157822,14905,113957.075,1467.005,,0.03,13965508,7188306,6721017,10160159,24.718,41,19.985,13.433,46949.283
Europe,Switzerland,11-10-2021,850684,11133,97605.942,1277.38,10760244,0.033,10664254,5606512,5207485,8715494,214.243,43.1,18.436,12.644,57410.166
Asia,Syria,11-10-2021,37229,2348,2037.076,128.477,,,811852,613263,321276,18275704,,21.7,,2.577,
Asia,Taiwan,11-10-2021,16305,846,683.504,35.464,3619373,0,18240856,13759882,4480974,23855008,,42.2,,8.353,
Asia,Tajikistan,11-10-2021,17484,125,1793.3,12.821,,,4362853,2464077,1898776,9749625,64.281,23.3,3.466,2.155,2896.913
Africa,Tanzania,11-10-2021,25957,723,422.076,11.756,,,595938,,560938,61498438,64.699,17.7,3.108,1.874,2683.304
Asia,Thailand,11-10-2021,1720919,17751,24601.833,253.764,14201188,0.223,59539624,34782627,23055555,69950844,135.132,40.1,11.373,6.89,16277.671
Asia,Timor,11-10-2021,19675,119,14640.499,88.55,209126,0.025,761656,468339,293317,1343875,87.176,18,3.556,1.897,6570.102
Africa,Togo,11-10-2021,25788,236,3041.668,27.836,518580,0.038,1215025,805728,409297,8478242,143.366,19.4,2.839,1.525,1429.813
Oceania,Tonga,05-10-2021,,,,,,,74503,46985,27518,106759,150.028,22.3,5.82,4.032,5425.621
North America,Trinidad and Tobago,11-10-2021,52847,1555,37657.104,1108.044,353373,0.122,1145835,597951,547884,1403374,266.886,36.2,10.014,5.819,28763.071
Africa,Tunisia,11-10-2021,709866,25039,59473.864,2097.813,2994047,0.053,8505215,5294505,4095504,11935764,74.228,32.7,8.001,5.075,10849.297
Asia,Turkey,11-10-2021,7475085,66368,87897.983,780.408,90162700,0.084,112666626,54565515,46435265,85042736,104.914,31.6,8.153,5.061,25129.341
North America,Turks and Caicos Islands,08-10-2021,,,,,,,54417,28305,26112,39226,37.312,,,,
Africa,Uganda,11-10-2021,124736,3177,2647,67.419,1705808,0.032,2615807,2200321,415486,47123533,213.759,16.4,2.168,1.308,1697.707
Europe,Ukraine,11-10-2021,2667304,62550,61364.137,1439.029,13277259,0.306,13807133,7609047,6198086,43466822,77.39,41.4,16.462,11.133,7894.393
Asia,United Arab Emirates,11-10-2021,737890,2114,73854.856,211.589,87246490,0,20479211,9445401,8426682,9991083,112.442,34,1.144,0.526,67293.483
Europe,United Kingdom,11-10-2021,8232327,138167,120696.017,2025.698,283376305,0.04,94376101,49186920,45189181,68207114,272.898,40.8,18.517,12.527,39753.244
North America,United States,11-10-2021,44455949,714055,133535.404,2144.856,592381867,0.077,401819240,216889814,187215471,332915074,35.608,38.3,15.413,9.732,54225.446
South America,Uruguay,11-10-2021,390115,6064,111936.294,1739.953,3635691,0.015,6404740,2743915,2598784,3485152,19.751,35.6,14.655,10.361,20551.409
Asia,Uzbekistan,11-10-2021,178637,1271,5263.974,37.453,,,21978290,12025985,4941860,33935765,76.134,28.2,4.469,2.873,6253.104
Oceania,Vanuatu,11-10-2021,4,1,12.72,3.18,,,73744,49639,24105,314464,22.662,23.1,4.394,2.62,2921.909
Europe,Vatican,11-10-2021,27,,33251.232,,,,,,,812,,,,,
South America,Venezuela,11-10-2021,384668,4634,13400.756,161.436,,,16127242,9926613,6190629,28704947,36.253,29,6.614,3.915,16745.022
Asia,Vietnam,11-10-2021,843281,20670,8590.11,210.556,24871501,0.055,54279564,38698136,15581428,98168829,308.127,32.6,7.15,4.718,6171.884
Oceania,Wallis and Futuna,05-10-2021,,,,,,,10843,5679,5164,11094,,,,,
Asia,Yemen,11-10-2021,9402,1782,308.357,58.444,,,,,,30490639,53.508,20.3,2.922,1.583,1479.147
Africa,Zambia,11-10-2021,209353,3654,11064.785,193.122,2509600,0.005,802043,,462835,18920657,22.995,17.7,2.48,1.542,3689.251
Africa,Zimbabwe,11-10-2021,131875,4643,8737.974,307.643,1288436,0.038,5594808,3176445,2418363,15092171,42.729,19.6,2.822,1.882,1899.775
