Year;Area;Region;Province;Manuscripts;Printed_total;Printed_incunaboli;Printed_cinquecentine;Printed_leaflets;Printed_Periodicals_active;Books_requested;Loans;Personnel
2000;Centro;Toscana; PISA ;1389;432861;160;7022;100670;1030;25087;2870;60
2000;Centro;Marche; MACERATA ;58;59672;1;590;2868;305;26500;5570;7
2000;Centro;Lazio; FROSINONE ;2680;127999;228;3030;4755;184;16460;;17
2000;Centro;Lazio; RIETI ;350;40158;42;582;2444;40;640;101;2
2000;Centro;Lazio; ROMA ;23455;6163707;6676;81489;1943467;15539;972158;48715;741
2000;Mezzogiorno;Campania; AVELLINO ;565;138475;25;1023;18570;98;8771;597;12
2000;Mezzogiorno;Campania; NAPOLI ;19009;2247186;5120;48826;455276;3993;334234;23255;407
2000;Mezzogiorno;Campania; SALERNO ;437;60505;120;1663;903;;2407;109;4
2000;Mezzogiorno;Puglia; BARI ;453;266845;55;1777;65082;546;61470;8591;99
2000;Mezzogiorno;Basilicata; POTENZA ;17;90696;2;109;8772;604;9152;2221;77
2000;Mezzogiorno;Calabria; COSENZA ;116;52807;;;9335;231;7200;3600;84
2000;Mezzogiorno;Sardegna; CAGLIARI ;598;505700;238;5324;28632;860;42608;11495;74
2000;Mezzogiorno;Sardegna; SASSARI ;916;187916;71;3500;24382;;12922;6502;39
2001;Nord;Piemonte;TORINO;8601;878222;1790;15082;197458;2470;108821;16357;141
2001;Nord;Lombardia;CREMONA;3200;444467;376;6267;82069;1011;132952;14606;40
2001;Nord;Lombardia;MILANO;2119;861438;2364;24394;298953;4163;73561;14178;100
2001;Nord;Lombardia;PAVIA;1910;356695;672;7000;148441;611;117166;9092;52
2001;Nord;Veneto;PADOVA;2853;551945;1296;10152;220108;1417;53908;8799;65
2001;Nord;Veneto;VENEZIA;13099;604634;2886;24065;260340;936;62572;5157;103
2001;Nord;FriuliVeneziaGiulia;GORIZIA;184;176791;31;601;41318;600;44364;17204;31
2001;Nord;FriuliVeneziaGiulia;TRIESTE;1;161969;0;0;12649;50;39945;6653;25
2001;Nord;Liguria;GENOVA;1937;358378;1039;7603;101527;992;34598;9541;69
2001;Nord;EmiliaRomagna;BOLOGNA;7655;675344;1021;14951;307346;1094;46736;16577;55
2001;Nord;EmiliaRomagna;MODENA;11016;537418;1661;15966;125292;1710;12470;5548;67
2001;Nord;EmiliaRomagna;PARMA;44943;413868;3044;11704;126618;626;23340;10445;49
2001;Centro;Toscana;FIRENZE;43047;5938853;5332;45023;2870278;13701;725306;25961;391
2001;Centro;Toscana;LUCCA;4321;365139;835;12820;86693;524;21427;3867;33
2001;Centro;Toscana;PISA;1389;434954;161;7024;101219;1030;26822;2517;55
2001;Centro;Marche;MACERATA;58;63273;1;590;3061;306;24150;5241;7
2001;Centro;Lazio;FROSINONE;2680;134808;228;3030;4797;184;18805;;16
2001;Centro;Lazio;RIETI;350;40473;42;582;2444;51;;;3
2001;Centro;Lazio;ROMA;23530;6229302;6680;81495;1946448;16410;788221;49806;749
2001;Mezzogiorno;Campania;AVELLINO;579;140532;25;1023;19697;144;7371;649;12
2001;Mezzogiorno;Campania;NAPOLI;19102;2256370;5120;48826;455865;4068;297957;21981;402
2001;Mezzogiorno;Campania;SALERNO;437;63285;120;1663;2302;86;3038;108;4
2001;Mezzogiorno;Puglia;BARI;453;270507;55;1777;65120;544;64322;7872;94
2001;Mezzogiorno;Basilicata;POTENZA;17;94477;2;109;9218;526;6861;1806;71
2001;Mezzogiorno;Calabria;COSENZA;116;58540;0;0;9780;170;5536;2787;83
2001;Mezzogiorno;Sardegna;CAGLIARI;598;509337;238;5324;28757;870;32066;10657;72
2001;Mezzogiorno;Sardegna;SASSARI;916;190242;71;3500;24487;1956;8020;5769;39
2002;Nord;Piemonte;TORINO;8604;888071;1790;15084;199487;2819;113559;20747;140
2002;Nord;Lombardia;CREMONA;3532;447350;379;6277;83092;814;126201;14801;41
2002;Nord;Lombardia;MILANO;2119;864754;2364;24396;298953;3906;72755;15287;101
2002;Nord;Lombardia;PAVIA;1912;363547;672;7000;148956;623;54571;9131;52
2002;Nord;Veneto;PADOVA;2863;560097;1296;10152;221257;1169;46536;6322;65
2002;Nord;Veneto;VENEZIA;13102;608902;2886;24067;260813;952;63836;5757;95
2002;Nord;FriuliVeneziaGiulia;GORIZIA;216;183952;31;605;42926;724;49616;16795;31
2002;Nord;FriuliVeneziaGiulia;TRIESTE;1;164118;0;0;12940;69;31611;5848;25
2002;Nord;Liguria;GENOVA;1937;361853;1039;7603;101680;1020;28588;9469;66
2002;Nord;EmiliaRomagna;BOLOGNA;7657;684530;1021;14952;307872;833;56626;19921;51
2002;Nord;EmiliaRomagna;MODENA;11018;542363;1661;15966;126552;1706;15089;7070;69
2002;Nord;EmiliaRomagna;PARMA;46521;417866;3044;11704;127896;611;25506;10137;52
2002;Centro;Toscana;FIRENZE;43085;5994420;5332;45032;2879691;13241;747549;24663;388
2002;Centro;Toscana;LUCCA;4321;366234;835;12820;86743;505;16962;3263;33
2002;Centro;Toscana;PISA;1389;436954;161;7025;101510;1030;16188;1842;51
2002;Centro;Marche;MACERATA;58;64808;1;590;3215;310;25200;5326;7
2002;Centro;Lazio;FROSINONE;2680;138527;228;3030;4868;257;18715;-;17
2002;Centro;Lazio;ROMA;23570;6295136;6682;81496;1952268;17329;933430;58229;745
2002;Centro;Lazio;RIETI;;;;;;;;;
2002;Mezzogiorno;Campania;AVELLINO;580;142475;25;1024;20052;144;9055;655;14
2002;Mezzogiorno;Campania;NAPOLI;19102;2265684;5120;48826;456655;4220;215201;96476;400
2002;Mezzogiorno;Campania;SALERNO;437;68056;120;1663;5605;89;2226;142;1
2002;Mezzogiorno;Puglia;BARI;453;273854;55;1777;65145;542;35990;6653;97
2002;Mezzogiorno;Basilicata;POTENZA;70;100105;2;109;9569;335;11064;1638;64
2002;Mezzogiorno;Calabria;COSENZA;116;62654;0;0;10460;160;7032;2654;84
2002;Mezzogiorno;Sardegna;CAGLIARI;598;512245;238;5324;28997;881;29772;11213;72
2002;Mezzogiorno;Sardegna;SASSARI;916;191949;71;3500;24538;1976;10150;4875;40
2003;Nord;Piemonte;TORINO;8605;895589;1790;15087;199825;1784;133203;25998;139
2003;Nord;Lombardia;CREMONA;3693;453475;381;6284;83656;830;112365;15425;38
2003;Nord;Lombardia;MILANO;2119;873693;2364;24400;298953;3506;73228;13829;95
2003;Nord;Lombardia;PAVIA;1923;367165;672;7000;149372;635;54992;9356;52
2003;Nord;Veneto;PADOVA;2867;568158;1297;10152;221780;1190;46590;7987;62
2003;Nord;Veneto;VENEZIA;13104;612927;2886;24067;261365;750;60475;5519;92
2003;Nord;FriuliVeneziaGiulia;GORIZIA;221;191297;31;609;44956;702;59339;14097;29
2003;Nord;FriuliVeneziaGiulia;TRIESTE;1;167560;0;17;13895;33;37521;7435;25
2003;Nord;Liguria;GENOVA;1937;366103;1039;7603;101766;1010;28575;10052;67
2003;Nord;EmiliaRomagna;BOLOGNA;7697;693694;1021;14953;308443;919;73641;21226;51
2003;Nord;EmiliaRomagna;MODENA;11019;545565;1661;15966;126911;1717;14838;7920;69
2003;Nord;EmiliaRomagna;PARMA;46980;419968;3044;11704;128990;567;23865;9804;50
2003;Centro;Toscana;FIRENZE;43178;6035885;5333;45035;2889902;13462;754140;26682;362
2003;Centro;Toscana;LUCCA;4323;367900;835;12820;86860;593;14958;3132;33
2003;Centro;Toscana;PISA;1391;438464;161;7032;101740;1030;50120;1276;53
2003;Centro;Marche;MACERATA;58;66172;1;590;3245;313;21855;5572;8
2003;Centro;Lazio;FROSINONE;2680;140362;228;3030;4957;258;18299;;16
2003;Centro;Lazio;ROMA;24747;6357832;6682;81507;1955450;24010;816288;59056;717
2003;Centro;Lazio;RIETI;;;;;;;;;
2003;Mezzogiorno;Campania;AVELLINO;580;144103;25;1024;20448;144;9749;601;14
2003;Mezzogiorno;Campania;NAPOLI;19103;2273743;5120;48826;457590;4238;270614;21970;396
2003;Mezzogiorno;Campania;SALERNO;437;71981;120;1663;5779;89;2481;144;4
2003;Mezzogiorno;Puglia;BARI;453;276838;55;1777;65235;542;30600;6507;97
2003;Mezzogiorno;Basilicata;POTENZA;71;104378;2;109;9857;428;11133;2024;63
2003;Mezzogiorno;Calabria;COSENZA;116;69956;0;0;10790;187;8260;3548;90
2003;Mezzogiorno;Sardegna;CAGLIARI;598;516492;238;5324;29086;881;27233;11669;72
2003;Mezzogiorno;Sardegna;SASSARI;916;192872;71;3500;24598;1976;15290;4076;40
2004;Nord;Piemonte;TORINO;8924;903148;1791;15091;200157;2355;144199;29338;132
2004;Nord;Lombardia;CREMONA;3837;457534;381;6299;84044;856;108565;15470;37
2004;Nord;Lombardia;MILANO;2119;877610;2364;24400;298954;3830;66797;15652;92
2004;Nord;Lombardia;PAVIA;1923;368903;672;7000;149501;431;64131;9992;49
2004;Nord;Veneto;PADOVA;2868;575292;1297;10152;222225;1209;46627;8037;61
2004;Nord;Veneto;VENEZIA;13107;616521;2886;24069;261588;704;56575;5082;90
2004;Nord;FriuliVeneziaGiulia;GORIZIA;227;195668;31;612;46482;745;56640;13698;31
2004;Nord;FriuliVeneziaGiulia;TRIESTE;7;171362;0;17;15426;169;39188;7915;27
2004;Nord;Liguria;GENOVA;1937;368969;1039;7603;101863;1010;33144;10245;65
2004;Nord;EmiliaRomagna;BOLOGNA;7697;702961;1021;14953;308699;869;63779;19852;48
2004;Nord;EmiliaRomagna;MODENA;11024;547690;1662;15966;127199;2176;17589;8509;67
2004;Nord;EmiliaRomagna;PARMA;50062;421145;3044;11704;129510;567;30242;9915;50
2004;Centro;Toscana;FIRENZE;43206;6071230;5333;45035;2899411;18747;768751;26865;359
2004;Centro;Toscana;LUCCA;4323;369864;835;12820;87031;609;13576;3045;33
2004;Centro;Toscana;PISA;1391;439968;161;7032;102340;1030;24590;993;54
2004;Centro;Marche;MACERATA;58;67550;1;590;3308;317;22540;6813;8
2004;Centro;Lazio;FROSINONE;2680;144166;228;3030;5013;258;18800;;17
2004;Centro;Lazio;ROMA;24811;6109285;6685;81526;1973025;25647;864344;61335;689
2004;Centro;Lazio;RIETI;;;;;;;;;
2004;Mezzogiorno;Campania;AVELLINO;580;145222;25;1024;21132;144;10407;716;14
2004;Mezzogiorno;Campania;NAPOLI;19103;2283267;5120;48826;458982;4347;272239;21374;392
2004;Mezzogiorno;Campania;SALERNO;437;76610;120;1663;5857;89;3124;143;4
2004;Mezzogiorno;Puglia;BARI;453;280665;55;2196;65270;542;22417;5369;95
2004;Mezzogiorno;Basilicata;POTENZA;71;108397;2;109;10242;428;4589;2242;58
2004;Mezzogiorno;Calabria;COSENZA;116;77159;0;0;11414;168;13158;3728;90
2004;Mezzogiorno;Sardegna;CAGLIARI;598;521392;238;5324;29251;871;39168;15610;71
2004;Mezzogiorno;Sardegna;SASSARI;916;194049;71;3500;24680;1980;8265;;40
2005;Nord;Piemonte;TORINO;8952;910606;1791;15092;200632;2856;137217;25582;129
2005;Nord;Lombardia;CREMONA;3839;461967;383;6300;84689;872;112547;15658;34
2005;Nord;Lombardia;MILANO;2119;889610;2364;24401;298954;4674;70544;14129;93
2005;Nord;Lombardia;PAVIA;1402;922661;690;189450;107785;595;50235;8800;48
2005;Nord;Veneto;PADOVA;2870;581730;1297;10152;222685;1223;45858;7204;61
2005;Nord;Veneto;VENEZIA;13113;619662;2886;24069;261790;816;48269;4929;86
2005;Nord;FriuliVeneziaGiulia;GORIZIA;862;261664;40;915;47531;745;58036;13491;28
2005;Nord;FriuliVeneziaGiulia;TRIESTE;7;174084;0;17;16438;252;37264;8125;26
2005;Nord;Liguria;GENOVA;1937;373212;1039;7603;101957;1020;34232;10094;63
2005;Nord;EmiliaRomagna;BOLOGNA;7698;716019;1021;14953;309475;1016;50120;25692;46
2005;Nord;EmiliaRomagna;MODENA;11024;549719;1662;15966;127545;1422;15570;8199;60
2005;Nord;EmiliaRomagna;PARMA;51572;423505;3044;11704;130840;404;25615;9866;46
2005;Centro;Toscana;FIRENZE;43339;6113029;5334;45037;2910925;15779;617356;23238;342
2005;Centro;Toscana;LUCCA;4323;371586;835;12820;87081;706;12584;2855;31
2005;Centro;Toscana;PISA;1392;441988;161;7033;102868;932;14635;867;52
2005;Centro;Marche;MACERATA;63;69313;1;590;3359;325;21500;6636;8
2005;Centro;Lazio;FROSINONE;2680;164118;228;3030;5213;253;24081;;16
2005;Centro;Lazio;RIETI;350;41203;42;582;2444;51;88;22;3
2005;Centro;Lazio;ROMA;25006;6213973;6685;81548;1980627;22138;729865;54235;672
2005;Mezzogiorno;Campania;AVELLINO;580;148440;25;1024;21179;144;10866;892;14
2005;Mezzogiorno;Campania;NAPOLI;19104;2291332;5120;48826;461097;4674;290356;20831;378
2005;Mezzogiorno;Campania;SALERNO;437;77164;120;1663;5919;90;1803;116;4
2005;Mezzogiorno;Puglia;BARI;453;283579;55;2196;65338;450;22291;3957;82
2005;Mezzogiorno;Basilicata;POTENZA;71;113941;2;109;10463;428;4694;2321;58
2005;Mezzogiorno;Calabria;COSENZA;116;82285;0;0;12040;150;14574;3795;93
2005;Mezzogiorno;Sardegna;CAGLIARI;604;526777;238;5326;29373;835;31836;16122;68
2005;Mezzogiorno;Sardegna;SASSARI;916;194540;71;3500;24710;1991;9025;3390;39
2006;Nord;Piemonte;TORINO;8957;920842;1791;15092;200827;4352;127411;25767;120
2006;Nord;Lombardia;CREMONA;3839;465335;384;6302;85151;882;151397;17696;36
2006;Nord;Lombardia;MILANO;2119;898377;2368;24401;298954;3951;73945;14164;91
2006;Nord;Lombardia;PAVIA;1406;925020;690;7000;107884;307;54721;9344;47
2006;Nord;Veneto;PADOVA;2930;586454;1297;10153;223139;1225;44981;6786;60
2006;Nord;Veneto;VENEZIA;13113;622804;2887;24069;261993;816;39272;5493;83
2006;Nord;FriuliVeneziaGiulia;GORIZIA;862;264967;40;934;48861;1074;57015;11746;29
2006;Nord;FriuliVeneziaGiulia;TRIESTE;7;177340;0;21;17006;203;36334;7790;25
2006;Nord;Liguria;GENOVA;1948;378093;1039;7603;102039;1018;22355;10545;64
2006;Nord;EmiliaRomagna;BOLOGNA;7698;726523;1021;14953;310547;1016;45601;29181;44
2006;Nord;EmiliaRomagna;MODENA;11024;551703;1662;15966;127958;1322;15674;6757;56
2006;Nord;EmiliaRomagna;PARMA;52192;426647;3044;11704;130840;386;49614;10488;41
2006;Centro;Toscana;FIRENZE;43388;6152163;5336;45037;2920131;17534;638268;20243;327
2006;Centro;Toscana;LUCCA;4323;372935;835;12820;87175;712;12135;2529;32
2006;Centro;Toscana;PISA;1392;444168;161;7033;103356;932;9455;878;51
2006;Centro;Marche;MACERATA;63;70915;1;590;3404;328;22500;6031;8
2006;Centro;Lazio;FROSINONE;2680;166981;228;3056;5229;216;25227;;16
2006;Centro;Lazio;RIETI;350;41883;42;582;2444;51;140;42;3
2006;Centro;Lazio;ROMA;25007;6307525;6685;81563;1981194;27262;743123;51901;656
2006;Mezzogiorno;Campania;AVELLINO;580;149115;25;1207;21386;144;15612;908;14
2006;Mezzogiorno;Campania;NAPOLI;19104;2299142;5120;48826;462796;4486;273175;18527;374
2006;Mezzogiorno;Campania;SALERNO;437;78190;120;1663;6045;89;1534;204;4
2006;Mezzogiorno;Puglia;BARI;453;284890;55;2196;65339;450;11654;2223;84
2006;Mezzogiorno;Basilicata;POTENZA;74;115560;3;109;10569;460;4891;2101;57
2006;Mezzogiorno;Calabria;COSENZA;116;86181;0;0;12217;147;8976;3159;93
2006;Mezzogiorno;Sardegna;CAGLIARI;604;530651;238;5326;29480;825;27491;13963;66
2006;Mezzogiorno;Sardegna;SASSARI;916;195310;71;3500;24787;1971;5005;3179;38
2007;Nord;Piemonte;TORINO;8963;926522;1791;15092;201054;4556;131462;25755;118
2007;Nord;Lombardia;CREMONA;3842;467878;384;6302;85489;900;207058;17387;31
2007;Nord;Lombardia;MILANO;2119;911777;2370;24406;299086;3429;67592;13343;91
2007;Nord;Lombardia;PAVIA;1411;927578;690;7000;110196;363;70704;8083;46
2007;Nord;Veneto;PADOVA;2930;590408;1298;10153;223515;1227;42584;7038;54
2007;Nord;Veneto;VENEZIA;13115;626402;2887;24069;262216;830;54089;4540;88
2007;Nord;FriuliVeneziaGiulia;GORIZIA;862;268648;41;934;49921;697;55934;10862;33
2007;Nord;FriuliVeneziaGiulia;TRIESTE;7;181446;0;21;17781;225;36415;8311;28
2007;Nord;Liguria;GENOVA;1949;382705;1039;7603;102127;1051;42858;13610;63
2007;Nord;EmiliaRomagna;BOLOGNA;7699;735237;1021;14953;310829;850;21865;30052;43
2007;Nord;EmiliaRomagna;MODENA;11025;554185;1662;15966;128284;1120;15595;6360;57
2007;Nord;EmiliaRomagna;PARMA;52232;428681;3044;11704;130885;404;27139;9345;47
2007;Centro;Toscana;FIRENZE;43402;6190938;5336;45042;2922306;7910;658413;19027;319
2007;Centro;Toscana;LUCCA;4323;374417;835;12820;87237;775;13203;2565;28
2007;Centro;Toscana;PISA;1392;447267;161;7033;103741;932;11711;793;49
2007;Centro;Marche;MACERATA;64;73467;1;590;3530;332;24150;6605;9
2007;Centro;Lazio;FROSINONE;2680;170483;228;3056;5258;233;26564;;16
2007;Centro;Lazio;RIETI;350;42528;42;582;2444;51;621;42;3
2007;Centro;Lazio;ROMA;25008;6385622;6685;81574;1986067;21093;565533;51505;629
2007;Mezzogiorno;Campania;AVELLINO;580;149845;25;1280;21540;144;16479;1173;12
2007;Mezzogiorno;Campania;NAPOLI;19104;2307192;5120;48826;464284;4533;265197;16900;355
2007;Mezzogiorno;Campania;SALERNO;437;79086;120;1663;6173;76;2634;190;3
2007;Mezzogiorno;Puglia;BARI;453;288804;55;2196;65387;450;9373;1691;87
2007;Mezzogiorno;Basilicata;POTENZA;74;118671;3;109;10569;463;7740;2025;58
2007;Mezzogiorno;Calabria;COSENZA;116;90427;0;0;12402;178;8643;3030;93
2007;Mezzogiorno;Sardegna;CAGLIARI;604;534145;238;5326;29702;841;20265;11996;65
2007;Mezzogiorno;Sardegna;SASSARI;916;196215;71;3500;24833;1971;3828;3323;37
2008;Nord;Piemonte; TORINO ;8966;932845;1791;15092;201397;1827;134314;25669;115
2008;Nord;Lombardia; CREMONA ;3858;470826;384;6302;86103;921;198230;16418;29
2008;Nord;Lombardia; MILANO ;2119;933792;2370;24406;299086;3880;63306;11063;88
2008;Nord;Lombardia; PAVIA ;1411;930203;691;7000;113352;268;44852;7207;45
2008;Nord;Veneto; PADOVA ;2933;597280;1299;10153;224508;1209;46745;7546;54
2008;Nord;Veneto; VENEZIA ;13117;629143;2887;24069;262308;844;49000;4140;85
2008;Nord;FriuliVeneziaGiulia; GORIZIA ;864;272661;41;938;50857;674;52583;10322;32
2008;Nord;FriuliVeneziaGiulia; TRIESTE ;8;183850;;21;18398;241;35443;7933;28
2008;Nord;Liguria; GENOVA ;1949;387416;1039;7603;102165;1076;24420;8973;64
2008;Nord;EmiliaRomagna; BOLOGNA ;7699;745335;1021;14953;311188;1050;25402;28635;37
2008;Nord;EmiliaRomagna; MODENA ;11025;556889;1662;15966;128610;616;17310;5299;58
2008;Nord;EmiliaRomagna; PARMA ;52244;431307;3044;11704;130918;386;20965;7805;42
2008;Centro;Toscana; FIRENZE ;43406;6230490;5336;45045;2924331;7892;633957;18397;308
2008;Centro;Toscana; LUCCA ;4323;375403;835;12820;87349;854;16498;2277;28
2008;Centro;Toscana; PISA ;1392;450298;162;7033;104417;1079;3126;1047;49
2008;Centro;Marche; MACERATA ;64;75999;1;590;3607;336;25210;7475;9
2008;Centro;Lazio; FROSINONE ;2680;173281;228;3056;5297;264;72916;;13
2008;Centro;Lazio; RIETI ;350;42986;42;582;2444;51;754;23;3
2008;Centro;Lazio; ROMA ;25009;6470102;6685;81581;1996477;24436;590605;62981;615
2008;Mezzogiorno;Campania; AVELLINO ;580;150969;25;1280;22035;144;15000;910;11
2008;Mezzogiorno;Campania; NAPOLI ;19106;2320062;5120;48826;464371;4546;227275;15845;347
2008;Mezzogiorno;Campania; SALERNO ;437;79620;120;1663;6243;67;1905;171;3
2008;Mezzogiorno;Puglia; BARI ;454;293637;55;2197;65422;470;7790;1679;74
2008;Mezzogiorno;Basilicata; POTENZA ;74;121421;3;109;10891;477;12236;2359;59
2008;Mezzogiorno;Calabria; COSENZA ;116;94462;;;12859;178;7173;2582;93
2008;Mezzogiorno;Sardegna; CAGLIARI ;604;536914;238;5326;29702;855;17122;11618;64
2008;Mezzogiorno;Sardegna; SASSARI ;916;197129;71;3500;24930;1971;2967;2260;36
2009;Nord;Piemonte;TORINO;8968;939556;1791;15092;201790;1827;103020;20129;108
2009;Nord;Lombardia;CREMONA;3862;472503;384;6302;86276;190;197713;16597;29
2009;Nord;Lombardia;MILANO;2119;958329;2370;24406;299086;3500;66605;10555;82
2009;Nord;Lombardia;PAVIA;1411;382966;691;7000;114111;268;17316;5697;45
2009;Nord;Veneto;PADOVA;2936;600622;1299;10169;226330;1158;41599;9005;53
2009;Nord;Veneto;VENEZIA;13117;631073;2887;24069;262538;844;55808;4235;82
2009;Nord;FriuliVeneziaGiulia;GORIZIA;867;278762;41;938;51881;648;55228;12416;32
2009;Nord;FriuliVeneziaGiulia;TRIESTE;8;185919;0;21;18690;242;36903;7262;24
