Year;Area;Region;Province;Manuscripts;Printed_total;Printed_incunaboli;Printed_cinquecentine;Printed_leaflets;Printed_Periodicals_active;Books_requested;Loans;Personnel
2009;Nord;Liguria;GENOVA;1949;392535;1039;7603;102211;1078;22132;7071;59
2009;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2009;Nord;EmiliaRomagna;MODENA;11025;559895;1662;15966;128987;598;24728;5142;54
2009;Nord;EmiliaRomagna;PARMA;52244;670342;3044;11704;130920;341;19085;6524;42
2009;Centro;Toscana;FIRENZE;43410;6256214;5337;45048;2925329;7563;625303;16011;292
2009;Centro;Toscana;LUCCA;4323;376775;835;12820;87475;774;15847;2285;25
2009;Centro;Toscana;PISA;1392;452638;162;7033;104625;1079;4383;1428;48
2009;Centro;Marche;MACERATA;64;77060;1;590;3648;345;26340;7627;9
2009;Centro;Lazio;FROSINONE;2680;175022;228;3056;5315;266;91276;;15
2009;Centro;Lazio;RIETI;350;43382;42;582;2444;;795;38;3
2009;Centro;Lazio;ROMA;25011;6559115;6685;81587;1997421;26174;575548;57935;580
2009;Mezzogiorno;Campania;AVELLINO;580;152343;38;1325;22157;144;10137;1000;10
2009;Mezzogiorno;Campania;NAPOLI;19106;2327842;5120;48826;465550;2479;230499;17250;337
2009;Mezzogiorno;Campania;SALERNO;437;80867;120;1663;6361;79;2073;239;3
2009;Mezzogiorno;Puglia;BARI;454;294722;55;2200;65422;470;9084;1975;71
2009;Mezzogiorno;Basilicata;POTENZA;74;123858;3;110;11033;29;12603;2214;62
2009;Mezzogiorno;Calabria;COSENZA;116;101059;0;0;13289;160;7306;2454;94
2009;Mezzogiorno;Sardegna;CAGLIARI;604;539203;238;5326;29829;815;27722;9973;65
2009;Mezzogiorno;Sardegna;SASSARI;916;198013;72;3500;25009;1971;1582;;35
2010;Nord;Piemonte;TORINO;8978;945901;1791;15093;203000;1392;86444;16775;110
2010;Nord;Lombardia;CREMONA;3871;473640;384;6302;86404;117;225551;16743;29
2010;Nord;Lombardia;MILANO;2119;985272;2370;24406;299086;3355;32413;10162;79
2010;Nord;Lombardia;PAVIA;1411;384135;691;7000;118179;221;18878;6315;43
2010;Nord;Veneto;PADOVA;2944;603132;1299;10169;227039;1076;40594;9082;50
2010;Nord;Veneto;VENEZIA;13118;632602;2887;24069;262710;848;56539;4584;81
2010;Nord;FriuliVeneziaGiulia;GORIZIA;867;282377;41;938;54082;644;56277;13050;29
2010;Nord;FriuliVeneziaGiulia;TRIESTE;8;187813;0;21;19001;238;28380;5922;25
2010;Nord;Liguria;GENOVA;1949;395477;1039;7603;102252;1117;17718;6800;60
2010;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2010;Nord;EmiliaRomagna;MODENA;11025;562491;1662;15966;129181;571;23629;4829;50
2010;Nord;EmiliaRomagna;PARMA;52244;671115;3044;11704;130942;341;12476;4465;39
2010;Centro;Toscana;FIRENZE;43434;6295714;5337;45020;2926627;9238;513061;13494;280
2010;Centro;Toscana;LUCCA;4323;378036;835;12820;87591;580;13275;1893;23
2010;Centro;Toscana;PISA;1392;454414;162;7033;104848;1850;9223;964;43
2010;Centro;Marche;MACERATA;64;78198;1;590;3737;350;26900;8542;9
2010;Centro;Lazio;FROSINONE;2680;176145;228;3056;5346;228;24306;;18
2010;Centro;Lazio;RIETI;350;43820;42;582;2444;51;750;42;3
2010;Centro;Lazio;ROMA;25013;6655845;6685;81588;1999096;28702;526021;53970;546
2010;Mezzogiorno;Campania;AVELLINO;580;152983;38;1325;22367;144;10818;922;11
2010;Mezzogiorno;Campania;NAPOLI;19112;2332326;5120;48826;466408;6389;161936;13427;315
2010;Mezzogiorno;Campania;SALERNO;438;81386;120;1663;6409;70;3200;194;3
2010;Mezzogiorno;Puglia;BARI;454;298014;55;2220;65456;720;9024;2158;68
2010;Mezzogiorno;Basilicata;POTENZA;74;125585;3;110;11335;490;11390;2529;57
2010;Mezzogiorno;Calabria;COSENZA;116;109748;0;0;13866;167;6692;2842;90
2010;Mezzogiorno;Sardegna;CAGLIARI;604;541226;238;5326;29877;843;62871;9429;63
2010;Mezzogiorno;Sardegna;SASSARI;916;198014;73;3502;25009;1974;1356;2030;36
2011;Nord;Piemonte;TORINO;8978;952756;1791;15093;204298;1130;77591;14548;107
2011;Nord;Lombardia;CREMONA;3874;474844;384;6302;86478;93;240940;16273;29
2011;Nord;Lombardia;MILANO;2119;1000963;2370;24406;299299;3512;17632;9516;65
2011;Nord;Lombardia;PAVIA;1411;385689;691;7000;119379;161;20245;5998;43
2011;Nord;Veneto;PADOVA;2944;605933;1299;10251;228052;1092;41204;7472;48
2011;Nord;Veneto;VENEZIA;13118;634297;2887;24069;262848;746;39600;4826;74
2011;Nord;FriuliVeneziaGiulia;GORIZIA;876;352566;41;938;79732;593;59383;12934;28
2011;Nord;FriuliVeneziaGiulia;TRIESTE;8;188256;0;21;19276;213;24483;5776;24
2011;Nord;Liguria;GENOVA;1949;398907;1039;7603;102814;1048;16333;5945;58
2011;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2011;Nord;EmiliaRomagna;MODENA;11025;564291;1662;15966;129337;485;23640;4450;47
2011;Nord;EmiliaRomagna;PARMA;52244;673419;3044;11704;130942;341;12674;3228;37
2011;Centro;Toscana;FIRENZE;43436;6362155;5337;45022;2929167;11875;518765;12062;262
2011;Centro;Toscana;LUCCA;4323;379001;835;12820;87831;247;10562;1874;24
2011;Centro;Toscana;PISA;1392;475635;162;7083;105342;1912;10500;1787;28
2011;Centro;Marche;MACERATA;64;79375;1;590;3992;353;23400;8669;9
2011;Centro;Lazio;FROSINONE;2680;176751;228;3056;5346;138;26026;;15
2011;Centro;Lazio;RIETI;350;43968;42;582;2444;;680;49;3
2011;Centro;Lazio;ROMA;25014;6756046;6685;81591;2001542;32876;559371;56477;506
2011;Mezzogiorno;Campania;AVELLINO;580;153903;38;1325;22564;144;8286;1044;11
2011;Mezzogiorno;Campania;NAPOLI;18566;2166257;5025;43654;449692;1319;952526;10135;300
2011;Mezzogiorno;Campania;SALERNO;438;82399;120;1663;6662;74;2046;226;3
2011;Mezzogiorno;Puglia;BARI;454;302630;55;2220;65507;270;6725;2020;62
2011;Mezzogiorno;Basilicata;POTENZA;74;128187;3;113;11545;510;10112;3080;58
2011;Mezzogiorno;Calabria;COSENZA;117;113051;0;3;14119;179;4383;2552;89
2011;Mezzogiorno;Sardegna;CAGLIARI;604;542910;238;5326;29902;807;51312;8358;59
2011;Mezzogiorno;Sardegna;SASSARI;916;198555;74;3502;25009;1976;1450;1982;33
2012;Nord;Piemonte;TORINO;8979;966456;1791;15094;204558;1272;65076;13551;108
2012;Nord;Lombardia;CREMONA;3879;477182;384;6302;86561;45;386948;14318;27
2012;Nord;Lombardia;MILANO;2119;1023094;2370;24406;299669;2529;16411;9985;65
2012;Nord;Lombardia;PAVIA;1411;386774;691;7000;119587;162;16739;5588;42
2012;Nord;Veneto;PADOVA;2946;609911;1299;10251;228946;762;40802;7937;47
2012;Nord;Veneto;VENEZIA;13118;635939;2887;24069;263115;531;27680;5059;67
2012;Nord;FriuliVeneziaGiulia;GORIZIA;900;357903;41;938;82031;482;51372;14613;26
2012;Nord;FriuliVeneziaGiulia;TRIESTE;8;189763;0;21;19737;180;29945;5768;23
2012;Nord;Liguria;GENOVA;1949;402228;1039;7603;103444;1148;15520;5797;59
2012;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2012;Nord;EmiliaRomagna;MODENA;11025;565925;1662;15966;129520;490;12994;4031;43
2012;Nord;EmiliaRomagna;PARMA;52244;677009;3044;11704;130942;208;12230;3827;35
2012;Centro;Toscana;FIRENZE;43438;6453328;5337;45022;2934301;20545;402184;12070;266
2012;Centro;Toscana;LUCCA;4323;380040;835;12820;88010;298;14250;1821;19
2012;Centro;Toscana;PISA;1395;476631;162;7083;105369;1915;11824;290;35
2012;Centro;Marche;MACERATA;64;80135;1;590;4006;;22550;8831;9
2012;Centro;Lazio;FROSINONE;2680;177479;228;3056;5370;103;49570;;16
2012;Centro;Lazio;RIETI;350;43968;42;582;2444;;686;45;3
2012;Centro;Lazio;ROMA;25402;6867355;6685;81592;2006919;34349;515190;55253;483
2012;Mezzogiorno;Campania;AVELLINO;580;156663;38;1325;22623;144;6775;689;11
2012;Mezzogiorno;Campania;NAPOLI;18566;2172952;;;;1132;194127;9585;291
2012;Mezzogiorno;Campania;SALERNO;438;85700;120;1663;7149;69;1515;103;3
2012;Mezzogiorno;Puglia;BARI;454;306858;55;2221;65542;76;7845;2028;59
2012;Mezzogiorno;Basilicata;POTENZA;74;130728;3;113;11615;479;19890;3329;55
2012;Mezzogiorno;Calabria;COSENZA;117;117841;0;3;14372;137;4464;2592;88
2012;Mezzogiorno;Sardegna;CAGLIARI;604;544182;238;5326;29952;801;45574;7376;55
2012;Mezzogiorno;Sardegna;SASSARI;957;201760;74;3502;25009;2706;1254;2127;33
2013;Nord;Piemonte;TORINO;8979;974529;1791;15094;205028;1521;45598;11449;98
2013;Nord;Lombardia;CREMONA;3879;478150;384;6302;86601;24;337809;11593;28
2013;Nord;Lombardia;MILANO;2119;1038157;2370;24406;299669;2581;15832;14100;63
2013;Nord;Lombardia;PAVIA;1411;387821;691;7000;119754;77;14455;4960;39
2013;Nord;Veneto;PADOVA;2949;612641;1299;10251;229907;667;40412;8029;44
2013;Nord;Veneto;VENEZIA;13118;637948;2887;24069;263342;474;24600;5544;68
2013;Nord;FriuliVeneziaGiulia;GORIZIA;901;357909;41;939;82033;398;37007;15040;27
2013;Nord;FriuliVeneziaGiulia;TRIESTE;8;190498;0;21;19921;161;33350;5399;24
2013;Nord;Liguria;GENOVA;1949;407134;1039;7603;103638;1148;15211;5182;59
2013;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2013;Nord;EmiliaRomagna;MODENA;11025;567292;1662;15966;129711;410;13268;4565;44
2013;Nord;EmiliaRomagna;PARMA;52244;679764;3044;11704;130999;250;18151;3279;35
2013;Centro;Toscana;FIRENZE;43438;6504577;5337;45022;2937658;17161;348373;10207;254
2013;Centro;Toscana;LUCCA;4323;380989;835;12820;88140;298;14127;1824;19
2013;Centro;Toscana;PISA;1395;478303;162;7083;105555;446;2302;396;31
2013;Centro;Marche;MACERATA;64;80636;1;590;4029;;19550;9407;8
2013;Centro;Lazio;FROSINONE;2680;177844;228;3056;5401;107;34720;;16
2013;Centro;Lazio;RIETI;350;44134;42;582;2444;;690;51;2
2013;Centro;Lazio;ROMA;25481;6966235;6685;81857;2012477;33599;510342;52114;467
2013;Mezzogiorno;Campania;AVELLINO;580;157129;38;1331;22703;144;6048;826;12
2013;Mezzogiorno;Campania;NAPOLI;18594;2178265;5025;43654;452813;1139;181188;11213;276
2013;Mezzogiorno;Campania;SALERNO;438;87351;120;1663;7646;61;1049;108;3
2013;Mezzogiorno;Puglia;BARI;454;310390;55;2221;65578;346;7946;2138;59
2013;Mezzogiorno;Basilicata;POTENZA;74;133485;3;113;11723;496;18673;3705;55
2013;Mezzogiorno;Calabria;COSENZA;117;121328;0;28;15268;130;4322;2447;85
2013;Mezzogiorno;Sardegna;CAGLIARI;604;545113;238;5326;29990;798;48693;6220;53
2013;Mezzogiorno;Sardegna;SASSARI;957;202659;74;3502;25273;2706;1254;1051;33
2014;Nord;Piemonte;TORINO;8979;978590;1791;15095;205258;829;36983;10970;95
2014;Nord;Lombardia;CREMONA;3879;479655;384;6302;86701;28;327031;12469;28
2014;Nord;Lombardia;MILANO;2119;1050932;2371;24406;299669;2209;13639;13376;62
2014;Nord;Lombardia;PAVIA;1411;388901;691;7000;119856;68;13062;4646;39
2014;Nord;Veneto;PADOVA;2951;614118;1299;10251;230321;368;40693;7105;44
2014;Nord;Veneto;VENEZIA;13118;637948;2887;24069;263342;504;23571;5315;64
2014;Nord;FriuliVeneziaGiulia;GORIZIA;924;360344;41;940;82901;563;24080;11892;26
2014;Nord;FriuliVeneziaGiulia;TRIESTE;8;192523;0;21;20100;138;45821;5247;24
2014;Nord;Liguria;GENOVA;1949;416377;1039;7603;103673;2061;9015;4598;57
2014;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2014;Nord;EmiliaRomagna;MODENA;11025;568727;1662;15966;129808;409;14036;4454;45
2014;Nord;EmiliaRomagna;PARMA;52244;681852;3044;11704;131099;143;17066;3223;33
2014;Centro;Toscana;FIRENZE;43490;6585516;5337;45023;2946033;21205;245940;9827;235
2014;Centro;Toscana;LUCCA;4326;382160;835;12820;88286;281;7683;1501;20
2014;Centro;Toscana;PISA;1395;480497;162;7083;105672;828;6761;392;28
2014;Centro;Marche;MACERATA;64;81193;1;590;4044;;17450;9084;8
2014;Centro;Lazio;FROSINONE;2680;178204;228;3056;5407;76;49580;;18
2014;Centro;Lazio;RIETI;350;44306;42;582;2444;;700;58;2
2014;Centro;Lazio;ROMA;25483;7033931;6685;81868;2013912;28426;512574;51294;480
2014;Mezzogiorno;Campania;AVELLINO;580;157530;38;1331;22949;144;6329;921;13
2014;Mezzogiorno;Campania;NAPOLI;18594;2181039;;;;986;223858;10196;268
2014;Mezzogiorno;Campania;SALERNO;438;87981;120;1663;7725;48;1106;96;3
2014;Mezzogiorno;Puglia;BARI;454;317252;55;2222;65682;216;13311;1970;57
2014;Mezzogiorno;Basilicata;POTENZA;74;135337;3;113;11806;464;22212;3412;50
2014;Mezzogiorno;Calabria;COSENZA;117;123131;0;47;15401;130;3739;2857;85
2014;Mezzogiorno;Sardegna;CAGLIARI;604;546357;238;5326;30039;789;42655;5547;52
2014;Mezzogiorno;Sardegna;SASSARI;957;203318;74;3502;26898;2917;1327;562;32
2015;Nord;Piemonte;TORINO;8979;985363;1791;15095;205452;747;30454;9231;96
2015;Nord;Lombardia;CREMONA;3879;481510;384;6302;86768;12;234202;11278;27
2015;Nord;Lombardia;MILANO;2119;1072000;2371;24406;299669;2253;13213;12620;56
2015;Nord;Lombardia;PAVIA;1411;388901;691;7000;119999;71;13062;4702;36
2015;Nord;Veneto;PADOVA;2953;616934;1299;10251;230648;1040;36990;6557;42
2015;Nord;Veneto;VENEZIA;13119;640177;2887;24069;263703;379;25803;4769;65
2015;Nord;FriuliVeneziaGiulia;GORIZIA;924;362913;41;945;83807;411;23446;16759;26
2015;Nord;FriuliVeneziaGiulia;TRIESTE;8;190203;0;21;20429;167;43128;5994;24
2015;Nord;Liguria;GENOVA;1949;420457;1039;7603;103752;;5973;3253;53
2015;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2015;Nord;EmiliaRomagna;MODENA;11025;569639;1662;15966;129941;374;15618;4286;37
2015;Nord;EmiliaRomagna;PARMA;52244;684381;3044;11704;131247;139;9865;2732;34
2015;Centro;Toscana;FIRENZE;43492;6629298;5337;45023;2954183;10154;211552;8687;218
2015;Centro;Toscana;LUCCA;4326;382790;835;12820;88351;203;8257;1445;18
2015;Centro;Toscana;PISA;1395;484105;162;7083;105911;701;11386;514;25
2015;Centro;Marche;MACERATA;64;81761;2;590;4053;;16775;9595;8
2015;Centro;Lazio;FROSINONE;2680;178546;228;3056;5407;38;38865;;18
2015;Centro;Lazio;RIETI;350;44495;42;582;2444;;700;60;2
2015;Centro;Lazio;ROMA;25486;7103383;6685;81868;2016416;27648;437492;52133;413
2015;Mezzogiorno;Campania;AVELLINO;580;158098;38;1546;23266;22;6067;880;10
2015;Mezzogiorno;Campania;NAPOLI;18594;2183754;5083;43654;453973;938;216169;7986;256
2015;Mezzogiorno;Campania;SALERNO;438;91502;120;1663;8082;55;1211;83;2
2015;Mezzogiorno;Puglia;BARI;454;323168;55;2222;65762;80;15520;1980;49
2015;Mezzogiorno;Basilicata;POTENZA;74;136581;3;113;12002;;17653;3600;48
2015;Mezzogiorno;Calabria;COSENZA;119;125788;0;47;15559;133;21485;2340;84
2015;Mezzogiorno;Sardegna;CAGLIARI;604;547235;238;5326;30224;699;42334;4469;51
2015;Mezzogiorno;Sardegna;SASSARI;2374;214799;74;3502;26898;2963;1392;487;30
2016;Nord;Piemonte;TORINO;8982;993274;1791;15095;206304;951;23737;6342;90
2016;Nord;Lombardia;CREMONA;3880;483695;384;6302;86888;17;275638;9463;27
2016;Nord;Lombardia;MILANO;2119;1089515;2371;24408;299669;1974;11895;13364;56
2016;Nord;Lombardia;PAVIA;1411;392203;691;7000;120082;71;10783;4758;35
2016;Nord;Veneto;PADOVA;2958;620139;1299;10251;231017;378;35288;6285;53
2016;Nord;Veneto;VENEZIA;13119;641408;2887;24069;264634;403;24900;4682;57
2016;Nord;FriuliVeneziaGiulia;GORIZIA;926;365460;41;945;84730;565;24903;11993;27
2016;Nord;FriuliVeneziaGiulia;TRIESTE;8;190747;0;21;20806;142;40089;6306;24
2016;Nord;Liguria;GENOVA;1949;427994;1039;7603;104089;;6802;3520;49
2016;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2016;Nord;EmiliaRomagna;MODENA;11025;570630;1662;15966;130140;320;13689;4301;37
2016;Nord;EmiliaRomagna;PARMA;52244;685881;3044;11704;131307;139;10532;2688;32
2016;Centro;Toscana;FIRENZE;43492;6685662;5338;45023;2959492;14673;129462;10381;215
2016;Centro;Toscana;LUCCA;4326;383555;835;12820;88454;160;8900;1225;17
2016;Centro;Toscana;PISA;1395;487607;162;7083;106161;;14092;497;26
2016;Centro;Marche;MACERATA;64;82206;2;590;4055;;13460;8922;8
2016;Centro;Lazio;FROSINONE;2680;178774;228;3056;5413;19;35525;;16
2016;Centro;Lazio;RIETI;350;44614;42;582;2444;;750;35;2
2016;Centro;Lazio;ROMA;25491;7177771;6686;81870;2017644;23788;372431;42336;402
2016;Mezzogiorno;Campania;AVELLINO;580;158499;30;1335;23330;22;4653;329;13
2016;Mezzogiorno;Campania;NAPOLI;18594;2187954;5172;48654;454610;971;147173;8271;253
2016;Mezzogiorno;Campania;SALERNO;439;91840;120;1663;8190;37;1220;65;4
2016;Mezzogiorno;Puglia;BARI;454;326031;55;2222;65802;170;5372;1923;42
2016;Mezzogiorno;Basilicata;POTENZA;74;139803;3;113;12185;264;25831;3472;44
2016;Mezzogiorno;Calabria;COSENZA;119;131059;0;47;15960;132;23293;2063;84
2016;Mezzogiorno;Sardegna;CAGLIARI;604;547767;238;5326;30256;699;41011;4865;45
2016;Mezzogiorno;Sardegna;SASSARI;2374;217304;74;3502;26898;2963;1165;471;28
2017;Nord;Piemonte;TORINO;8983;1003181;1791;15096;206644;922;27250;4825;82
2017;Nord;Lombardia;CREMONA;3880;485321;384;6302;86974;1155;262043;7758;25
2017;Nord;Lombardia;MILANO;2122;1106953;2371;24408;299669;1851;11570;12213;52
2017;Nord;Lombardia;PAVIA;1411;397495;691;7000;120262;96;15712;4267;29
2017;Nord;Veneto;PADOVA;2960;621605;1299;10266;231358;374;16945;6412;55
2017;Nord;Veneto;VENEZIA;13119;642710;2887;24071;264764;403;24398;3897;56
2017;Nord;FriuliVeneziaGiulia;GORIZIA;932;368016;41;978;85465;351;25085;13985;26
2017;Nord;FriuliVeneziaGiulia;TRIESTE;8;192914;0;21;21036;118;46161;7136;25
2017;Nord;Liguria;GENOVA;1949;430886;1039;7603;104262;;3282;3520;46
2017;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2017;Nord;EmiliaRomagna;MODENA;11025;571792;1662;15966;130292;329;12494;4225;35
2017;Nord;EmiliaRomagna;PARMA;52244;686798;3044;11704;131307;139;10835;2440;30
2017;Centro;Toscana;FIRENZE;43493;6729059;5339;45028;2962717;13092;128592;10614;213
2017;Centro;Toscana;LUCCA;4326;384567;835;12820;88471;151;6242;1016;16
2017;Centro;Toscana;PISA;2571;585643;162;7083;121478;;15936;163;26
2017;Centro;Marche;MACERATA;64;82849;2;590;4060;;11025;8299;9
2017;Centro;Lazio;FROSINONE;2680;179499;228;3056;5416;16;45713;;18
2017;Centro;Lazio;RIETI;350;45065;42;582;2444;;740;20;2
2017;Centro;Lazio;ROMA;25584;7248156;6687;81870;2018127;24743;394946;37989;402
2017;Mezzogiorno;Campania;AVELLINO;580;159138;30;1335;24473;24;2174;827;12
2017;Mezzogiorno;Campania;NAPOLI;18594;2191705;5172;48654;455173;1372;99743;7291;238
2017;Mezzogiorno;Campania;SALERNO;439;92140;120;1663;8211;30;1202;64;5
2017;Mezzogiorno;Puglia;BARI;454;329311;55;2222;65869;231;5498;1740;39
2017;Mezzogiorno;Basilicata;POTENZA;118;143672;3;113;12241;;17431;2888;39
2017;Mezzogiorno;Calabria;COSENZA;119;133618;0;47;16154;135;32037;2088;76
2017;Mezzogiorno;Sardegna;CAGLIARI;604;548979;238;5326;30319;712;46550;4428;42
2017;Mezzogiorno;Sardegna;SASSARI;2374;217796;74;3502;26898;2963;1181;692;29
2018;Nord;Piemonte;TORINO;8984;1011281;1791;15096;206954;1129;22765;4331;81
2018;Nord;Lombardia;CREMONA;3880;487434;384;6302;87032;1160;287119;6719;25
2018;Nord;Lombardia;MILANO;2123;1125008;2371;24408;299669;1777;11912;12162;48
2018;Nord;Lombardia;PAVIA;1411;400967;691;7000;120365;259;23034;4302;30
2018;Nord;Veneto;PADOVA;2962;623242;1299;10266;231601;380;16453;5799;52
2018;Nord;Veneto;VENEZIA;13122;644212;2887;24071;264867;403;23498;3333;43
2018;Nord;FriuliVeneziaGiulia;GORIZIA;933;371265;41;978;86214;410;23874;11880;25
2018;Nord;FriuliVeneziaGiulia;TRIESTE;8;192222;0;21;21412;98;54586;8547;23
2018;Nord;Liguria;GENOVA;1949;435568;1039;7603;104458;;4163;4538;41
2018;Nord;EmiliaRomagna;BOLOGNA;;;;;;;;;
2018;Nord;EmiliaRomagna;MODENA;11025;572676;1662;15966;130420;325;13884;3737;30
2018;Nord;EmiliaRomagna;PARMA;52244;687756;3044;11704;131307;57;8664;2088;21
2018;Centro;Toscana;FIRENZE;43495;6783628;5340;45031;2966591;12826;127830;10974;183
2018;Centro;Toscana;LUCCA;4326;385383;835;12820;88559;148;5279;1268;14
2018;Centro;Toscana;PISA;2571;587667;162;7083;121587;;15900;203;22
2018;Centro;Marche;MACERATA;64;83393;2;590;4068;;9500;7410;6
2018;Centro;Lazio;FROSINONE;2702;180227;228;3194;5424;16;36706;;14
2018;Centro;Lazio;RIETI;350;45193;42;582;2444;;755;27;2
2018;Centro;Lazio;ROMA;25587;7330272;6741;81900;2020133;25673;363968;36717;367
2018;Mezzogiorno;Campania;AVELLINO;580;159696;30;1344;26291;39;2517;626;17
2018;Mezzogiorno;Campania;NAPOLI;18594;2195473;5172;48654;455549;955;108906;6177;204
2018;Mezzogiorno;Campania;SALERNO;439;92511;120;1663;8230;25;1144;73;5
2018;Mezzogiorno;Puglia;BARI;454;332520;55;2223;65907;201;4250;1900;29
2018;Mezzogiorno;Basilicata;POTENZA;118;138420;3;113;11994;261;16775;2761;35
2018;Mezzogiorno;Calabria;COSENZA;170;142897;6;400;16810;137;33760;2195;72
2018;Mezzogiorno;Sardegna;CAGLIARI;604;550810;238;5326;30319;712;39573;4021;39
2018;Mezzogiorno;Sardegna;SASSARI;2374;222110;74;3502;26997;2963;1106;499;25
