Year,Rank,Team,Round
2011,10,PITTPittsburgh,0
2011,11,MEMMemphis,1
2011,12,BAYBaylor,4
2011,13,KUKansas,6
2011,14,XAVXavier,3
2011,15,WISWisconsin,3
2011,16,ARIZArizona,0
2011,17,UCLAUCLA,0
2011,18,MICHMichigan,1
2011,19,ALAAlabama,1
2011,20,TA&MTexas A&M,0
2011,21,CINCincinnati,3
2011,22,MARQMarquette,3
2011,23,GONZGonzaga,2
2011,24,CALCalifornia,0
2011,25,MIZMissouri,1
2010,1,DUKEDuke,3
2010,2,MSUMichigan State,1
2010,3,KSUKansas State,2
2010,4,PITTPittsburgh,2
2010,5,OSUOhio State,3
2010,6,VILLVillanova,1
2010,7,KUKansas,4
2010,8,PURPurdue,2
2010,9,UNCNorth Carolina,4
2010,10,UKKentucky,5
2010,11,FLAFlorida,4
2010,12,GONZGonzaga,2
2010,13,SYRSyracuse,2
2010,14,BAYBaylor,0
2010,15,MIZMissouri,1
2010,16,ILLIllinois,2
2010,17,WASHWashington,2
2010,18,BUTButler,6
2010,19,MEMMemphis,1
2010,20,TENNTennessee,1
2010,21,GTWNGeorgetown,1
2010,22,TEMTemple,2
2010,23,VTVirginia Tech,0
2010,24,WISWisconsin,3
2010,25,TEXTexas,2
2009,1,KUKansas,2
2009,2,MSUMichigan State,5
2009,3,TEXTexas,1
2009,4,UKKentucky,4
2009,5,VILLVillanova,2
2009,6,UNCNorth Carolina,0
2009,7,PURPurdue,3
2009,8,WVUWest Virginia,5
2009,9,DUKEDuke,7
2009,10,TENNTennessee,4
2009,11,BUTButler,6
2009,12,CONNUConn,0
2009,13,CALCalifornia,2
2009,14,WASHWashington,3
2009,15,MICHMichigan,0
2009,16,OSUOhio State,3
2009,17,OKLAOklahoma,0
2009,18,MSSTMississippi State,0
2009,19,LOULouisville,1
2009,20,GTWNGeorgetown,1
2009,21,DAYDayton,0
2009,22,GTGeorgia Tech,2
2009,23,ILLIllinois,0
2009,24,CLEMClemson,1
2009,25,MINNMinnesota,1
