Nrand,region,Python,RapidMiner,R Language,SQL Language,Excel,Anaconda,Tensorflow,Tableau,scikit-learn,Keras,Apache Spark,with DL,with BD,ntools,Votes
885,usca,0,0,0,0,1,0,1,0,0,0,0,1,0,6,Alteryx;Dataiku;DataRobot;Excel;KNIME;Tensorflow
1393,aunz,1,0,1,0,0,1,0,0,1,0,1,1,1,11,Anaconda;MLlib;Pentaho;scikit-learn;Weka;Java;Python;R Language;Apache Spark;Open Source Hadoop Tools;DeepLearning4J
1164,euro,1,1,1,0,0,1,1,0,1,0,0,1,1,13,Anaconda;Dataiku;DataRobot;H2O.ai;KNIME;RapidMiner;SAS Enterprise Miner;scikit-learn;Python;R Language;Commercial Hadoop Tools;SQL on Hadoop tools;Tensorflow
1158,usca,1,0,0,0,0,0,0,0,0,0,0,0,1,4,IBM Data Science Experience;IBM SPSS Modeler;Python;Spark SQL
2045,euro,0,0,1,1,0,0,0,0,0,0,0,0,1,8,Microsoft Power BI;Microsoft SQL Server;SAS Base;SAS Enterprise Miner;Java;R Language;SQL Language;Commercial Hadoop Tools
1285,euro,1,1,1,0,0,1,0,1,0,0,0,0,0,5,Anaconda;RapidMiner;Tableau;Python;R Language
1729,usca,1,1,0,1,0,0,1,0,0,1,0,1,0,5,RapidMiner;Python;SQL Language;Keras;Tensorflow
2015,asia,1,0,0,0,0,1,0,0,1,1,0,1,0,6,Anaconda;MATLAB;scikit-learn;Python;Keras;PyTorch
758,afme,1,0,1,0,1,1,0,1,0,0,0,0,0,7,Anaconda;Excel;KNIME;Microsoft Power BI;Tableau;Python;R Language
644,asia,1,1,1,0,1,0,0,0,0,0,0,0,0,4,Excel;RapidMiner;Python;R Language
2009,aunz,0,1,1,0,1,1,0,1,0,0,0,0,0,7,Anaconda;Excel;IBM SPSS Statistics;Orange;RapidMiner;Tableau;R Language
714,euro,1,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;Python
1980,usca,1,0,1,0,0,0,0,0,0,0,0,1,0,5,Other free analytics/data mining tools;Julia;Python;R Language;Apache MXnet
608,euro,1,1,0,0,1,0,0,1,0,0,0,0,0,7,Excel;KNIME;MicroStrategy;RapidMiner;Tableau;TIBCO Spotfire;Python
346,euro,0,1,0,0,0,0,0,0,0,0,0,0,0,3,Pentaho;RapidMiner;Weka
