ID,YouTube Channel Name,Subscribers_Thousands_or_Million,Appx_Actual_Subscribers,YouTube_Channel_Link,Below_1k,Between_1k_5k,Between_5k_10k,Between_10k_25k,Between_25k_50k,Between_50k_100k,Between_100k_150k,Between_150k_200k,Between_200k_1m,Above_1m
24,Kaggle, 48.5k,48500,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,0,0,0,0,1,0,0,0,0,0
25,Simplilearn, 457k,457000,https://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg,0,0,0,0,0,0,0,0,1,0
26,edureka!, 1.52m,1520000,https://www.youtube.com/user/edurekaIN,0,0,0,0,0,0,0,0,0,1
27,365 Data Science, 85.6k,85600,https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg,0,0,0,0,0,1,0,0,0,0
28,Intellipaat, 423k,423000,https://www.youtube.com/user/intellipaaat,0,0,0,0,0,0,0,0,1,0
29,codebasics, 95.1k,95100,https://www.youtube.com/channel/UCh9nVJoWXmFb7sLApWGcLPQ,0,0,0,0,0,1,0,0,0,0
30,freeCodeCamp.org, 1.78m,1780000,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,0,0,0,0,0,0,0,0,0,1
31,Great Learning, 106k,106000,https://www.youtube.com/user/beaconelearning,0,0,0,0,0,0,1,0,0,0
32,Ken Jee, 4.41k,4410,https://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,0,1,0,0,0,0,0,0,0,0
33,Towards Data Science, 2.88k,2880,https://www.youtube.com/channel/UCuHZ1UYfHRqk3-5N5oc97Kw,0,1,0,0,0,0,0,0,0,0
34,Analytics India Magazine, 22.9k,22900,https://www.youtube.com/channel/UCAlwrsgeJavG1vw9qSFOUmA,0,0,0,1,0,0,0,0,0,0
35,Springboard India, 21.4k,21400,https://www.youtube.com/channel/UCg5UINpJgS4uqWZkv2Qh1Mw,0,0,0,1,0,0,0,0,0,0
36,Raj Ramesh, 23.8k,23800,https://www.youtube.com/user/IntegrateBiz,0,0,0,1,0,0,0,0,0,0
38,Datamites, 4.94k,4940,https://www.youtube.com/channel/UCpbMQO3wyA-vfYiCiIGB8Iw,0,1,0,0,0,0,0,0,0,0
