"","Country","No_of_players","avg_rating","Midpoint_rating","lowest_rating","highest_rating","avg_age","Midpoint_age","lowest_age","highest_Age","avg_height","Midpoint_height","lowest_height","highest_height","avg_weight","Midpoint_weight","lowest_weight","highest_weight"
"82","Kenya",10,61,60,50,73,22.2,22,18,27,182.4,184,168,193,76.2,75,70,91
"83","Korea DPR",1,70,70,70,70,32,32,32,32,183,183,183,183,75,75,75,75
"84","Korea Republic",315,62.7142857142857,63,50,89,26.9365079365079,27,17,39,180.806349206349,180,166,197,74.0952380952381,74,58,93
"85","Kosovo",54,66.0185185185185,66.5,55,80,25.037037037037,25,19,33,183.074074074074,182,172,197,75.8148148148148,75.5,65,96
"86","Latvia",5,62.2,64,55,67,22.6,22,19,27,185.4,187,171,198,78.4,75,69,92
"87","Lebanon",1,63,63,63,63,28,28,28,28,185,185,185,185,80,80,80,80
"88","Liberia",5,65.6,64,59,75,22.6,23,18,25,181.8,184,174,185,74,74,66,81
"89","Libya",3,73.3333333333333,71,70,79,28,28,26,30,177.333333333333,173,170,189,71,66,64,83
"90","Liechtenstein",1,70,70,70,70,31,31,31,31,175,175,175,175,71,71,71,71
"91","Lithuania",10,63.3,64,55,70,25.8,25,20,34,188.4,190.5,177,195,78.9,79,71,85
"92","Luxembourg",14,66.8571428571429,67,58,74,25.1428571428571,26,18,32,181.357142857143,183,174,190,75.2857142857143,75,67,85
"93","Madagascar",7,67.8571428571429,68,63,73,26.7142857142857,26,21,32,178.285714285714,178,170,184,71.7142857142857,72,65,80
"94","Mali",57,68.1578947368421,68,54,81,24.5263157894737,24,19,36,181.122807017544,181,169,194,74.0526315789474,74,53,94
"95","Malta",2,68,68,61,75,28.5,28.5,28,29,172,172,168,176,71.5,71.5,70,73
"96","Mauritania",6,63.6666666666667,63,61,68,23,23,18,29,178.333333333333,177,174,187,71.1666666666667,71.5,61,80
"97","Mauritius",1,65,65,65,65,30,30,30,30,184,184,184,184,79,79,79,79
"98","Mexico",54,70.8888888888889,72.5,53,82,25.6851851851852,25,18,39,178.314814814815,177,163,196,72.3703703703704,71.5,58,86
"99","Moldova",12,63,63,55,71,26.75,26,19,37,185.25,185,175,195,75.8333333333333,76.5,66,86
"100","Montenegro",26,67.7692307692308,66.5,61,84,27.5,28,20,34,184.615384615385,185,173,195,78.6153846153846,78.5,67,94
"101","Montserrat",3,64,63,60,69,28.6666666666667,28,26,32,184.666666666667,186,180,188,80.6666666666667,79,72,91
"102","Morocco",102,69,69.5,55,84,25.3921568627451,25,17,35,180.93137254902,181,162,193,74.0686274509804,74,60,96
"103","Mozambique",8,70.25,69,65,79,27.5,27,21,34,177.875,178,166,186,71.125,71,65,80
"104","Namibia",3,69,71,64,72,27.6666666666667,28,24,31,178.333333333333,178,178,179,73,70,68,81
"105","Netherlands",421,67.5771971496437,67,54,90,24.1947743467933,23,16,39,183.58432304038,184,165,203,75.9643705463183,76,57,98
"106","New Zealand",38,63.6315789473684,64,52,76,24.2894736842105,23,18,33,184.052631578947,185,171,199,77.7368421052632,77,66,95
