YEAR;MONTH;TOTAL_BARLEY_USAGE;BARLEY_USED_FOR_MALTING;BARLEY_USED_AS_STRAIGHT_GRAIN_FOR_BREWING_DISTILLING;SALES_OF_BARLEY_AND_BARLEY_SCREENINGS;CLOSING_STOCKS_OF_BARLEY;TOTAL_WHEAT_USAGE;WHEAT_USED_FOR_ MALTING;WHEAT_USED_AS_STRAIGHT_GRAIN_FOR_BREWING_DISTILLING;CLOSING_STOCKS_OF_WHEAT;TOTAL_MAIZE_USED_AS_STRAIGHT_GRAIN_FOR_ BREWING_DISTILLING;CLOSING_STOCKS_OF_MAIZE
1997;1;142;136.9;5;5.2;1011.5;38.1;2.9;35.2;10.8;11.4;*
1997;2;141.3;135;6.3;5.3;992.4;51.3;2.1;49.2;13.4;12.4;*
1997;3;169.3;162.8;6.5;5.8;920.9;58.6;*;*;12.9;*;*
1997;4;159.1;152.9;6.2;4.9;845.8;50.4;*;*;13.5;*;*
1997;5;155;148.9;6.1;4.8;747.4;48.9;2;47;15.9;*;*
1997;6;165;159.2;5.8;4.3;632.1;45.6;2.4;43.2;20;*;*
1997;7;148.4;143.9;4.4;5.1;541.9;42.5;3;39.5;18.1;*;*
1997;8;149.6;143.4;6.2;7.5;734;52.4;2.2;50.2;16.8;*;*
1997;9;174;167.4;6.6;17;1016.1;56.4;1.2;55.2;15.6;*;*
1997;10;167.7;160.6;7;24.1;1051.7;54.5;*;*;13.1;*;*
1997;11;150.5;143.3;7.2;5;1029.9;53.9;*;*;11.4;21.7;9.9
1997;12;170.5;164.6;5.8;18.2;957.4;39.9;2.8;37.1;14.3;21.3;15.5
1998;1;174.2;169.3;4.9;6.6;918;40.8;*;*;9.4;21.2;19.7
1998;2;152.5;147.1;5.4;6.8;902.4;44.4;*;*;7.9;24.8;21
1998;3;176.7;170.9;5.8;6.9;856;48.9;2.7;46.2;10.1;23.5;21
1998;4;156;150.8;5.2;5.2;807.7;39.5;2.4;37.2;12.4;26.8;18.7
1998;5;168.1;162.2;5.8;6;696.4;43;2.7;40.3;13.8;26.2;18.2
1998;6;180.2;174.9;5.3;6.5;580.7;54.1;2.5;51.6;14.2;19.6;6.7
1998;7;147;143.5;3.5;5.8;491.5;29.1;3.1;26;15.4;*;*
1998;8;149.1;144.5;4.5;10.5;605.9;46;2.8;43.1;12.1;*;*
1998;9;171;165.6;5.4;9;952;46.9;*;*;14.9;*;*
1998;10;147.1;141.7;5.4;16.8;1010.8;50.6;*;*;14;*;*
1998;11;145.2;139.7;5.5;26.3;984.6;53.4;2.4;51.1;14.4;*;*
1998;12;186.8;183.1;3.8;8.6;939;28.9;2.1;26.8;13.7;*;*
1999;1;139.3;135.7;3.6;8.2;906.4;41;*;*;13.2;*;*
1999;2;148.3;143.3;5;7.3;877.4;51.3;*;*;10.2;*;*
1999;3;172.1;167.2;4.9;8.7;823;48.1;1.6;46.4;14;*;*
1999;4;161.5;156.6;4.9;8.3;746.3;52.8;2.7;50;11.9;*;*
1999;5;147.9;143.7;4.2;7.6;680.3;52.1;2.7;49.5;13.8;*;*
1999;6;176.7;172.1;4.6;6.9;556.1;53.1;2.4;50.7;12.9;*;*
1999;7;148.1;145.2;2.9;9.1;490.5;34.5;2.7;31.8;12.4;*;*
1999;8;148.3;143.6;4.7;14.3;662.8;32.9;1.9;31;11.8;*;*
1999;9;168.2;163.7;4.5;21.7;979.8;43.6;*;*;12.1;*;*
1999;10;151.2;146.2;5.1;13.6;1003.3;40.8;*;*;12.3;*;*
1999;11;140.5;135.2;5.3;9.8;1011.1;49.1;*;*;13.3;*;*
1999;12;162.5;158.4;4.1;5.1;980.7;35.5;*;*;11.2;4.8;9.9
2000;1;145.4;142.8;2.6;6.5;933.5;36.5;*;*;10.1;*;*
2000;2;140.2;136.1;4.1;5.2;941.3;45.1;*;*;10.6;*;*
2000;3;181.4;175.8;5.7;6.2;882;50.3;*;*;11.2;*;*
2000;4;170.9;167.2;3.7;4.6;804.9;50.3;*;*;11.7;*;*
2000;5;148.6;145;3.6;7.7;731.6;43.5;*;*;10.8;*;*
2000;6;172.4;168.8;3.6;5.3;631.5;47.9;3.2;44.7;12;*;*
2000;7;150.6;148.5;2.1;6.4;513.1;36.2;*;*;10.1;*;*
2000;8;156.7;152.9;3.8;16.4;636.5;40.1;*;*;9.8;*;*
2000;9;160.9;156.9;4;19.1;1023.4;48.4;*;*;14.1;*;*
2000;10;142.5;138.4;4;8.9;1068.5;47.1;*;*;14.2;1.8;0.3
2000;11;156.9;153.2;3.7;10.7;1034.1;55.4;*;*;12.5;2.1;4.9
2000;12;157.9;154.5;3.4;6.1;996;36.7;*;*;10.5;*;*
2001;1;145.1;141.2;3.8;6;959.8;35;*;*;11.4;*;*
2001;2;162.9;158.2;4.6;5.7;935.9;62.8;*;*;10.7;*;*
2001;3;180.6;176;4.6;6.4;868.6;58.8;*;*;14.2;*;*
2001;4;158.6;154.4;4.2;7.6;788.2;45.6;*;*;13.5;*;*
2001;5;156.2;151.4;4.8;5.3;695.7;58.1;*;*;14.3;*;*
2001;6;177.5;173.6;3.9;5.4;578.4;59.3;*;*;13.9;*;*
2001;7;139.1;137.4;1.7;3.8;469;22.1;*;*;16.3;*;*
2001;8;143;138.6;4.4;6.4;558.3;38.4;*;*;12.2;*;*
2001;9;167.7;163;4.7;26.3;948.8;61.2;*;*;13.6;*;*
2001;10;165.9;161.2;4.7;9.3;1013.2;60.9;*;*;14.4;*;*
2001;11;151.5;146.3;5.2;7.2;1026.3;51.2;*;*;12.3;16.3;4.6
2001;12;185.9;181.9;4;4.6;965.3;40.2;*;*;10.2;*;*
2002;1;153.4;149.3;4.1;6.7;923.9;36.8;*;*;8.8;*;*
2002;2;152.9;147.3;5.5;6.3;922.4;55;*;*;10.4;*;*
2002;3;171.5;166.8;4.7;4.2;862.8;61.3;*;*;11.6;*;*
2002;4;160.1;155;5;4.2;785;47.2;*;*;12.7;*;*
2002;5;159.8;154.8;5;5.4;703.3;54.2;*;*;11.2;*;*
2002;6;170.4;165.6;4.7;5.1;594.5;56.9;*;*;12.6;*;*
2002;7;152.2;149.6;2.6;4.3;488.7;26.3;2.6;23.7;13.1;*;*
2002;8;141;138.1;2.9;8.4;635.6;47.2;3.2;44;10.3;*;*
2002;9;164;160.6;3.4;10.7;960;51.1;3.3;47.8;10.1;*;*
2002;10;145.9;142.2;3.7;7.3;1007.1;55;*;*;10.1;*;*
