YEAR;MONTH;TOTAL_BARLEY_USAGE;BARLEY_USED_FOR_MALTING;BARLEY_USED_AS_STRAIGHT_GRAIN_FOR_BREWING_DISTILLING;SALES_OF_BARLEY_AND_BARLEY_SCREENINGS;CLOSING_STOCKS_OF_BARLEY;TOTAL_WHEAT_USAGE;WHEAT_USED_FOR_ MALTING;WHEAT_USED_AS_STRAIGHT_GRAIN_FOR_BREWING_DISTILLING;CLOSING_STOCKS_OF_WHEAT;TOTAL_MAIZE_USED_AS_STRAIGHT_GRAIN_FOR_ BREWING_DISTILLING;CLOSING_STOCKS_OF_MAIZE
2002;11;154.1;150.4;3.6;7.2;1056.2;56.7;*;*;7.3;*;*
2002;12;181.9;179.4;2.5;7.1;1017.5;35.7;*;*;9.4;*;*
2003;1;153.4;150.2;3.2;9.1;975.5;37.8;*;*;10.3;*;*
2003;2;150;146.6;3.4;-0.9;947.2;49.6;*;*;10.5;*;*
2003;3;178.3;173.7;4.6;6.9;901.6;61.1;*;*;13.5;*;*
2003;4;157;153.4;3.6;8.1;806.9;55.3;*;*;13.6;*;*
2003;5;154.5;150.5;3.9;5.8;706.4;61.5;*;*;10.8;*;*
2003;6;179.7;175.6;4.1;7;563.7;60.2;*;*;11;*;*
2003;7;154.2;150.7;3.5;6.8;499.7;41.9;*;*;12.4;*;*
2003;8;146.9;143.5;3.4;11.1;793.9;48.4;*;*;11.6;*;*
2003;9;174.2;170.1;4;10.7;1026.8;48.1;*;*;12.2;*;*
2003;10;150.7;147;3.7;7;1013.7;46.7;*;*;13.7;*;*
2003;11;159.7;156;3.7;4.9;1027.1;45.9;*;*;21.3;*;*
2003;12;168.4;165.2;3.3;5.9;972.1;36.1;*;*;18.7;*;*
2004;1;156.4;152.5;3.9;6;924;38;*;*;19.1;*;*
2004;2;147.3;143.4;3.9;5.1;888.9;42.7;*;*;18.5;*;*
2004;3;173.8;168.5;5.3;14;814.7;45.6;*;*;20.3;*;*
2004;4;157.7;154.3;3.3;5.8;723;43.3;2.5;40.7;20.3;*;*
2004;5;151.2;147.5;3.7;7.5;634.3;41.5;2.4;39;18.5;*;*
2004;6;164.1;160.2;3.9;7.9;527.3;56.9;3.5;53.4;12.4;*;*
2004;7;147.5;144.6;2.9;6.5;425.8;46.5;3.1;43.3;16.6;*;*
2004;8;143.9;140.3;3.6;9.2;575.2;45.5;3.2;42.3;10.3;*;*
2004;9;162.4;157.5;4.9;7.7;845.6;53;3.6;49.4;9.9;*;*
2004;10;141.2;137.5;3.7;5.9;858.8;43.5;3.6;40;10;*;*
2004;11;136.4;132.2;4.2;5;847.7;48.8;3.5;45.3;11.9;*;*
2004;12;146.2;143.3;2.9;4.2;852.1;30.8;3.9;27;10.9;*;*
2005;1;139.3;135.9;3.4;8.3;810.1;30.7;2.8;27.9;11.2;*;*
2005;2;134.6;130.8;3.9;7.3;779.5;51;*;*;10;*;*
2005;3;158.6;154.3;4.3;10.5;729.9;56;*;*;12;*;*
2005;4;142.6;139.6;3.1;8.6;673;52.9;2.8;50.1;13.9;*;*
2005;5;133.5;130.5;3;7.2;607.1;48.4;2.8;45.5;13.5;*;*
2005;6;160.4;157.6;2.8;4.4;503.8;51.4;3.4;48;13.5;*;*
2005;7;134.9;133.3;1.7;7.2;475.9;35.2;3.6;31.5;15;*;*
2005;8;125.8;123.2;2.6;6.9;647.2;40.5;3.6;36.9;15.6;*;*
2005;9;149.7;146;3.7;6.8;914.8;57.3;3.1;54.1;12.3;*;*
2005;10;137.5;134.7;2.9;3.4;943.6;55.1;*;*;13;*;*
2005;11;138;134.8;3.2;4;893.3;49.7;*;*;14.7;*;*
2005;12;145.2;142.4;2.8;3.7;870.3;34.3;*;*;12.7;*;*
2006;1;131.8;128.7;3.1;4.2;824.1;35.8;*;*;12.7;*;*
2006;2;132;128.6;3.4;3.8;778.2;45.9;*;*;14.7;*;*
2006;3;149;145.2;3.9;4.4;738.5;60.7;*;*;10.3;*;*
2006;4;136.7;133.3;3.4;2.5;666;54.9;*;*;9.7;*;*
2006;5;136.4;133.2;3.2;3.9;589.9;51.8;*;*;11;*;*
2006;6;155.8;151.8;4;3.8;493.7;57.2;*;*;12.5;*;*
2006;7;122.6;119.1;3.5;2.9;484.9;44.2;4.8;39.4;11.6;*;*
2006;8;127;124.1;3;5.3;663.6;42.3;1.8;40.5;11.7;*;*
2006;9;143.1;138.7;4.4;8.1;874;54.9;2.3;52.6;9.4;*;*
2006;10;140;137.4;2.6;4.3;868;55.2;4.2;51;11.5;*;*
2006;11;132.7;129.8;2.9;5.1;860.9;54.4;3.6;50.8;10.6;*;*
2006;12;151.2;147.8;3.4;5.5;829.1;48.4;3.9;44.6;11;*;*
2007;1;145.8;142.8;3.1;2.9;785.5;46.4;3.4;43.1;9.7;*;*
2007;2;136.7;133.3;3.4;4.4;769.4;52.8;4.1;48.7;12.6;*;*
2007;3;149.5;145.5;4;7.7;702.7;63.3;*;*;10.4;*;*
2007;4;141.3;137.9;3.5;4.2;626.9;55.7;*;*;11.3;*;*
2007;5;136.4;132.7;3.7;9.5;540.1;56.6;3.7;52.9;12.6;*;*
2007;6;153.7;149.7;4;0.9;449;61.9;3.1;58.8;10.2;*;*
2007;7;138.3;135.1;3.2;3.3;397.7;37.2;4.5;32.7;11.7;*;*
2007;8;129.4;125.8;3.7;5.7;532.5;48.8;1.8;46.9;9.4;*;*
2007;9;150.6;145.7;4.9;9.5;800.3;65.1;2.6;62.5;9.4;*;*
2007;10;137.8;133.4;4.4;8.9;920.9;55.3;3.1;52.3;11.6;*;*
2007;11;134.1;129.5;4.6;7.6;935.4;52.7;3.5;49.1;13.8;*;*
2007;12;154.7;150.4;4.3;3.4;919.2;48.6;3.7;45;14.6;*;*
2008;1;146.5;142.3;4.2;---;809.9;41.9;2.7;39.2;12.6;*;*
2008;2;132.3;127.5;4.8;6;798.1;56.9;*;*;12.7;*;*
2008;3;158.3;152.1;6.2;5;731.7;64.3;*;*;12.5;*;*
2008;4;137.1;132;5.2;4.2;660.3;57.1;2.8;54.3;11.9;*;*
2008;5;133.3;128;5.3;4.5;594.4;59.4;2.2;57.2;12.8;*;*
2008;6;165.9;160.1;5.8;13.2;464.1;55.2;2.9;52.3;12.2;*;*
2008;7;147.7;141.7;6;11.8;396.2;38.6;2.5;36.1;11.8;*;*
2008;8;128.9;123.6;5.3;6.2;540.8;47.2;1.4;45.7;11.5;*;*
2008;9;153.2;147.3;5.9;10.4;903.2;59.2;2.7;56.5;12;*;*
2008;10;149.5;144.7;4.8;5.2;1005.1;58.6;3.1;55.4;8.1;*;*
2008;11;143.2;137.8;5.3;5.4;997.6;57.3;3.3;54;11.3;*;*
2008;12;153.8;148.1;5.7;4.9;988.3;46.4;4.2;42.2;12;*;*
2009;1;152.3;147.5;4.8;3.7;935.3;44.4;1.3;43;10.8;*;*
2009;2;141.4;137.2;4.2;5.3;899.7;50.3;1.5;48.8;9.3;*;*
2009;3;161;155.4;5.6;2.6;852.7;48.7;3.6;45.1;8.6;*;*
2009;4;139.5;135.1;4.4;2.4;784;31.2;2.3;28.9;9.8;*;*
2009;5;133.7;129.4;4.3;4.9;694.8;49;2.6;46.4;10.5;*;*
2009;6;139.1;133.3;5.8;7.2;607.7;49.1;2.3;46.8;11.9;*;*
2009;7;120.7;115.4;5.3;2.7;570.1;27.3;3.9;23.4;12;*;*
2009;8;111.5;106.3;5.3;13.9;763.1;41.2;2.1;39.1;10.5;*;*
2009;9;128.6;122.2;6.4;6.3;1046.7;54.9;4;51;8.6;*;*
2009;10;134;128.4;5.5;4.6;1038.3;46.3;1.4;45;8.4;*;*
2009;11;135.4;130.5;4.9;3.8;1049.4;42.4;2.6;39.8;11;*;*
2009;12;131;125.3;5.7;3;1031.3;46.3;3;43.2;12;*;*
2010;1;131.9;127.9;4;4.8;971.7;39.8;3.5;36.2;10.2;*;*
2010;2;123.8;119.8;4;4.9;935.6;44;3.1;40.8;7.7;*;*
2010;3;155.6;150;5.5;7.5;878;54.4;2.7;51.8;8;*;*
2010;4;129.6;124.6;5;4.6;802.2;44;3.4;40.5;8.7;*;*
2010;5;130.9;126.3;4.6;5.6;737.5;50.5;5;45.6;6.6;*;*
2010;6;159.2;153.2;6;5.4;649.2;36;*;*;9;*;*
2010;7;126.4;121.2;5.2;3.2;594.3;35.2;*;*;13.3;*;*
2010;8;132.5;126.8;5.7;6.9;729.9;37.7;3.9;33.7;7.7;*;*
2010;9;152.5;147.5;5;10.5;968.1;45.2;1.7;43.6;6.5;*;*
2010;10;131.4;127.6;3.8;9.2;1005.6;42.6;3.6;39;7.6;*;*
2010;11;134.3;129.9;4.3;6.3;982.4;45.1;2.5;42.6;9.9;*;*
2010;12;148.4;143.8;4.6;8.1;891.3;34.7;2.4;32.3;9.9;*;*
2011;1;146.2;141.6;4.6;2.1;824.8;41.4;3.6;37.8;10.4;*;*
2011;2;136.8;131.9;4.9;2.9;796.3;44.1;2.3;41.8;8.2;*;*
2011;3;156;150;6;4.3;746.7;54.8;2.2;52.6;9.9;*;*
2011;4;148.6;143.8;4.8;2.2;668.5;54.1;3.3;50.8;8;*;*
2011;5;151.6;146.9;4.7;3.1;591.7;47.3;*;*;11.3;*;*
2011;6;165;158.2;6.9;1.8;516.4;48.8;*;*;11.2;*;*
2011;7;137.4;131.4;6;0.7;450;41.9;*;*;9.9;*;*
2011;8;147.9;142.5;5.4;7.6;600.5;44.6;1.7;42.9;7.1;*;*
2011;9;147.4;140.5;6.9;7.8;957;51.7;2.8;48.8;6.2;*;*
2011;10;145;139.7;5.3;3;1026.1;54.7;2.7;52;7.6;*;*
2011;11;146.4;140.9;5.5;2;1047.5;53.2;2.6;50.6;9;*;*
2011;12;159.1;152.1;7;2.8;997.6;53.6;3.6;50;10.4;*;*
2012;1;160;154.5;5.5;4.5;945.4;46.2;3.3;42.9;9;*;*
2012;2;149.2;144;5.2;6.1;887.1;53.2;2.8;50.4;7;*;*
2012;3;160.4;154.3;6.1;5.4;814.3;72.1;2.9;69.2;9.9;*;*
2012;4;153;149.2;3.8;3;726.7;57;1.8;55.1;8.4;*;*
2012;5;155.1;150;5;5.5;633.9;65.8;3.2;62.6;11.5;*;*
2012;6;157;150.2;6.8;5.3;536;68.2;3.3;64.9;8.5;*;*
2012;7;138.1;132.8;5.3;6.3;450.3;56.4;1.8;54.7;5.7;*;*
2012;8;143.5;138.4;5.1;5.7;564;58;*;*;3.6;*;*
2012;9;156.4;149.3;7.1;7.8;830;65.5;*;*;5.7;*;*
2012;10;147.2;142;5.2;5.1;1004.1;67;*;*;7.8;*;*
2012;11;153.7;148.2;5.5;7.3;1015.8;67.1;*;*;8.6;*;*
2012;12;163.6;157.1;6.5;6.3;933.2;73.2;*;*;7.9;*;*
2013;1;151.7;146.1;5.7;7.4;893;66.1;*;*;7.3;*;*
2013;2;147;141.7;5.3;5.3;841.3;67.6;*;*;7.6;*;*
2013;3;160.1;153.8;6.4;5;793;81.5;2.3;79.2;6.4;*;*
2013;4;145.6;141.6;4;4.9;736.6;62.8;1.9;60.9;8;*;*
2013;5;164;158.9;5;-2.4;658.8;70.2;3.1;67.1;8.5;*;*
2013;6;161;154.7;6.3;4.3;555.1;82.9;2.9;80;8.7;*;*
2013;7;155.2;149;6.1;4.1;452.5;62.3;3;59.3;7.4;*;*
2013;8;153.2;146.8;6.4;5.1;594.2;64.3;2.3;62;6.5;*;*
2013;9;151.4;144.2;7.2;10.7;951.7;79.7;2.8;76.9;6.8;*;*
2013;10;159.7;152.7;6.9;5.3;1092.6;73;4.2;68.8;6.3;*;*
2013;11;160.6;155.1;5.5;5.2;1046.7;77.8;2;75.8;8.3;*;*
2013;12;158.7;152.5;6.1;5.3;983.4;72.6;2;70.7;8;*;*
2014;1;147.3;142.5;4.8;2.8;929.2;57.9;2.9;55;7.5;*;*
2014;2;159.7;154.6;5.1;3.6;869.8;62.5;1.2;61.3;9.5;*;*
2014;3;168.6;162.3;6.3;3.7;821.6;68.6;2.9;65.7;8.2;*;*
2014;4;156.7;153.1;3.6;3.9;759.9;61.4;2.8;58.5;7.8;*;*
2014;5;166.4;161.1;5.3;2.7;693.1;69.3;2.3;67;7.8;*;*
2014;6;164.2;158;6.2;4.4;624;65.9;2.7;63.2;11.9;*;*
2014;7;154.6;149.5;5.1;3.1;602;56.6;2.6;54;12.3;*;*
2014;8;163.6;158.2;5.4;3.3;780;67.9;1.5;66.3;8.9;*;*
2014;9;161.6;154.6;7;6.3;1030;70.8;2.6;68.2;11;*;*
2014;10;161.3;155.2;6;2.8;1064;68.6;*;*;10;*;*
2014;11;157.8;152.6;5.2;3.6;1044.1;68.3;*;*;9.3;*;*
2014;12;163.6;157.6;6;7.8;976.5;60.3;3.3;57;10.1;*;*
2015;1;161.7;156.9;4.8;3.1;916.7;57.5;2.8;54.7;10.1;*;*
2015;2;141.3;136.1;5.2;5.5;884.2;61.1;2.2;58.8;8.7;*;*
2015;3;163;156.5;6.5;3.2;841.5;67.2;2.9;64.3;7;*;*
2015;4;150.8;145.6;5.2;7.1;776.6;58.8;*;*;9;*;*
2015;5;156;149.9;6.1;5.3;713.3;67;*;*;7.6;*;*
2015;6;157.1;148.9;8.2;4.8;641.9;57.7;2.6;55.1;7.7;*;*
