Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Travel Agents,LANKA LEISURE TRAVEL (PVT) LTD,"NO. 38, STATION ROAD, WATTALA",,Colombo,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,"NO. 38, STATION ROAD, WATTALA, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,TOURISM CEYLON D.M.C. (PVT) LTD,"NO. 160, NAWALA ROAD, NAWALA.",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 160, NAWALA ROAD, NAWALA., Colombo, Sri Lanka",79.887192082,6.886982359
Travel Agents,SUPER LANKA TRAVELS INTERNATIONAL (PRIVATE) LIMITED,"NO. 37/37, SANASA SQUARE, COURTS ROAD, GAMPAHA.",,Gampaha,Gampaha,Gampaha Divisional Secretariat,"NO. 37/37, SANASA SQUARE, COURTS ROAD, GAMPAHA., Gampaha, Sri Lanka",80.0,7.13333
Travel Agents,EEL TRAVELS (PVT) LTD,"NO. 10/7, LAKE DRIVE ENCLAVE, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 10/7, LAKE DRIVE ENCLAVE, COLOMBO 08, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,PEARL ISLAND TOURS (PVT) LIMITED,"NO. 32 1/1, MELBOURNE AVENUE, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 32 1/1, MELBOURNE AVENUE, COLOMBO 04, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,TRANSMIT TRAVELS,"NO. 292/6, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 292/6, GALLE ROAD, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SRI LANKAN GETAWAYS (PVT)LTD,"01ST FLOOR,NO.256,NEGOMBO ROAD,KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,"01ST FLOOR,NO.256,NEGOMBO ROAD,KURUNEGALA, Kurunegala, Sri Lanka",80.366868,7.486218
Travel Agents,TRANSWORLD TRAVELS & TOURS,"NO:476 C7, MARADANA SHOPPING COMPLEX,MARADANA",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:476 C7, MARADANA SHOPPING COMPLEX,MARADANA, Colombo, Sri Lanka",79.8640038818121,6.92647202862442
Travel Agents,CLASSIC VACATIONS PVT LTD,"NO. 293, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 293, GALLE ROAD, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,LEOPARD SAFARIS (PVT)LTD,"NO.45,AMBAGAHAWATTE,COLOMBO ROAD,KATUNAYAKE,NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat,"NO.45,AMBAGAHAWATTE,COLOMBO ROAD,KATUNAYAKE,NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Travel Agents,TRAVELON LIMITED,"NO:202A, SRI JAMES PEIRIS MAWATHA,COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:202A, SRI JAMES PEIRIS MAWATHA,COLOMBO 2, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,WORLD TOUR MAKER,"NO:532/1, KOLLUPITIYA ROAD, COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:532/1, KOLLUPITIYA ROAD, COLOMBO 03., Colombo, Sri Lanka",79.8508125264198,6.91352637647471
Travel Agents,HAYLEYS TRAVELS AND TOURS (PVT) LTD,"NO:400, DEANS ROAD, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:400, DEANS ROAD, COLOMBO 10, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SAINT ANDREW AND JUDE TRAVELS,"NO:43, KINROSS AVENUE, BAMBALAPITIYA, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:43, KINROSS AVENUE, BAMBALAPITIYA, COLOMBO 04, Colombo, Sri Lanka",79.8552362434566,6.89529655366947
Travel Agents,NIROGA TRAVELS & TOURS (PVT)LTD,"""MADUGANGA VILLA"",SAMAGI MAWATH,MAHALADUWA,BALAPITIYA",,Galle,Galle,Balapitiya Divisional Secretariat,"""MADUGANGA VILLA"",SAMAGI MAWATH,MAHALADUWA,BALAPITIYA, Galle, Sri Lanka",80.038391,6.27014
Travel Agents,WORLD TRAVEL CENTER COLOMBO (PVT)LTD,"NO:16,GRENIER ROAD, DR.N.M.PERERA MAWATHA.COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:16,GRENIER ROAD, DR.N.M.PERERA MAWATHA.COLOMBO 08, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SHANTHI ADVENTURE TOURS (PVT)LTD,"NO.9/8,SURANIMALA PLACE,COLOMBO 06.",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.9/8,SURANIMALA PLACE,COLOMBO 06., Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,AIRCOM TRAVELS & TOURS,"NO:2A, RATWAM ROAD,COLOMBO 13",,Colombo,Colombo,Colombo Divisional Secretariat,"NO:2A, RATWAM ROAD,COLOMBO 13, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,DIRECT LINK (PVT)LTD,"NO.225/7,SRI SANGARAJA MAWATHA,COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.225/7,SRI SANGARAJA MAWATHA,COLOMBO 10, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,GO HOLIDAYS (PVT) LTD,"54, WALUKARAMA ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat,"54, WALUKARAMA ROAD, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SUNBIRD LANKA TOURS & TRAVELS (PVT)LTD,"NO.403,HENDALA,WATTALA",,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,"NO.403,HENDALA,WATTALA, Gampaha, Sri Lanka",79.883006,6.9889
Travel Agents,TOURAMA (PVT) LTD,"LEVEL 03, AUTODROME BUILDING, NO 304, UNION PLACE ,COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat,"LEVEL 03, AUTODROME BUILDING, NO 304, UNION PLACE ,COLOMBO 02, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,THE THAPROBANA-DIFFERENT DISCOVERY,"NO.67, BIG CITY, YATIYANA, MINUWANGODA",,Gampaha,Gampaha,Minuwangoda Divisional Secretariat,"NO.67, BIG CITY, YATIYANA, MINUWANGODA, Gampaha, Sri Lanka",80.0,7.13333
Travel Agents,SRIEKO HOLIDAYS (PVT)LTD,"NO 41 ,SANJEEWA BUILDING,NEGOMBO RD,SEEDUWA,SRI LANKA",,Gampaha,Gampaha,Gampaha Divisional Secretariat,"NO 41 ,SANJEEWA BUILDING,NEGOMBO RD,SEEDUWA,SRI LANKA, Gampaha, Sri Lanka",79.833116988,7.209428236
Travel Agents,ASIAN FOOTPRINTS (PVT) LTD,"NO. 199/2, RAJAGIRIYA ROAD, RAJAGIRIYA",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 199/2, RAJAGIRIYA ROAD, RAJAGIRIYA, Colombo, Sri Lanka",79.896217547,6.909504175
Travel Agents,DELUX HOLIDAYS (PVT) LTD,"NO. 410/101B, BULLERS ROAD, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 410/101B, BULLERS ROAD, COLOMBO 07, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,STAR WORLD TRAVELS (PVT) LTD,"NO:234/1, BCC BUILDING , DHARMAPALA MAWATHA, MATARA",,Matara,Matara,Matara Divisional Secretariat,"NO:234/1, BCC BUILDING , DHARMAPALA MAWATHA, MATARA, Matara, Sri Lanka",80.5,6.16667
Travel Agents,GANISTA TRAVEL & LOGISTIC SOLUTION (PVT) LTD,"NO. 655 1/F, LAKE ROAD, BORALESGAMUWA",,Colombo,Boralesgamuwa,Colombo Divisional Secretariat,"NO. 655 1/F, LAKE ROAD, BORALESGAMUWA, Colombo, Sri Lanka",79.901702749,6.841059858
Travel Agents,CEYLON LEGEND TRAVELS (PVT) LTD,"NO. 244/12, NEGOMBO ROAD, WELIGAMPITIYA, JA-ELA",,Colombo,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,"NO. 244/12, NEGOMBO ROAD, WELIGAMPITIYA, JA-ELA, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,AMANA TRAVELS & TOURS,"NO. 37, KOLONNAWA ROAD, KOLONNAWA",,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat,"NO. 37, KOLONNAWA ROAD, KOLONNAWA, Colombo, Sri Lanka",79.890314257,6.932625418
Travel Agents,EVERTON HOLIDAYS (PVT) LTD,"NO.106,DUTUGAMUNU STREET,DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,"NO.106,DUTUGAMUNU STREET,DEHIWALA, Colombo, Sri Lanka",79.880242,6.838232
