Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Restaurants,BAVARIAN BARN RESTAURANT,"NO. 11, GALLE FACE COURT 02 COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 11, GALLE FACE COURT 02 COLOMBO, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,LORDS RESTAURANT,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,A,Gampaha,Negombo,Negombo Divisional Secretariat,"80B PORUTHOTA ROAD ETTHUKALA NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO 11, GALLE FACE TERRACE, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,FREE WIND RESTAURANT & BAR,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",A,Trincomalee,Uppuveli Trinco Malee,Trincomalee Divisional Secretariat,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE, Trincomalee, Sri Lanka",80.75,7.25
Restaurants,EDWIN RESTAURANT,"204, LEWIS PLACE, NEGOMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat,"204, LEWIS PLACE, NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",B,Gampaha,Peliyagoda,Mahara Kelaniya,"154/A, KANDY RD, DALUGAMA,KELANIYA, Gampaha, Sri Lanka",79.893962,6.971391
Restaurants,KUMU KUMA CHINESE RESTAURANT,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA, Colombo, Sri Lanka",79.945297,6.834129
Restaurants,HANSAGIRI RESTAURANT,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",A,Colombo,Colombo,Colombo Divisional Secretariat,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,JAYALATH INN RESTAURANT,"269, WELIGAMPITIYA JA-ELA",A,Gampaha,Ja-Ela,Ja-Ela Divisional Secretariat,"269, WELIGAMPITIYA JA-ELA, Gampaha, Sri Lanka",79.8939939960837,7.06884012671685
Restaurants,GREAT WALL RESTAURANTS,"N0.03, EDWARD LANE COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"N0.03, EDWARD LANE COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,EXCEL RESTAURANTS,"338, T.B. JAYAH MAWATHA, COLOMBO 10",A,Colombo,Colombo,Colombo Divisional Secretariat,"338, T.B. JAYAH MAWATHA, COLOMBO 10, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,PUBS AND PLACES- KANDY,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,KANDOORI RESTAURANT (BERUWALA),"428, GALLE ROAD, HETTIMULLA BERUWALA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,"428, GALLE ROAD, HETTIMULLA BERUWALA, Kalutara, Sri Lanka",79.982049,6.460387
Restaurants,SENANI RESTAURANT,"NO 30,RAJAPIHILLA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"NO 30,RAJAPIHILLA MAWATHA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,JANAHITHA RESTAURANT,"107/1 MAKOLA SOUTH, MAKOLA",A,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,"107/1 MAKOLA SOUTH, MAKOLA, Gampaha, Sri Lanka",80.0,7.13333
Restaurants,FLAG & WHISTLE RESTAURANT & PUB,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CHANVAL RESTAURANT (MAHARAGAMA),"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA., Colombo, Sri Lanka",79.923272,6.851146
Restaurants,PUBS AND PLACES - YATINUWARA,"60/1,YATINUWARA WEEDIYA,KANDY",B,Kandy,Kandy,Kandy Divisional Secretariat,"60/1,YATINUWARA WEEDIYA,KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,ISHARA RESTAURANT,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA, Colombo, Sri Lanka",79.945297,6.834129
Restaurants,SAYURA RESTAURANT,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA",A,Matale,Damana Pradeshiya Sabha,Dambulla Divisional Secretariat,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA, Matale, Sri Lanka",80.656148,7.866782
Restaurants,RANWELI RESTAURANT,"NO.99, KAUDPELELLA, MATALE",A,Matale,Matale,Matale Divisional Secretariat,"NO.99, KAUDPELELLA, MATALE, Matale, Sri Lanka",80.75,7.66667
Restaurants,SILVER RAY RESTAURANT,"NO 18,DIPPITIGALA, LELLOPITIYA",A,Ratnapura,Pelmadulla Pradeshiya Sabha,Pelmadulla Divisional Secretariat,"NO 18,DIPPITIGALA, LELLOPITIYA, Ratnapura, Sri Lanka",80.482597137,6.663130409
Restaurants,RAJA BOJUN,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03.",A,Colombo,Colombo,Colombo Divisional Secretariat,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,MINTAGE RESTAURANT & BAR,"NO154, KINYSEY ROAD, COLOMBO07",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO154, KINYSEY ROAD, COLOMBO07, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,ELEPHANT PARK RESTAURANT,"PINNAWALA, RAMBUKKANA",A,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,"PINNAWALA, RAMBUKKANA, Kegalle, Sri Lanka",80.385626,7.303204
Restaurants,PUBS AND PLACES (BENTOTA),"NO.357,GALLE ROAD,WARAHENA BENTOTA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,"NO.357,GALLE ROAD,WARAHENA BENTOTA, Galle, Sri Lanka",80.223192,6.043279
Restaurants,REFRESH RESTAURANT,"NO.384, GALLE ROAD HIKKADUWA",A,Galle,Hikkaduwa,Galle Divisional Secretariat,"NO.384, GALLE ROAD HIKKADUWA, Galle, Sri Lanka",80.223192,6.043279
Restaurants,GOLDEN GRILL,"NO.45, NATIONAL HOLIDAY RESORT, BENTOTA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,"NO.45, NATIONAL HOLIDAY RESORT, BENTOTA, Galle, Sri Lanka",79.997854326,6.421527648
Restaurants,SAMAL RESTAURANT,"NO.95,MALAY STREET, COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.95,MALAY STREET, COLOMBO 02, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,SIAM HOUSE THAI RESTAURANT,"NO.17, MELBOURNE AVENUE COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.17, MELBOURNE AVENUE COLOMBO 04, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,RAMANKA RESTAURANT,"156/3/F , NEW KANDY ROAD, BANDARAWATTA , BIYAGAMA.",A,Gampaha,Gampaha,Gampaha Divisional Secretariat,"156/3/F , NEW KANDY ROAD, BANDARAWATTA , BIYAGAMA., Gampaha, Sri Lanka",80.0,7.13333
Restaurants,PINNALANDA RESTAURANT,"PINNAWALA , RAMBUKKANA",A,Kegalle,Kegalle,Kegalle Divisional Secretariat,"PINNAWALA , RAMBUKKANA, Kegalle, Sri Lanka",80.385626,7.303204
Restaurants,MOUNT GRILL,"221, GALLE ROAD MOUNT LAVINIA",A,Colombo,Colombo,Colombo Divisional Secretariat,"221, GALLE ROAD MOUNT LAVINIA, Colombo, Sri Lanka",79.866418,6.842919
Restaurants,WESTERN RESTAURANT,"NO. 668, PONNALAI ROAD ODDUMADAM JAFFNA",B,Jaffna,Polonnaruwa,Dompe Divisional Secretariat,"NO. 668, PONNALAI ROAD ODDUMADAM JAFFNA, Jaffna, Sri Lanka",80.009171823,9.664925571
Restaurants,HAVI RESTAURANT,"NO.186, BORELLA ROAD, PANNIPITIYA",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.186, BORELLA ROAD, PANNIPITIYA, Colombo, Sri Lanka",79.945297,6.834129
Restaurants,HAVI RESTAURANT,"743/57, NEW KANDY ROAD THALAHENA, MALABE, BATTARAMULLA",A,Colombo,Colombo,Colombo Divisional Secretariat,"743/57, NEW KANDY ROAD THALAHENA, MALABE, BATTARAMULLA, Colombo, Sri Lanka",79.913892,6.897711
Restaurants,ODEL,NO.02 WARD PLACE COLOMBO 07.,A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.02 WARD PLACE COLOMBO 07., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,ABBAS RESTAURANT,"WAULAGODA, HIKKADUWA",A,Galle,Haldummulla Pradeshiya Sabha,Hikkaduwa Divisional Secretariat,"WAULAGODA, HIKKADUWA, Galle, Sri Lanka",80.108277,6.135434
Restaurants,AGLO RESTAURANT,"NO.271, KOHALAWAILA ROAD WELIKETIYA KELANIYA",A,Gampaha,Gampaha,Gampaha Divisional Secretariat,"NO.271, KOHALAWAILA ROAD WELIKETIYA KELANIYA, Gampaha, Sri Lanka",79.914926,6.951178
Restaurants,THE BAY LEAF,"SHOP #5 OLD DUTCH HOSPITAL COMPLEX ECHELON SQUARE,COLOMBO-01",A,Colombo,Colombo,Colombo Divisional Secretariat,"SHOP #5 OLD DUTCH HOSPITAL COMPLEX ECHELON SQUARE,COLOMBO-01, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,HELADIV TEA CLUB ( HTC ),"NO.08, DUTCH HOSPITAL BUILDING BANK OF CEYLON MW, PETTAH COLOMBO 01",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.08, DUTCH HOSPITAL BUILDING BANK OF CEYLON MW, PETTAH COLOMBO 01, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,APEX RESTAURANT,"1173, MARADANA ROAD, COLOMBO 08",A,Colombo,Colombo,Colombo Divisional Secretariat,"1173, MARADANA ROAD, COLOMBO 08, Colombo, Sri Lanka",79.8640038818121,6.92647202862442
Restaurants,AUSTASIA SPORTS,"NO.290U, WEERASEKERA MAWATHA, THALAWATHUGODA",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.290U, WEERASEKERA MAWATHA, THALAWATHUGODA, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,INN BY THE LAKE,"N0.36, DALADA VEEDIYA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"N0.36, DALADA VEEDIYA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,BAKELAND RESTAURANT,"335, DANDAGAMUWA , KULIYAPITIYA",A,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,"335, DANDAGAMUWA , KULIYAPITIYA, Kurunegala, Sri Lanka",80.038093,7.466985
Restaurants,BAKEPS RESTAURANT,"NO.69 , NARAHENPITA ROAD NAWALA",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.69 , NARAHENPITA ROAD NAWALA, Colombo, Sri Lanka",79.887192082,6.886982359
Restaurants,STEAM BOAT (NAWALA),"NO.14, NARAHENPITA ROAD, NAWALA",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.14, NARAHENPITA ROAD, NAWALA, Colombo, Sri Lanka",79.887192082,6.886982359
Restaurants,BAMBOO GARDEN RESTAURANT,"NO.29A , ANAGARIKA DHARMAPALA MAWATHA , KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"NO.29A , ANAGARIKA DHARMAPALA MAWATHA , KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,BAREFOOT GARDEN CAFE,"NO.706. GALLE ROAD , COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.706. GALLE ROAD , COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,BASE ENTERTAINMENT,"NO. 340 , GALLE ROAD COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 340 , GALLE ROAD COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,BASE VIP LOUNGE,"NO. 24, 17TH LANE , COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 24, 17TH LANE , COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,BELLWAY RESTAURANT,"NO. 695 , KANDY ROAD, KELANIYA",A,Gampaha,Gampaha,Gampaha Divisional Secretariat,"NO. 695 , KANDY ROAD, KELANIYA, Gampaha, Sri Lanka",79.914926,6.951178
Restaurants,SUNLIGHT GARDEN SEAFOOD RESTAURANT,"NO. 21 , ABDUL GAFOOR MAWATHA COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 21 , ABDUL GAFOOR MAWATHA COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,MOTHER'S KITCHEN,"NO.284, KATUGASTOTA RD, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"NO.284, KATUGASTOTA RD, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,ROSHAN RESTAURANT,"NO.138, SIR P. RAMANATHAN RD, CHUNNAKAM",A,Jaffna,Jaffna,Jaffna Divisional Secretariat,"NO.138, SIR P. RAMANATHAN RD, CHUNNAKAM, Jaffna, Sri Lanka",80.028342074,9.731553819
Restaurants,BIJOU RESTAURANT,"NO.44, ETTUKALA, NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat,"NO.44, ETTUKALA, NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,BUDDES BEACH RESTAURANT,"NO.428, GALLE ROAD WEWALA HIKKADUWA",B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,"NO.428, GALLE ROAD WEWALA HIKKADUWA, Galle, Sri Lanka",80.223192,6.043279
Restaurants,CASAMARA CHINESE RESTAURANT,"NO.87, HIGHLEVAL RD, KOTTAWA PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO.87, HIGHLEVAL RD, KOTTAWA PANNIPITIYA, Colombo, Sri Lanka",79.9652344733477,6.8413884190132
Restaurants,BLUE SKY RESTAURANT,"NO.168,NEW KANDY ROAD,KOTHALAWALA,KADUWELA.",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,"NO.168,NEW KANDY ROAD,KOTHALAWALA,KADUWELA., Colombo, Sri Lanka",79.984292323,6.935757206
Restaurants,CHESA SWISS RESTAURENT,"NO.03, DEAL PLACE A , COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.03, DEAL PLACE A , COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CLOVER GRANGE,"NO. 95, KING STREET, MATALE 21000",A,Matale,Matale,Matale Divisional Secretariat,"NO. 95, KING STREET, MATALE 21000, Matale, Sri Lanka",80.75,7.66667
Restaurants,SRI LAND TRADING RESTAURANT,"NO. 16, RAGALA RD, RIKILLAGASKADA",A,Nuwara Eliya,Nuwara Eliya,Hanguranketha Divisional Secretariat,"NO. 16, RAGALA RD, RIKILLAGASKADA, Nuwara Eliya, Sri Lanka",80.857931469,7.012293929
Restaurants,CHOPSTICKS RESTAURANT,"NO.317/1, NAWALA RD, NAWALA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,"NO.317/1, NAWALA RD, NAWALA, Colombo, Sri Lanka",79.887192082,6.886982359
Restaurants,D.S.C. RESTAURANT,"NO. 206, HIGH LEVEL ROAD, AVISSAWELLA",A,Colombo,Seethawaka Pradeshiya Sabha,Seethawaka Divisional Secretariat,"NO. 206, HIGH LEVEL ROAD, AVISSAWELLA, Colombo, Sri Lanka",80.212594662,6.952232553
Restaurants,COUNTRY CLUB RESTAURANT,"NO 08, BANDARANAYAKE MW, KATUBEDDA, MORATUWA",B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,"NO 08, BANDARANAYAKE MW, KATUBEDDA, MORATUWA, Colombo, Sri Lanka",79.8885551467538,6.79739346882941
Restaurants,CRISTAL HILL RESTAURANT,"NO.231,DAMBULLA ROAD,KIRIGALPOTHTHA,PALAPATHWALA,MATALE.",A,Matale,Matale,Matale Divisional Secretariat,"NO.231,DAMBULLA ROAD,KIRIGALPOTHTHA,PALAPATHWALA,MATALE., Matale, Sri Lanka",80.656148,7.866782
Restaurants,DANIELS PUB & RESTAURANT,"NO.46, GALLE RD, AHUNGALLA",A,Galle,Galle,Galle Divisional Secretariat,"NO.46, GALLE RD, AHUNGALLA, Galle, Sri Lanka",80.223192,6.043279
Restaurants,LEMON GRASS - (KOTTE),"NO. 0939 E.W PERERA MAWATHA, KOTTE ROAD,ETULE KOTTE",A,Colombo,Sri Jayawardenapura-Kotte,Kotte Divisional Secretariat,"NO. 0939 E.W PERERA MAWATHA, KOTTE ROAD,ETULE KOTTE, Colombo, Sri Lanka",79.909164319,6.903166337
Restaurants,TASTEES BANANA,"39B PORUTHOTA ROAD, ETHTHUKALA, NEGOMBO",A,Gampaha,Negombo,Gampaha Divisional Secretariat,"39B PORUTHOTA ROAD, ETHTHUKALA, NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,PANORAMA RESTAURANT (BERUWALA),"MARADANA ROAD, MORAGALLA, BERUWALA.",A,Kalutara,Kalutara Pradeshiya Sabha,Balangoda Divisional Secretariat,"MARADANA ROAD, MORAGALLA, BERUWALA., Kalutara, Sri Lanka",79.982049,6.460387
Restaurants,168 SEAFOOD PALACE,"NO. 08, SEAVIEW AVENUE, COLOMBO 03",B,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 08, SEAVIEW AVENUE, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,AIDA RESTAURANT & BAR,"NO. 192, GALLE ROAD, BENTOTA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,"NO. 192, GALLE ROAD, BENTOTA, Galle, Sri Lanka",80.223192,6.043279
Restaurants,GINZA HOHSEN JAPANESE RESTAURANT,"GINZA HOHSEN JAPANESE RESTAURANT,HILTON COLOMBO.",A,Colombo,Colombo,Colombo Divisional Secretariat,"GINZA HOHSEN JAPANESE RESTAURANT,HILTON COLOMBO., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,AMAL VILLA RESTAURANT,"ROBOLGODA, BENTOTA",A,Galle,Galle,Galle Divisional Secretariat,"ROBOLGODA, BENTOTA, Galle, Sri Lanka",79.997854326,6.421527648
Restaurants,KASSAPAS DREAM,"KASSAPAS DREAM,7/2,SANGAMITTA MAWATHA,KANDY",A,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,"KASSAPAS DREAM,7/2,SANGAMITTA MAWATHA,KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,ALT SAABRUCKEN GERMAN RESTAURANT,"PORUTOTA ROAD, ETTUKALA, NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat,"PORUTOTA ROAD, ETTUKALA, NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,AMRITH INDIAN RESTAURANT,"NO. 147, VAJIRA ROAD, COLOMBO 05",A,Colombo,Colombo,Mount Lavinia,"NO. 147, VAJIRA ROAD, COLOMBO 05, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,AMIRU RESTAURANT,"NO.37/13, PUBUDU MAWATHA, MATTEGODA, POLGASOVITA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO.37/13, PUBUDU MAWATHA, MATTEGODA, POLGASOVITA, Colombo, Sri Lanka",79.974698396,6.812132751
Restaurants,ARRIRANG RESTURANT,"NO.16,ABDUL GAFFOOR MAWATHA,COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.16,ABDUL GAFFOOR MAWATHA,COLOMBO, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,BIRDS GARDEN RESTAURANT,"NO. 50, KAUDUPELELLA, MATALE",A,Matale,Matale,Matale Divisional Secretariat,"NO. 50, KAUDUPELELLA, MATALE, Matale, Sri Lanka",80.75,7.66667
Restaurants,ASTON RESTURANT & BAR,"69/1B,DAM STREET COLOMBO 12",A,Colombo,Colombo,Colombo Divisional Secretariat,"69/1B,DAM STREET COLOMBO 12, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CAFE DE ARTIST,"NO. 31, HORTON PLACE, COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 31, HORTON PLACE, COLOMBO 07, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CAFE JAPAN RESTAURANT,"NO. 07, 10TH LANE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 07, 10TH LANE, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,PUBS AND PLACES - ALUTHGAMA,"NO. 09, DOUGLAS GUNAWARDENA MAWATHA, ALUTHGAMA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,"NO. 09, DOUGLAS GUNAWARDENA MAWATHA, ALUTHGAMA, Kalutara, Sri Lanka",79.998898543,6.43264941
Restaurants,CRICKET CLUB CAFE,"NO.12,ERNEST DE SILVE,MAWATHA.COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,"NO.12,ERNEST DE SILVE,MAWATHA.COLOMBO 07., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CEY-NOR ORIENAT SEA FOOD RESTAURANT,"NO. 335/A, D.R. WIJEWARDENA MAWATHA, COLOMBO 10",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 335/A, D.R. WIJEWARDENA MAWATHA, COLOMBO 10, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CUBBYS RESTAURANT,"CUBBYS RESTAURANT,85,WARAGODA ROAD,KELANIYA",A,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,"CUBBYS RESTAURANT,85,WARAGODA ROAD,KELANIYA, Gampaha, Sri Lanka",79.914926,6.951178
Restaurants,PUBS AND PLACES (MORATUWA),"NO. 16, LADY DE SOYSA DRIVEUYANA MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,"NO. 16, LADY DE SOYSA DRIVEUYANA MORATUWA, Colombo, Sri Lanka",79.888881,6.790527
Restaurants,VISRO RESTAURANT AND BAR,"362,HANWELLA ROAD,URAPOLA",A,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,"362,HANWELLA ROAD,URAPOLA, Gampaha, Sri Lanka",80.0,7.13333
Restaurants,DESHANI EASTERN & CHINESE RESTAURANT,"NO. 376, OLD ROAD, KOTTAWA, PANNIPITIYA",A,Colombo,Maharagama,Colombo Divisional Secretariat,"NO. 376, OLD ROAD, KOTTAWA, PANNIPITIYA, Colombo, Sri Lanka",79.9652344733477,6.8413884190132
Restaurants,SUGAR BISTRO & WINE BAR,"NO. 77, GALLE ROAD, COLOMBO 03.",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 77, GALLE ROAD, COLOMBO 03., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,DANSCO RESTAURANT,"NO. 20/5, GALLE ROAD, GOLUMADAMA JUNCTION, MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,"NO. 20/5, GALLE ROAD, GOLUMADAMA JUNCTION, MORATUWA, Colombo, Sri Lanka",79.8829932510853,6.80987395695539
Restaurants,CURRY LEAVES RESTAURANT,"NO.68.W.A.SILVA MW,COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.68.W.A.SILVA MW,COLOMBO 06, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,DIAMOND REST,"NO. 315, COLOMBO ROAD, WERALUPA, RATNAPURA",A,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,"NO. 315, COLOMBO ROAD, WERALUPA, RATNAPURA, Ratnapura, Sri Lanka",80.01667,6.86667
Restaurants,DIANA CHINESE FOOD CENTRE,"NO. 23B1/1, 23B2/1 DENIYAYA ROAD, AKURESSA",A,Matara,Akuressa Pradeshiya Sabha,Akuressa Divisional Secretariat,"NO. 23B1/1, 23B2/1 DENIYAYA ROAD, AKURESSA, Matara, Sri Lanka",80.560617987,6.342563726
Restaurants,DIMASHA RESTAURANT,"NO. 9-C, BANDDEGAMA ROAD, HIKKADUWA",A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,"NO. 9-C, BANDDEGAMA ROAD, HIKKADUWA, Galle, Sri Lanka",80.108277,6.135434
Restaurants,PEACH VALLEY DOUBLE HAPPY CHINESE RESTAURANT,"NO. 27 FLOWER ROAD,COLOMBO 07.",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 27 FLOWER ROAD,COLOMBO 07., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,GRAND HOLIDAY RESORT,"VENDERLAND MAWTHA,KOLINJADIYA",A,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,"VENDERLAND MAWTHA,KOLINJADIYA, Puttalam, Sri Lanka",80.0,8.0
Restaurants,DISLIN ITALIAN RESTAURANT,"NO. 571, GALLE ROAD, RAWATHAWATTA, MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,"NO. 571, GALLE ROAD, RAWATHAWATTA, MORATUWA, Colombo, Sri Lanka",79.888881,6.790527
Restaurants,GREEN BAMBOO RESTURANT,"NO19/4,DE ABREW ROAD,KALUTHARA NORTH",B,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,"NO19/4,DE ABREW ROAD,KALUTHARA NORTH, Kalutara, Sri Lanka",80.16667,6.58333
Restaurants,DINESH RESTAURANT,"HANHAMUNA, MASPOTHA, KURUNEGALA",A,Kurunegala,Wariyapola Pradeshiya Sabha,Wariyapola Divisional Secretariat,"HANHAMUNA, MASPOTHA, KURUNEGALA, Kurunegala, Sri Lanka",80.366868,7.486218
Restaurants,GREEN CHARIOT RESTAURANT,"NO 60,NAWALAPITIYA ROAD,GAMPOLA",B,Kandy,Gampola,Gampola Divisional Secretariat,"NO 60,NAWALAPITIYA ROAD,GAMPOLA, Kandy, Sri Lanka",80.570274359,7.163648765
Restaurants,SUEHIRO LANKA RESTAURANT,"AKKARAWATTA, NABETA, MELSIRIPURA, KURUNEGALA",A,Kurunegala,Ibbagamuwa Pradeshiya Sabha,Ibbagamuwa Divisional Secretariat,"AKKARAWATTA, NABETA, MELSIRIPURA, KURUNEGALA, Kurunegala, Sri Lanka",80.366868,7.486218
