seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
29947,2022,4839,Isaiah Joe,NA,SG,22,2,NBA,PHI,55,609,0.35,22.2,0.237,0.079,0.034,0.045,0.079,0.763,0.405,0.643,0.333,0.375,0.214,0.333,0.647,1,0.023,4,0.296,0.4,1,0
29948,2022,4941,Isaiah Livers,NA,SF,23,1,NBA,DET,19,383,0.456,20.1,0.289,0.111,0.078,0.033,0.067,0.711,0.538,0.8,0.429,0.667,0.167,0.422,0.643,0.963,0.011,1,0.406,0.423,0,0
29949,2022,4722,Isaiah Roby,NA,PF,23,3,NBA,OKC,45,948,0.514,10.8,0.693,0.319,0.328,0.031,0.015,0.307,0.545,0.699,0.425,0.3,0.4,0.444,0.689,0.909,0.136,36,0.273,0.481,0,0
29950,2022,4840,Isaiah Stewart,NA,C,20,2,NBA,DET,71,1816,0.51,5.6,0.906,0.584,0.243,0.039,0.041,0.094,0.529,0.591,0.445,0.158,0.5,0.326,0.689,0.933,0.061,28,0.087,0,0,0
29951,2022,4012,Isaiah Thomas,NA,PG,32,11,NBA,TOT,22,333,0.401,16.8,0.503,0.126,0.18,0.132,0.066,0.497,0.464,0.571,0.233,0.636,0.545,0.337,0.487,0.786,0,0,0.241,0.35,0,0
29952,2022,4012,Isaiah Thomas,NA,PG,32,11,NBA,LAL,4,101,0.308,18.7,0.436,0.103,0.077,0.205,0.051,0.564,0.412,0.5,0,0.625,0,0.227,0.571,0.8,0,0,0.182,0.25,0,0
29953,2022,4012,Isaiah Thomas,NA,PG,32,11,NBA,DAL,1,13,0.375,17.6,0.625,0.125,0,0.25,0.25,0.375,0.6,1,NA,0.5,0.5,0,0,NA,0,0,0,NA,0,0
29954,2022,4012,Isaiah Thomas,NA,PG,32,11,NBA,CHO,17,219,0.433,16.2,0.517,0.133,0.225,0.1,0.058,0.483,0.468,0.563,0.259,0.667,0.714,0.397,0.517,0.783,0,0,0.276,0.375,0,0
29955,2022,4942,Isaiah Todd,NA,PF,20,1,NBA,WAS,12,74,0.269,18,0.385,0.154,0.115,0.077,0.038,0.615,0.3,0.25,0.333,0,1,0.25,0.667,1,0,0,0.563,0.444,0,0
29956,2022,3946,Ish Smith,NA,PG,33,12,NBA,TOT,65,1126,0.43,13.3,0.844,0.2,0.172,0.205,0.267,0.156,0.441,0.5,0.392,0.364,0.487,0.373,0.181,0.72,0.002,1,0.224,0.533,1,0
29957,2022,3946,Ish Smith,NA,PG,33,12,NBA,CHO,37,511,0.395,11.7,0.865,0.254,0.211,0.205,0.195,0.135,0.394,0.489,0.282,0.368,0.417,0.4,0.238,0.8,0,0,0.24,0.5,1,0
29958,2022,3946,Ish Smith,NA,PG,33,12,NBA,WAS,28,615,0.457,14.4,0.829,0.159,0.143,0.204,0.322,0.171,0.478,0.513,0.514,0.36,0.519,0.357,0.144,0.667,0.004,1,0.214,0.556,0,0
29959,2022,4943,Ish Wainright,NA,PF,27,1,NBA,PHO,45,359,0.394,15.8,0.433,0.231,0.163,0.019,0.019,0.567,0.489,0.708,0.294,0,0,0.322,0.636,1,0.038,3,0.475,0.429,0,0
29960,2022,4410,Ivica Zubac,NA,C,24,6,NBA,LAC,76,1852,0.626,3.4,1,0.58,0.382,0.032,0.006,0,0.626,0.714,0.508,0.5,0.333,NA,0.719,NA,0.248,110,NA,NA,0,0
29961,2022,4723,Ja Morant,NA,PG,22,3,NBA,MEM,57,1889,0.493,10.3,0.782,0.332,0.291,0.135,0.025,0.218,0.534,0.706,0.433,0.384,0.241,0.344,0.248,0.511,0.057,58,0.09,0.391,3,0
29962,2022,4249,Jabari Parker,NA,PF,26,8,NBA,BOS,12,112,0.474,16.6,0.579,0.211,0.184,0.026,0.158,0.421,0.455,0.75,0.286,0,0.333,0.5,0.6,0.875,0.105,4,0.375,0.5,1,0
29963,2022,4841,Jaden McDaniels,NA,PF,21,2,NBA,MIN,70,1803,0.46,13.8,0.545,0.283,0.179,0.054,0.029,0.455,0.579,0.726,0.364,0.533,0.563,0.317,0.72,0.988,0.101,46,0.496,0.36,1,0
29964,2022,4944,Jaden Springer,NA,SG,19,1,NBA,PHI,2,6,1,9.1,1,0,1,0,0,0,1,NA,1,NA,NA,NA,0,NA,0,0,NA,NA,0,0
29965,2022,4091,Jae Crowder,NA,PF,31,10,NBA,PHO,67,1886,0.399,20.8,0.329,0.059,0.094,0.079,0.097,0.671,0.503,0.656,0.431,0.488,0.491,0.348,0.822,0.929,0.004,2,0.214,0.423,2,0
29966,2022,4842,Jae'Sean Tate,NA,SF,26,2,NBA,HOU,78,2056,0.498,9.2,0.723,0.414,0.295,0.01,0.004,0.277,0.569,0.705,0.391,0.286,0.333,0.312,0.49,0.937,0.064,43,0.391,0.316,0,0
29967,2022,4843,Jahmi'us Ramsey,NA,SG,20,2,NBA,SAC,19,134,0.414,12.4,0.69,0.31,0.224,0.069,0.086,0.31,0.475,0.667,0.231,0.25,0.6,0.278,0.579,0.8,0.034,2,0.167,0.333,0,0
29968,2022,4945,Jaime Echenique,NA,C,24,1,NBA,WAS,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
29969,2022,4411,Jake Layman,NA,SF,27,6,NBA,MIN,34,231,0.411,14.4,0.521,0.301,0.123,0.055,0.041,0.479,0.579,0.773,0.222,0.25,0.667,0.229,0.682,1,0.096,6,0.486,0.235,0,0
29970,2022,4412,Jakob Poeltl,NA,C,26,6,NBA,SAS,68,1970,0.618,4.7,0.998,0.471,0.391,0.133,0.005,0.002,0.618,0.747,0.514,0.477,0.333,1,0.702,1,0.072,44,0,NA,1,1
29971,2022,4630,Jalen Brunson,NA,PG,25,4,NBA,DAL,79,2524,0.502,13.1,0.75,0.147,0.288,0.189,0.126,0.25,0.545,0.703,0.524,0.518,0.449,0.373,0.262,0.809,0.005,5,0.298,0.507,0,0
29972,2022,4946,Jalen Green,NA,SG,19,1,NBA,HOU,67,2138,0.426,15.7,0.52,0.271,0.129,0.031,0.088,0.48,0.502,0.68,0.252,0.333,0.381,0.343,0.438,0.662,0.087,69,0.146,0.373,1,0
29973,2022,4947,Jalen Johnson,NA,PF,20,1,NBA,ATL,22,120,0.537,10.8,0.683,0.488,0.073,0.073,0.049,0.317,0.679,0.95,0,0,0,0.231,0.789,1,0.244,10,0.385,0.2,0,0
29974,2022,4725,Jalen McDaniels,NA,SF,24,3,NBA,CHO,55,895,0.484,13.4,0.575,0.283,0.224,0.051,0.016,0.425,0.562,0.75,0.386,0.231,0.75,0.38,0.61,1,0.075,17,0.38,0.341,1,0
29975,2022,4845,Jalen Smith,NA,PF,21,2,NBA,TOT,51,925,0.503,12.4,0.651,0.291,0.246,0.063,0.051,0.349,0.596,0.765,0.5,0.364,0.389,0.328,0.721,1,0.111,38,0.27,0.242,0,0
29976,2022,4845,Jalen Smith,NA,PF,21,2,NBA,PHO,29,382,0.46,11.4,0.715,0.248,0.328,0.073,0.066,0.285,0.551,0.706,0.556,0.2,0.333,0.231,0.685,1,0.08,10,0.179,0.143,0,0
29977,2022,4845,Jalen Smith,NA,PF,21,2,NBA,IND,22,543,0.531,13.1,0.61,0.319,0.192,0.056,0.042,0.39,0.631,0.794,0.439,0.5,0.444,0.373,0.744,1,0.131,28,0.313,0.269,0,0
29978,2022,4948,Jalen Suggs,NA,PG,20,1,NBA,ORL,48,1307,0.361,13.3,0.642,0.263,0.245,0.069,0.066,0.358,0.443,0.611,0.313,0.395,0.306,0.214,0.365,0.667,0.035,15,0.122,0.208,1,0
29979,2022,4949,James Bouknight,NA,SG,21,1,NBA,CHO,31,304,0.348,12,0.652,0.333,0.241,0.043,0.035,0.348,0.348,0.553,0.147,0,0.2,0.347,0.438,0.765,0.028,4,0.224,0.364,0,0
29980,2022,4252,James Ennis,NA,SF,31,8,NBA,TOT,7,56,0.458,10.6,0.667,0.542,0.083,0,0.042,0.333,0.5,0.538,0.5,NA,0,0.375,0.75,1,0,0,0.125,0,0,0
29981,2022,4252,James Ennis,NA,SF,31,8,NBA,BRK,2,14,0.286,8.3,0.714,0.714,0,0,0,0.286,0.2,0.2,NA,NA,NA,0.5,1,1,0,0,0,NA,0,0
29982,2022,4252,James Ennis,NA,SF,31,8,NBA,LAC,2,28,0.636,12.3,0.636,0.455,0.091,0,0.091,0.364,0.714,1,0,NA,0,0.5,0.8,1,0,0,0,NA,0,0
29983,2022,4252,James Ennis,NA,SF,31,8,NBA,DEN,3,14,0.333,10,0.667,0.5,0.167,0,0,0.333,0.5,0.333,1,NA,NA,0,0.5,NA,0,0,0.5,0,0,0
29984,2022,3880,James Harden,NA,PG-SG,32,13,NBA,TOT,65,2419,0.41,14.6,0.548,0.231,0.232,0.061,0.024,0.452,0.476,0.598,0.37,0.426,0.458,0.33,0.189,0.257,0.006,6,0.049,0.273,0,0
29985,2022,3880,James Harden,NA,PG,32,13,NBA,BRK,44,1627,0.414,14.2,0.565,0.239,0.242,0.061,0.023,0.435,0.476,0.574,0.386,0.419,0.563,0.332,0.158,0.235,0.008,6,0.052,0.188,0,0
29986,2022,3880,James Harden,NA,SG,32,13,NBA,PHI,21,792,0.402,15.6,0.507,0.21,0.206,0.063,0.028,0.493,0.476,0.667,0.322,0.444,0.25,0.326,0.275,0.304,0,0,0.043,0.5,0,0
29987,2022,3881,James Johnson,NA,PF,34,13,NBA,BRK,62,1191,0.469,9.4,0.723,0.476,0.192,0.033,0.023,0.277,0.545,0.651,0.39,0.2,0.143,0.271,0.512,0.913,0.091,25,0.376,0.313,0,0
29988,2022,4950,Jamorko Pickett,NA,PF,24,1,NBA,DET,13,176,0.36,21.1,0.22,0.04,0.16,0,0.02,0.78,0.455,0.5,0.5,NA,0,0.333,0.8,0.923,0.02,1,0.359,0.357,0,0
29989,2022,4255,JaMychal Green,NA,PF,31,8,NBA,DEN,67,1085,0.486,12.1,0.621,0.391,0.156,0.034,0.04,0.379,0.621,0.734,0.392,0.273,0.692,0.266,0.69,1,0.217,61,0.306,0.342,2,0
29990,2022,4951,JaQuori McLaughlin,NA,PG,24,1,NBA,DAL,4,11,0,21.9,0.5,0,0,0,0.5,0.5,0,NA,NA,NA,0,0,NA,NA,0,0,1,0,0,0
29991,2022,4952,Jared Butler,NA,SG,21,1,NBA,UTA,42,360,0.404,18.4,0.417,0.066,0.232,0.066,0.053,0.583,0.524,0.6,0.429,0.6,0.75,0.318,0.182,0.5,0,0,0.114,0.3,1,0
29992,2022,4726,Jared Harper,NA,PG,24,3,NBA,NOP,5,43,0.538,16.8,0.538,0.192,0.115,0.077,0.154,0.462,0.643,0.4,1,0.5,0.75,0.417,0.333,0.6,0.038,1,0.083,1,0,0
29993,2022,4632,Jaren Jackson Jr.,NA,PF,22,4,NBA,MEM,78,2126,0.415,13.1,0.613,0.218,0.335,0.055,0.005,0.387,0.476,0.615,0.395,0.421,0.4,0.319,0.563,0.984,0.051,46,0.175,0.257,1,0
29994,2022,4634,Jarred Vanderbilt,NA,PF,22,4,NBA,MIN,74,1880,0.587,3.1,0.961,0.726,0.211,0.022,0.003,0.039,0.605,0.71,0.289,0.25,0,0.143,0.69,1,0.343,117,0.643,0.222,0,0
29995,2022,4515,Jarrett Allen,NA,C,23,5,NBA,CLE,56,1809,0.677,3.8,0.982,0.624,0.294,0.046,0.018,0.018,0.688,0.809,0.469,0.48,0.6,0.1,0.734,0,0.343,164,0.6,0,0,0
29996,2022,4728,Jarrett Culver,NA,SG,22,3,NBA,MEM,37,338,0.378,13.5,0.652,0.259,0.193,0.081,0.119,0.348,0.443,0.543,0.346,0.364,0.438,0.255,0.41,0.833,0.044,4,0.191,0.222,0,0
29997,2022,4953,Jarron Cumberland,NA,SG,24,1,NBA,POR,3,12,0.5,15.8,0.5,0.5,0,0,0,0.5,1,1,NA,NA,NA,0,1,NA,0,0,0,NA,0,0
29998,2022,3824,JaVale McGee,NA,C,34,14,NBA,PHO,74,1172,0.629,4.3,0.98,0.535,0.371,0.052,0.022,0.02,0.637,0.706,0.588,0.375,0.4,0.222,0.692,1,0.229,100,0,NA,0,0
29999,2022,4954,Javin DeLaurier,NA,C,23,1,NBA,MIL,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
30000,2022,4729,Javonte Green,NA,SF,28,3,NBA,CHI,65,1519,0.542,9.1,0.689,0.535,0.123,0.031,0,0.311,0.625,0.695,0.425,0.2,NA,0.356,0.679,1,0.194,58,0.594,0.433,0,0
30001,2022,4955,Javonte Smart,NA,PG,22,1,NBA,TOT,17,200,0.317,16.3,0.55,0.183,0.167,0.133,0.067,0.45,0.333,0.545,0.3,0.125,0.25,0.296,0.364,0.875,0,0,0.148,0.5,1,0
30002,2022,4955,Javonte Smart,NA,PG,22,1,NBA,MIL,13,160,0.256,15.4,0.581,0.209,0.14,0.14,0.093,0.419,0.28,0.556,0,0.167,0.25,0.222,0.429,1,0,0,0.167,0.333,0,0
30003,2022,4955,Javonte Smart,NA,PG,22,1,NBA,MIA,4,40,0.471,18.5,0.471,0.118,0.235,0.118,0,0.529,0.5,0.5,0.75,0,NA,0.444,0.25,0.75,0,0,0.111,1,1,0
30004,2022,4730,Jaxson Hayes,NA,C,21,3,NBA,NOP,70,1398,0.616,6.6,0.857,0.54,0.259,0.04,0.018,0.143,0.66,0.777,0.485,0.375,0.286,0.351,0.76,0.95,0.281,105,0.316,0.278,1,0
30005,2022,4956,Jay Huff,NA,C,23,1,NBA,LAL,4,20,0,19.9,0.333,0,0.333,0,0,0.667,0,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,0
30006,2022,4847,Jay Scrubb,NA,SG,21,2,NBA,LAC,18,121,0.391,16.2,0.543,0.239,0.087,0.13,0.087,0.457,0.48,0.545,0.5,0.5,0.25,0.286,0.333,0.667,0.043,1,0.143,0.667,0,0
30007,2022,4415,Jaylen Brown,NA,SF,25,6,NBA,BOS,66,2220,0.473,15,0.619,0.196,0.233,0.094,0.096,0.381,0.544,0.766,0.428,0.474,0.444,0.358,0.471,0.759,0.034,31,0.185,0.337,2,0
30008,2022,4731,Jaylen Hoard,NA,SF,22,3,NBA,OKC,7,240,0.489,10,0.722,0.322,0.344,0.033,0.022,0.278,0.538,0.724,0.387,0.333,0.5,0.36,0.429,0.889,0.044,4,0.28,0.571,0,0
30009,2022,4517,Jaylen Morris,NA,SG,26,3,NBA,SAS,3,16,0,11.6,0.667,0.5,0.167,0,0,0.333,0,0,0,NA,NA,0,NA,NA,0.167,0,0,NA,0,0
30010,2022,4732,Jaylen Nowell,NA,SG,22,3,NBA,MIN,62,975,0.475,14.1,0.613,0.203,0.225,0.143,0.041,0.387,0.526,0.679,0.43,0.508,0.353,0.394,0.429,0.778,0.022,8,0.169,0.407,2,0
30011,2022,4957,Jaysean Paige,NA,PG,27,1,NBA,DET,1,7,0,23.7,0.333,0,0,0,0.333,0.667,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0
30012,2022,4518,Jayson Tatum,NA,SF,23,5,NBA,BOS,76,2731,0.453,15.5,0.584,0.219,0.176,0.087,0.101,0.416,0.524,0.741,0.413,0.324,0.418,0.353,0.429,0.565,0.052,76,0.121,0.38,2,0
30013,2022,4958,Jeff Dowtin,NA,PG,24,1,NBA,TOT,9,108,0.308,14.8,0.654,0.115,0.231,0.192,0.115,0.346,0.412,0.667,0.333,0.2,0.667,0.111,0.143,1,0,0,0.556,0.2,0,0
30014,2022,4958,Jeff Dowtin,NA,PG,24,1,NBA,GSW,4,28,0.5,13.8,0.833,0,0.333,0.167,0.333,0.167,0.6,NA,0.5,1,0.5,0,0,NA,0,0,1,0,0,0
30015,2022,4958,Jeff Dowtin,NA,PG,24,1,NBA,MIL,1,3,0,23.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,0
30016,2022,4958,Jeff Dowtin,NA,PG,24,1,NBA,ORL,4,77,0.263,14.6,0.632,0.158,0.211,0.211,0.053,0.368,0.333,0.667,0.25,0,1,0.143,0.25,1,0,0,0.429,0.333,0,0
30017,2022,3761,Jeff Green,NA,C,35,14,NBA,DEN,75,1849,0.524,11.3,0.682,0.342,0.233,0.078,0.03,0.318,0.62,0.79,0.496,0.415,0.188,0.315,0.821,0.981,0.153,74,0.548,0.315,2,0
30018,2022,4636,Jemerrio Jones,NA,SF,26,2,NBA,LAL,2,15,0.667,2.7,1,0.667,0.333,0,0,0,0.667,1,0,NA,NA,NA,0.5,NA,0,0,NA,NA,0,0
30019,2022,4257,Jerami Grant,NA,PF,27,8,NBA,DET,47,1500,0.426,15.2,0.637,0.202,0.149,0.106,0.18,0.363,0.465,0.631,0.442,0.243,0.429,0.358,0.498,0.967,0.049,29,0.358,0.33,1,0
30020,2022,4959,Jeremiah Robinson-Earl,NA,C,21,1,NBA,OKC,49,1087,0.414,15.3,0.491,0.244,0.151,0.062,0.034,0.509,0.478,0.608,0.429,0.2,0.273,0.352,0.75,1,0.056,15,0.279,0.348,0,0
30021,2022,4096,Jeremy Lamb,NA,SF-SG,29,10,NBA,TOT,56,935,0.383,17.4,0.51,0.089,0.202,0.147,0.072,0.49,0.441,0.581,0.4,0.412,0.44,0.324,0.346,0.818,0,0,0.188,0.313,4,0
30022,2022,4096,Jeremy Lamb,NA,SF,29,10,NBA,IND,39,613,0.373,18,0.487,0.083,0.184,0.154,0.066,0.513,0.414,0.474,0.405,0.4,0.4,0.333,0.326,0.897,0,0,0.205,0.333,3,0
30023,2022,4096,Jeremy Lamb,NA,SG,29,10,NBA,SAC,17,322,0.403,16.3,0.555,0.101,0.235,0.134,0.084,0.445,0.485,0.75,0.393,0.438,0.5,0.302,0.375,0.625,0,0,0.151,0.25,1,0
30024,2022,4960,Jericho Sims,NA,PF,23,1,NBA,NYK,41,555,0.722,2,1,0.815,0.148,0.037,0,0,0.722,0.795,0.5,0,NA,NA,0.795,NA,0.63,33,NA,NA,0,0
30025,2022,4638,Jevon Carter,NA,PG,26,4,NBA,TOT,66,905,0.387,21.2,0.328,0.055,0.043,0.067,0.162,0.672,0.386,0.429,0.273,0.471,0.366,0.388,0.438,0.773,0.004,1,0.324,0.473,1,0
30026,2022,4638,Jevon Carter,NA,PG,26,4,NBA,BRK,46,552,0.333,22.2,0.27,0.04,0.023,0.057,0.149,0.73,0.34,0.143,0.25,0.4,0.385,0.331,0.563,0.786,0.006,1,0.276,0.4,1,0
30027,2022,4638,Jevon Carter,NA,PG,26,4,NBA,MIL,20,353,0.506,18.9,0.456,0.089,0.089,0.089,0.19,0.544,0.444,0.714,0.286,0.571,0.333,0.558,0.313,0.75,0,0,0.465,0.6,0,0
30028,2022,4023,Jimmy Butler,NA,SF,32,11,NBA,MIA,57,1931,0.48,9.6,0.86,0.306,0.291,0.195,0.068,0.14,0.52,0.701,0.415,0.457,0.339,0.233,0.377,0.778,0.051,38,0.466,0.278,2,0
30029,2022,4961,Jock Landale,NA,C,26,1,NBA,SAS,54,589,0.495,13.3,0.564,0.368,0.152,0.025,0.02,0.436,0.626,0.707,0.484,0.2,0.75,0.326,0.708,1,0.118,23,0.225,0.4,1,0
30030,2022,4260,Joe Harris,NA,SF,30,8,NBA,BRK,14,423,0.452,19.6,0.29,0.113,0.105,0.048,0.024,0.71,0.417,0.429,0.385,0.5,0.333,0.466,0.867,1,0,0,0.307,0.63,0,0
30031,2022,4261,Joe Ingles,NA,SF,34,8,NBA,UTA,45,1122,0.404,21.3,0.211,0.039,0.147,0.014,0.011,0.789,0.617,0.818,0.619,0.25,0.333,0.347,0.595,0.756,0,0,0.187,0.405,0,0
30032,2022,3327,Joe Johnson,NA,SG,40,18,NBA,BOS,1,2,1,18.1,1,0,0,0,1,0,1,NA,NA,NA,1,NA,0,NA,0,0,NA,NA,0,0
30033,2022,4962,Joe Wieskamp,NA,SG,22,1,NBA,SAS,29,205,0.357,21.5,0.232,0.071,0.054,0.036,0.071,0.768,0.462,0.75,0.333,0.5,0.25,0.326,0.5,0.929,0,0,0.209,0.111,0,0
30034,2022,4963,Joel Ayayi,NA,SG,21,1,NBA,WAS,7,20,0.167,12.6,0.833,0.167,0.333,0.167,0.167,0.167,0.2,0,0,1,0,0,0,NA,0,0,0,NA,0,0
30035,2022,4417,Joel Embiid,NA,C,27,6,NBA,PHI,68,2297,0.499,11.9,0.812,0.253,0.194,0.24,0.124,0.188,0.529,0.763,0.409,0.431,0.428,0.371,0.513,0.71,0.06,74,0.048,0.25,1,0
30036,2022,4519,John Collins,NA,PF,24,5,NBA,ATL,54,1663,0.526,11.9,0.727,0.331,0.207,0.126,0.064,0.273,0.588,0.751,0.451,0.432,0.488,0.364,0.793,0.984,0.146,85,0.318,0.375,0,0
30037,2022,4734,John Konchar,NA,SG,25,3,NBA,MEM,72,1292,0.515,14.3,0.519,0.332,0.092,0.053,0.042,0.481,0.61,0.736,0.458,0.429,0.182,0.413,0.614,0.923,0.08,18,0.46,0.448,0,0
30038,2022,4964,Jon Teske,NA,C,24,1,NBA,MEM,3,8,0,15.5,1,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0
30039,2022,4100,Jonas Valančiūnas,NA,C,29,10,NBA,NOP,74,2240,0.544,9.1,0.832,0.333,0.324,0.132,0.043,0.168,0.581,0.696,0.52,0.484,0.45,0.361,0.627,0.982,0.064,53,0.019,0.333,0,0
30040,2022,4965,Jonathan Kuminga,NA,SF,19,1,NBA,GSW,70,1185,0.513,11,0.676,0.341,0.276,0.043,0.015,0.324,0.598,0.771,0.433,0.4,0.286,0.336,0.608,1,0.172,74,0.349,0.25,2,0
30041,2022,4523,Jordan Bell,NA,C,27,5,NBA,CHI,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
30042,2022,4265,Jordan Clarkson,NA,SG,29,8,NBA,UTA,79,2141,0.419,16.9,0.464,0.099,0.272,0.075,0.018,0.536,0.535,0.627,0.515,0.554,0.25,0.318,0.221,0.674,0.012,8,0.193,0.348,2,0
30043,2022,4966,Jordan Goodwin,NA,SG,23,1,NBA,WAS,2,6,0,16.6,0.667,0.333,0,0,0.333,0.333,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,0,0
30044,2022,4736,Jordan McLaughlin,NA,PG,25,3,NBA,MIN,62,902,0.44,13.3,0.575,0.29,0.23,0.05,0.005,0.425,0.53,0.707,0.326,0.4,1,0.318,0.492,0.852,0.015,3,0.365,0.516,3,0
30045,2022,4849,Jordan Nwora,NA,SF,23,2,NBA,MIL,62,1185,0.403,16.8,0.509,0.188,0.13,0.097,0.093,0.491,0.455,0.667,0.35,0.333,0.302,0.348,0.617,0.747,0.03,10,0.295,0.343,0,0
30046,2022,4737,Jordan Poole,NA,SG,22,3,NBA,GSW,76,2283,0.448,17.8,0.452,0.142,0.182,0.066,0.061,0.548,0.55,0.68,0.523,0.457,0.431,0.364,0.414,0.706,0.019,16,0.16,0.355,5,1
30047,2022,4967,Jordan Schakel,NA,SG,23,1,NBA,WAS,4,30,0.091,17.8,0.455,0.091,0.273,0,0.091,0.545,0,0,0,NA,0,0.167,NA,1,0,0,0.167,0,0,0
30048,2022,4968,Jose Alvarado,NA,PG,23,1,NBA,NOP,54,834,0.446,13.6,0.626,0.235,0.248,0.099,0.044,0.374,0.538,0.609,0.507,0.483,0.462,0.291,0.303,0.969,0,0,0.227,0.32,1,0
30049,2022,4969,Josh Christopher,NA,SG,20,1,NBA,HOU,74,1334,0.448,13.3,0.622,0.3,0.188,0.114,0.02,0.378,0.54,0.647,0.532,0.333,0.2,0.296,0.423,0.768,0.078,35,0.217,0.317,6,0
30050,2022,4970,Josh Giddey,NA,SG,19,1,NBA,OKC,54,1700,0.419,12.7,0.682,0.196,0.336,0.097,0.054,0.318,0.492,0.649,0.444,0.431,0.333,0.263,0.302,0.821,0.009,4,0.202,0.326,0,0
30051,2022,4850,Josh Green,NA,SG,21,2,NBA,DAL,67,1039,0.508,11.1,0.695,0.328,0.227,0.098,0.043,0.305,0.573,0.786,0.397,0.4,0.273,0.359,0.784,1,0.082,20,0.679,0.396,1,0
30052,2022,4525,Josh Hart,NA,SG-SF,26,5,NBA,TOT,54,1791,0.504,12.4,0.626,0.399,0.134,0.06,0.033,0.374,0.601,0.705,0.434,0.382,0.421,0.343,0.472,0.74,0.035,19,0.169,0.583,0,0
30053,2022,4525,Josh Hart,NA,SG,26,5,NBA,NOP,41,1374,0.505,11.4,0.663,0.44,0.137,0.052,0.034,0.337,0.598,0.688,0.415,0.4,0.462,0.323,0.503,0.857,0.039,14,0.208,0.593,0,0
30054,2022,4525,Josh Hart,NA,SF,26,5,NBA,POR,13,417,0.503,14.5,0.546,0.311,0.126,0.077,0.033,0.454,0.61,0.754,0.478,0.357,0.333,0.373,0.393,0.581,0.027,5,0.108,0.556,0,0
30055,2022,4526,Josh Jackson,NA,SF,24,5,NBA,TOT,51,830,0.4,14.9,0.567,0.243,0.17,0.06,0.093,0.433,0.512,0.712,0.392,0.389,0.286,0.254,0.517,0.879,0.043,9,0.238,0.194,0,0
30056,2022,4526,Josh Jackson,NA,SF,24,5,NBA,DET,39,707,0.41,15.2,0.55,0.243,0.163,0.056,0.088,0.45,0.529,0.721,0.39,0.429,0.318,0.265,0.507,0.867,0.052,9,0.257,0.207,0,0
30057,2022,4526,Josh Jackson,NA,SF,24,5,NBA,SAC,12,123,0.347,13.7,0.653,0.245,0.204,0.082,0.122,0.347,0.438,0.667,0.4,0.25,0.167,0.176,0.571,1,0,0,0.118,0,0,0
30058,2022,4644,Josh Okogie,NA,SG,23,4,NBA,MIN,49,516,0.404,12.3,0.548,0.365,0.173,0.01,0,0.452,0.491,0.526,0.444,0,NA,0.298,0.607,1,0.115,9,0.468,0.182,0,0
30059,2022,4336,Josh Richardson,NA,SG,28,7,NBA,TOT,65,1600,0.438,17.4,0.539,0.107,0.154,0.178,0.101,0.461,0.458,0.649,0.39,0.432,0.407,0.415,0.477,0.99,0.017,8,0.183,0.422,1,0
30060,2022,4336,Josh Richardson,NA,SG,28,7,NBA,BOS,44,1087,0.443,17.4,0.545,0.105,0.155,0.175,0.111,0.455,0.481,0.694,0.453,0.4,0.447,0.397,0.444,0.984,0.012,3,0.218,0.353,0,0
30061,2022,4336,Josh Richardson,NA,SG,28,7,NBA,SAS,21,513,0.429,17.4,0.529,0.11,0.152,0.183,0.084,0.471,0.416,0.571,0.276,0.486,0.313,0.444,0.548,1,0.026,5,0.122,0.636,1,0
30062,2022,4971,Joshua Primo,NA,SG,19,1,NBA,SAS,50,965,0.374,15.9,0.493,0.2,0.178,0.07,0.044,0.507,0.444,0.611,0.375,0.263,0.25,0.307,0.525,0.929,0.033,8,0.35,0.271,1,0
30063,2022,3891,Jrue Holiday,NA,PG,31,13,NBA,MIL,67,2207,0.501,13.6,0.664,0.222,0.246,0.124,0.071,0.336,0.547,0.651,0.464,0.542,0.515,0.411,0.197,0.432,0.004,4,0.103,0.364,1,0
