seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
29673,2022,4064,Andre Drummond,NA,C,28,10,NBA,PHI,49,902,0.538,2.7,0.992,0.706,0.265,0.021,0,0.008,0.542,0.643,0.286,0.4,NA,0,0.539,NA,0.235,48,0,NA,1,0
29674,2022,4064,Andre Drummond,NA,C,28,10,NBA,BRK,24,535,0.61,3,0.995,0.708,0.256,0.021,0.01,0.005,0.613,0.638,0.62,0,0,0,0.647,NA,0.267,45,0,NA,1,0
29675,2022,3500,Andre Iguodala,NA,SF,38,18,NBA,GSW,31,603,0.38,18.1,0.388,0.207,0.116,0.025,0.041,0.612,0.617,0.76,0.571,0,0.4,0.23,0.621,0.941,0.157,17,0.338,0.24,3,0
29676,2022,4223,Andrew Wiggins,NA,SF,26,8,NBA,GSW,73,2329,0.466,14.9,0.608,0.161,0.242,0.094,0.111,0.392,0.513,0.732,0.49,0.365,0.372,0.393,0.497,0.898,0.051,45,0.261,0.442,0,0
29677,2022,4586,Anfernee Simons,NA,SG,22,4,NBA,POR,57,1681,0.443,19,0.445,0.113,0.118,0.109,0.105,0.555,0.49,0.567,0.489,0.483,0.417,0.405,0.195,0.654,0.011,8,0.09,0.4,2,0
29678,2022,4066,Anthony Davis,NA,C,28,10,NBA,LAL,40,1404,0.532,9.6,0.899,0.376,0.193,0.15,0.181,0.101,0.571,0.793,0.485,0.317,0.413,0.186,0.647,0.846,0.177,111,0.1,0.429,0,0
29679,2022,4808,Anthony Edwards,NA,SG,20,2,NBA,MIN,72,2466,0.441,15.2,0.516,0.282,0.129,0.055,0.051,0.484,0.519,0.658,0.356,0.338,0.359,0.357,0.365,0.553,0.055,58,0.086,0.327,2,0
29680,2022,4809,Anthony Gill,NA,PF,29,2,NBA,WAS,44,463,0.569,9.2,0.761,0.294,0.45,0.018,0,0.239,0.578,0.625,0.551,0.5,NA,0.538,0.771,1,0.046,3,0.462,0.583,0,0
29681,2022,4810,Anthony Lamb,NA,SF,24,2,NBA,SAS,2,8,0,27.1,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0
29682,2022,4811,Armoni Brooks,NA,SG-PG,23,2,NBA,TOT,54,844,0.339,23.4,0.138,0.083,0.035,0.01,0.01,0.862,0.6,0.708,0.6,0,0.333,0.297,0.667,0.824,0.014,3,0.137,0.265,1,0
29683,2022,4811,Armoni Brooks,NA,SG,23,2,NBA,HOU,41,690,0.347,23.2,0.151,0.092,0.036,0.012,0.012,0.849,0.605,0.739,0.556,0,0.333,0.3,0.652,0.813,0.016,3,0.131,0.25,1,0
29684,2022,4811,Armoni Brooks,NA,PG,23,2,NBA,TOR,13,154,0.289,24.7,0.053,0.026,0.026,0,0,0.947,0.5,0,1,NA,NA,0.278,1,0.9,0,0,0.167,0.333,0,0
29685,2022,4905,Arnoldas Kulboka,NA,SF,24,1,NBA,CHO,2,5,0,23.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,0
29686,2022,4906,Austin Reaves,NA,SG,23,1,NBA,LAL,61,1418,0.459,16.6,0.475,0.211,0.157,0.066,0.041,0.525,0.616,0.746,0.56,0.571,0.231,0.317,0.559,0.981,0.019,6,0.287,0.354,3,0
29687,2022,4069,Austin Rivers,NA,SG,29,10,NBA,DEN,67,1480,0.417,17.9,0.34,0.16,0.151,0.02,0.009,0.66,0.563,0.75,0.453,0.143,0,0.342,0.463,0.848,0.006,2,0.45,0.471,0,0
29688,2022,3918,Avery Bradley,NA,SG,31,12,NBA,LAL,62,1406,0.423,18.1,0.4,0.137,0.091,0.083,0.089,0.6,0.471,0.604,0.281,0.483,0.452,0.39,0.636,0.939,0.003,1,0.538,0.381,0,0
29689,2022,4907,Ayo Dosunmu,NA,SG,22,1,NBA,CHI,77,2110,0.52,12.3,0.652,0.368,0.114,0.097,0.073,0.348,0.596,0.701,0.377,0.481,0.564,0.376,0.572,0.986,0.045,20,0.489,0.407,1,1
29690,2022,4588,B.J. Johnson,NA,SF,26,3,NBA,ORL,4,65,0.44,16.9,0.6,0.2,0.08,0.12,0.2,0.4,0.467,0.4,0,0.667,0.6,0.4,0.714,1,0.04,1,0.2,0.5,0,0
29691,2022,4472,Bam Adebayo,NA,C,24,5,NBA,MIA,56,1825,0.557,7,0.992,0.395,0.309,0.2,0.088,0.008,0.562,0.771,0.467,0.404,0.313,0,0.608,NA,0.181,119,0,NA,2,0
29692,2022,4148,Ben McLemore,NA,SG,28,9,NBA,POR,64,1285,0.401,21.9,0.226,0.091,0.033,0.006,0.096,0.774,0.533,0.694,0.389,0.333,0.442,0.362,0.846,0.967,0.017,8,0.309,0.488,2,0
29693,2022,3984,Bismack Biyombo,NA,C,29,11,NBA,PHO,36,506,0.593,4.3,1,0.517,0.393,0.083,0.007,0,0.593,0.747,0.474,0.25,0,NA,0.744,NA,0.234,34,NA,NA,0,0
29694,2022,3920,Blake Griffin,NA,PF,32,12,NBA,BRK,56,958,0.425,13.5,0.537,0.339,0.15,0.035,0.013,0.463,0.565,0.613,0.532,0.273,0.5,0.262,0.621,0.947,0.058,13,0.262,0.237,1,0
29695,2022,4306,Boban Marjanović,NA,C,33,7,NBA,DAL,23,128,0.6,7,0.943,0.329,0.414,0.171,0.029,0.057,0.621,0.783,0.552,0.417,1,0.25,0.732,1,0.129,9,0,NA,0,0
29696,2022,4307,Bobby Portis,NA,C,26,7,NBA,MIL,72,2028,0.479,14.5,0.612,0.219,0.185,0.126,0.082,0.388,0.533,0.644,0.497,0.455,0.437,0.393,0.556,1,0.037,24,0.382,0.403,2,0
29697,2022,4475,Bogdan Bogdanović,NA,SG,29,5,NBA,ATL,63,1848,0.431,19.2,0.422,0.112,0.113,0.107,0.089,0.578,0.516,0.629,0.433,0.518,0.479,0.368,0.382,0.793,0.005,3,0.231,0.453,3,0
29698,2022,4224,Bojan Bogdanović,NA,PF,32,8,NBA,UTA,69,2131,0.455,15.6,0.496,0.147,0.25,0.084,0.015,0.504,0.524,0.684,0.483,0.41,0.286,0.387,0.568,0.917,0.016,11,0.376,0.42,0,0
29699,2022,4692,Bol Bol,NA,PF,22,3,NBA,DEN,14,81,0.556,10.6,0.852,0.296,0.185,0.296,0.074,0.148,0.609,0.875,0.8,0.375,0,0.25,1,1,0.222,5,0.25,0,0,0
29700,2022,4908,Bones Hyland,NA,PG,21,1,NBA,DEN,69,1310,0.403,19.4,0.373,0.123,0.13,0.072,0.049,0.627,0.465,0.7,0.284,0.341,0.536,0.366,0.364,0.687,0.009,3,0.173,0.306,2,0
29701,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,TOT,23,320,0.364,13.4,0.779,0.208,0.208,0.169,0.195,0.221,0.4,0.438,0.438,0.462,0.267,0.235,0.458,1,0,0,0.118,0,1,0
29702,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,IND,22,293,0.361,13.3,0.764,0.222,0.222,0.139,0.181,0.236,0.4,0.438,0.438,0.4,0.308,0.235,0.409,1,0,0,0.118,0,1,0
29703,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,WAS,1,27,0.4,14.7,1,0,0,0.6,0.4,0,0.4,NA,NA,0.667,0,NA,1,NA,0,0,NA,NA,0,0
29704,2022,4072,Bradley Beal,NA,SG,28,10,NBA,WAS,40,1439,0.451,13.1,0.728,0.197,0.252,0.171,0.108,0.272,0.508,0.697,0.407,0.47,0.458,0.3,0.365,0.603,0.017,13,0.238,0.38,0,0
29705,2022,4909,Brandon Boston Jr.,NA,SG,20,1,NBA,LAC,51,760,0.385,14.7,0.658,0.258,0.126,0.123,0.151,0.342,0.425,0.631,0.122,0.45,0.306,0.306,0.615,0.588,0.062,15,0.207,0.391,3,0
29706,2022,4693,Brandon Clarke,NA,PF,25,3,NBA,MEM,64,1246,0.644,5.4,0.951,0.508,0.311,0.116,0.016,0.049,0.666,0.775,0.568,0.462,0.571,0.227,0.7,1,0.181,77,0.682,0.2,0,0
29707,2022,4592,Brandon Goodwin,NA,PG,26,4,NBA,CLE,36,502,0.416,13.9,0.643,0.266,0.201,0.117,0.058,0.357,0.455,0.634,0.355,0.333,0.222,0.345,0.244,0.632,0,0,0.145,0.25,2,0
29708,2022,4379,Brandon Ingram,NA,SF,24,6,NBA,NOP,55,1869,0.461,14.6,0.77,0.14,0.152,0.249,0.229,0.23,0.501,0.681,0.436,0.506,0.427,0.327,0.401,0.892,0.045,39,0.133,0.4,3,1
29709,2022,3985,Brandon Knight,NA,PG,30,9,NBA,DAL,5,65,0.4,19.4,0.32,0.28,0.04,0,0,0.68,0.75,0.857,0,NA,NA,0.235,0.667,0.75,0,0,0.118,0,1,0
29710,2022,4910,Brandon Williams,1999,PG,22,1,NBA,POR,24,640,0.372,14.1,0.624,0.259,0.184,0.099,0.082,0.376,0.42,0.507,0.327,0.429,0.348,0.292,0.311,0.71,0.004,1,0.208,0.455,3,0
29711,2022,4911,Braxton Key,NA,SF,24,1,NBA,TOT,11,197,0.458,11,0.708,0.292,0.292,0.069,0.056,0.292,0.529,0.762,0.476,0.2,0,0.286,0.741,0.833,0.097,6,0.429,0.333,0,0
29712,2022,4911,Braxton Key,NA,SF,24,1,NBA,PHI,2,6,0.5,12.7,0.5,0.5,0,0,0,0.5,1,1,NA,NA,NA,0,0,NA,0,0,0,NA,0,0
29713,2022,4911,Braxton Key,NA,SF,24,1,NBA,DET,9,191,0.457,11,0.714,0.286,0.3,0.071,0.057,0.286,0.52,0.75,0.476,0.2,0,0.3,0.769,0.833,0.1,6,0.45,0.333,0,0
29714,2022,4813,Brodric Thomas,NA,SG,25,2,NBA,BOS,12,60,0.444,14.5,0.5,0.389,0.111,0,0,0.5,0.667,0.857,0,NA,NA,0.222,0.833,0.5,0.167,1,0.111,0,0,0
29715,2022,3801,Brook Lopez,NA,C,33,14,NBA,MIL,13,298,0.466,13.2,0.595,0.298,0.198,0.084,0.015,0.405,0.538,0.821,0.346,0.091,0,0.358,0.714,0.947,0.122,15,0.34,0.5,0,0
29716,2022,4594,Bruce Brown,NA,SF,25,4,NBA,BRK,72,1774,0.506,8.4,0.814,0.393,0.302,0.103,0.016,0.186,0.529,0.693,0.379,0.404,0.125,0.404,0.743,0.974,0.071,34,0.649,0.41,0,0
29717,2022,4695,Bruno Fernando,NA,C,23,3,NBA,TOT,30,152,0.655,7,0.964,0.582,0.291,0.036,0.055,0.036,0.66,0.719,0.625,0.5,0.333,0.5,0.714,1,0.309,17,0.5,0,0,0
29718,2022,4695,Bruno Fernando,NA,C,23,3,NBA,BOS,20,58,0.5,17.9,0.929,0.5,0.071,0.143,0.214,0.071,0.462,0.571,0,0.5,0.333,1,0.5,1,0.143,2,0,NA,0,0
29719,2022,4695,Bruno Fernando,NA,C,23,3,NBA,HOU,10,94,0.707,3.2,0.976,0.61,0.366,0,0,0.024,0.725,0.76,0.667,NA,NA,0,0.759,NA,0.366,15,1,0,0,0
