seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
29713,2022,4911,Braxton Key,NA,SF,24,1,NBA,DET,9,0,191,8.2,17.9,0.457,1.5,5.1,0.3,6.6,12.8,0.52,1.8,3.3,0.538,3.1,9.2,12.3,2.6,2.3,2.8,2.3,6.4,19.7,101,108
29714,2022,4813,Brodric Thomas,NA,SG,25,2,NBA,BOS,12,0,60,6.6,14.9,0.444,1.7,7.5,0.222,5,7.5,0.667,2.5,4.1,0.6,1.7,6.6,8.3,9.1,0.8,0.8,5,5.8,17.4,101,109
29715,2022,3801,Brook Lopez,NA,C,33,14,NBA,MIL,13,11,298,9.8,21.1,0.466,3.1,8.5,0.358,6.8,12.6,0.538,3.2,3.7,0.87,3.1,5.5,8.5,1,1.3,2.4,1.9,5.5,25.9,112,111
29716,2022,4594,Bruce Brown,NA,SF,25,4,NBA,BRK,72,45,1774,7,13.8,0.506,1,2.6,0.404,6,11.3,0.529,2.7,3.5,0.758,2.7,6.7,9.4,4,2.1,1.4,1.5,4.8,17.7,121,111
29717,2022,4695,Bruno Fernando,NA,C,23,3,NBA,TOT,30,0,152,11.5,17.5,0.655,0.3,0.6,0.5,11.1,16.9,0.66,4.8,7.6,0.625,5.7,11.8,17.5,2.2,0.3,3.5,4.5,7.6,28,116,110
29718,2022,4695,Bruno Fernando,NA,C,23,3,NBA,BOS,20,0,58,6,12,0.5,0.9,0.9,1,5.1,11.1,0.462,3.4,4.3,0.8,6,6.9,12.9,3.4,0,2.6,4.3,5.1,16.3,110,109
29719,2022,4695,Bruno Fernando,NA,C,23,3,NBA,HOU,10,0,94,14.7,20.8,0.707,0,0.5,0,14.7,20.3,0.725,5.6,9.6,0.579,5.6,14.7,20.3,1.5,0.5,4.1,4.6,9.1,34.9,118,110
29720,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,TOT,75,2,1286,8.7,20.3,0.429,4.6,11.1,0.414,4.1,9.2,0.447,3,3.3,0.908,0.4,3.1,3.5,2.8,0.9,0.2,2.1,3.6,25,109,117
29721,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,SAS,40,1,676,9.1,21,0.432,4.5,10.7,0.417,4.6,10.3,0.448,3.1,3.5,0.898,0.3,4.2,4.5,2.9,1.2,0.2,2.3,3,25.8,107,116
29722,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,DEN,35,1,610,8.3,19.5,0.424,4.7,11.6,0.41,3.5,8,0.444,2.8,3.1,0.921,0.5,1.9,2.4,2.7,0.6,0.2,1.8,4.3,24.1,110,118
29723,2022,4382,Buddy Hield,NA,SG,29,6,NBA,TOT,81,32,2499,8.6,21.3,0.406,5.1,13.9,0.366,3.6,7.4,0.482,2.2,2.5,0.874,1.3,5.6,6.8,4.4,1.4,0.5,3,3.6,24.5,105,117
29724,2022,4382,Buddy Hield,NA,SG,29,6,NBA,SAC,55,6,1574,8.1,21.2,0.382,5.6,15.1,0.368,2.5,6.1,0.419,2.4,2.8,0.87,1.3,5.4,6.8,3.2,1.5,0.5,2.8,3.5,24.2,103,117
29725,2022,4382,Buddy Hield,NA,SG,29,6,NBA,IND,26,26,925,9.6,21.4,0.447,4.2,11.7,0.362,5.3,9.7,0.549,1.6,1.9,0.886,1.2,5.8,7,6.6,1.3,0.5,3.3,3.8,25,110,118
29726,2022,3582,C.J. Miles,NA,SG,34,16,NBA,BOS,1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,24.8,0,NA,115
29727,2022,4912,Cade Cunningham,NA,PG,20,1,NBA,DET,64,64,2088,10,24.1,0.416,2.7,8.5,0.314,7.4,15.6,0.472,3.3,3.9,0.845,1.4,6.9,8.3,8.3,1.8,1,5.5,4.7,26,96,113
29728,2022,4696,Caleb Martin,NA,SF,26,3,NBA,MIA,60,12,1372,7.6,15,0.507,2.3,5.7,0.413,5.3,9.3,0.565,2.6,3.4,0.763,2.6,5.8,8.4,2.3,2.1,1.1,1.9,3.8,20.1,119,108
29729,2022,4697,Cam Reddish,NA,SF,22,3,NBA,TOT,49,7,1012,8,19.9,0.404,3.2,9,0.359,4.8,10.9,0.442,4.9,5.5,0.902,1.2,3.9,5.1,2.3,2.3,0.7,2.8,2.9,24.2,105,114
29730,2022,4697,Cam Reddish,NA,SF,22,3,NBA,ATL,34,7,797,8.5,21.2,0.402,3.6,9.4,0.379,4.9,11.7,0.421,4.4,4.9,0.9,1.2,3.9,5.2,2.3,2.2,0.7,2.7,2.8,25,104,115
29731,2022,4697,Cam Reddish,NA,SF,22,3,NBA,NYK,15,0,215,6.3,15.1,0.415,1.9,7.2,0.258,4.4,7.9,0.559,6.7,7.4,0.906,1.2,3.7,4.9,2.3,2.8,0.9,3,3.5,21.2,109,110
29732,2022,4913,Cam Thomas,NA,SG,20,1,NBA,BRK,67,2,1176,9,20.7,0.433,1.9,7.2,0.27,7,13.6,0.52,3.6,4.3,0.829,0.7,6,6.6,3.2,1.4,0.3,2.3,2.7,23.5,103,115
29733,2022,4698,Cameron Johnson,NA,PF,25,3,NBA,PHO,66,16,1730,7.8,16.9,0.46,4.6,10.9,0.425,3.1,6,0.523,2.7,3.2,0.86,1.2,6.4,7.6,2.8,1.6,0.4,1.3,3.1,22.9,123,109
29734,2022,4914,Cameron McGriff,NA,SF,24,1,NBA,POR,3,0,46,5.3,14.9,0.357,2.1,6.4,0.333,3.2,8.5,0.375,2.1,2.1,1,6.4,9.6,15.9,3.2,0,1.1,0,7.4,14.9,123,119
29735,2022,4814,Cameron Oliver,NA,SF,25,2,NBA,ATL,2,0,43,11.4,17.1,0.667,1.1,3.4,0.333,10.3,13.7,0.75,2.3,3.4,0.667,2.3,4.6,6.9,3.4,1.1,1.1,0,5.7,26.3,149,117
29736,2022,4311,Cameron Payne,NA,PG,27,7,NBA,PHO,58,12,1278,9,22.1,0.409,2.7,7.9,0.336,6.4,14.2,0.449,2.8,3.4,0.843,0.9,5.7,6.6,10.6,1.5,0.6,3.9,4.5,23.6,104,109
29737,2022,4383,Caris LeVert,NA,SG,27,6,NBA,TOT,58,49,1781,10.5,23.6,0.444,2.3,7.1,0.32,8.2,16.5,0.497,4,5.3,0.756,1.2,4.7,5.9,6.9,1.4,0.6,3,3.6,27.3,108,116
29738,2022,4383,Caris LeVert,NA,SG,27,6,NBA,IND,39,39,1214,11.2,25.1,0.447,2.5,7.6,0.323,8.8,17.5,0.501,4.5,5.9,0.76,1.2,4.8,6.1,7,1.4,0.7,3,3.7,29.4,109,118
29739,2022,4383,Caris LeVert,NA,SG,27,6,NBA,CLE,19,10,567,8.9,20.4,0.435,1.8,5.9,0.313,7,14.5,0.485,3.1,4.1,0.745,1.1,4.5,5.6,6.6,1.4,0.4,2.9,3.5,22.7,104,112
29740,2022,4915,Carlik Jones,NA,PG,24,1,NBA,TOT,5,0,23,2.2,19.6,0.111,0,2.2,0,2.2,17.4,0.125,4.4,4.4,1,2.2,4.4,6.5,10.9,2.2,0,6.5,0,8.7,57,111
29741,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DAL,3,0,19,0,18.5,0,0,2.6,0,0,15.9,0,5.3,5.3,1,2.6,5.3,7.9,13.2,2.6,0,7.9,0,5.3,52,109
29742,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DEN,2,0,4,12.3,24.5,0.5,0,0,NA,12.3,24.5,0.5,0,0,NA,0,0,0,0,0,0,0,0,24.5,97,121
29743,2022,3435,Carmelo Anthony,NA,PF,37,19,NBA,LAL,69,3,1793,8.5,19.3,0.441,4,10.6,0.375,4.5,8.7,0.521,3.5,4.3,0.83,1.7,6,7.7,1.8,1.3,1.4,1.6,4.4,24.6,114,114
29744,2022,4699,Carsen Edwards,NA,SG,23,3,NBA,DET,4,0,79,5.6,18.5,0.3,2.5,9.9,0.25,3.1,8.6,0.357,0.6,0.6,1,1.2,2.5,3.7,8.6,1.2,0,3.1,2.5,14.2,87,118
29745,2022,4815,Cassius Stanley,NA,SG,22,2,NBA,DET,9,1,155,6,14.5,0.413,1.3,5.4,0.235,4.7,9.1,0.517,3.1,3.1,1,1.6,4.4,6,1.3,1.6,0.6,1.9,5.4,16.4,101,116
29746,2022,4816,Cassius Winston,NA,PG,23,2,NBA,WAS,7,0,39,5.1,14,0.364,2.5,7.6,0.333,2.5,6.3,0.4,5.1,5.1,1,0,1.3,1.3,8.9,0,0,3.8,11.4,17.8,107,122
29747,2022,4916,Cat Barber,NA,PG,27,1,NBA,ATL,3,0,13,0,15.1,0,0,0,NA,0,15.1,0,0,15.1,0,3.8,7.6,11.3,11.3,0,0,3.8,3.8,0,38,119
29748,2022,4479,Cedi Osman,NA,SF,26,5,NBA,CLE,66,3,1462,8.4,19.5,0.432,4.4,12.3,0.357,4.1,7.3,0.559,3,4.5,0.664,0.9,4.1,5,4.6,1.8,0.3,2.3,4.3,24.2,111,112
29749,2022,4596,Chandler Hutchison,NA,SF,25,4,NBA,PHO,6,0,22,2.2,4.4,0.5,0,0,NA,2.2,4.4,0.5,4.4,4.4,1,0,10.9,10.9,4.4,0,0,8.7,2.2,8.7,68,110
29750,2022,4917,Charles Bassey,NA,PF,21,1,NBA,PHI,23,0,168,8.9,14,0.638,0,1.2,0,8.9,12.8,0.698,2.7,3.6,0.75,6.5,11.9,18.4,2.1,1.5,5,2.4,9.5,20.5,129,103
