seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
29685,2022,4905,Arnoldas Kulboka,NA,SF,24,1,NBA,CHO,2,0,2.5,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0.5,0
29686,2022,4906,Austin Reaves,NA,SG,23,1,NBA,LAL,61,19,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.5,2.5,0.616,0.542,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3
29687,2022,4069,Austin Rivers,NA,SG,29,10,NBA,DEN,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6
29688,2022,3918,Avery Bradley,NA,SG,31,12,NBA,LAL,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4
29689,2022,4907,Ayo Dosunmu,NA,SG,22,1,NBA,CHI,77,40,27.4,3.6,6.9,0.52,0.9,2.4,0.376,2.7,4.5,0.596,0.585,0.7,1,0.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8
29690,2022,4588,B.J. Johnson,NA,SF,26,3,NBA,ORL,4,0,16.3,2.8,6.3,0.44,1,2.5,0.4,1.8,3.8,0.467,0.52,0,0,NA,1.5,2.3,3.8,0,0,0.3,0,1,6.5
29691,2022,4472,Bam Adebayo,NA,C,24,5,NBA,MIA,56,56,32.6,7.3,13,0.557,0,0.1,0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1
29692,2022,4148,Ben McLemore,NA,SG,28,9,NBA,POR,64,6,20.1,3.4,8.4,0.401,2.4,6.5,0.362,1,1.9,0.533,0.541,1.1,1.4,0.818,0.2,1.4,1.6,0.9,0.6,0.2,0.9,1.6,10.2
29693,2022,3984,Bismack Biyombo,NA,C,29,11,NBA,PHO,36,3,14.1,2.4,4,0.593,0,0,NA,2.4,4,0.593,0.593,1.1,2,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8
29694,2022,3920,Blake Griffin,NA,PF,32,12,NBA,BRK,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4
29695,2022,4306,Boban Marjanović,NA,C,33,7,NBA,DAL,23,0,5.6,1.8,3,0.6,0,0.2,0.25,1.8,2.9,0.621,0.607,0.6,1,0.591,0.3,1.3,1.7,0.1,0,0.1,0.7,1,4.3
29696,2022,4307,Bobby Portis,NA,C,26,7,NBA,MIL,72,59,28.2,5.8,12.1,0.479,1.8,4.7,0.393,3.9,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6
29697,2022,4475,Bogdan Bogdanović,NA,SG,29,5,NBA,ATL,63,27,29.3,5.4,12.6,0.431,2.7,7.3,0.368,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.5,3.5,4,3.1,1.1,0.2,1.1,2.1,15.1
29698,2022,4224,Bojan Bogdanović,NA,PF,32,8,NBA,UTA,69,69,30.9,6.1,13.4,0.455,2.6,6.8,0.387,3.5,6.7,0.524,0.552,3.2,3.8,0.858,0.8,3.4,4.3,1.7,0.5,0,1.7,1.7,18.1
29699,2022,4692,Bol Bol,NA,PF,22,3,NBA,DEN,14,0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
29700,2022,4908,Bones Hyland,NA,PG,21,1,NBA,DEN,69,4,19,3.3,8.3,0.403,1.9,5.2,0.366,1.4,3.1,0.465,0.518,1.6,1.8,0.856,0.2,2.5,2.7,2.8,0.6,0.3,1.2,2.2,10.1
29701,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,TOT,23,2,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1,2.6,0.4,0.39,1,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1,2,3.6
29702,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,IND,22,1,13.3,1.2,3.3,0.361,0.2,0.8,0.235,1,2.5,0.4,0.389,0.9,1,0.909,0.3,1.3,1.6,2.2,0.2,0.3,1,1.9,3.5
29703,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,WAS,1,1,27,2,5,0.4,0,0,NA,2,5,0.4,0.4,3,3,1,0,4,4,7,2,0,0,3,7
29704,2022,4072,Bradley Beal,NA,SG,28,10,NBA,WAS,40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
29705,2022,4909,Brandon Boston Jr.,NA,SG,20,1,NBA,LAC,51,0,14.9,2.5,6.4,0.385,0.7,2.2,0.306,1.8,4.2,0.425,0.437,1.2,1.4,0.819,0.3,1.8,2.2,1,0.5,0.3,0.6,0.8,6.7
29706,2022,4693,Brandon Clarke,NA,PF,25,3,NBA,MEM,64,1,19.5,4.5,7,0.644,0.1,0.3,0.227,4.4,6.6,0.666,0.65,1.3,2,0.654,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4
29707,2022,4592,Brandon Goodwin,NA,PG,26,4,NBA,CLE,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0,1,1.1,4.8
29708,2022,4379,Brandon Ingram,NA,SF,24,6,NBA,NOP,55,55,34,8.2,17.9,0.461,1.3,4.1,0.327,6.9,13.8,0.501,0.498,4.8,5.9,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,22.7
29709,2022,3985,Brandon Knight,NA,PG,30,9,NBA,DAL,5,0,13,2,5,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1,0,1.6,1.6,1.6,0.2,0,0.8,1,6.4
29710,2022,4910,Brandon Williams,1999,PG,22,1,NBA,POR,24,16,26.7,4.4,11.8,0.372,1.3,4.4,0.292,3.1,7.3,0.42,0.427,2.8,4,0.701,0.8,2.3,3.1,3.9,1,0.4,2.4,2.2,12.9
29711,2022,4911,Braxton Key,NA,SF,24,1,NBA,TOT,11,0,17.9,3,6.5,0.458,0.5,1.9,0.286,2.5,4.6,0.529,0.5,0.6,1.2,0.538,1.2,3.4,4.5,1,0.9,1,1,2.4,7.2
29712,2022,4911,Braxton Key,NA,SF,24,1,NBA,PHI,2,0,3,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,NA,0.5,0.5,1,0.5,0.5,0,1,0.5,1
29713,2022,4911,Braxton Key,NA,SF,24,1,NBA,DET,9,0,21.2,3.6,7.8,0.457,0.7,2.2,0.3,2.9,5.6,0.52,0.5,0.8,1.4,0.538,1.3,4,5.3,1.1,1,1.2,1,2.8,8.6
29714,2022,4813,Brodric Thomas,NA,SG,25,2,NBA,BOS,12,0,5,0.7,1.5,0.444,0.2,0.8,0.222,0.5,0.8,0.667,0.5,0.3,0.4,0.6,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8
29715,2022,3801,Brook Lopez,NA,C,33,14,NBA,MIL,13,11,22.9,4.7,10.1,0.466,1.5,4.1,0.358,3.2,6,0.538,0.538,1.5,1.8,0.87,1.5,2.6,4.1,0.5,0.6,1.2,0.9,2.6,12.4
29716,2022,4594,Bruce Brown,NA,SF,25,4,NBA,BRK,72,45,24.6,3.6,7,0.506,0.5,1.3,0.404,3,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9
29717,2022,4695,Bruno Fernando,NA,C,23,3,NBA,TOT,30,0,5.1,1.2,1.8,0.655,0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0,0.4,0.5,0.8,2.9
29718,2022,4695,Bruno Fernando,NA,C,23,3,NBA,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0,0.2,0.3,0.3,1
29719,2022,4695,Bruno Fernando,NA,C,23,3,NBA,HOU,10,0,9.4,2.9,4.1,0.707,0,0.1,0,2.9,4,0.725,0.707,1.1,1.9,0.579,1.1,2.9,4,0.3,0.1,0.8,0.9,1.8,6.9
29720,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,TOT,75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1,0.3,0.1,0.7,1.3,8.8
29721,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,SAS,40,1,16.9,3.2,7.4,0.432,1.6,3.8,0.417,1.6,3.6,0.448,0.539,1.1,1.2,0.898,0.1,1.5,1.6,1,0.4,0.1,0.8,1.1,9.1
29722,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,DEN,35,1,17.4,2.9,6.9,0.424,1.7,4.1,0.41,1.3,2.8,0.444,0.545,1,1.1,0.921,0.2,0.7,0.9,1,0.2,0.1,0.7,1.5,8.6
29723,2022,4382,Buddy Hield,NA,SG,29,6,NBA,TOT,81,32,30.9,5.5,13.6,0.406,3.2,8.8,0.366,2.3,4.7,0.482,0.526,1.4,1.6,0.874,0.8,3.5,4.4,2.8,0.9,0.3,1.9,2.3,15.6
29724,2022,4382,Buddy Hield,NA,SG,29,6,NBA,SAC,55,6,28.6,4.8,12.6,0.382,3.3,9,0.368,1.5,3.6,0.419,0.514,1.5,1.7,0.87,0.8,3.2,4,1.9,0.9,0.3,1.6,2.1,14.4
29725,2022,4382,Buddy Hield,NA,SG,29,6,NBA,IND,26,26,35.6,7,15.6,0.447,3.1,8.5,0.362,3.9,7.1,0.549,0.546,1.2,1.3,0.886,0.9,4.2,5.1,4.8,0.9,0.4,2.4,2.7,18.2
29726,2022,3582,C.J. Miles,NA,SG,34,16,NBA,BOS,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,1,0
29727,2022,4912,Cade Cunningham,NA,PG,20,1,NBA,DET,64,64,32.6,6.7,16.1,0.416,1.8,5.7,0.314,4.9,10.4,0.472,0.471,2.2,2.6,0.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4
29728,2022,4696,Caleb Martin,NA,SF,26,3,NBA,MIA,60,12,22.9,3.5,6.8,0.507,1.1,2.6,0.413,2.4,4.3,0.565,0.585,1.2,1.6,0.763,1.2,2.7,3.8,1.1,1,0.5,0.9,1.7,9.2
29729,2022,4697,Cam Reddish,NA,SF,22,3,NBA,TOT,49,7,20.7,3.4,8.3,0.404,1.3,3.8,0.359,2,4.6,0.442,0.485,2.1,2.3,0.902,0.5,1.6,2.1,1,1,0.3,1.2,1.2,10.1
29730,2022,4697,Cam Reddish,NA,SF,22,3,NBA,ATL,34,7,23.4,4.1,10.1,0.402,1.7,4.5,0.379,2.4,5.6,0.421,0.487,2.1,2.4,0.9,0.6,1.9,2.5,1.1,1,0.3,1.3,1.3,11.9
29731,2022,4697,Cam Reddish,NA,SF,22,3,NBA,NYK,15,0,14.3,1.8,4.3,0.415,0.5,2.1,0.258,1.3,2.3,0.559,0.477,1.9,2.1,0.906,0.3,1.1,1.4,0.7,0.8,0.3,0.9,1,6.1
29732,2022,4913,Cam Thomas,NA,SG,20,1,NBA,BRK,67,2,17.6,3.3,7.5,0.433,0.7,2.6,0.27,2.6,4.9,0.52,0.48,1.3,1.6,0.829,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1,8.5
29733,2022,4698,Cameron Johnson,NA,PF,25,3,NBA,PHO,66,16,26.2,4.2,9.2,0.46,2.5,5.9,0.425,1.7,3.3,0.523,0.596,1.5,1.7,0.86,0.6,3.5,4.1,1.5,0.9,0.2,0.7,1.7,12.5
29734,2022,4914,Cameron McGriff,NA,SF,24,1,NBA,POR,3,0,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7
29735,2022,4814,Cameron Oliver,NA,SF,25,2,NBA,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5
29736,2022,4311,Cameron Payne,NA,PG,27,7,NBA,PHO,58,12,22,4.1,10.1,0.409,1.2,3.6,0.336,2.9,6.5,0.449,0.469,1.3,1.5,0.843,0.4,2.6,3,4.9,0.7,0.3,1.8,2.1,10.8
29737,2022,4383,Caris LeVert,NA,SG,27,6,NBA,TOT,58,49,30.7,6.5,14.7,0.444,1.4,4.4,0.32,5.1,10.3,0.497,0.492,2.5,3.3,0.756,0.7,2.9,3.7,4.3,0.9,0.4,1.9,2.3,17
29738,2022,4383,Caris LeVert,NA,SG,27,6,NBA,IND,39,39,31.1,7.1,15.9,0.447,1.6,4.8,0.323,5.6,11.1,0.501,0.496,2.8,3.7,0.76,0.8,3.1,3.8,4.4,0.9,0.5,1.9,2.3,18.7
29739,2022,4383,Caris LeVert,NA,SG,27,6,NBA,CLE,19,10,29.8,5.3,12.2,0.435,1.1,3.5,0.313,4.2,8.7,0.485,0.481,1.8,2.5,0.745,0.7,2.7,3.4,3.9,0.8,0.3,1.7,2.1,13.6
29740,2022,4915,Carlik Jones,NA,PG,24,1,NBA,TOT,5,0,4.6,0.2,1.8,0.111,0,0.2,0,0.2,1.6,0.125,0.111,0.4,0.4,1,0.2,0.4,0.6,1,0.2,0,0.6,0,0.8
29741,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DAL,3,0,6.3,0,2.3,0,0,0.3,0,0,2,0,0,0.7,0.7,1,0.3,0.7,1,1.7,0.3,0,1,0,0.7
29742,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DEN,2,0,2,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,0,0,NA,0,0,0,0,0,0,0,0,1
29743,2022,3435,Carmelo Anthony,NA,PF,37,19,NBA,LAL,69,3,26,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1,0.7,0.8,0.9,2.4,13.3
29744,2022,4699,Carsen Edwards,NA,SG,23,3,NBA,DET,4,0,19.8,2.3,7.5,0.3,1,4,0.25,1.3,3.5,0.357,0.367,0.3,0.3,1,0.5,1,1.5,3.5,0.5,0,1.3,1,5.8
29745,2022,4815,Cassius Stanley,NA,SG,22,2,NBA,DET,9,1,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8
29746,2022,4816,Cassius Winston,NA,PG,23,2,NBA,WAS,7,0,5.6,0.6,1.6,0.364,0.3,0.9,0.333,0.3,0.7,0.4,0.455,0.6,0.6,1,0,0.1,0.1,1,0,0,0.4,1.3,2
29747,2022,4916,Cat Barber,NA,PG,27,1,NBA,ATL,3,0,4.3,0,1.3,0,0,0,NA,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0
29748,2022,4479,Cedi Osman,NA,SF,26,5,NBA,CLE,66,3,22.2,3.7,8.7,0.432,1.9,5.4,0.357,1.8,3.2,0.559,0.544,1.3,2,0.664,0.4,1.8,2.2,2,0.8,0.2,1,1.9,10.7
29749,2022,4596,Chandler Hutchison,NA,SF,25,4,NBA,PHO,6,0,3.7,0.2,0.3,0.5,0,0,NA,0.2,0.3,0.5,0.5,0.3,0.3,1,0,0.8,0.8,0.3,0,0,0.7,0.2,0.7
29750,2022,4917,Charles Bassey,NA,PF,21,1,NBA,PHI,23,0,7.3,1.3,2,0.638,0,0.2,0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3
29751,2022,4700,Charlie Brown,NA,SG,24,3,NBA,TOT,22,2,8,0.5,1.8,0.256,0,0.5,0.083,0.4,1.2,0.333,0.269,0.4,0.5,0.9,0.6,0.8,1.5,0.3,0.5,0.2,0.2,0.8,1.4
29752,2022,4700,Charlie Brown,NA,SG,24,3,NBA,DAL,3,0,5,0.3,1.7,0.2,0,1,0,0.3,0.7,0.5,0.2,0,0,NA,0,0.3,0.3,0.3,0.7,0.3,0,0.7,0.7
29753,2022,4700,Charlie Brown,NA,SG,24,3,NBA,PHI,19,2,8.5,0.5,1.8,0.265,0.1,0.5,0.111,0.4,1.3,0.32,0.279,0.5,0.5,0.9,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1.5
