seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
29686,2022,4906,Austin Reaves,NA,SG,23,1,NBA,LAL,61,1418,5,47,47,2,NA,1.1,6.5,23,10,40,2,51,33,271,14,11
29687,2022,4069,Austin Rivers,NA,SG,29,10,NBA,DEN,67,1480,1,58,41,1,NA,2.8,0.8,26,18,54,3,17,4,232,4,13
29688,2022,3918,Avery Bradley,NA,SG,31,12,NBA,LAL,62,1406,17,79,3,NA,NA,-4.8,-2.5,23,7,44,3,6,11,111,1,19
29689,2022,4907,Ayo Dosunmu,NA,SG,22,1,NBA,CHI,77,2110,25,63,12,NA,NA,-4.4,-8.7,62,25,81,6,35,5,578,12,35
29690,2022,4588,B.J. Johnson,NA,SF,26,3,NBA,ORL,4,65,1,49,50,NA,NA,-11.2,-3,0,0,3,0,0,0,0,0,2
29691,2022,4472,Bam Adebayo,NA,C,24,5,NBA,MIA,56,1825,NA,NA,NA,2,98,7.6,5.5,59,39,72,38,173,8,480,48,40
29692,2022,4148,Ben McLemore,NA,SG,28,9,NBA,POR,64,1285,11,72,18,NA,NA,-13.4,-6.7,25,17,62,2,29,9,146,5,21
29693,2022,3984,Bismack Biyombo,NA,C,29,11,NBA,PHO,36,506,NA,NA,NA,5,95,4.6,-3.7,6,5,41,9,30,0,55,9,7
29694,2022,3920,Blake Griffin,NA,PF,32,12,NBA,BRK,56,958,NA,NA,8,52,40,-4.7,-8,14,9,45,5,34,37,253,10,19
29695,2022,4306,Boban Marjanović,NA,C,33,7,NBA,DAL,23,128,NA,NA,NA,NA,100,15.7,12.6,2,7,12,3,11,1,8,4,5
29696,2022,4307,Bobby Portis,NA,C,26,7,NBA,MIL,72,2028,NA,NA,NA,7,93,7,7.9,21,29,78,22,46,4,222,10,48
29697,2022,4475,Bogdan Bogdanović,NA,SG,29,5,NBA,ATL,63,1848,NA,35,65,1,NA,5.2,6.3,42,17,43,3,43,5,452,7,26
29698,2022,4224,Bojan Bogdanović,NA,PF,32,8,NBA,UTA,69,2131,NA,NA,5,94,1,4.8,-2.8,45,48,39,11,94,5,306,20,61
29699,2022,4692,Bol Bol,NA,PF,22,3,NBA,DEN,14,81,NA,NA,NA,14,86,1.7,-0.6,0,1,4,0,2,0,12,1,1
29700,2022,4908,Bones Hyland,NA,PG,21,1,NBA,DEN,69,1310,52,47,1,NA,NA,1.5,-1.3,40,26,68,6,43,2,463,7,38
