seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
28627,2020,4333,Jordan McRae,NA,SG,28,4,NBA,WAS,29,4,654,133,317,0.42,40,106,0.377,93,211,0.441,0.483,64,83,0.771,17,87,104,82,19,15,38,61,370
28628,2020,4333,Jordan McRae,NA,SG,28,4,NBA,DEN,4,0,32,2,6,0.333,2,4,0.5,0,2,0,0.5,3,4,0.75,1,4,5,4,2,1,0,2,9
28629,2020,4333,Jordan McRae,NA,SG,28,4,NBA,DET,4,0,98,14,43,0.326,3,16,0.188,11,27,0.407,0.36,16,22,0.727,0,15,15,7,0,0,5,10,47
28630,2020,4737,Jordan Poole,NA,SG,20,1,NBA,GSW,57,14,1274,167,502,0.333,74,265,0.279,93,237,0.392,0.406,95,119,0.798,9,109,118,134,35,10,74,94,503
28631,2020,4524,Josh Gray,NA,PG,26,2,NBA,NOP,2,0,23,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,1,1,2,2,0,0,5,1,2
28632,2020,4525,Josh Hart,NA,SF,24,3,NBA,NOP,65,16,1755,225,532,0.423,121,354,0.342,104,178,0.584,0.537,85,115,0.739,61,364,425,108,63,23,75,160,656
28633,2020,4526,Josh Jackson,NA,SF,22,3,NBA,MEM,22,0,381,70,159,0.44,23,72,0.319,47,87,0.54,0.513,35,50,0.7,11,55,66,35,18,9,28,40,198
28634,2020,4527,Josh Magette,NA,PG,30,2,NBA,ORL,8,0,38,5,15,0.333,1,4,0.25,4,11,0.364,0.367,1,2,0.5,1,5,6,5,3,1,5,4,12
28635,2020,4644,Josh Okogie,NA,SG,21,2,NBA,MIN,62,28,1547,170,398,0.427,41,154,0.266,129,244,0.529,0.479,152,191,0.796,87,181,268,99,68,26,87,139,533
28636,2020,4738,Josh Reaves,NA,SF,22,1,NBA,DAL,4,0,28,3,9,0.333,0,2,0,3,7,0.429,0.333,2,2,1,1,2,3,3,0,0,0,5,8
28637,2020,4336,Josh Richardson,NA,SG,26,5,NBA,PHI,55,53,1693,278,646,0.43,85,249,0.341,193,397,0.486,0.496,114,141,0.809,41,133,174,162,52,36,104,136,755
28638,2020,3891,Jrue Holiday,NA,SG,29,11,NBA,NOP,61,61,2117,458,1006,0.455,122,346,0.353,336,660,0.509,0.516,129,182,0.709,77,216,293,408,99,48,184,145,1167
28639,2020,4419,Juan Hernangómez,NA,PF,24,4,NBA,TOT,48,14,833,100,247,0.405,44,129,0.341,56,118,0.475,0.494,44,71,0.62,43,154,197,40,19,9,32,64,288
28640,2020,4419,Juan Hernangómez,NA,PF,24,4,NBA,DEN,34,0,422,38,110,0.345,15,60,0.25,23,50,0.46,0.414,16,25,0.64,24,71,95,22,5,5,18,29,107
28641,2020,4419,Juan Hernangómez,NA,PF,24,4,NBA,MIN,14,14,411,62,137,0.453,29,69,0.42,33,68,0.485,0.558,28,46,0.609,19,83,102,18,14,4,14,35,181
28642,2020,4739,Juan Toscano-Anderson,NA,SG,26,1,NBA,GSW,13,6,272,29,63,0.46,8,23,0.348,21,40,0.525,0.524,3,5,0.6,9,43,52,26,13,5,16,30,69
28643,2020,4266,Julius Randle,NA,PF,25,6,NBA,NYK,64,64,2080,463,1006,0.46,64,231,0.277,399,775,0.515,0.492,258,352,0.733,151,471,622,198,51,22,193,178,1248
28644,2020,4337,Justin Anderson,NA,SG,26,5,NBA,BRK,10,1,107,10,38,0.263,6,29,0.207,4,9,0.444,0.342,2,4,0.5,1,20,21,8,0,6,4,13,28
28645,2020,4102,Justin Holiday,NA,SF,30,7,NBA,IND,73,6,1826,208,486,0.428,134,331,0.405,74,155,0.477,0.566,53,67,0.791,32,206,238,93,87,46,44,137,603
28646,2020,4528,Justin Jackson,NA,PF,24,3,NBA,DAL,65,3,1045,135,341,0.396,48,163,0.294,87,178,0.489,0.466,42,50,0.84,27,127,154,52,15,10,14,69,360
28647,2020,4740,Justin James,NA,SF,23,1,NBA,SAC,36,0,232,35,84,0.417,9,29,0.31,26,55,0.473,0.47,10,21,0.476,6,26,32,18,6,9,8,17,89
28648,2020,4529,Justin Patton,NA,C,22,3,NBA,OKC,5,0,24,4,10,0.4,1,4,0.25,3,6,0.5,0.45,0,0,NA,1,4,5,2,0,0,2,4,9
28649,2020,4741,Justin Robinson,NA,PG,22,1,NBA,WAS,9,0,49,5,12,0.417,3,5,0.6,2,7,0.286,0.542,0,0,NA,1,4,5,7,0,1,3,2,13
28650,2020,4742,Justin Wright-Foreman,NA,PG,22,1,NBA,UTA,4,0,45,7,20,0.35,2,10,0.2,5,10,0.5,0.4,3,4,0.75,0,5,5,7,2,0,3,5,19
28651,2020,4338,Justise Winslow,NA,SG,23,5,NBA,MIA,11,5,352,50,129,0.388,6,27,0.222,44,102,0.431,0.411,18,27,0.667,16,57,73,44,7,5,24,38,124
28652,2020,4267,Jusuf Nurkić,NA,C,25,6,NBA,POR,8,8,253,54,109,0.495,2,10,0.2,52,99,0.525,0.505,31,35,0.886,23,59,82,32,11,16,19,39,141
28653,2020,4743,Juwan Morgan,NA,PF,22,1,NBA,UTA,21,0,134,15,26,0.577,3,8,0.375,12,18,0.667,0.635,3,4,0.75,10,19,29,6,1,2,6,19,36
28654,2020,4530,Kadeem Allen,NA,PG,27,3,NBA,NYK,10,0,117,19,44,0.432,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50
28655,2020,4339,Karl-Anthony Towns,NA,C,24,5,NBA,MIN,35,35,1187,316,622,0.508,114,277,0.412,202,345,0.586,0.6,180,226,0.796,95,283,378,153,33,42,110,117,926
