seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
29674,2022,4064,Andre Drummond,NA,C,28,10,NBA,BRK,24,535,23.8,0.61,0.005,0.421,19.4,30.6,25.1,9.8,2,3.8,13.5,21.5,1.3,0.9,2.2,0.199,1.7,-0.5,1.2,0.4
29675,2022,3500,Andre Iguodala,NA,SF,38,18,NBA,GSW,31,603,12.3,0.478,0.612,0.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,0.5,1.1,1.6,0.125,-0.9,3.7,2.7,0.7
29676,2022,4223,Andrew Wiggins,NA,SF,26,8,NBA,GSW,73,2329,15,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4
29677,2022,4586,Anfernee Simons,NA,SG,22,4,NBA,POR,57,1681,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2,-0.1,1.9,0.055,1.9,-2.7,-0.7,0.5
29678,2022,4066,Anthony Davis,NA,C,28,10,NBA,LAL,40,1404,23.9,0.578,0.101,0.351,8.1,22,15.1,14.7,1.7,5.7,9.3,27.1,2.6,2,4.5,0.155,2.6,1.2,3.8,2
29679,2022,4808,Anthony Edwards,NA,SG,20,2,NBA,MIN,72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2
29680,2022,4809,Anthony Gill,NA,PF,29,2,NBA,WAS,44,463,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,1.1,0.2,1.4,0.14,-0.6,-1.3,-1.9,0
29681,2022,4810,Anthony Lamb,NA,SF,24,2,NBA,SAS,2,8,-0.5,0,1,0,0,13.2,6.6,27.9,0,0,0,10.6,0,0,0,-0.138,-6.2,-1.8,-8,0
29682,2022,4811,Armoni Brooks,NA,SG-PG,23,2,NBA,TOT,54,844,8.4,0.483,0.862,0.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,-0.1,0.4,0.2,0.014,-2.6,-1.3,-3.9,-0.4
29683,2022,4811,Armoni Brooks,NA,SG,23,2,NBA,HOU,41,690,8.4,0.49,0.849,0.076,1.9,11.1,6.4,10.3,1.4,1,8.1,17.4,-0.2,0.2,0,0.002,-2.6,-1.8,-4.4,-0.4
29684,2022,4811,Armoni Brooks,NA,PG,23,2,NBA,TOR,13,154,8.6,0.437,0.947,0.053,5.3,10.4,7.7,11,2.3,1.9,9.3,11.9,0,0.2,0.2,0.067,-2.8,1.2,-1.6,0
29685,2022,4905,Arnoldas Kulboka,NA,SF,24,1,NBA,CHO,2,5,-10.7,0,1,0,0,0,0,0,0,0,0,8.5,0,0,0,-0.217,-14.7,-7.1,-21.8,0
29686,2022,4906,Austin Reaves,NA,SG,23,1,NBA,LAL,61,1418,11.5,0.6,0.525,0.371,3.4,11.2,7.3,10.3,1,1.3,9.8,12.4,2.1,0.8,2.9,0.097,-1.3,-0.6,-1.9,0
29687,2022,4069,Austin Rivers,NA,SG,29,10,NBA,DEN,67,1480,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,0.1,1.1,1.2,0.037,-3.5,-0.3,-3.8,-0.7
29688,2022,3918,Avery Bradley,NA,SG,31,12,NBA,LAL,62,1406,7.8,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,0.3,0.9,1.2,0.04,-3.5,-0.1,-3.6,-0.6
29689,2022,4907,Ayo Dosunmu,NA,SG,22,1,NBA,CHI,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3,0.069,-1.9,-0.1,-2,0
29690,2022,4588,B.J. Johnson,NA,SF,26,3,NBA,ORL,4,65,12.1,0.52,0.4,0,9.7,14.7,12.2,0,0,1.4,0,16.7,0.1,0,0.1,0.065,-0.7,-3.9,-4.6,0
29691,2022,4472,Bam Adebayo,NA,C,24,5,NBA,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25,3.6,3.5,7.2,0.188,1.7,2.1,3.8,2.7
29692,2022,4148,Ben McLemore,NA,SG,28,9,NBA,POR,64,1285,11.7,0.567,0.774,0.163,1,8.1,4.4,7.3,1.4,0.8,8.7,21.3,0.7,0.2,0.8,0.031,-0.7,-2.5,-3.2,-0.4
29693,2022,3984,Bismack Biyombo,NA,C,29,11,NBA,PHO,36,506,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,0.9,0.9,1.8,0.17,-1.7,0.4,-1.3,0.1
29694,2022,3920,Blake Griffin,NA,PF,32,12,NBA,BRK,56,958,13.7,0.518,0.463,0.243,7,18.6,13,15,1.4,1.3,8.2,16.9,1.2,0.9,2.1,0.106,-0.6,0.1,-0.6,0.3
29695,2022,4306,Boban Marjanović,NA,C,33,7,NBA,DAL,23,128,18.5,0.615,0.057,0.314,6.9,27,16.9,4.8,0,2.1,15.8,33.3,-0.1,0.2,0.1,0.045,-3.2,-1.2,-4.4,-0.1
29696,2022,4307,Bobby Portis,NA,C,26,7,NBA,MIL,72,2028,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,2.9,2.6,5.5,0.131,1.2,-1,0.2,1.1
29697,2022,4475,Bogdan Bogdanović,NA,SG,29,5,NBA,ATL,63,1848,15.4,0.562,0.578,0.145,1.7,13,7.4,15.5,1.8,0.7,7.7,21.6,2.5,1.2,3.7,0.095,1.5,-0.2,1.2,1.5
29698,2022,4224,Bojan Bogdanović,NA,PF,32,8,NBA,UTA,69,2131,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0,10.2,23.7,3.6,1.6,5.2,0.118,1.6,-1.6,0,1.1
29699,2022,4692,Bol Bol,NA,PF,22,3,NBA,DEN,14,81,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,0,0.1,0.1,0.065,-0.5,-0.4,-1,0
29700,2022,4908,Bones Hyland,NA,PG,21,1,NBA,DEN,69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5
29701,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,TOT,23,320,7.5,0.472,0.221,0.325,2.1,11.6,6.8,22.4,1.1,1.6,20.7,14.9,-0.1,0.1,0,0.004,-5.3,-0.5,-5.8,-0.3
29702,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,IND,22,293,6.5,0.465,0.236,0.306,2.2,11.2,6.7,21.4,0.8,1.8,22,15.3,-0.2,0.1,-0.1,-0.016,-5.6,-1,-6.6,-0.3
29703,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,WAS,1,27,18.1,0.554,0,0.6,0,16.2,8.2,33.9,3.7,0,0,10.4,0.1,0,0.1,0.216,-1.8,4.7,2.9,0
29704,2022,4072,Bradley Beal,NA,SG,28,10,NBA,WAS,40,1439,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,0.6,0.7,1.4,0.046,2,-1.2,0.8,1
29705,2022,4909,Brandon Boston Jr.,NA,SG,20,1,NBA,LAC,51,760,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8,22.4,-0.5,0.9,0.4,0.026,-2.9,-0.4,-3.3,-0.3
29706,2022,4693,Brandon Clarke,NA,PF,25,3,NBA,MEM,64,1246,23.7,0.66,0.049,0.291,11.1,17.8,14.4,10.3,1.5,4.9,6.3,17.7,4.4,1.9,6.3,0.241,3.1,1.1,4.2,2
29707,2022,4592,Brandon Goodwin,NA,PG,26,4,NBA,CLE,36,502,11.8,0.501,0.357,0.247,3.1,11.4,7.4,26,2.5,0.2,17.4,18.2,0.1,0.7,0.7,0.069,-2.6,1.1,-1.6,0.1
29708,2022,4379,Brandon Ingram,NA,SF,24,6,NBA,NOP,55,1869,18.7,0.554,0.23,0.328,2,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2,1.9
29709,2022,3985,Brandon Knight,NA,PG,30,9,NBA,DAL,5,65,13,0.561,0.68,0.32,0,13.7,6.8,18.6,0.8,0,12.3,22.5,0.1,0.1,0.1,0.091,-2.7,-1.9,-4.6,0
29710,2022,4910,Brandon Williams,1999,PG,22,1,NBA,POR,24,640,11,0.476,0.376,0.344,3.1,9.8,6.4,23.1,1.8,1.5,15.2,25.9,-0.7,0.2,-0.5,-0.037,-2.7,-3.1,-5.7,-0.6
29711,2022,4911,Braxton Key,NA,SF,24,1,NBA,TOT,11,197,13.7,0.508,0.292,0.181,6.8,21.4,13.7,8.9,2.5,5,12.4,19.4,-0.1,0.3,0.2,0.052,-3.8,0.6,-3.3,-0.1
29712,2022,4911,Braxton Key,NA,SF,24,1,NBA,PHI,2,6,9,0.5,0.5,0,18.9,18.3,18.6,25.7,8.3,0,50,29.9,0,0,0,-0.169,-9.6,3.3,-6.2,0
29713,2022,4911,Braxton Key,NA,SF,24,1,NBA,DET,9,191,13.9,0.508,0.286,0.186,6.5,21.5,13.6,8.4,2.3,5.2,10.6,19,0,0.3,0.2,0.059,-3.7,0.5,-3.2,-0.1
29714,2022,4813,Brodric Thomas,NA,SG,25,2,NBA,BOS,12,60,10,0.52,0.5,0.278,3.7,14.1,9,26,0.8,1.5,22.9,19.2,0,0.1,0.1,0.052,-3.6,0.8,-2.8,0
29715,2022,3801,Brook Lopez,NA,C,33,14,NBA,MIL,13,298,16,0.57,0.405,0.176,6.9,11.9,9.4,3,1.3,4.8,7.8,21.9,0.3,0.3,0.7,0.108,-0.7,-0.7,-1.3,0.1
29716,2022,4594,Bruce Brown,NA,SF,25,4,NBA,BRK,72,1774,15,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15,2.8,2,4.8,0.13,-0.4,1.1,0.7,1.2
29717,2022,4695,Bruno Fernando,NA,C,23,3,NBA,TOT,30,152,21.2,0.671,0.036,0.436,13,26.6,19.8,7.5,0.3,6.5,17.6,22.4,0.2,0.2,0.4,0.14,-0.4,0.2,-0.1,0.1
29718,2022,4695,Bruno Fernando,NA,C,23,3,NBA,BOS,20,58,12.6,0.586,0.071,0.357,13.4,14.6,14,9.6,0,4.7,23.6,16.1,0,0.1,0.1,0.102,-3.2,0.4,-2.8,0
29719,2022,4695,Bruno Fernando,NA,C,23,3,NBA,HOU,10,94,26.5,0.699,0.024,0.463,12.8,34.1,23.4,6.3,0.5,7.6,15.4,26.3,0.2,0.1,0.3,0.164,1.3,0.2,1.5,0.1
29720,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,TOT,75,1286,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,0.8,0.6,1.4,0.054,-0.7,-2.2,-2.9,-0.3
29721,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,SAS,40,676,12.4,0.572,0.51,0.166,0.6,9.2,4.9,8.6,1.2,0.4,9.4,21.9,0.3,0.4,0.7,0.053,-0.3,-1.3,-1.6,0.1
29722,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,DEN,35,610,10.6,0.578,0.593,0.156,1.1,4.3,2.7,8,0.6,0.3,8.1,20.3,0.5,0.2,0.7,0.054,-1.1,-3.2,-4.3,-0.4
29723,2022,4382,Buddy Hield,NA,SG,29,6,NBA,TOT,81,2499,12.8,0.548,0.652,0.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,0.8,1.1,1.9,0.036,0.5,-1.8,-1.2,0.5
29724,2022,4382,Buddy Hield,NA,SG,29,6,NBA,SAC,55,1574,11.9,0.54,0.714,0.133,2.9,12.4,7.6,10,1.5,0.8,10.9,22.5,0,0.8,0.7,0.023,0.2,-1.5,-1.3,0.3
