seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29660,2022,3982,Alec Burks,NA,SG,30,11,NBA,NYK,81,44,2318,4.4,11.3,0.391,2.4,6,0.404,2,5.3,0.378,3.4,4.1,0.822,0.7,5.4,6.2,3.7,1.3,0.4,1.4,3.3,14.7
29661,2022,4903,Aleem Ford,NA,SF,24,1,NBA,ORL,5,0,74,2.9,9.7,0.3,1,7.3,0.133,1.9,2.4,0.8,0,0,NA,1,6.3,7.3,1,0.5,0,1.9,3.4,6.8
29662,2022,4806,Aleksej Pokusevski,NA,PF,20,2,NBA,OKC,61,12,1233,5.4,13.3,0.408,1.7,5.8,0.289,3.8,7.6,0.498,1,1.5,0.7,2.1,7.2,9.3,3.8,1.1,1.1,2.7,2.6,13.5
29663,2022,4465,Alex Caruso,NA,SG,27,5,NBA,CHI,41,18,1147,3.2,8,0.398,1.3,4,0.333,1.9,4.1,0.462,1.8,2.3,0.795,1,3.6,4.6,5.2,2.2,0.5,1.8,3.3,9.5
29664,2022,4142,Alex Len,NA,C,28,9,NBA,SAC,39,10,620,5.5,10.2,0.534,0.3,1.2,0.286,5.1,9,0.568,2.4,3.7,0.651,3,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6
29665,2022,4466,Alfonzo McKinnie,NA,SF,29,5,NBA,CHI,17,3,206,4.2,10.7,0.393,1.6,4.7,0.333,2.6,5.9,0.441,0.3,1.4,0.25,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3
29666,2022,4583,Alize Johnson,NA,PF,25,4,NBA,TOT,23,0,167,3.7,8.4,0.436,0,0.9,0,3.7,7.5,0.486,1.5,2.6,0.583,6,7.1,13.1,1.9,1.1,0,2.6,3.9,8.8
29667,2022,4583,Alize Johnson,NA,PF,25,4,NBA,CHI,16,0,121,3.6,6.8,0.522,0,0.6,0,3.6,6.2,0.571,1.2,2.1,0.571,4.8,6,10.7,2.4,0.9,0,2.4,4.5,8.3
29668,2022,4583,Alize Johnson,NA,PF,25,4,NBA,WAS,3,0,18,4,12,0.333,0,4,0,4,8,0.5,0,2,0,10,14,24,0,0,0,6,0,8
29669,2022,4583,Alize Johnson,NA,PF,25,4,NBA,NOP,4,0,28,3.9,12.9,0.3,0,0,NA,3.9,12.9,0.3,3.9,5.1,0.75,9,7.7,16.7,1.3,2.6,0,1.3,3.9,11.6
