Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
RTX,2022,Raytheon Technologies,USA,Aerospace|Defense contractors,$149.97 B,,
SAFRF,2009,Safran,France,CAC 40|Aerospace|Defense contractors,$7.89 B,,
SAFRF,2010,Safran,France,CAC 40|Aerospace|Defense contractors,$14.08 B,,
SAFRF,2011,Safran,France,CAC 40|Aerospace|Defense contractors,$12.01 B,,
SAFRF,2012,Safran,France,CAC 40|Aerospace|Defense contractors,$17.92 B,,
SAFRF,2013,Safran,France,CAC 40|Aerospace|Defense contractors,$29.04 B,,
SAFRF,2014,Safran,France,CAC 40|Aerospace|Defense contractors,$25.95 B,,
SAFRF,2015,Safran,France,CAC 40|Aerospace|Defense contractors,$28.85 B,,
SAFRF,2016,Safran,France,CAC 40|Aerospace|Defense contractors,$30.12 B,,
SAFRF,2017,Safran,France,CAC 40|Aerospace|Defense contractors,$41.97 B,,
SAFRF,2018,Safran,France,CAC 40|Aerospace|Defense contractors,$52.36 B,,
SAFRF,2019,Safran,France,CAC 40|Aerospace|Defense contractors,$65.48 B,,
SAFRF,2020,Safran,France,CAC 40|Aerospace|Defense contractors,$60.88 B,,
SAFRF,2021,Safran,France,CAC 40|Aerospace|Defense contractors,$52.02 B,,
SAFRF,2022,Safran,France,CAC 40|Aerospace|Defense contractors,$46.60 B,,
