Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
BA,2016,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$96.08 B,$94.57 B,
BA,2017,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$175.64 B,$93.39 B,
BA,2018,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$183.06 B,$101.12 B,
BA,2019,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$183.37 B,$76.55 B,
BA,2020,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$120.84 B,$58.15 B,
BA,2021,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$118.56 B,,
BA,2022,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$105.42 B,,
BEL.NS,2005,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.04 B,,
BEL.NS,2006,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.41 B,,
BEL.NS,2007,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.21 B,,
BEL.NS,2008,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$0.78 B,,
BEL.NS,2009,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.03 B,,
BEL.NS,2010,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.85 B,,
BEL.NS,2011,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.41 B,,
BEL.NS,2012,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.37 B,,
BEL.NS,2013,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.08 B,,
BEL.NS,2014,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.09 B,,
BEL.NS,2015,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$4.31 B,,
BEL.NS,2016,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.44 B,,
BEL.NS,2017,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$5.87 B,,
BEL.NS,2018,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.81 B,,
BEL.NS,2019,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.20 B,,$0.25 B
BEL.NS,2020,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.83 B,,$0.32 B
BEL.NS,2021,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$6.71 B,,
BEL.NS,2022,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$6.90 B,,
BSP.F,2001,BAE Systems,UK,Defense contractors|Aerospace,$16.78 B,,
BSP.F,2002,BAE Systems,UK,Defense contractors|Aerospace,$6.50 B,,
BSP.F,2003,BAE Systems,UK,Defense contractors|Aerospace,$8.08 B,,
BSP.F,2004,BAE Systems,UK,Defense contractors|Aerospace,$10.78 B,,
BSP.F,2005,BAE Systems,UK,Defense contractors|Aerospace,$20.56 B,,
BSP.F,2006,BAE Systems,UK,Defense contractors|Aerospace,$23.04 B,,
BSP.F,2007,BAE Systems,UK,Defense contractors|Aerospace,$25.96 B,,
BSP.F,2008,BAE Systems,UK,Defense contractors|Aerospace,$14.80 B,,
BSP.F,2009,BAE Systems,UK,Defense contractors|Aerospace,$15.13 B,,
BSP.F,2010,BAE Systems,UK,Defense contractors|Aerospace,$15.14 B,,
