Rank,University,Town
516,Universitas Samawa,Sumbawa Besar
517,Universitas Kartini,Surabaya
518,Universitas Nahdlatul Ulama Kalimantan Barat,Pontianak
519,Universitas Tridharma Balikpapan,Balikpapan
520,Universitas Victory Sorong,Sorong
521,Universitas Sunan Bonang,Tuban
522,Universitas Islam Ogan Komering Ilir Kayuagung,Kayu Agung
523,Universitas Kristen Palangka Raya,Palangka Raya
524,Universitas Nahdlatul Ulama Sumatera Utara,Deli Serdang
525,Universitas Trunajaya,Bontang
526,Universitas Hein Namotemo,Halmahera Utara
527,Universitas Pramita Indonesia,Tangerang
528,Universitas Prisma,Manado
529,Universitas Lumajang,Lumajang
530,Universitas Teknologi Nusantara,Serang
531,Universitas Mochammad Sroedji,Jember
532,Universitas Bondowoso,Bondowoso
533,Universitas Tompotika,Banggai
534,Universitas Kaltara,Tanjung Selor
535,Universitas Merdeka Ponorogo,Ponorogo
536,Universitas Pejuang Republik Indonesia,Makassar
537,Universitas Iqra Buru,Namlea
538,Universitas Nahdlatul Ulama Kalimantan Selatan,Banjar
539,Universitas Musi Rawas,Lubuklinggau
540,Universitas Bakti Indonesia,Banyuwangi
541,Universitas Gunung Kidul,Gunung Kidul
542,Universitas Persatuan Guru 1945 NTT,Kupang
543,Universitas San Pedro,Kupang
544,Universitas Gunung Leuser Aceh,Aceh Tenggara
545,Universitas Teknologi Surabaya,Surabaya
546,Universitas Nahdlatul Ulama Sulawesi Tenggara,Kendari
547,Universitas Mohammad Natsir Bukittinggi,Bukittinggi
548,Universitas Islam Labuhan Batu,Labuhan Batu
549,Universitas Sains Cut Nyak Dhien,Langsa
550,Universitas Megou Pak Tulang Bawang,Tulang Bawang
551,Universitas Lakidende Unaaha,Konawe
552,Universitas Sisingamangaraja XII Tapanuli Utara,Tapanuli Utara
553,Universitas Cordova,Sumbawa Barat
554,Universitas Nani Bili Nusantara,Aimas
555,Universitas Karya Dharma Makassar,Makassar
556,Universitas Ottow Geissler,Jayapura
557,Universitas Doktor Nugroho Magetan,Magetan
558,Universitas Satya Wiyata Mandala,Nabire
559,Universitas Pasifik Morotai,Morotai
560,Universitas Aryasatya Deo Muri,Kupang
561,Universitas Tomakaka,Mamuju
562,Universitas Islam Sumatera Barat,Solok
563,Universitas Karyadarma Kupang,Kupang
564,Universitas Ma'arif Nahdlatul Ulama Kebumen,Kebumen
565,Universitas Teknologi Indonesia,Denpasar
566,Universitas Setia Budi Mandiri,Medan
567,Universitas Nusa Lontar Rote,Rote-Ndao
568,Universitas Kejuangan 45 Jakarta,Jakarta
569,Universitas Ratu Samban,Arga Makmur
570,Universitas Karo,Karo
571,Universitas Dumoga Kotamobagu,Kotamobagu
572,Universitas Sisingamangaraja XII,Medan
573,Universitas Timika,Timika
574,Universitas Nuku,Tidore Kepulauan
575,Universitas Pepabri Makassar,Makassar
576,Universitas Sulawesi Tenggara,Kendari
577,Universitas Kristen Tentena,Poso
