Date,City,State,Dead,Injured,Total,Description
2022-06-19,Grand Rapids,Michigan,0,4,4,Four people were shot in the Burton Heights neighborhood in the city's southeast side.
2022-06-19,Walterboro,South Carolina,2,2,4,"Two people were killed, and two others injured during a shooting at a nightclub."
2022-06-19,Miami,Florida,0,5,5,"Five people, including a teenager, were shot while in a car at an intersection between the Coral Way and Coconut Grove neighborhoods."
2022-06-18,Pensacola,Florida,0,5,5,Just after midnight five people were shot at a nightclub in Downtown Pensacola.
2022-06-18,Baltimore,Maryl,0,4,4,Three people standing together in the Sandtown-Winchester neighborhood were shot. A fourth person who was driving by was also hit by gunfire.
2022-06-18,San Antonio,Texas,2,5,7,"A family having a barbeque in their front yard was fired upon in a drive-by shooting, leaving two dead and five injured."
2022-06-17,Chicago,Illinois,0,5,5,"A group of people standing in a parking lot in the Lake Meadows neighborhood were fired upon, leaving five injured."
2022-06-16,Oakland,California,1,4,5,"Five people were shot, one fatally, in the Civic Center neighborhood."
2022-06-15,Denmark,South Carolina,0,4,4,"Four people, including at least one teenager, were shot."
2022-06-14,Casselberry,Florida,4,0,4,"Four people, including a child, were fatally shot in a murder-suicide at an apartment complex."
2022-06-14,Claremont,North Carolina,1,3,4,"A man shot fatally a woman and injured her two adult children over an argument about repairing a sink. After shooting them, he shot himself in the foot."
2022-06-12,Denver,Colorado,2,4,6,"Six people were shot, two fatally, during a party in the Virginia Village neighborhood."
2022-06-12,Gary,Indiana,2,4,6,A shooting at a nightclub left two dead and four others wounded.
2022-06-12,Indianapolis,Indiana,0,5,5,"A teenager shot four people during an argument, leaving one paralyzed, before being shot herself."
2022-06-12,Roseville,Michigan,0,4,4,A domestic incident escalated into a shooting that injured four.
2022-06-12,Austin,Texas,1,3,4,An argument in the Los Indios neighborhood led to a shooting that killed one and injured three others.
2022-06-12,Los Angeles,California,3,4,7,Three people were killed and four others injured during a shooting at a rapper's birthday party concert in the Boyle Heights neighborhood. Two security guards were wounded.
2022-06-12,New Orleans,Louisiana,0,4,4,Four people were shot outside a bar in the Mid-City neighborhood.
2022-06-11,South Fulton,Georgia,0,7,7,Seven people were shot during a party.
2022-06-11,Nashville,Tennessee,2,2,4,"Two people were shot, two fatally, during a birthday pool party at an apartment complex."
2022-06-11,Louisville,Kentucky,0,5,5,Five teenagers were shot near the Big Four Bridge.
2022-06-11,Chicago,Illinois,1,4,5,Five people in an alleyway in the Auburn Gresham neighborhood were shot in a drive-by shooting. One victim later died of their injuries.
2022-06-11,Detroit,Michigan,0,4,4,Four people were injured in a drive-by shooting during a bachelor party being hosted at an Airbnb in the Davison-Schoolcraft neighborhood in the city's northwest side.
2022-06-10,Decatur,Georgia,1,3,4,An argument at a restaurant led to a shooting that left one person dead and three others injured.
