Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","351","China","5110","Area","6601","Land area","2013","2013","1000 ha","942470.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","96","China, Hong Kong SAR","5110","Area","6601","Land area","2013","2013","1000 ha","105","Fm","Manual Estimation"
"RL","Land Use","128","China, Macao SAR","5110","Area","6601","Land area","2013","2013","1000 ha","3.03","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","41","China, mainland","5110","Area","6601","Land area","2013","2013","1000 ha","938821.1","Fm","Manual Estimation"
"RL","Land Use","214","China, Taiwan Province of","5110","Area","6601","Land area","2013","2013","1000 ha","3541","Fm","Manual Estimation"
"RL","Land Use","44","Colombia","5110","Area","6601","Land area","2013","2013","1000 ha","110950","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","45","Comoros","5110","Area","6601","Land area","2013","2013","1000 ha","186.1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","46","Congo","5110","Area","6601","Land area","2013","2013","1000 ha","34150","Fm","Manual Estimation"
"RL","Land Use","47","Cook Islands","5110","Area","6601","Land area","2013","2013","1000 ha","24","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","48","Costa Rica","5110","Area","6601","Land area","2013","2013","1000 ha","5106","Fm","Manual Estimation"
"RL","Land Use","107","Côte d'Ivoire","5110","Area","6601","Land area","2013","2013","1000 ha","31800","Fm","Manual Estimation"
"RL","Land Use","98","Croatia","5110","Area","6601","Land area","2013","2013","1000 ha","5596","Q","Official data reported on FAO Questionnaires from countries"
