Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","121","Lebanon","5110","Area","6601","Land area","2013","2013","1000 ha","1023","Fm","Manual Estimation"
"RL","Land Use","122","Lesotho","5110","Area","6601","Land area","2013","2013","1000 ha","3036","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","123","Liberia","5110","Area","6601","Land area","2013","2013","1000 ha","9632","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","124","Libya","5110","Area","6601","Land area","2013","2013","1000 ha","175954","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","125","Liechtenstein","5110","Area","6601","Land area","2013","2013","1000 ha","16","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","126","Lithuania","5110","Area","6601","Land area","2013","2013","1000 ha","6267.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","256","Luxembourg","5110","Area","6601","Land area","2013","2013","1000 ha","243","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","129","Madagascar","5110","Area","6601","Land area","2013","2013","1000 ha","58180","Fm","Manual Estimation"
"RL","Land Use","130","Malawi","5110","Area","6601","Land area","2013","2013","1000 ha","9428","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","131","Malaysia","5110","Area","6601","Land area","2013","2013","1000 ha","32855","Fm","Manual Estimation"
"RL","Land Use","132","Maldives","5110","Area","6601","Land area","2013","2013","1000 ha","30","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","133","Mali","5110","Area","6601","Land area","2013","2013","1000 ha","122019","Fm","Manual Estimation"
"RL","Land Use","134","Malta","5110","Area","6601","Land area","2013","2013","1000 ha","32","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","127","Marshall Islands","5110","Area","6601","Land area","2013","2013","1000 ha","18","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","135","Martinique","5110","Area","6601","Land area","2013","2013","1000 ha","106","Fm","Manual Estimation"
"RL","Land Use","136","Mauritania","5110","Area","6601","Land area","2013","2013","1000 ha","103070","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","137","Mauritius","5110","Area","6601","Land area","2013","2013","1000 ha","203","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","270","Mayotte","5110","Area","6601","Land area","2013","2013","1000 ha","37.4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","138","Mexico","5110","Area","6601","Land area","2013","2013","1000 ha","194395","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","145","Micronesia (Federated States of)","5110","Area","6601","Land area","2013","2013","1000 ha","70","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","141","Mongolia","5110","Area","6601","Land area","2013","2013","1000 ha","155356","Fm","Manual Estimation"
"RL","Land Use","273","Montenegro","5110","Area","6601","Land area","2013","2013","1000 ha","1345","Fm","Manual Estimation"
"RL","Land Use","142","Montserrat","5110","Area","6601","Land area","2013","2013","1000 ha","10","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","143","Morocco","5110","Area","6601","Land area","2013","2013","1000 ha","44630","Fm","Manual Estimation"
"RL","Land Use","144","Mozambique","5110","Area","6601","Land area","2013","2013","1000 ha","78638","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","28","Myanmar","5110","Area","6601","Land area","2013","2013","1000 ha","65308","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","147","Namibia","5110","Area","6601","Land area","2013","2013","1000 ha","82329","Fm","Manual Estimation"
"RL","Land Use","148","Nauru","5110","Area","6601","Land area","2013","2013","1000 ha","2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","149","Nepal","5110","Area","6601","Land area","2013","2013","1000 ha","14335","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","150","Netherlands","5110","Area","6601","Land area","2013","2013","1000 ha","3369","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","151","Netherlands Antilles (former)","5110","Area","6601","Land area","2013","2013","1000 ha","80","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","153","New Caledonia","5110","Area","6601","Land area","2013","2013","1000 ha","1828","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","156","New Zealand","5110","Area","6601","Land area","2013","2013","1000 ha","26331","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","157","Nicaragua","5110","Area","6601","Land area","2013","2013","1000 ha","12034","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","158","Niger","5110","Area","6601","Land area","2013","2013","1000 ha","126670","Fm","Manual Estimation"
"RL","Land Use","159","Nigeria","5110","Area","6601","Land area","2013","2013","1000 ha","91077","Fm","Manual Estimation"
