personLabel,birth,death,age,genderLabel
Charles Camarda,1952-05-08T00:00:00Z,,,male
Charles D. Gemar,1955-08-04T00:00:00Z,,,male
Charles D. Walker,1948-08-29T00:00:00Z,,,male
Charles Duke,1935-10-03T00:00:00Z,,,male
Charles E. Brady Jr.,1951-08-12T00:00:00Z,2006-07-23T00:00:00Z,55,male
Charles Edward Jones,1952-11-04T00:00:00Z,2001-09-11T00:00:00Z,49,male
Charles J. Precourt,1955-06-29T00:00:00Z,,,male
Charles L. Veach,1944-09-18T00:00:00Z,1995-10-03T00:00:00Z,51,male
Charles O. Hobaugh,1961-11-05T00:00:00Z,,,male
Charles Richard Chappell,1943-01-01T00:00:00Z,,,male
Charles Simonyi,1948-09-10T00:00:00Z,,,male
Chen Dong,1978-12-12T00:00:00Z,,,male
Chen Quan,1963-01-01T00:00:00Z,,,male
Chiaki Mukai,1952-05-06T00:00:00Z,,,female
Chris Hadfield,1959-08-29T00:00:00Z,,,male
Christa McAuliffe,1948-09-02T00:00:00Z,1986-01-28T00:00:00Z,38,female
Christer Fuglesang,1957-03-18T00:00:00Z,,,male
Christina Koch,1979-01-29T00:00:00Z,,,female
Christopher Cassidy,1970-01-04T00:00:00Z,,,male
Christopher Ferguson,1961-09-01T00:00:00Z,,,male
Christopher Loria,1960-07-09T00:00:00Z,,,male
Claude Nicollier,1944-09-02T00:00:00Z,,,male
Claudie Haigneré,1957-05-13T00:00:00Z,,,female
Clayton Anderson,1959-02-23T00:00:00Z,,,male
Clemens Lothaller,1963-05-08T00:00:00Z,,,male
Clifton Williams,1932-09-26T00:00:00Z,1967-10-05T00:00:00Z,35,male
Curt Michel,1934-06-05T00:00:00Z,2015-02-23T00:00:00Z,81,male
Curtis Brown,1956-03-11T00:00:00Z,,,male
Dafydd Williams,1954-05-16T00:00:00Z,,,male
Dale Gardner,1948-11-08T00:00:00Z,2014-02-19T00:00:00Z,66,male
Daniel Brandenstein,1943-01-17T00:00:00Z,,,male
Daniel C. Burbank,1961-07-27T00:00:00Z,,,male
Daniel M. Tani,1961-02-01T00:00:00Z,,,male
Daniel T. Barry,1953-12-30T00:00:00Z,,,male
Daniel W. Bursch,1957-07-25T00:00:00Z,,,male
David C. Hilmers,1950-01-28T00:00:00Z,,,male
David Henry Matthiesen,1958-08-31T00:00:00Z,,,male
David Leestma,1949-05-06T00:00:00Z,,,male
David M. Brown,1956-04-16T00:00:00Z,2003-02-01T00:00:00Z,47,male
David M. Walker,1944-05-20T00:00:00Z,2001-04-23T00:00:00Z,57,male
David Saint-Jacques,1970-01-06T00:00:00Z,,,male
David Scott,1932-06-06T00:00:00Z,,,male
David Wolf,1956-08-23T00:00:00Z,,,male
Deke Slayton,1924-03-01T00:00:00Z,1993-06-13T00:00:00Z,69,male
Deng Qingming,1965-02-12T00:00:00Z,,,male
Denis Matveev,1983-04-25T00:00:00Z,,,male
Dennis Tito,1940-08-08T00:00:00Z,,,male
Dick Scobee,1939-05-19T00:00:00Z,1986-01-28T00:00:00Z,47,male
Dirk Frimout,1941-03-21T00:00:00Z,,,male
Dmitri Kondratyev,1969-05-25T00:00:00Z,,,male
Dmitrij Petelin,1983-07-10T00:00:00Z,,,male
Dominic A. Antonelli,1967-08-23T00:00:00Z,,,male
Dominic L. Pudwill Gorie,1957-05-02T00:00:00Z,,,male
Don L. Lind,1930-05-18T00:00:00Z,,,male
Donald A. Thomas,1955-05-06T00:00:00Z,,,male
Donald E. Williams,1942-02-13T00:00:00Z,2016-02-23T00:00:00Z,74,male
Donald H. Peterson,1933-10-22T00:00:00Z,2018-05-27T00:00:00Z,85,male
Donald Holmquest,1939-04-07T00:00:00Z,,,male
Donald Pettit,1955-04-20T00:00:00Z,,,male
Donald R. McMonagle,1952-05-14T00:00:00Z,,,male
Donn F. Eisele,1930-06-23T00:00:00Z,1987-12-02T00:00:00Z,57,male
Dorothy M. Metcalf-Lindenburger,1975-05-02T00:00:00Z,,,female
Douglas G. Hurley,1966-10-21T00:00:00Z,,,male
Douglas H. Wheelock,1960-05-05T00:00:00Z,,,male
Duane G. Carey,1957-04-30T00:00:00Z,,,male
