personLabel,birth,death,age,genderLabel
Michael S. Hopkins,1968-11-28T00:00:00Z,,,male
Michael T. Good,1962-10-13T00:00:00Z,,,male
Michael Warren Booen,1957-05-30T00:00:00Z,,,male
Michel Tognini,1949-09-30T00:00:00Z,,,male
Mike Melvill,1940-11-11T00:00:00Z,,,male
Mike Mullane,1945-09-10T00:00:00Z,,,male
Mikhail Fedorovich Rebrov,1931-07-03T00:00:00Z,1998-04-24T00:00:00Z,67,male
Mikhail Korniyenko,1960-04-15T00:00:00Z,,,male
Mikhail Lisun,1935-09-05T00:00:00Z,2012-07-31T00:00:00Z,77,male
Mikhail Tyurin,1960-03-02T00:00:00Z,,,male
Millie Hughes-Fulford,1945-12-21T00:00:00Z,,,female
Mirosław Hermaszewski,1941-09-15T00:00:00Z,,,male
Mohammad Dauran Ghulam Masum,1954-01-20T00:00:00Z,,,male
Muhammed Faris,1951-05-26T00:00:00Z,,,male
Mukhtar Aymakhanov,1967-01-01T00:00:00Z,,,male
Munir Habib Habib,1953-09-03T00:00:00Z,,,male
Musa Manarov,1951-03-22T00:00:00Z,,,male
Nagyezsda Vasziljevna Kuzselnaja,1962-11-06T00:00:00Z,,,female
Nail Sattarov,1941-12-23T00:00:00Z,2014-04-15T00:00:00Z,73,male
Nancy J. Currie,1958-12-29T00:00:00Z,,,female
Naoko Yamazaki,1970-12-27T00:00:00Z,,,female
Nathan J. Lindsay,1936-05-24T00:00:00Z,2015-05-25T00:00:00Z,79,male
Neil Armstrong,1930-08-05T00:00:00Z,2012-08-25T00:00:00Z,82,male
Neil Woodward,1962-07-26T00:00:00Z,,,male
Nicholas Patrick,1964-11-19T00:00:00Z,,,male
Nick Hague,1975-09-24T00:00:00Z,,,male
Nicole Mann,1977-06-27T00:00:00Z,,,female
Nicole Stott,1962-11-19T00:00:00Z,,,female
Nie Haisheng,1964-10-13T00:00:00Z,,,male
Nik Halik,1969-05-15T00:00:00Z,,,male
Nikolai Budarin,1953-04-29T00:00:00Z,,,male
Nikolai Kamanin,1908-10-18T00:00:00Z,1982-03-11T00:00:00Z,74,male
Nikolai Tikhonov,1982-05-23T00:00:00Z,,,male
Nikolaj Čub,1984-06-10T00:00:00Z,,,male
Nikolay Rukavishnikov,1932-09-18T00:00:00Z,2002-10-19T00:00:00Z,70,male
Norishige Kanai,1976-12-05T00:00:00Z,,,male
Norman Thagard,1943-07-03T00:00:00Z,,,male
Oleg Artemyev,1970-12-28T00:00:00Z,,,male
Oleg Atkov,1949-05-09T00:00:00Z,,,male
Oleg Grigoryevich Makarov,1933-01-06T00:00:00Z,2003-05-28T00:00:00Z,70,male
Oleg Kononenko,1964-06-21T00:00:00Z,,,male
Oleg Kotov,1965-10-27T00:00:00Z,,,male
Oleg Novitskiy,1971-10-12T00:00:00Z,,,male
Oleg Skripochka,1969-12-24T00:00:00Z,,,male
Owen K. Garriott,1930-11-22T00:00:00Z,2019-04-15T00:00:00Z,89,male
Pamela Melroy,1961-09-17T00:00:00Z,,,female
Pan Zhanchun,1966-10-29T00:00:00Z,,,male
Paolo Nespoli,1957-04-06T00:00:00Z,,,male
Patricia Robertson,1963-03-12T00:00:00Z,2001-05-24T00:00:00Z,38,female
Patrick Baudry,1946-03-06T00:00:00Z,,,male
Patrick Forrester,1957-03-31T00:00:00Z,,,male
Paul David Ronney,1957-05-01T00:00:00Z,,,male
Paul J. Weitz,1932-07-25T00:00:00Z,2017-10-22T00:00:00Z,85,male
Paul J. Weitz,1932-07-25T00:00:00Z,2017-10-23T00:00:00Z,85,male
Paul Lockhart,1956-04-28T00:00:00Z,,,male
Paul Scully-Power,1944-05-28T00:00:00Z,,,male
Paul W. Richards,1964-05-20T00:00:00Z,,,male
Pavel Ivanovich Belyayev,1925-06-26T00:00:00Z,1970-01-10T00:00:00Z,45,male
Pavel Popovich,1930-10-05T00:00:00Z,2009-09-29T00:00:00Z,79,male
Pavel Popovich,1930-10-05T00:00:00Z,2009-09-30T00:00:00Z,79,male
Pavel Vinogradov,1953-08-31T00:00:00Z,,,male
Pedro Duque,1963-03-14T00:00:00Z,,,male
Peggy Whitson,1960-02-09T00:00:00Z,,,female
Pete Conrad,1930-06-02T00:00:00Z,1999-07-08T00:00:00Z,69,male
Peter Wisoff,1958-08-16T00:00:00Z,,,male
Pham Tuan,1947-02-14T00:00:00Z,,,male
Philip K. Chapman,1935-03-05T00:00:00Z,,,male
Philippe Perrin,1963-01-06T00:00:00Z,,,male
Pierre J. Thuot,1955-05-19T00:00:00Z,,,male
Piers Sellers,1955-04-11T00:00:00Z,2016-12-23T00:00:00Z,61,male
Pirada Techawichit,1984-08-07T00:00:00Z,,,male
Pratiwi Sudarmono,1952-07-31T00:00:00Z,,,female
Pyotr Dubrov,1978-01-30T00:00:00Z,,,male
Pyotr Klimuk,1942-07-10T00:00:00Z,,,male
Q10340525,1938-08-16T00:00:00Z,1980-09-08T00:00:00Z,42,male
Q12051501,1963-04-20T00:00:00Z,,,male
Q16522515,1959-11-28T00:00:00Z,,,male
Q17426654,1947-10-06T00:00:00Z,2007-01-24T00:00:00Z,60,male
Q17426873,1939-03-14T00:00:00Z,2003-04-15T00:00:00Z,64,male
Q18236847,1953-03-03T00:00:00Z,,,male
Q28195006,1944-07-24T00:00:00Z,2016-09-16T00:00:00Z,72,male
Q60825146,1939-02-03T00:00:00Z,1993-10-25T00:00:00Z,54,male
Q9381660,1937-05-31T00:00:00Z,1990-04-19T00:00:00Z,53,male
Q9601011,1947-07-28T00:00:00Z,,,male
Raja Chari,1977-06-24T00:00:00Z,,,male
Rakesh Sharma,1949-01-13T00:00:00Z,,,male
Randolph Bresnik,1967-09-11T00:00:00Z,,,male
Ravish Malhotra,1943-12-25T00:00:00Z,,,male
Reinhard Furrer,1940-11-25T00:00:00Z,1995-09-09T00:00:00Z,55,male
Reinhold Ewald,1956-12-18T00:00:00Z,,,male
Renate Brümmer,1955-05-04T00:00:00Z,,,female
Rex J. Walheim,1962-10-10T00:00:00Z,,,male
Ricardo Peralta y Fabi,1950-08-15T00:00:00Z,2017-01-01T00:00:00Z,67,male
Richard A. Searfoss,1956-06-05T00:00:00Z,2018-09-29T00:00:00Z,62,male
Richard E. Lawyer,1932-11-08T00:00:00Z,2005-11-12T00:00:00Z,73,male
Richard F. Gordon,1929-10-05T00:00:00Z,2017-11-06T00:00:00Z,88,male
Richard Farrimond,1947-09-15T00:00:00Z,,,male
Richard Garriott,1961-07-04T00:00:00Z,,,male
Richard H. Truly,1937-11-12T00:00:00Z,,,male
Richard Hieb,1955-09-21T00:00:00Z,,,male
Richard M. Linnehan,1957-09-19T00:00:00Z,,,male
Richard Mastracchio,1960-02-11T00:00:00Z,,,male
Richard N. Richards,1946-08-24T00:00:00Z,,,male
Richard O. Covey,1946-08-01T00:00:00Z,,,male
Richard R. Arnold,1963-11-26T00:00:00Z,,,male
Rick Husband,1957-07-12T00:00:00Z,2003-02-01T00:00:00Z,46,male
Robb Kulin,1983-12-07T00:00:00Z,,,male
Robert A. Parker,1936-12-14T00:00:00Z,,,male
Robert A. Rushworth,1924-10-09T00:00:00Z,1993-03-17T00:00:00Z,69,male
Robert C. Springer,1942-05-21T00:00:00Z,,,male
Robert Crippen,1937-09-11T00:00:00Z,,,male
Robert Curbeam,1962-03-05T00:00:00Z,,,male
Robert D. Cabana,1943-01-23T00:00:00Z,,,male
Robert Everett Stevenson,1921-01-15T00:00:00Z,2001-08-12T00:00:00Z,80,male
Robert F. Overmyer,1936-07-14T00:00:00Z,1996-03-22T00:00:00Z,60,male
Robert Henry Lawrence,1935-10-02T00:00:00Z,1967-12-08T00:00:00Z,32,male
Robert Hines,1975-01-11T00:00:00Z,,,male
Robert J. Cenker,1948-11-05T00:00:00Z,,,male
Robert Jackson Wood,1957-06-26T00:00:00Z,2009-02-19T00:00:00Z,52,male
Robert L. Behnken,1970-07-28T00:00:00Z,,,male
Robert L. Gibson,1946-10-30T00:00:00Z,,,male
Robert L. Stewart,1942-08-13T00:00:00Z,,,male
Robert Michael White,1924-07-06T00:00:00Z,2010-03-17T00:00:00Z,86,male
Robert R. Gilruth,1913-10-08T00:00:00Z,2000-08-17T00:00:00Z,87,male
Robert S. Kimbrough,1967-06-04T00:00:00Z,,,male
Robert Satcher,1965-09-22T00:00:00Z,,,male
Robert Thirsk,1953-08-17T00:00:00Z,,,male
Roberta Bondar,1945-12-04T00:00:00Z,,,female
Roberto Vittori,1964-10-15T00:00:00Z,,,male
Rodolfo Neri Vela,1952-02-19T00:00:00Z,,,male
Roger Bruce Chaffee,1935-02-15T00:00:00Z,1967-01-27T00:00:00Z,32,male
Roger G. DeKok,1947-01-10T00:00:00Z,2003-04-23T00:00:00Z,56,male
Roger K. Crouch,1940-09-12T00:00:00Z,,,male
Roman Romanenko,1971-08-09T00:00:00Z,,,male
Ronald A. Parise,1951-05-24T00:00:00Z,2008-05-09T00:00:00Z,57,male
Ronald Evans,1933-11-10T00:00:00Z,1990-04-07T00:00:00Z,57,male
Ronald J. Garan,1961-10-30T00:00:00Z,,,male
Ronald J. Grabe,1945-06-13T00:00:00Z,,,male
Ronald M. Sega,1952-12-04T00:00:00Z,,,male
Ronald McNair,1950-10-21T00:00:00Z,1986-01-28T00:00:00Z,36,male
Roy D. Bridges,1943-07-19T00:00:00Z,,,male
Rusty Schweickart,1935-10-25T00:00:00Z,,,male
S. David Griggs,1939-09-07T00:00:00Z,1989-06-17T00:00:00Z,50,male
Salizhan Sharipov,1964-08-24T00:00:00Z,,,male
Sally Ride,1951-05-26T00:00:00Z,2012-07-23T00:00:00Z,61,female
Samantha Cristoforetti,1977-04-26T00:00:00Z,,,female
Samuel T. Durrance,1943-09-17T00:00:00Z,,,male
Sandra Magnus,1964-10-30T00:00:00Z,,,female
Satoshi Furukawa,1964-04-04T00:00:00Z,,,male
Scott Altman,1959-08-15T00:00:00Z,,,male
Scott Carpenter,1925-05-01T00:00:00Z,2013-10-10T00:00:00Z,88,male
Scott D. Tingle,1965-07-19T00:00:00Z,,,male
Scott Duane Vangen,1959-12-12T00:00:00Z,,,male
Scott E. Parazynski,1961-07-28T00:00:00Z,,,male
Scott J. Horowitz,1957-03-24T00:00:00Z,,,male
Scott Kelly,1964-02-21T00:00:00Z,,,male
Serena M. Auñón-Chancellor,1976-04-09T00:00:00Z,,,female
Sergei Anokhin,1910-03-19T00:00:00Z,1986-04-15T00:00:00Z,76,male
Sergei Anokhin,1910-04-01T00:00:00Z,1986-04-15T00:00:00Z,76,male
Sergei Avdeyev,1956-01-01T00:00:00Z,,,male
Sergei Krikalev,1958-08-27T00:00:00Z,,,male
Sergei Revin,1966-01-12T00:00:00Z,,,male
Sergei Treshchov,1958-08-18T00:00:00Z,,,male
Sergei Zalyotin,1962-04-21T00:00:00Z,,,male
Sergej Korsakov,1984-09-01T00:00:00Z,,,male
Sergej Kud'-Sverčkov,1983-08-23T00:00:00Z,,,male
Sergey Alexandrovich Volkov,1973-04-01T00:00:00Z,,,male
Sergey Moshchenko,1954-01-12T00:00:00Z,,,male
Sergey Nikolaevich Gaidukov,1936-10-31T00:00:00Z,2008-12-05T00:00:00Z,72,male
Sergey Prokopyev,1975-02-19T00:00:00Z,,,male
Sergey Ryazansky,1974-11-13T00:00:00Z,,,male
Sergey Ryzhikov,1974-08-19T00:00:00Z,,,male
Sergey Zhukov,1956-09-08T00:00:00Z,,,male
Shannon Lucid,1943-01-14T00:00:00Z,,,female
Shannon Walker,1965-06-04T00:00:00Z,,,female
Sheikh Muszaphar Shukor,1972-07-27T00:00:00Z,,,male
Sherwood C. Spring,1944-09-03T00:00:00Z,,,male
Sidney M. Gutierrez,1951-06-27T00:00:00Z,,,male
Sigmund Jähn,1937-02-13T00:00:00Z,2019-09-21T00:00:00Z,82,male
Siva Vanajah,1971-03-02T00:00:00Z,,,female
Soichi Noguchi,1965-04-15T00:00:00Z,,,male
Sonny Carter,1947-08-15T00:00:00Z,1991-04-05T00:00:00Z,44,male
Stanley G. Love,1965-06-08T00:00:00Z,,,male
Stanley Norbert Koszelak,1953-10-20T00:00:00Z,,,male
Stephanie Wilson,1966-09-27T00:00:00Z,,,female
Stephen Bowen,1964-02-13T00:00:00Z,,,male
Stephen Frick,1964-09-30T00:00:00Z,,,male
Stephen Robinson,1955-10-26T00:00:00Z,,,male
Stephen S. Oswald,1951-06-30T00:00:00Z,,,male
Stephen Thorne,1953-02-11T00:00:00Z,1986-05-24T00:00:00Z,33,male
Steve MacLean,1954-12-14T00:00:00Z,,,male
Steven Hawley,1951-12-12T00:00:00Z,,,male
Steven Lindsey,1960-08-24T00:00:00Z,,,male
Steven R. Nagel,1946-10-27T00:00:00Z,2014-08-21T00:00:00Z,68,male
Steven Smith,1958-12-30T00:00:00Z,,,male
Steven Swanson,1960-12-03T00:00:00Z,,,male
Story Musgrave,1935-08-19T00:00:00Z,,,male
Stuart Roosa,1933-08-16T00:00:00Z,1994-12-12T00:00:00Z,61,male
Sultan Al Niadi,1981-05-23T00:00:00Z,,,male
Sultan bin Salman Al Saud,1956-01-01T00:00:00Z,,,male
Sultan bin Salman Al Saud,1956-06-27T00:00:00Z,,,male
Sunita Williams,1965-09-19T00:00:00Z,,,female
Susan J. Helms,1958-02-26T00:00:00Z,,,female
Susan Kilrain,1961-10-24T00:00:00Z,,,female
Svetlana Savitskaya,1948-08-08T00:00:00Z,,,female
Szergej Valerjevics Kosztyenko,1963-04-20T00:00:00Z,,,male
Takao Doi,1954-09-18T00:00:00Z,,,male
Takuya Ōnishi,1975-12-22T00:00:00Z,,,male
Talgat Musabayev,1951-01-07T00:00:00Z,,,male
Tamara E. Jernigan,1959-05-07T00:00:00Z,,,female
Tatyana Kuznetsova,1941-07-14T00:00:00Z,2018-08-28T00:00:00Z,77,female
Taylor G. Wang,1940-06-16T00:00:00Z,,,male
Terence T. Henricks,1952-07-05T00:00:00Z,,,male
Terrence W. Wilcutt,1949-10-31T00:00:00Z,,,male
Terry Hart,1946-10-27T00:00:00Z,,,male
Terry W. Virts,1967-12-01T00:00:00Z,,,male
Theodore Freeman,1930-02-18T00:00:00Z,1964-10-31T00:00:00Z,34,male
Thomas Akers,1951-05-20T00:00:00Z,,,male
Thomas David Jones,1955-01-22T00:00:00Z,,,male
Thomas J. Hennen,1952-08-17T00:00:00Z,,,male
Thomas Marshburn,1960-08-29T00:00:00Z,,,male
Thomas P. Stafford,1930-09-17T00:00:00Z,,,male
Thomas Pesquet,1978-02-27T00:00:00Z,,,male
Thomas Reiter,1958-05-23T00:00:00Z,,,male
Timothy Creamer,1959-11-15T00:00:00Z,,,male
Timothy Kopra,1963-04-09T00:00:00Z,,,male
Timothy Kristian Charles Mace,1955-11-20T00:00:00Z,2014-09-14T00:00:00Z,59,male
Timothy Peake,1972-04-07T00:00:00Z,,,male
Toktar Aubakirov,1946-07-27T00:00:00Z,,,male
Toyohiro Akiyama,1942-07-22T00:00:00Z,,,male
Tracy Caldwell Dyson,1969-08-14T00:00:00Z,,,female
Ulf Merbold,1941-06-20T00:00:00Z,,,male
Umberto Guidoni,1954-08-18T00:00:00Z,,,male
Valentin Bondarenko,1937-02-16T00:00:00Z,1961-03-23T00:00:00Z,24,male
Valentin Lebedev,1942-04-14T00:00:00Z,,,male
Valentina Ponomaryova,1933-09-18T00:00:00Z,,,female
Valentina Tereshkova,1937-03-06T00:00:00Z,,,female
Valeri Kubasov,1935-01-07T00:00:00Z,2014-02-19T00:00:00Z,79,male
Valeri Polyakov,1942-04-27T00:00:00Z,,,male
Valeri Tokarev,1952-10-29T00:00:00Z,,,male
Valeriy Makrushin,1940-01-14T00:00:00Z,2003-01-01T00:00:00Z,63,male
Valery Bykovsky,1934-08-02T00:00:00Z,2019-03-27T00:00:00Z,85,male
Valery Korzun,1953-03-05T00:00:00Z,,,male
Valery Rozhdestvensky,1939-02-13T00:00:00Z,2011-08-31T00:00:00Z,72,male
Valery Ryumin,1939-08-16T00:00:00Z,,,male
Vance D. Brand,1931-05-09T00:00:00Z,,,male
Vasily Lazarev,1928-02-23T00:00:00Z,1990-12-31T00:00:00Z,62,male
Vasily Tsibliyev,1954-02-20T00:00:00Z,,,male
Victor J. Glover,1976-04-30T00:00:00Z,,,male
Viktor Afanasyev,1948-12-31T00:00:00Z,,,male
Viktor Gorbatko,1934-12-03T00:00:00Z,2017-05-17T00:00:00Z,83,male
Viktor Patsayev,1933-06-19T00:00:00Z,1971-06-30T00:00:00Z,38,male
Viktor Savinykh,1940-03-07T00:00:00Z,,,male
Vitaly Sevastyanov,1935-07-08T00:00:00Z,2010-04-05T00:00:00Z,75,male
Vitaly Zholobov,1937-06-18T00:00:00Z,,,male
Vladimir Aksyonov,1935-02-01T00:00:00Z,,,male
Vladimir Dezhurov,1962-07-30T00:00:00Z,,,male
Vladimir Dzhanibekov,1942-05-13T00:00:00Z,,,male
Vladimir Gevorkian,1952-05-28T00:00:00Z,2008-04-13T00:00:00Z,56,male
Vladimir Komarov,1927-03-16T00:00:00Z,1967-04-24T00:00:00Z,40,male
Vladimir Kovalyonok,1942-03-03T00:00:00Z,,,male
Vladimir Lyakhov,1941-07-20T00:00:00Z,2018-04-19T00:00:00Z,77,male
Vladimir Pletser,1956-02-28T00:00:00Z,,,male
Vladimir Shatalov,1927-12-08T00:00:00Z,,,male
Vladimir Solovyov,1946-11-11T00:00:00Z,,,male
Vladimir Titov,1947-01-01T00:00:00Z,,,male
Vladimir Vasyutin,1952-03-08T00:00:00Z,2002-07-19T00:00:00Z,50,male
Vladislav Volkov,1935-11-23T00:00:00Z,1971-06-30T00:00:00Z,36,male
Vyacheslav Zudov,1942-01-08T00:00:00Z,,,male
Wally Schirra,1923-03-12T00:00:00Z,2007-05-03T00:00:00Z,84,male
Walter Cunningham,1932-03-16T00:00:00Z,,,male
Wang Yaping,1980-01-27T00:00:00Z,,,female
Warren Hoburg,1985-09-16T00:00:00Z,,,male
Wendy B. Lawrence,1959-07-02T00:00:00Z,,,female
William A. Pailes,1952-06-26T00:00:00Z,,,male
William B. Lenoir,1939-03-14T00:00:00Z,2010-08-26T00:00:00Z,71,male
William C. McCool,1961-09-23T00:00:00Z,2003-02-01T00:00:00Z,42,male
William E. Thornton,1929-04-14T00:00:00Z,,,male
William F. Readdy,1952-01-24T00:00:00Z,,,male
William Frederick Fisher,1946-04-01T00:00:00Z,,,male
William G. Gregory,1957-05-14T00:00:00Z,,,male
William J. Knight,1929-11-18T00:00:00Z,2004-05-07T00:00:00Z,75,male
William Oefelein,1965-03-29T00:00:00Z,,,male
William R. Pogue,1930-01-23T00:00:00Z,2014-03-03T00:00:00Z,84,male
William S. McArthur,1951-07-26T00:00:00Z,,,male
William Shepherd,1949-07-26T00:00:00Z,,,male
Winston E. Scott,1950-08-06T00:00:00Z,,,male
Władimir Kozielski,1942-01-12T00:00:00Z,,,male
Wu Jie,1963-10-01T00:00:00Z,,,male
Wubbo Ockels,1946-03-28T00:00:00Z,2014-05-18T00:00:00Z,68,male
Yang Liwei,1965-06-21T00:00:00Z,,,male
Yekaterina Ivanova,1949-10-03T00:00:00Z,,,female
Yelena Kondakova,1957-03-30T00:00:00Z,,,female
Yelena Serova,1976-04-22T00:00:00Z,,,female
Yevgeniy Aleksandrovich Ilyin,1937-08-17T00:00:00Z,,,male
Yevgeny Khrunov,1933-09-10T00:00:00Z,2000-05-19T00:00:00Z,67,male
Yi So-Yeon,1978-06-02T00:00:00Z,,,female
Yuri Baturin,1949-01-01T00:00:00Z,,,male
Yuri Baturin,1949-06-12T00:00:00Z,,,male
Yuri Gagarin,1934-03-09T00:00:00Z,1968-03-27T00:00:00Z,34,male
Yuri Gidzenko,1962-03-26T00:00:00Z,,,male
Yuri Malenchenko,1961-12-22T00:00:00Z,,,male
Yuri Shargin,1960-03-20T00:00:00Z,,,male
Yury Artyukhin,1930-06-22T00:00:00Z,1998-08-04T00:00:00Z,68,male
Yury Glazkov,1939-10-02T00:00:00Z,2008-12-09T00:00:00Z,69,male
Yury Lonchakov,1965-03-04T00:00:00Z,,,male
Yury Onufriyenko,1961-02-06T00:00:00Z,,,male
Yury Romanenko,1944-08-01T00:00:00Z,,,male
Yury Usachov,1957-10-09T00:00:00Z,,,male
Yury Vasilyevich Malyshev,1941-08-27T00:00:00Z,1999-11-08T00:00:00Z,58,male
Yvonne Cagle,1959-04-24T00:00:00Z,,,female
Zena Cardman,1988-10-26T00:00:00Z,,,female
Zenon Jankowski,1937-11-22T00:00:00Z,,,male
Zhai Zhigang,1966-10-10T00:00:00Z,,,male
Zhang Xiaoguang,1966-05-01T00:00:00Z,,,male
Zhanna Yorkina,1939-05-06T00:00:00Z,2015-05-15T00:00:00Z,76,female
Zhao Chuandong,2000-01-01T00:00:00Z,,,male
