Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
10941,ACMD-Xpert,Autocar,Allison,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Street Sweeper,""
10773,ACMD-Xpert,Autocar,Allison,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11099,ACMD-Xpert,Autocar,Allison,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
11209,ACTT Terminal Tractor,Autocar,Vorza,"",[10562],Electric,Tractor,Automatic
11208,ACTT Terminal Tractor,Autocar,Allison,"",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
10899,ACX-Xpeditor ,Autocar,Allison,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
10882,ACX-Xpeditor  - Class 8,Autocar,Allison,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11098,ACX-Xpeditor ,Autocar,Allison,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Street Sweeper,""
11063,DC-64 - Class 8,Autocar,Allison,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11100,DC-64R - Class 8,Autocar,Allison,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
10562,LET2,Battle Motors,Allison,"","[10013, 10301]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11210,LET2,Battle Motors,"","",[10563],Electric,Vocational/Cab Chassis,Automatic
11066,LET2 Crew Cab,Battle Motors,Allison,"","[10013, 10301]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11212,LNT,Battle Motors,Allison,"",[10505],CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11211,LNT,Battle Motors,"","",[10563],Electric,Vocational/Cab Chassis,Automatic
10885,All American Activity,Blue Bird,Allison 3000,84,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
623,All American Rear Engine - Class 7,Blue Bird,Allison 3000,84,[10013],CNG - Compressed Natural Gas,School Bus,""
10942,All American RE Electric,Blue Bird,"",84,[10525],Electric,School Bus,Automatic
11103,All American RE Electric Activity,Blue Bird,"",84,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
11102,Micro Bird Activity G5 Electric,Blue Bird,"",30,[],Electric,Passenger Van/Shuttle Bus,""
10662,Micro Bird G5 - Class 3,Blue Bird,"",30,[10533],Propane,School Bus,""
10886,Micro Bird G5 Activity,Blue Bird,"",25,[10533],Propane,Passenger Van/Shuttle Bus,""
11018,Micro Bird G5 Electric,Blue Bird,"",30,[],Electric,School Bus,""
11101,Vision - Class 7,Blue Bird,"",83,[10533],Propane,School Bus,Automatic
10884,Vision Activity,Blue Bird,"",78,"[10341, 10533]",CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
11017,Vision Electric,Blue Bird,"",77,[10525],Electric,School Bus,Automatic
11104,Vision Electric Activity,Blue Bird,"",77,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
10776,6F,BYD,BYD,"",[],Electric,Vocational/Cab Chassis,""
11065,6R,BYD,BYD,"",[],Electric,Refuse,""
10883,8R,BYD,BYD,"",[],Electric,Refuse,""
11080,8TT Day Cab,BYD,BYD,"",[],Electric,Tractor,Automatic
10779,8Y Terminal Tractor,BYD,BYD,"",[],Electric,Tractor,""
10785,C10M (45'),BYD,BYD,Max 57,[10409],Electric,Passenger Van/Shuttle Bus,""
11108,C10MS (45' double deck),BYD,BYD,77,[10409],Electric,Transit Bus,""
10783,C6M (23'),BYD,BYD,16,[10554],Electric,Passenger Van/Shuttle Bus,""
11106,C8M (35'),BYD,BYD,41,[10409],Electric,Passenger Van/Shuttle Bus,""
11107,C8MS (35' double deck),BYD,BYD,52,[10409],Electric,Transit Bus,""
10784,C9M (40'),BYD,BYD,49,[10409],Electric,Passenger Van/Shuttle Bus,""
11105,K11M (60'),BYD,BYD,55,[10409],Electric,Transit Bus,""
10781,K7M (30'),BYD,BYD,22,[10414],Electric,Transit Bus,""
11213,K7M ER (30'),BYD,BYD,22,[10410],Electric,Transit Bus,""
10782,K8M (35'),BYD,BYD,32,[10411],Electric,Transit Bus,""
10767,K9M (40'),BYD,BYD,37,[10410],Electric,Transit Bus,""
11214,K9MD (40'),BYD,BYD,42,[10409],Electric,Transit Bus,""
10898,3500/4500 Low Cab Forward,Chevrolet,"","",[10422],Ethanol (E85),Vocational/Cab Chassis,""
10819,"4500 HD, 4500 XD, 5500 HD, 5500 XD Low Cab Forward",Chevrolet,"","",[10564],Biodiesel (B20),Vocational/Cab Chassis,""
11215,6500 XD Low Cab Forward,Chevrolet,Allison,"",[10564],Biodiesel (B20),Vocational/Cab Chassis,""
10896,Express 2500/3500,Chevrolet,"","",[10422],Ethanol (E85),Van,""
11124,Express 2500/3500,Chevrolet,"","",[10423],Biodiesel (B20),Passenger Van/Shuttle Bus,""
10813,Express 2500/3500,Chevrolet,"","",[10423],Biodiesel (B20),Van,""
11127,Express 2500/3500,Chevrolet,"","",[10422],Ethanol (E85),Passenger Van/Shuttle Bus,""
10897,Express 3500/4500 Cutaway,Chevrolet,"","",[10422],Ethanol (E85),Vocational/Cab Chassis,""
10810,Silverado 3500 HD Cab Chassis,Chevrolet,Allison,"",[10422],Biodiesel (B20),Vocational/Cab Chassis,""
10803,Sliverado 2500/3500 HD,Chevrolet,Allison,"",[10422],Biodiesel (B20),Pickup,""
11178,e.COBUS 2700,COBUS Industries,"",96,[10062],Electric,Transit Bus,""
