f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,y
8641,7608,1517,1994,1480,699,3669,1424,1289,957,8224,7608,1450,1960,1460,694,3537,1372,1289,876,13455,11852,2901,2861,2073,1139,5588,2048,1900,1639,12816,11852,2778,2797,2017,1126,5375,1971,1900,1503,6257,721024
9877,8812,1721,2320,1740,837,4235,1645,1521,1069,9356,8812,1633,2285,1720,835,4107,1593,1521,992,14531,12956,3034,3169,2326,1267,6126,2252,2155,1719,13765,12956,2886,3106,2272,1253,5928,2174,2155,1599,7566,853856
11592,10343,2021,2691,2050,1018,4925,1923,1819,1184,11068,10343,1919,2667,2033,1021,4802,1879,1819,1104,16027,14215,3203,3504,2608,1410,6740,2521,2429,1790,15253,14215,3016,3444,2560,1399,6543,2448,2429,1667,8610,934997
13578,12416,2325,3165,2467,1236,5965,2321,2238,1406,13102,12416,2206,3193,2464,1240,5846,2297,2238,1311,17204,15608,3286,3838,2905,1537,7518,2839,2705,1974,16486,15608,3104,3794,2869,1528,7299,2779,2705,1815,10431,1030108
14626,13462,2543,3311,2512,1307,6718,2422,2519,1777,14076,13462,2375,3321,2508,1301,6528,2401,2519,1608,18065,16530,3257,3970,2978,1599,8268,2981,3029,2258,17309,16530,3123,3904,2927,1591,7996,2919,3029,2048,11209,997366
17894,16204,3128,3978,2970,1511,8152,2998,3062,2092,17137,16204,2874,3956,2966,1505,7911,2964,3062,1885,19916,18033,3469,4358,3293,1697,9088,3402,3320,2367,19091,18033,3270,4284,3233,1689,8781,3324,3320,2137,13627,1085830
20963,19165,3577,4556,3500,1828,9720,3342,3951,2426,20435,19165,3232,4602,3509,1822,9508,3301,3951,2257,21772,19691,3700,4748,3603,1877,10022,3459,4045,2519,21029,19691,3361,4702,3560,1868,9760,3387,4045,2329,16211,1236608
23712,21874,3996,4959,3732,2040,11396,3993,4611,2793,23132,21874,3601,5047,3746,2032,11194,3943,4611,2640,22584,20746,3778,4765,3598,1906,10864,3809,4425,2630,22052,20746,3412,4776,3583,1899,10659,3741,4425,2493,18792,1256349
26700,24414,4548,5353,4102,2210,12830,4342,5340,3149,25654,24414,4077,5467,4131,2218,12651,4275,5340,3037,23874,22062,3952,4922,3804,1982,11662,3954,4949,2759,23474,22062,3544,5007,3831,1987,11524,3888,4949,2687,21002,1316877
30074,28079,5090,6100,4663,2440,14867,5131,6208,3528,29144,28079,4610,6359,4712,2475,14635,5082,6208,3346,25648,23772,4018,5373,4145,2078,12691,4385,5401,2906,25358,23772,3627,5556,4222,2096,12493,4323,5401,2770,25481,1505103
33161,30710,5433,6692,5183,2484,16482,5597,6921,3964,32417,30710,4990,6994,5231,2535,16191,5559,6921,3712,27605,25630,4015,5873,4550,2161,13887,4810,5964,3113,27321,25630,3712,6097,4648,2185,13636,4754,5964,2918,29160,1565291
36809,33638,6126,7218,5733,2548,18268,6070,7670,4528,35985,33638,5632,7488,5750,2607,17911,6027,7670,4214,29841,27751,4202,6476,5003,2224,15178,5220,6592,3366,29534,27751,3870,6719,5107,2251,14911,5176,6592,3143,32432,1664034
