f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,y
8338,7933,1463,1932,1426,676,3600,1375,1287,937,8738,7933,1462,2004,1477,689,3771,1444,1287,1040,13068,12547,2861,2800,2030,1095,5449,1984,1854,1610,13824,12547,2958,2913,2112,1132,5754,2099,1854,1801,9393,1108967
9582,9107,1699,2182,1634,804,4106,1594,1468,1044,10069,9107,1710,2262,1693,821,4301,1672,1468,1161,14341,13793,3007,3042,2230,1254,6062,2222,2123,1717,15256,13793,3115,3170,2324,1297,6399,2349,2123,1927,11910,1267443
11178,10658,1955,2635,2033,969,4755,1877,1742,1136,11781,10658,1982,2742,2112,989,4963,1966,1742,1255,15690,15147,3165,3477,2589,1385,6652,2484,2420,1748,16752,15147,3273,3637,2704,1434,6986,2622,2420,1943,14407,1632324
12940,12340,2177,3039,2326,1152,5600,2184,2051,1365,13639,12340,2203,3173,2422,1173,5811,2284,2051,1476,17098,16446,3269,3739,2803,1491,7374,2763,2678,1933,18230,16446,3382,3922,2930,1544,7724,2908,2678,2138,14407,1632324
13678,13419,2469,3037,2289,1278,6299,2231,2433,1635,14396,13419,2541,3148,2386,1304,6467,2326,2433,1709,17144,17014,3267,3615,2665,1567,8023,2802,3047,2174,18273,17014,3435,3779,2777,1624,8301,2937,3047,2317,13300,1405614
17172,16627,2999,3885,2923,1499,7705,2810,2863,2033,18148,16627,3124,4043,3051,1547,7945,2921,2863,2162,19425,18948,3369,4304,3269,1692,8865,3260,3254,2351,20696,18948,3527,4506,3409,1756,9188,3424,3254,2510,17746,1634521
20263,19731,3569,4443,3398,1722,9158,3335,3445,2377,21693,19731,3724,4702,3563,1781,9531,3485,3445,2601,21399,20759,3674,4608,3542,1804,9702,3638,3566,2498,22833,20759,3821,4852,3704,1873,10167,3848,3566,2752,18952,1785510
22832,21990,3898,4894,3760,2021,10317,3765,3851,2702,24185,21990,4029,5170,3945,2089,10701,3938,3851,2913,22260,21507,3785,4783,3708,1965,9995,3632,3754,2608,23655,21507,3958,5058,3872,2041,10450,3850,3754,2846,24968,1960168
26075,24562,4443,5360,4057,2243,11735,4334,4352,3050,27255,24562,4545,5583,4245,2316,12118,4532,4352,3234,23526,22463,3860,4922,3826,2021,10729,3939,4067,2723,24671,22463,4027,5180,3988,2100,11156,4169,4067,2919,30585,2048475
29372,27038,4944,5933,4411,2385,13222,4862,4905,3455,30609,27038,4977,6144,4597,2436,13481,5092,4905,3484,25082,23486,4074,5158,3975,2022,11408,4174,4385,2850,25989,23486,4260,5382,4129,2091,11753,4434,4385,2934,33653,2203901
32156,28854,5325,6248,4768,2409,14468,5378,5266,3824,33147,28854,5394,6376,4955,2428,14656,5671,5266,3718,26988,24986,4001,5622,4334,2082,12566,4693,4814,3059,27837,24986,4207,5828,4482,2142,12810,5019,4814,2977,34875,2279706
35785,32025,5759,7076,5451,2527,16159,6027,5855,4276,36933,32025,5822,7261,5677,2530,16412,6425,5855,4132,29378,27196,4090,6377,4953,2194,13758,5251,5246,3262,30417,27196,4252,6637,5134,2252,14055,5657,5246,3152,40317,2500453
