f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,y
8861,7670,1582,2030,1516,725,3787,1469,1331,987,8404,7670,1232,1997,1498,707,3739,1429,1331,979,13644,11730,2943,2891,2110,1166,5699,2091,1934,1673,12861,11730,2253,2827,2077,1130,5608,2023,1934,1650,6964,838583
10411,8965,1788,2427,1845,871,4419,1745,1587,1087,9866,8965,1381,2380,1821,851,4369,1698,1587,1083,14995,12877,3067,3267,2411,1286,6262,2343,2201,1718,14178,12877,2331,3185,2369,1247,6173,2268,2201,1704,8970,929458
11942,10337,2071,2781,2118,1064,5067,1975,1868,1224,11307,10337,1587,2721,2091,1048,5023,1925,1868,1230,16281,14104,3244,3581,2662,1460,6880,2572,2477,1830,15473,14104,2440,3492,2619,1421,6798,2495,2477,1826,9110,1062034
14101,12448,2371,3269,2514,1280,6185,2389,2333,1463,13423,12448,1821,3223,2490,1265,6174,2345,2333,1497,17297,15306,3263,3832,2881,1553,7618,2848,2748,2022,16516,15306,2467,3762,2851,1515,7532,2778,2748,2006,12196,1146325
15558,13950,2673,3570,2702,1367,7093,2578,2609,1906,14715,13950,2030,3495,2670,1342,7094,2527,2609,1958,18527,16724,3284,4135,3117,1639,8486,3096,3061,2329,17665,16724,2517,4057,3085,1597,8471,3020,3061,2389,13200,1126558
18719,16415,3271,4168,3093,1534,8417,3092,3143,2182,17558,16415,2450,4035,3051,1499,8417,3024,3143,2250,20387,18101,3576,4440,3344,1701,9240,3470,3367,2403,19375,18101,2703,4343,3312,1656,9238,3378,3367,2493,14742,1259101
21423,19003,3659,4483,3342,1934,10043,3448,4077,2518,20295,19003,2702,4320,3299,1891,10089,3376,4077,2637,21455,19132,3703,4469,3346,1960,10153,3498,4106,2548,20429,19132,2691,4365,3331,1907,10169,3405,4106,2658,18598,1318627
24508,22022,4083,5205,3976,2073,11805,4114,4799,2891,23570,22022,3030,5083,3959,2026,11883,4038,4799,3046,22862,20479,3795,4859,3732,1918,11063,3868,4528,2666,21959,20479,2744,4769,3740,1861,11105,3769,4528,2808,22301,1348438
27641,25119,4705,5600,4237,2287,13704,4653,5857,3194,26862,25119,3508,5526,4244,2244,13840,4569,5857,3414,24266,21939,3986,5005,3851,2003,12131,4134,5242,2755,23571,21939,2894,4933,3876,1945,12167,4019,5242,2906,24782,1449261
30919,28706,5284,6176,4741,2506,15906,5295,6951,3660,30540,28706,4043,6170,4765,2464,16029,5176,6951,3901,26123,23794,4028,5437,4204,2113,13388,4480,5928,2980,25622,23794,2995,5366,4238,2049,13384,4328,5928,3128,29726,1651006
33900,30901,5499,6807,5235,2428,17495,5630,7752,4112,33541,30901,4236,6769,5264,2373,17524,5441,7752,4331,28182,25812,4035,6058,4687,2133,14768,4881,6717,3170,27723,25812,3077,5951,4714,2060,14724,4679,6717,3328,33808,1773996
37682,33911,6166,7428,5721,2570,19471,6157,8559,4755,37153,33911,4758,7279,5750,2502,19373,5906,8559,4908,30285,27682,4266,6578,5069,2218,16017,5253,7272,3492,29835,27682,3247,6414,5077,2139,15882,5017,7272,3593,38480,1989797
