LATITUDE,LONGITUDE
41.01261672,28.54140741
41.15816138,28.61356557
41.24933896,28.03778348
40.98389906,29.04009447
41.00057571,28.69146283
40.93530869,29.32867668
41.01450221,28.76814579
40.98940391,28.65694297
41.02753436,29.02624217
40.98987317,28.6684008
40.89141356,29.23323457
41.13060422,29.09358583
41.04165762,28.91991842
41.00306655,29.03626706
41.03232541,29.17362107
41.02096585,28.90659425
41.0800035,28.20899049
40.86945447,29.26901487
41.01967015,28.63169775
41.03100559,29.10747116
40.90436916,29.27867645
41.06142149,29.01104994
40.98152792,29.08135026
41.03474573,28.76686786
41.04161852,28.96642489
41.11363622,28.85721776
41.0225188,29.07526394
40.8967308,29.22263569
40.98186429,28.68256861
41.05997752,28.83135469
41.05681212,28.99637357
40.97177557,29.24849597
41.07384915,29.01594593
41.02608257,28.81410163
41.13673143,28.81707269
41.00426897,28.68413878
41.06937155,28.93316692
41.18944311,28.74268625
41.0163878,29.14598187
40.88487599,29.23556676
41.08342301,28.37078083
41.02523913,28.65928705
41.05809494,28.90624368
41.0079701,28.53766986
41.02941408,28.79570732
40.93586163,29.3611637
41.0751913,28.99990174
41.16117111,29.59034112
40.89092212,29.26322309
40.96706594,29.10422482
41.05465828,28.86387982
41.15255923,28.61693973
41.01178545,28.81783783
40.89918877,29.2686647
41.02184205,28.58403678
41.04909299,28.87684213
41.00691653,28.87140247
41.02885255,28.79068333
41.09433608,28.99299325
41.20513127,28.72826561
41.0845534,28.8106902
40.92783851,29.13306917
40.9959898,28.60619924
41.0259119,28.55657737
40.96950037,29.22021668
40.97485903,29.05216014
41.04027366,28.42850663
41.08698267,28.88928688
41.07299288,28.88672428
40.96388354,29.28443917
41.00477714,28.89232007
41.07046999,28.27883598
41.08110132,29.07702496
41.05385238,28.86634702
41.05631325,28.36998004
41.02477377,29.1002775
41.01918556,28.91783023
41.09130079,28.88428792
41.02806636,28.90068303
41.18601276,28.73928928
41.00227299,28.88296925
40.94801038,29.10653007
41.07009753,28.89254169
41.0370441,29.1556768
41.15285325,28.78756392
41.05482568,28.87583121
