,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
14,Mario Elie,HOU,33.0,195.58,95.25432,American International,USA,1985,7,160,78,11.7,3.0,4.0,5.6,0.027999999999999997,0.075,0.139,0.662,0.172,1996-97
15,Marcus Camby,TOR,23.0,210.82,99.79024,Massachusetts,USA,1996,1,2,63,14.8,6.3,1.5,-1.5,0.079,0.165,0.24100000000000002,0.523,0.092,1996-97
16,Marcus Brown,POR,23.0,190.5,83.91452,Murray State,USA,1996,2,46,21,3.9,0.7,1.0,4.0,0.027000000000000003,0.07,0.221,0.523,0.16899999999999998,1996-97
17,Malik Sealy,LAC,27.0,203.2,90.7184,St. John's (NY),USA,1992,1,14,80,13.5,3.0,2.1,-8.0,0.027000000000000003,0.09,0.222,0.504,0.114,1996-97
18,Malik Rose,CHH,22.0,200.66,113.398,Drexel,USA,1996,2,44,54,3.0,3.0,0.6,1.3,0.16899999999999998,0.21899999999999997,0.161,0.515,0.08900000000000001,1996-97
19,Mahmoud Abdul-Rauf,SAC,28.0,185.42,73.481904,Louisiana State,USA,1990,1,3,75,13.7,1.6,2.5,-4.9,0.009000000000000001,0.059000000000000004,0.23399999999999999,0.524,0.154,1996-97
20,Lucious Harris,PHI,26.0,195.58,92.98635999999999,Long Beach State,USA,1993,2,28,54,5.4,1.3,0.9,-5.5,0.036000000000000004,0.065,0.184,0.466,0.105,1996-97
21,Luc Longley,CHI,28.0,218.44,132.448864,New Mexico,USA,1991,1,7,59,9.1,5.6,2.4,10.4,0.095,0.159,0.19699999999999998,0.499,0.141,1996-97
22,Loy Vaught,LAC,29.0,205.74,108.86208,Michigan,USA,1990,1,13,82,14.9,10.0,1.3,-7.7,0.08800000000000001,0.255,0.20800000000000002,0.523,0.07,1996-97
23,Lou Roe,GSW,24.0,200.66,99.79024,Massachusetts,USA,1995,2,30,17,2.4,0.8,0.4,-14.4,0.054000000000000006,0.069,0.249,0.355,0.10300000000000001,1996-97
24,Matt Geiger,CHH,27.0,215.9,111.13004,Georgia Tech,USA,1992,2,42,49,8.9,5.3,0.8,0.9,0.12,0.179,0.215,0.5379999999999999,0.065,1996-97
25,Matt Maloney,HOU,25.0,190.5,90.7184,Pennsylvania,USA,Undrafted,Undrafted,Undrafted,82,9.4,2.0,3.7,6.3,0.01,0.064,0.147,0.585,0.188,1996-97
26,Matt Steigenga,CHI,27.0,200.66,102.0582,Michigan State,USA,1992,2,52,2,1.5,1.5,1.0,-19.8,0.0,0.16699999999999998,0.341,0.307,0.33299999999999996,1996-97
27,Melvin Booker,GSW,24.0,187.96,83.91452,Missouri,USA,Undrafted,Undrafted,Undrafted,21,5.8,1.4,2.5,-3.8,0.018000000000000002,0.064,0.14400000000000002,0.536,0.196,1996-97
28,Pervis Ellison,BOS,30.0,205.74,95.25432,Louisville,USA,1989,1,1,6,2.5,4.3,0.7,1.2,0.08800000000000001,0.16699999999999998,0.09,0.41200000000000003,0.04,1996-97
29,Patrick Ewing,NYK,34.0,213.36,108.86208,Georgetown,Jamaica,1985,1,1,78,22.4,10.7,2.0,6.4,0.077,0.258,0.297,0.5479999999999999,0.106,1996-97
30,P.J. Brown,MIA,27.0,210.82,108.86208,Louisiana Tech,USA,1992,2,29,80,9.5,8.4,1.2,7.4,0.11,0.192,0.157,0.505,0.059000000000000004,1996-97
