"","Overs","Mdns","Runs","Wkts","Econ","Ave","SR","Opposition","Ground","Start Date","Match_ID","Bowler","Player_ID"
"1","8.0","0","57","0","7.12","-","-","v India","Nagpur","18 Dec 2009","ODI # 2933","Suranga Lakmal",49619
"2","10.0","0","55","2","5.50","27.50","30.0","v India","Kolkata","24 Dec 2009","ODI # 2935","Suranga Lakmal",49619
"3","-","-","-","-","-","-","-","v India","Delhi","27 Dec 2009","ODI # 2936","Suranga Lakmal",49619
"4","9.0","1","63","2","7.00","31.50","27.0","v Bangladesh","Dhaka","4 Jan 2010","ODI # 2937","Suranga Lakmal",49619
"5","8.0","1","48","0","6.00","-","-","v India","Dhaka","5 Jan 2010","ODI # 2938","Suranga Lakmal",49619
"6","10.0","0","75","0","7.50","-","-","v India","Dhaka","10 Jan 2010","ODI # 2941","Suranga Lakmal",49619
"7","7.0","0","52","2","7.42","26.00","21.0","v England","The Oval","28 Jun 2011","ODI # 3165","Suranga Lakmal",49619
"8","7.5","0","43","3","5.48","14.33","15.6","v England","Leeds","1 Jul 2011","ODI # 3167","Suranga Lakmal",49619
"9","10.0","0","62","2","6.20","31.00","30.0","v England","Lord's","3 Jul 2011","ODI # 3168","Suranga Lakmal",49619
"10","2.0","0","12","0","6.00","-","-","v England","Nottingham","6 Jul 2011","ODI # 3169","Suranga Lakmal",49619
"11","5.0","0","39","0","7.80","-","-","v Australia","Pallekele","10 Aug 2011","ODI # 3175","Suranga Lakmal",49619
"12","4.0","0","16","2","4.00","8.00","12.0","v Pakistan","Dubai (DSC)","11 Nov 2011","ODI # 3212","Suranga Lakmal",49619
"13","10.0","1","67","1","6.70","67.00","60.0","v India","Dhaka","13 Mar 2012","ODI # 3259","Suranga Lakmal",49619
"14","8.0","1","37","2","4.62","18.50","24.0","v Pakistan","Dhaka","15 Mar 2012","ODI # 3260","Suranga Lakmal",49619
"15","7.1","0","44","1","6.13","44.00","43.0","v Bangladesh","Dhaka","20 Mar 2012","ODI # 3265","Suranga Lakmal",49619
"16","10.0","1","33","1","3.30","33.00","60.0","v India","Port of Spain","11 Jul 2013","ODI # 3388","Suranga Lakmal",49619
"17","5.5","0","22","3","3.77","7.33","11.6","v South Africa","Colombo (RPS)","31 Jul 2013","ODI # 3401","Suranga Lakmal",49619
"18","10.0","0","73","2","7.30","36.50","30.0","v Pakistan","Sharjah","18 Dec 2013","ODI # 3445","Suranga Lakmal",49619
"19","9.0","0","49","1","5.44","49.00","54.0","v Pakistan","Abu Dhabi","25 Dec 2013","ODI # 3448","Suranga Lakmal",49619
"20","7.3","0","42","3","5.60","14.00","15.0","v Pakistan","Abu Dhabi","27 Dec 2013","ODI # 3450","Suranga Lakmal",49619
"21","10.0","3","24","2","2.40","12.00","30.0","v Bangladesh","Dhaka","22 Feb 2014","ODI # 3471","Suranga Lakmal",49619
"22","9.0","1","65","2","7.22","32.50","27.0","v Pakistan","Fatullah","25 Feb 2014","ODI # 3473","Suranga Lakmal",49619
"23","7.0","2","30","2","4.28","15.00","21.0","v Afghanistan","Dhaka","3 Mar 2014","ODI # 3481","Suranga Lakmal",49619
"24","10.0","0","32","2","3.20","16.00","30.0","v Bangladesh","Dhaka","6 Mar 2014","ODI # 3485","Suranga Lakmal",49619
"25","10.0","2","41","0","4.10","-","-","v Pakistan","Dhaka","8 Mar 2014","ODI # 3486","Suranga Lakmal",49619
"26","8.0","1","29","3","3.62","9.66","16.0","v Ireland","Dublin","6 May 2014","ODI # 3490","Suranga Lakmal",49619
"27","6.0","0","34","0","5.66","-","-","v England","The Oval","22 May 2014","ODI # 3492","Suranga Lakmal",49619
"28","8.0","0","30","4","3.75","7.50","12.0","v England","Pallekele","13 Dec 2014","ODI # 3567","Suranga Lakmal",49619
"29","8.0","1","25","2","3.12","12.50","24.0","v England","Colombo (RPS)","16 Dec 2014","ODI # 3569","Suranga Lakmal",49619
"30","10.0","0","93","0","9.30","-","-","v New Zealand","Dunedin","23 Jan 2015","ODI # 3588","Suranga Lakmal",49619
"31","7.0","1","31","0","4.42","-","-","v New Zealand","Dunedin","25 Jan 2015","ODI # 3590","Suranga Lakmal",49619
"32","10.0","0","62","2","6.20","31.00","30.0","v New Zealand","Christchurch","14 Feb 2015","ODI # 3599","Suranga Lakmal",49619
"33","10.0","1","36","2","3.60","18.00","30.0","v Afghanistan","Dunedin","22 Feb 2015","ODI # 3609","Suranga Lakmal",49619
"34","8.0","0","49","2","6.12","24.50","24.0","v Bangladesh","Melbourne","26 Feb 2015","ODI # 3615","Suranga Lakmal",49619
"35","7.4","0","71","1","9.26","71.00","46.0","v England","Wellington","1 Mar 2015","ODI # 3619","Suranga Lakmal",49619
"36","5.0","1","21","1","4.20","21.00","30.0","v Pakistan","Dambulla","11 Jul 2015","ODI # 3664","Suranga Lakmal",49619
"37","8.0","0","50","1","6.25","50.00","48.0","v Pakistan","Colombo (RPS)","22 Jul 2015","ODI # 3671","Suranga Lakmal",49619
"38","6.0","0","35","0","5.83","-","-","v Pakistan","Hambantota","26 Jul 2015","ODI # 3672","Suranga Lakmal",49619
"39","5.0","0","15","3","3.00","5.00","10.0","v West Indies","Colombo (RPS)","1 Nov 2015","ODI # 3701","Suranga Lakmal",49619
"40","7.0","0","51","1","7.28","51.00","42.0","v West Indies","Colombo (RPS)","4 Nov 2015","ODI # 3702","Suranga Lakmal",49619
"41","7.0","0","40","2","5.71","20.00","21.0","v West Indies","Pallekele","7 Nov 2015","ODI # 3704","Suranga Lakmal",49619
"42","3.0","0","24","0","8.00","-","-","v New Zealand","Christchurch","26 Dec 2015","ODI # 3714","Suranga Lakmal",49619
"43","10.0","1","38","4","3.80","9.50","15.0","v Ireland","Dublin (Malahide)","18 Jun 2016","ODI # 3749","Suranga Lakmal",49619
"44","10.0","0","65","2","6.50","32.50","30.0","v England","Nottingham","21 Jun 2016","ODI # 3751","Suranga Lakmal",49619
"45","5.0","0","21","0","4.20","-","-","v England","Birmingham","24 Jun 2016","ODI # 3753","Suranga Lakmal",49619
"46","2.0","0","8","1","4.00","8.00","12.0","v England","Bristol","26 Jun 2016","ODI # 3755","Suranga Lakmal",49619
"47","7.0","0","48","1","6.85","48.00","42.0","v England","The Oval","29 Jun 2016","ODI # 3757","Suranga Lakmal",49619
"48","10.0","0","65","1","6.50","65.00","60.0","v England","Cardiff","2 Jul 2016","ODI # 3758","Suranga Lakmal",49619
"49","8.0","1","30","0","3.75","-","-","v Australia","Pallekele","4 Sep 2016","ODI # 3776","Suranga Lakmal",49619
"50","7.0","0","19","2","2.71","9.50","21.0","v Zimbabwe","Harare","14 Nov 2016","ODI # 3804","Suranga Lakmal",49619
"51","9.2","1","45","2","4.82","22.50","28.0","v West Indies","Harare","16 Nov 2016","ODI # 3805","Suranga Lakmal",49619
"52","4.0","1","14","0","3.50","-","-","v Zimbabwe","Bulawayo","21 Nov 2016","ODI # 3807","Suranga Lakmal",49619
"53","10.0","0","67","2","6.70","33.50","30.0","v West Indies","Bulawayo","23 Nov 2016","ODI # 3808","Suranga Lakmal",49619
"54","6.0","0","23","1","3.83","23.00","36.0","v Zimbabwe","Bulawayo","27 Nov 2016","ODI # 3810","Suranga Lakmal",49619
"55","6.0","1","29","0","4.83","-","-","v South Africa","Port Elizabeth","28 Jan 2017","ODI # 3828","Suranga Lakmal",49619
"56","7.0","0","54","2","7.71","27.00","21.0","v South Africa","Durban","1 Feb 2017","ODI # 3830","Suranga Lakmal",49619
"57","6.0","1","23","0","3.83","-","-","v South Africa","Johannesburg","4 Feb 2017","ODI # 3831","Suranga Lakmal",49619
"58","10.0","0","71","3","7.10","23.66","20.0","v South Africa","Centurion","10 Feb 2017","ODI # 3834","Suranga Lakmal",49619
"59","8.0","0","45","2","5.62","22.50","24.0","v Bangladesh","Dambulla","25 Mar 2017","ODI # 3855","Suranga Lakmal",49619
"60","-","-","-","-","-","-","-","v Bangladesh","Dambulla","28 Mar 2017","ODI # 3856","Suranga Lakmal",49619
"61","8.0","0","38","2","4.75","19.00","24.0","v Bangladesh","Colombo (SSC)","1 Apr 2017","ODI # 3858","Suranga Lakmal",49619
"62","10.0","0","51","1","5.10","51.00","60.0","v South Africa","The Oval","3 Jun 2017","ODI # 3877","Suranga Lakmal",49619
"63","10.0","1","72","1","7.20","72.00","60.0","v India","The Oval","8 Jun 2017","ODI # 3882","Suranga Lakmal",49619
"64","10.0","0","48","1","4.80","48.00","60.0","v Pakistan","Cardiff","12 Jun 2017","ODI # 3888","Suranga Lakmal",49619
"65","10.0","0","47","2","4.70","23.50","30.0","v Pakistan","Dubai (DSC)","13 Oct 2017","ODI # 3922","Suranga Lakmal",49619
"66","10.0","0","42","1","4.20","42.00","60.0","v Pakistan","Abu Dhabi","16 Oct 2017","ODI # 3924","Suranga Lakmal",49619
"67","7.0","0","25","0","3.57","-","-","v Pakistan","Sharjah","20 Oct 2017","ODI # 3927","Suranga Lakmal",49619
"68","10.0","4","13","4","1.30","3.25","15.0","v India","Dharamsala","10 Dec 2017","ODI # 3939","Suranga Lakmal",49619
"69","8.0","0","71","0","8.87","-","-","v India","Mohali","13 Dec 2017","ODI # 3941","Suranga Lakmal",49619
"70","5.0","2","20","0","4.00","-","-","v India","Visakhapatnam","17 Dec 2017","ODI # 3942","Suranga Lakmal",49619
"71","10.0","0","70","1","7.00","70.00","60.0","v Zimbabwe","Dhaka","17 Jan 2018","ODI # 3955","Suranga Lakmal",49619
"72","9.0","0","60","0","6.66","-","-","v Bangladesh","Dhaka","19 Jan 2018","ODI # 3959","Suranga Lakmal",49619
"73","7.0","0","23","0","3.28","-","-","v Zimbabwe","Dhaka","21 Jan 2018","ODI # 3962","Suranga Lakmal",49619
"74","7.0","1","21","3","3.00","7.00","14.0","v Bangladesh","Dhaka","25 Jan 2018","ODI # 3965","Suranga Lakmal",49619
"75","9.0","2","29","0","3.22","-","-","v Bangladesh","Dhaka","27 Jan 2018","ODI # 3967","Suranga Lakmal",49619
"76","6.0","0","37","1","6.16","37.00","36.0","v South Africa","Dambulla","29 Jul 2018","ODI # 4025","Suranga Lakmal",49619
"77","7.0","0","39","1","5.57","39.00","42.0","v South Africa","Dambulla","1 Aug 2018","ODI # 4027","Suranga Lakmal",49619
"78","9.0","1","59","0","6.55","-","-","v South Africa","Pallekele","5 Aug 2018","ODI # 4029","Suranga Lakmal",49619
"79","5.0","0","46","3","9.20","15.33","10.0","v South Africa","Pallekele","8 Aug 2018","ODI # 4030","Suranga Lakmal",49619
"80","4.0","0","22","1","5.50","22.00","24.0","v South Africa","Colombo (RPS)","12 Aug 2018","ODI # 4031","Suranga Lakmal",49619
"81","10.0","0","46","1","4.60","46.00","60.0","v Bangladesh","Dubai (DSC)","15 Sep 2018","ODI # 4036","Suranga Lakmal",49619
"82","9.0","0","83","1","9.22","83.00","54.0","v India","Guwahati","21 Oct 2018","ODI # 4056","Oshane Thomas",914567
"83","4.0","0","33","1","8.25","33.00","24.0","v India","Thiruvananthapuram","1 Nov 2018","ODI # 4064","Oshane Thomas",914567
"84","5.0","0","34","1","6.80","34.00","30.0","v Bangladesh","Dhaka","9 Dec 2018","ODI # 4071","Oshane Thomas",914567
"85","10.0","0","54","3","5.40","18.00","20.0","v Bangladesh","Dhaka","11 Dec 2018","ODI # 4072","Oshane Thomas",914567
"86","9.0","0","72","1","8.00","72.00","54.0","v England","Bridgetown","20 Feb 2019","ODI # 4096","Oshane Thomas",914567
"87","5.0","0","32","1","6.40","32.00","30.0","v England","Bridgetown","22 Feb 2019","ODI # 4097","Oshane Thomas",914567
"88","-","-","-","-","-","-","-","v England","St George's","25 Feb 2019","ODI # 4098","Oshane Thomas",914567
"89","10.0","0","84","2","8.40","42.00","30.0","v England","St George's","27 Feb 2019","ODI # 4099","Oshane Thomas",914567
"90","5.1","0","21","5","4.06","4.20","6.2","v England","Gros Islet","2 Mar 2019","ODI # 4103","Oshane Thomas",914567
"91","10.0","2","37","1","3.70","37.00","60.0","v Ireland","Mohali","11 Mar 2011","ODI # 3126","Andre Russell",276298
"92","8.0","0","49","4","6.12","12.25","12.0","v England","Chennai","17 Mar 2011","ODI # 3135","Andre Russell",276298
"93","9.1","1","46","2","5.01","23.00","27.5","v India","Chennai","20 Mar 2011","ODI # 3141","Andre Russell",276298
"94","5.0","1","36","0","7.20","-","-","v Pakistan","Gros Islet","23 Apr 2011","ODI # 3152","Andre Russell",276298
"95","4.0","0","23","0","5.75","-","-","v Pakistan","Bridgetown","28 Apr 2011","ODI # 3154","Andre Russell",276298
"96","9.0","0","59","1","6.55","59.00","54.0","v India","North Sound","11 Jun 2011","ODI # 3161","Andre Russell",276298
"97","7.0","0","16","3","2.28","5.33","14.0","v India","North Sound","13 Jun 2011","ODI # 3162","Andre Russell",276298
"98","8.3","0","35","4","4.11","8.75","12.7","v India","Kingston","16 Jun 2011","ODI # 3163","Andre Russell",276298
"99","9.0","0","44","2","4.88","22.00","27.0","v Bangladesh","Dhaka","13 Oct 2011","ODI # 3198","Andre Russell",276298
"100","9.0","1","50","1","5.55","50.00","54.0","v Bangladesh","Dhaka","15 Oct 2011","ODI # 3200","Andre Russell",276298
"101","-","-","-","-","-","-","-","v Bangladesh","Chattogram","18 Oct 2011","ODI # 3202","Andre Russell",276298
"102","9.0","1","29","2","3.22","14.50","27.0","v India","Cuttack","29 Nov 2011","ODI # 3217","Andre Russell",276298
"103","8.1","0","60","0","7.34","-","-","v India","Visakhapatnam","2 Dec 2011","ODI # 3219","Andre Russell",276298
"104","4.0","0","25","0","6.25","-","-","v India","Ahmedabad","5 Dec 2011","ODI # 3221","Andre Russell",276298
"105","7.0","0","63","1","9.00","63.00","42.0","v India","Indore","8 Dec 2011","ODI # 3223","Andre Russell",276298
"106","6.0","0","31","0","5.16","-","-","v India","Chennai","11 Dec 2011","ODI # 3224","Andre Russell",276298
"107","4.0","0","21","0","5.25","-","-","v Australia","Kingstown","16 Mar 2012","ODI # 3262","Andre Russell",276298
"108","6.0","0","14","0","2.33","-","-","v Australia","Kingstown","18 Mar 2012","ODI # 3264","Andre Russell",276298
"109","5.0","0","28","0","5.60","-","-","v Australia","Kingstown","20 Mar 2012","ODI # 3266","Andre Russell",276298
"110","7.0","0","34","2","4.85","17.00","21.0","v Australia","Gros Islet","23 Mar 2012","ODI # 3268","Andre Russell",276298
"111","9.0","0","61","4","6.77","15.25","13.5","v Australia","Gros Islet","25 Mar 2012","ODI # 3269","Andre Russell",276298
"112","6.0","0","43","0","7.16","-","-","v England","Southampton","16 Jun 2012","ODI # 3276","Andre Russell",276298
"113","10.0","0","45","4","4.50","11.25","15.0","v New Zealand","Kingston","5 Jul 2012","ODI # 3283","Andre Russell",276298
"114","9.0","0","51","1","5.66","51.00","54.0","v New Zealand","Kingston","7 Jul 2012","ODI # 3285","Andre Russell",276298
"115","9.0","0","57","4","6.33","14.25","13.5","v New Zealand","Basseterre","11 Jul 2012","ODI # 3288","Andre Russell",276298
"116","6.0","0","49","1","8.16","49.00","36.0","v New Zealand","Basseterre","14 Jul 2012","ODI # 3289","Andre Russell",276298
"117","4.0","1","25","0","6.25","-","-","v New Zealand","Basseterre","16 Jul 2012","ODI # 3290","Andre Russell",276298
"118","7.0","0","28","1","4.00","28.00","42.0","v Bangladesh","Khulna","30 Nov 2012","ODI # 3309","Andre Russell",276298
"119","9.0","0","58","1","6.44","58.00","54.0","v Bangladesh","Khulna","2 Dec 2012","ODI # 3310","Andre Russell",276298
"120","10.0","0","51","0","5.10","-","-","v Bangladesh","Dhaka","8 Dec 2012","ODI # 3313","Andre Russell",276298
"121","5.0","0","41","0","8.20","-","-","v Australia","Canberra","6 Feb 2013","ODI # 3332","Andre Russell",276298
"122","6.0","0","40","1","6.66","40.00","36.0","v Australia","Sydney","8 Feb 2013","ODI # 3333","Andre Russell",276298
"123","7.0","0","24","2","3.42","12.00","21.0","v Zimbabwe","St George's","22 Feb 2013","ODI # 3337","Andre Russell",276298
"124","6.0","0","29","0","4.83","-","-","v Zimbabwe","St George's","24 Feb 2013","ODI # 3339","Andre Russell",276298
"125","4.0","0","31","2","7.75","15.50","12.0","v New Zealand","Hamilton","8 Jan 2014","ODI # 3453","Andre Russell",276298
"126","4.0","0","21","1","5.25","21.00","24.0","v India","Kochi","8 Oct 2014","ODI # 3531","Andre Russell",276298
"127","3.0","0","14","0","4.66","-","-","v India","Delhi","11 Oct 2014","ODI # 3533","Andre Russell",276298
"128","7.0","0","48","1","6.85","48.00","42.0","v India","Dharamsala","17 Oct 2014","ODI # 3535","Andre Russell",276298
"129","10.0","0","51","2","5.10","25.50","30.0","v South Africa","Durban","16 Jan 2015","ODI # 3579","Andre Russell",276298
"130","10.0","0","78","1","7.80","78.00","60.0","v South Africa","Johannesburg","18 Jan 2015","ODI # 3583","Andre Russell",276298
"131","5.0","0","15","0","3.00","-","-","v South Africa","East London","21 Jan 2015","ODI # 3587","Andre Russell",276298
"132","10.0","1","60","1","6.00","60.00","60.0","v South Africa","Port Elizabeth","25 Jan 2015","ODI # 3591","Andre Russell",276298
"133","8.0","0","85","3","10.62","28.33","16.0","v South Africa","Centurion","28 Jan 2015","ODI # 3593","Andre Russell",276298
"134","6.0","0","33","0","5.50","-","-","v Ireland","Nelson","16 Feb 2015","ODI # 3603","Andre Russell",276298
"135","8.0","2","33","3","4.12","11.00","16.0","v Pakistan","Christchurch","21 Feb 2015","ODI # 3608","Andre Russell",276298
"136","5.0","0","44","0","8.80","-","-","v Zimbabwe","Canberra","24 Feb 2015","ODI # 3612","Andre Russell",276298
"137","9.0","0","74","2","8.22","37.00","27.0","v South Africa","Sydney","27 Feb 2015","ODI # 3616","Andre Russell",276298
"138","8.0","0","43","2","5.37","21.50","24.0","v India","Perth","6 Mar 2015","ODI # 3625","Andre Russell",276298
"139","8.0","3","20","2","2.50","10.00","24.0","v U.A.E.","Napier","15 Mar 2015","ODI # 3638","Andre Russell",276298
"140","10.0","0","96","2","9.60","48.00","30.0","v New Zealand","Wellington","21 Mar 2015","ODI # 3643","Andre Russell",276298
"141","0.5","0","18","0","21.60","-","-","v Sri Lanka","Colombo (RPS)","1 Nov 2015","ODI # 3701","Andre Russell",276298
"142","9.0","0","62","1","6.88","62.00","54.0","v Bangladesh","Providence","22 Jul 2018","ODI # 4022","Andre Russell",276298
"143","10.0","1","29","2","2.90","14.50","30.0","v Bermuda","King City (NW)","20 Aug 2008","ODI # 2746","Kemar Roach",230553
"144","8.0","0","49","1","6.12","49.00","48.0","v Canada","King City (NW)","22 Aug 2008","ODI # 2749","Kemar Roach",230553
"145","10.0","0","44","5","4.40","8.80","12.0","v Bangladesh","Roseau","26 Jul 2009","ODI # 2862","Kemar Roach",230553
"146","7.5","0","55","1","7.02","55.00","47.0","v Bangladesh","Roseau","28 Jul 2009","ODI # 2863","Kemar Roach",230553
"147","9.5","1","63","4","6.40","15.75","14.7","v Bangladesh","Basseterre","31 Jul 2009","ODI # 2865","Kemar Roach",230553
"148","10.0","0","73","2","7.30","36.50","30.0","v Australia","Johannesburg","26 Sep 2009","ODI # 2897","Kemar Roach",230553
"149","6.0","1","27","1","4.50","27.00","36.0","v India","Johannesburg","30 Sep 2009","ODI # 2904","Kemar Roach",230553
"150","10.0","1","41","1","4.10","41.00","60.0","v Australia","Melbourne","7 Feb 2010","ODI # 2950","Kemar Roach",230553
"151","6.0","0","44","1","7.33","44.00","36.0","v Australia","Adelaide","9 Feb 2010","ODI # 2952","Kemar Roach",230553
"152","9.0","0","34","1","3.77","34.00","54.0","v Zimbabwe","Providence","4 Mar 2010","ODI # 2967","Kemar Roach",230553
"153","9.5","0","37","3","3.76","12.33","19.6","v Zimbabwe","Providence","6 Mar 2010","ODI # 2970","Kemar Roach",230553
"154","9.0","1","28","3","3.11","9.33","18.0","v Zimbabwe","Kingstown","10 Mar 2010","ODI # 2972","Kemar Roach",230553
"155","7.2","0","30","1","4.09","30.00","44.0","v Zimbabwe","Kingstown","12 Mar 2010","ODI # 2974","Kemar Roach",230553
"156","-","-","-","-","-","-","-","v Sri Lanka","Colombo (SSC)","31 Jan 2011","ODI # 3092","Kemar Roach",230553
"157","8.0","0","29","0","3.62","-","-","v Sri Lanka","Colombo (SSC)","3 Feb 2011","ODI # 3096","Kemar Roach",230553
"158","8.0","0","42","1","5.25","42.00","48.0","v South Africa","Delhi","24 Feb 2011","ODI # 3106","Kemar Roach",230553
"159","8.3","0","27","6","3.17","4.50","8.5","v Netherlands","Delhi","28 Feb 2011","ODI # 3112","Kemar Roach",230553
"160","6.0","0","19","3","3.16","6.33","12.0","v Bangladesh","Dhaka","4 Mar 2011","ODI # 3118","Kemar Roach",230553
"161","8.0","0","34","1","4.25","34.00","48.0","v Ireland","Mohali","11 Mar 2011","ODI # 3126","Kemar Roach",230553
"162","9.4","2","34","2","3.51","17.00","29.0","v England","Chennai","17 Mar 2011","ODI # 3135","Kemar Roach",230553
"163","5.5","0","39","0","6.68","-","-","v Pakistan","Dhaka","23 Mar 2011","ODI # 3142","Kemar Roach",230553
"164","9.3","0","58","0","6.10","-","-","v Pakistan","Gros Islet","23 Apr 2011","ODI # 3152","Kemar Roach",230553
"165","9.0","1","43","0","4.77","-","-","v Pakistan","Gros Islet","25 Apr 2011","ODI # 3153","Kemar Roach",230553
"166","9.0","0","36","0","4.00","-","-","v Pakistan","Bridgetown","28 Apr 2011","ODI # 3154","Kemar Roach",230553
"167","10.0","0","67","2","6.70","33.50","30.0","v Pakistan","Bridgetown","2 May 2011","ODI # 3155","Kemar Roach",230553
"168","8.2","0","46","0","5.52","-","-","v India","North Sound","11 Jun 2011","ODI # 3161","Kemar Roach",230553
"169","8.0","1","22","0","2.75","-","-","v India","North Sound","13 Jun 2011","ODI # 3162","Kemar Roach",230553
"170","10.0","0","52","2","5.20","26.00","30.0","v India","Kingston","16 Jun 2011","ODI # 3163","Kemar Roach",230553
"171","8.0","0","48","0","6.00","-","-","v Bangladesh","Dhaka","13 Oct 2011","ODI # 3198","Kemar Roach",230553
"172","10.0","1","49","3","4.90","16.33","20.0","v Bangladesh","Dhaka","15 Oct 2011","ODI # 3200","Kemar Roach",230553
"173","5.0","0","16","1","3.20","16.00","30.0","v Bangladesh","Chattogram","18 Oct 2011","ODI # 3202","Kemar Roach",230553
"174","10.0","0","46","3","4.60","15.33","20.0","v India","Cuttack","29 Nov 2011","ODI # 3217","Kemar Roach",230553
"175","10.0","0","40","2","4.00","20.00","30.0","v India","Visakhapatnam","2 Dec 2011","ODI # 3219","Kemar Roach",230553
"176","10.0","0","54","1","5.40","54.00","60.0","v India","Ahmedabad","5 Dec 2011","ODI # 3221","Kemar Roach",230553
"177","10.0","0","88","1","8.80","88.00","60.0","v India","Indore","8 Dec 2011","ODI # 3223","Kemar Roach",230553
"178","8.0","0","46","2","5.75","23.00","24.0","v India","Chennai","11 Dec 2011","ODI # 3224","Kemar Roach",230553
"179","10.0","1","33","2","3.30","16.50","30.0","v Australia","Kingstown","16 Mar 2012","ODI # 3262","Kemar Roach",230553
"180","8.0","3","23","2","2.87","11.50","24.0","v Australia","Kingstown","18 Mar 2012","ODI # 3264","Kemar Roach",230553
"181","10.0","0","42","2","4.20","21.00","30.0","v Australia","Kingstown","20 Mar 2012","ODI # 3266","Kemar Roach",230553
"182","9.3","0","74","2","7.78","37.00","28.5","v Australia","Gros Islet","23 Mar 2012","ODI # 3268","Kemar Roach",230553
"183","9.0","0","53","3","5.88","17.66","18.0","v Australia","Gros Islet","25 Mar 2012","ODI # 3269","Kemar Roach",230553
"184","7.0","0","48","0","6.85","-","-","v Bangladesh","Khulna","30 Nov 2012","ODI # 3309","Kemar Roach",230553
"185","8.0","0","29","2","3.62","14.50","24.0","v Bangladesh","Dhaka","7 Dec 2012","ODI # 3312","Kemar Roach",230553
"186","9.0","0","56","5","6.22","11.20","10.8","v Bangladesh","Dhaka","8 Dec 2012","ODI # 3313","Kemar Roach",230553
"187","2.0","0","29","0","14.50","-","-","v Australia","Perth","1 Feb 2013","ODI # 3330","Kemar Roach",230553
"188","10.0","0","51","1","5.10","51.00","60.0","v Australia","Perth","3 Feb 2013","ODI # 3331","Kemar Roach",230553
"189","9.0","1","72","1","8.00","72.00","54.0","v Australia","Canberra","6 Feb 2013","ODI # 3332","Kemar Roach",230553
"190","10.0","0","52","1","5.20","52.00","60.0","v Australia","Melbourne","10 Feb 2013","ODI # 3334","Kemar Roach",230553
"191","8.0","1","15","1","1.87","15.00","48.0","v Zimbabwe","St George's","22 Feb 2013","ODI # 3337","Kemar Roach",230553
"192","10.0","1","63","1","6.30","63.00","60.0","v Zimbabwe","St George's","24 Feb 2013","ODI # 3339","Kemar Roach",230553
"193","7.0","3","15","0","2.14","-","-","v Zimbabwe","St George's","26 Feb 2013","ODI # 3340","Kemar Roach",230553
"194","10.0","4","28","3","2.80","9.33","20.0","v Pakistan","The Oval","7 Jun 2013","ODI # 3364","Kemar Roach",230553
"195","6.0","0","47","0","7.83","-","-","v India","The Oval","11 Jun 2013","ODI # 3368","Kemar Roach",230553
"196","7.0","1","41","0","5.85","-","-","v Sri Lanka","Kingston","28 Jun 2013","ODI # 3378","Kemar Roach",230553
"197","10.0","2","41","2","4.10","20.50","30.0","v India","Kingston","30 Jun 2013","ODI # 3380","Kemar Roach",230553
"198","10.0","2","69","1","6.90","69.00","60.0","v India","Port of Spain","5 Jul 2013","ODI # 3383","Kemar Roach",230553
"199","8.0","2","27","4","3.37","6.75","12.0","v Sri Lanka","Port of Spain","7 Jul 2013","ODI # 3385","Kemar Roach",230553
"200","10.0","0","38","2","3.80","19.00","30.0","v Pakistan","Providence","14 Jul 2013","ODI # 3389","Kemar Roach",230553
"201","6.0","4","14","1","2.33","14.00","36.0","v Pakistan","Providence","16 Jul 2013","ODI # 3390","Kemar Roach",230553
"202","10.0","1","35","1","3.50","35.00","60.0","v Pakistan","Gros Islet","19 Jul 2013","ODI # 3391","Kemar Roach",230553
"203","6.0","1","33","1","5.50","33.00","36.0","v Pakistan","Gros Islet","21 Jul 2013","ODI # 3393","Kemar Roach",230553
"204","10.0","0","48","0","4.80","-","-","v Bangladesh","St George's","20 Aug 2014","ODI # 3509","Kemar Roach",230553
"205","6.0","2","19","3","3.16","6.33","12.0","v Bangladesh","St George's","22 Aug 2014","ODI # 3511","Kemar Roach",230553
"206","9.0","0","48","1","5.33","48.00","54.0","v Bangladesh","Basseterre","25 Aug 2014","ODI # 3514","Kemar Roach",230553
"207","6.0","0","52","0","8.66","-","-","v Ireland","Nelson","16 Feb 2015","ODI # 3603","Kemar Roach",230553
"208","8.0","1","44","1","5.50","44.00","48.0","v India","Perth","6 Mar 2015","ODI # 3625","Kemar Roach",230553
"209","8.0","0","54","0","6.75","-","-","v U.A.E.","Napier","15 Mar 2015","ODI # 3638","Kemar Roach",230553
"210","10.0","0","60","1","6.00","60.00","60.0","v U.A.E.","Harare","6 Mar 2018","ODI # 3987","Kemar Roach",230553
"211","10.0","3","27","4","2.70","6.75","15.0","v Ireland","Harare","10 Mar 2018","ODI # 3993","Kemar Roach",230553
"212","10.0","0","55","3","5.50","18.33","20.0","v Zimbabwe","Harare","19 Mar 2018","ODI # 4002","Kemar Roach",230553
"213","7.0","2","20","2","2.85","10.00","21.0","v Scotland","Harare","21 Mar 2018","ODI # 4004","Kemar Roach",230553
"214","5.0","0","24","0","4.80","-","-","v Afghanistan","Harare","25 Mar 2018","ODI # 4007","Kemar Roach",230553
"215","7.0","0","52","0","7.42","-","-","v India","Guwahati","21 Oct 2018","ODI # 4056","Kemar Roach",230553
"216","10.0","0","67","1","6.70","67.00","60.0","v India","Visakhapatnam","24 Oct 2018","ODI # 4059","Kemar Roach",230553
"217","10.0","0","48","1","4.80","48.00","60.0","v India","Pune","27 Oct 2018","ODI # 4062","Kemar Roach",230553
