TypeLong,Name,Builders,#,Laid down,Launched,Commissioned,Status,Type,Namesake,Base,Displacement,Length,Beam,Draught,Engine,Installed power,Propulsion,Speed,Range,Endurance,Complement,Naval artillery,Anti-aircraft warfare,Armament,Anti-submarine missile,Torpedo tube,Aircraft carried,Navigation,Sensors and processing systems,Electronic warfare & decoys,Tactical ballistic missile,Value
Морской тральщик проекта 12660,«Железняков»,Средне-Невский ССЗ,901,28.02.1985,17.07.1986,30.12.1988,Active,тральщик,,Новороссийск,"900 т (стандартное)[1],1100 т (нормальное)[1],1228 т (полное)",70 м[1],12 м[1],4 м[1],2 дизельных двигателя[1] М-503Б-37,2 × 2500 л. с.[1],2 винта регулируемого шага,18 узлов (максимальная),1500 миль при 12 узлах,,68 человек[1],1 × 1 × 76-мм[1] АК-176М,1 × 6 × 30-мм АУ АК-630,2 × 4 ПУ ЗРК «Стрела-3»,,"• подводный комплекс уничтожения мин «Гюрза»,• самоходный искатель—уничтожитель мин «Кетмень» • искатель—уничтожитель мин «Палтус»",,,,,,
Морские тральщики проекта 266 «Аквамарин»,«Валентин Пикуль»,Средне-Невский ССЗ,770,1990,31.05.2000,20.01.2001,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Морские тральщики проекта 266 «Аквамарин»,«Вице-адмирал Захарьин»,Средне-Невский ССЗ,908,1990,26.05.2006,18.11.2008,Active,тральщик,"Захарьин, Иван Яковлевич",Новороссийск,791 т (стандартное)852 т (полное),61 м,"10,2 м","2,97 м",2 дизельных двигателя М-503Б,2 × 2500 л. с.,"2 винта регулируемого шага, 2 подруливающих устройства и 2 полноповоротные выдвижные колонки",17 узлов,3000 миль на 12 узлах,15 суток,60 человек,"2 × 1 × 14,5-ммМТПУ-1 «Жало»",1 × 6 × 30-мм АК-306,2 х 4 ПУ ЗРК 9К32 «Стрела-2» (16 ЗУР 9М32),2 х 5 РБУ-1200М «Ураган»(68 РГБ-12)32 ББ-1 или 7 мин КМД-1000,,,,"1 × РЛС общего обнаружения МР-302 «Рубка», 2 × НРЛС «Дон-Д»","аппаратура госопознавания — «Нихром-Р», ГАС миноискания «Ливадия», ГАС миноискания МГ-69 «Лань», ГАС миноискания МГ-79 «Мезень», ГАС звукоподводной связи МГ-26 «Хоста», противодиверсионная ОГАС «Анапа-П»",,
Противодиверсионные катера проекта 21980 «Грачонок»,П-191 «Кадет»,Зеленодольский ССЗ,840,07.05.2010,11.07.2011,10.2011,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,П-349 «Суворовец»,Зеленодольский ССЗ,841,06.05.2011,16.06.2012,14.11.2012,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,П-350 «Курсант Кировец»,Зеленодольский ССЗ,842,05.05.2012,11.04.2013,22.08.2013,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,П-355 «Юнармеец Крыма»,Зеленодольский ССЗ,843,07.05.2013,30.05.2014,22.08.2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,П-424 «Кинель»,Зеленодольский ССЗ,837,27.07.2013,2014,09.10.2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,П-433,Зеленодольский ССЗ,844,12.01.2015,2017,16.09.2017,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,Д-144,ССЗ «Волга» (Н. Новгород),575,,2007,19.02.2008,In refit,катер,,,,,,,,,,,,,,,,,,,,,,,,
Противодиверсионные катера проекта 21980 «Грачонок»,Д-199,ССЗ «Волга» (Н. Новгород),544,,06.2012,05.08.2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Десантные катера проекта 1176 «Акула»,Д-295,«Азовская судоверфь»,542,,,30.12.1989,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Десантные катера проекта 1176 «Акула»,Д-106,«Сокольская судоверфь»,543,,15.09.2009,23.10.2009,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Скоростные транспортно-десантные катера проекта 02510 «БК-16»,Д-296,«Рыбинская верфь»,677,02.2014,11.2014,19.06.2015,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Скоростные транспортно-десантные катера проекта 02510 «БК-16»,Д-309,«Рыбинская верфь»,655,11.2017,04.2018,07.2018,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Водолазные боты проекта 522,ВМ-86,,,,,1955,Active,водолазный борт,,,,,,,,,,,,,,,,,,,,,,,,
Водолазные боты проекта 522,ВМ-108,,,,,1958,Active,водолазный борт,,,,,,,,,,,,,,,,,,,,,,,,
Противопожарный катер проекта 364,ПЖК-58,,,,,1958,Active,противопожарный катер,,,,,,,,,,,,,,,,,,,,,,,,
Спасательный катер проекта 23370,СМК-2094,,,2013,20.06.2014,2015,Active,спасательный многофункциональный катер,,,,,,,,,,,,,,,,,,,,,,,,
Спасательные буксиры проекта 733,СБ-4,,,,,1959,Active,спасательный буксир,,,,,,,,,,,,,,,,,,,,,,,,
Спасательные буксиры проекта 733,«СБ-Орион»,,,,,1963,Active,спасательный буксир,,,,,,,,,,,,,,,,,,,,,,,,
Аварийно-спасательные катера проекта 23040,РВК-764,,,27.06.2013,17.09.2013,2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийно-спасательные катера проекта 23040,РВК-762,,,27.06.2013,24.09.2013,2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийно-спасательные катера проекта 23040,РВК-767,,,27.06.2013,15.10.2013,2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийно-спасательные катера проекта 23040,РВК-771,,,27.06.2013,15.10.2013,2014,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийно-спасательные катера проекта 23040,РВК-1045,,,17.06.2014,04.02.2015,2015,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Спасательное судно,«Коммуна»,Путиловский завод,-,1912,17.11.1913 (с.с.),1915,Active,спасательное судно,,"Кронштадт,Севастополь",3100 т,96 м,"18,57 м","3,65 м",2 × 6-цилиндровых 2-тактных реверсивных дизельных двигателя рижского завода «Фельзер и К°» мощностью по 600 л. с. (310 об/мин)[1][2];в 1954—1955 годах главные двигатели были заменены на голландские дизели Werkspoor[nl] ТАМ 336 мощностью по 600 л. с.[3];в 1985 году главные двигатели вновь заменены на отечественные дизели Коломенского завода 6ДР30/50 мощностью по 600 л. с.[2][3],,,,4000 морских миль,,"11 офицеров, 4 кондуктора, 60 матросов и 24 водолаза (на 1915 г.);23 человека (2009 г.)",,,,,,,,,"ГАС: МГ-26, МГВ-5Н, МГ-239М, МГ-1 «Кама»[2]",,
Поисково-спасательное судно проекта 05360,«Саяны»,,,,,1983,Active,морское поисково-спасательное судно,,,,,,,,,,,,,,,,,,,,,,,,
Пассажирский катер проекта СК-620,ПСК-1321,,,,,1982,Active,пассажирский катер,,,,,,,,,,,,,,,,,,,,,,,,
Средний разведывательный корабль проекта 864 «Меридиан»,«Приазовье»,«Stocznia Północna» (Гданьск),437,8.04.1986,30.09.1986,12.06.1987,Active,разведывательный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Средний разведывательный корабль проекта 18280 типа «Юрий Иванов»,«Иван Хурс»,«Северная верфь»,,14.11.2013,16.05.2017,18.06.2018,Active,разведывательный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Средние разведывательные корабли проекта 861М,«Экватор»,«Stocznia Północna» (Гданьск),418,,30.03.1968,31.10.1968,Active,разведывательный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Средние разведывательные корабли проекта 861М,«Кильдин»,«Stocznia Północna» (Гданьск),406,,31.12.1969,23.05.1970,Active,разведывательный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Буксирный катер проекта 1606,БУК-645,,,,,1988,Active,буксир,,,,,,,,,,,,,,,,,,,,,,,,
Буксирный катер проекта 1606,БУК-1746,,,,,1987,Active,буксир,,,,,,,,,,,,,,,,,,,,,,,,
Танкер проекта 1559В,«Иван Бубнов»,«Балтийский завод»,,,20.04.1974,19.07.1975,Active,танкер,,,,,,,,,,,,,,,,,,,,,,,,
Танкер проекта 23131,—,ССЗ «Залив» (Керчь),,29.12.2014,,,Under construction,,,,,,,,,,,,,,,,,,,,,,,,,
Танкер проекта 23131,—,ССЗ «Залив» (Керчь),,29.12.2014,,,Under construction,,,,,,,,,,,,,,,,,,,,,,,,,
Морской транспорт вооружения проекта 323В,«Генерал Рябиков»,ССЗ № 444 им. И. Носенко (Николаев),,1976,,06.03.1979,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,
Военный транспорт,«Двиница-50»,,,,1985,2015,Active,военный транспорт,,,,,,,,,,,,,,,,,,,,,,,,
Военный транспорт,«Вологда-50»,,,,1985,2015,Active,военный транспорт,,,,,,,,,,,,,,,,,,,,,,,,
Малый морской танкер проекта 03182,«Вице-адмирал Паромов»,ССЗ «Волга» (Нижний Новгород),,01.09.2016,,29.05.2021,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Малый морской танкер проекта 03180,ВТН-73,,,,11.01.2014,27.11.2014,Active,ВТН,,,,,,,,,,,,,,,,,,,,,,,,
Судно тылового обеспечения 23120,«Всеволод Бобров»,,,19.12.2013,14.11.2016,20.08.2021,Active,судно,,,9500 тонн,95 м,22 м,9 м,,,,18 узлов,5000 морских миль,60 суток,27 человек,,,,,,,,,,,
Госпитальное судно проекта 320А,«Енисей»,,,,,31.01.1981,Reserve,госпитальное судно,,,,,,,,,,,,,,,,,,,,,,,,
Катера связи проекта 1388НЗ,КСВ-2155,,,,,2015,Active,катер связи,,,,,,,,,,,,,,,,,,,,,,,,
Катера связи проекта 1388НЗ,КСВ-67,,,,,2014,Active,катер связи,,,,,,,,,,,,,,,,,,,,,,,,
