TypeLong,Name,Builders,#,Laid down,Launched,Commissioned,Status,Type,Namesake,Base,Displacement,Length,Beam,Draught,Engine,Installed power,Propulsion,Speed,Range,Endurance,Complement,Naval artillery,Anti-aircraft warfare,Armament,Anti-submarine missile,Torpedo tube,Aircraft carried,Navigation,Sensors and processing systems,Electronic warfare & decoys,Tactical ballistic missile,Value
Подводная лодка проекта 877В «Палтус»,Б-871 «Алроса»,«Красное Сормово»,554,17.05.1988,10.09.1989,01.12.1990,Active,,,Севастополь,,,,,,,,,,45 суток,57 человек (в т. ч.12 офицеров),,,Ракеты «Калибр-ПЛ» вместо части торпед,,"6 носовых ТА калибра 533 мм, нормально заряженных, с автоматическим заряжанием, 18 торпед или 24 мины",,,,,,
Подводные лодки проекта 636.3 «Варшавянка»,Б-261 «Новороссийск»,«Адмиралтейские верфи»,555,20.08.2010,28.11.2013,22.08.2014,Active,,г. Новороссийск,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 кВт, питающих:главный электродвигатель 5500 л. с.электродвигатель экономического хода мощностью 190 л. с.два резервных электродвигателя по 102 л. с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч.12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х РК «Калибр»[1]: ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед",,"6 носовых ТА кал. 533 мм, нормально — заряженных, с автоматическим заряжанием18 торпед (6 в ТА) или 24 мины",,,,,,$300 млн (в ценах 2009)
Подводные лодки проекта 636.3 «Варшавянка»,Б-237 «Ростов-на-Дону»,«Адмиралтейские верфи»,556,21.11.2011,26.06.2014,30.12.2014,Active,,г. Ростов-на-Дону,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 КВт, питающих:главный электродвигатель 5500 л.с.электродвигатель экономического хода мощностью 190 л.с.два резервных электродвигателя по 102 л.с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч.12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х РК Калибр-ПЛ ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед, мины",,,,,,,,$300 млн (в ценах 2009)
Подводные лодки проекта 636.3 «Варшавянка»,Б-262 «Старый Оскол»,«Адмиралтейские верфи»,481,17.08.2012,28.08.2014,03.07.2015,Active,,г. Старый Оскол,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 кВт, питающих:главный электродвигатель 5500 л.с.электродвигатель экономического хода мощностью 190 л.с.два резервных электродвигателя по 102 л.с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч.12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х РК «Калибр»[1]: ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед",,"6 × носовых ТА кал. 533 мм, нормально — заряженных, с автоматическим заряжанием18 торпед (6 в ТА) или 24 мины",,,,,,$300 млн (в ценах 2009)
Подводные лодки проекта 636.3 «Варшавянка»,Б-265 «Краснодар»,«Адмиралтейские верфи»,482,20.02.2014,25.04 2015,05.11.2015,Active,,г. Краснодар,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 кВт, питающих:главный электродвигатель 5500 л.с.электродвигатель экономического хода мощностью 190 л.с.два резервных электродвигателя по 102 л.с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч.12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х Калибр-ПЛ[1]  ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед",,"6 × носовых ТА кал. 533 мм, нормально — заряженных, с автоматическим заряжанием18 торпед (6 в ТА) или 24 мины",,,,,,$300 млн (в ценах 2009 года)
Подводные лодки проекта 636.3 «Варшавянка»,Б-268 «Великий Новгород»,«Адмиралтейские верфи»,476,30.10.2014,18.03.2016,26.10.2016,Active,,г. Великий Новгород,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 кВт, питающих:главный электродвигатель 5500 л.с.электродвигатель экономического хода мощностью 190 л.с.два резервных электродвигателя по 102 л.с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч.12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х РК «Калибр» ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед",,"6 × носовых ТА кал. 533 мм, нормально — заряженных, с автоматическим заряжанием18 торпед (6 в ТА) или 24 мины",,,,,,$300 млн (в ценах 2009)
Подводные лодки проекта 636.3 «Варшавянка»,Б-271 «Колпино»,«Адмиралтейские верфи»,485,30.10.2014,31.05.2016,24.11.2016,Active,,г. Колпино,,,"73,8 м","9,9 м","6,2 м","2 дизель-генератора по 1000 кВт, питающих:главный электродвигатель 5500 л.с.электродвигатель экономического хода мощностью 190 л.с.два резервных электродвигателя по 102 л.с.",,один семилопастный низкооборотный винт,,,45 суток,52 человека (в т. ч. 12 офицеров),,"ПЗРК «Стрела-3М»,«Игла-1», «Верба» 8 ЗУР","4 х РК «Калибр»[1]: ракеты 3М54K, 3М54K1, 3М14K, 91Р1 вместо части торпед",,"6 × носовых ТА кал. 533 мм, нормально — заряженных, с автоматическим заряжанием18 торпед (6 в ТА) или 24 мины",,,,,,$300 млн (в ценах 2009)
Малые ракетные корабли проекта 1239 «Сивуч»,«Бора»,Зеленодольский ССЗ,615,06.1987,26.09.1988,30.12.1989,Active,корабль,,Севастополь,1050 т,"65,6 м","17,2 м","3,3 м (>1 м при работе нагнетателей)","2 ГТУ М10-1 36 000 л. с. (на винты-тандем, в опускаемых колонках), два дизеля М-511А 20 000 л. с. (на 2 винта)",2 × 36 000 л. с. и 2 × 20 000 л. с.,2,"55 узлов (101,9 км/ч)","полная: 800 миль (45 узлов), экономическая: 2500 миль (12 узлов)",,68,"1 × 76-мм артустановка АК-176,  2 × 6 × 30-мм АУ АК-630",,2 × 4 пусковые установки ПКР «Москит» (8 ракет 3М80)1 × 2 ПУ ЗРК «Оса-М» (20 ракет),,,,,,,,
Малые ракетные корабли проекта 1239 «Сивуч»,«Самум»,Зеленодольский ССЗ,616,09.1991,12.10.1992,26.02.2000,In refit,корабль,,Севастополь,1050 т,"65,6 м","17,2 м","3,3 м (>1 м при работе нагнетателей)","2 ГТУ М10-1 36 000 л. с. (на винты-тандем, в опускаемых колонках), два дизеля М-511А 20 000 л. с. (на 2 винта)",2 × 36 000 л. с. и 2 × 20 000 л. с.,2,"55 узлов (101,9 км/ч)","полная: 800 миль (45 узлов), экономическая: 2500 миль (12 узлов)",,68,"1 × 76-мм артустановка АК-176,  две 6-ствольных 30-мм АУ АК-630",,2 × 4 пусковые установки ПКР «Москит» (8 ракет 3М80)1 × 2 ПУ ЗРК «Оса-М» (20 ракет),,,,,,,,
Малые ракетные корабли проекта 21631 «Буян-М»,«Вышний Волочёк»,Зеленодольский ССЗ,609,29.08.2013,22.08.2016,28.05.2018,Active,малый ракетный корабль,,Севастополь,850 т (стандартное)949 т (полное),"74,1 м",11 м,"2,6 м",,,Водомётный движитель,25 узлов,2500 миль (на 12 узлах),10 суток,36 (до 52) человек,"1 × 100 мм АУ Универсал, 2 × 14,5 мм  п улеметная установка, 3 × 7,62 мм пулеметная установка",1 × 30 мм ЗАК Дуэт,1 × 8 Калибр2 ПУ 3М47 «Гибка» с ЗУР Верба или Игла-С,,,,,,,,
