RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
11,Uncharted 4: A Thief's End,(2016 Video Game),"Action, Adventure, Drama",9.5,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",Neil Druckmann,Emily Rose,Nolan North,Troy Baker,Richard McGonagle,25329,T
12,Grand Theft Auto V,(2013 Video Game),"Action, Crime, Drama",9.5,Three very different criminals team up for a series of heists in the corrupt city of Los Santos.,Shawn Fonteno,Ned Luke,Steven Ogg,Gerald 'Slink' Johnson,,56082,M
13,Mass Effect 2,(2010 Video Game),"Action, Adventure, Sci-Fi",9.5,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",Casey Hudson,Shohreh Aghdashloo,Maggie Baird,Adam Baldwin,Michael Beattie,19185,M
14,Half-Life: Alyx,(2020 Video Game),"Action, Adventure, Horror",9.5,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.",Ozioma Akagha,James Moses Black,Rhys Darby,Tony Todd,,580,
15,Metal Gear Solid 3: Subsistence,(2005 Video Game),"Action, Adventure, Drama",9.5,"Enhanced version of  (2004) with many added features; such as the free range camera, new camouflage outfits, bonus levels and a theater mode.",Hideo Kojima,David Hayter,Suzetta Miñet,Jim Piddock,Heather Halley,2445,M
16,Metal Gear Solid 3: Snake Eater,(2004 Video Game),"Action, Adventure, Drama",9.5,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",Hideo Kojima,David Hayter,Suzetta Miñet,Jim Piddock,Heather Halley,10143,M
17,Star Wars: Knights of the Old Republic,(2003 Video Game),"Action, Adventure, Fantasy",9.5,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.",Casey Hudson,Jennifer Hale,Raphael Sbarge,Rafael Ferrer,John Cygan,8245,T
18,Chrono Trigger,(1995 Video Game),"Action, Adventure, Fantasy",9.5,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.",Yoshinori Kitase,Akihiko Matsui,Takashi Tokita,Nao Ito,,2872,
19,Final Fantasy VII,(1997 Video Game),"Action, Adventure, Fantasy",9.5,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,Yoshinori Kitase,Yasushi Matsumura,Masato Yagi,,,9500,T
20,Bloodborne: The Old Hunters,(2015 Video Game),"Action, Adventure, Fantasy",9.4,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",Hidetaka Miyazaki,Evetta Muradasilova,Des McAleer,Grant Gillespie,Lotte Rice,1242,
