RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
91,Metal Gear Solid,(2000 Video Game),"Action, Adventure, Sci-Fi",9.1,Solid Snake is called upon from his home in Alaska to infiltrate an enemy base searching for Metal Gear.,Shinta Nojiri,,,,,1135,E
92,Resident Evil,(2002 Video Game),"Action, Horror, Mystery",9.1,"Remake of the first game in which the RPD squad, Jill and Chris, are forced to flee into a mysterious mansion. Featuring new gameplay mechanics, revised puzzles, additional explorable areas, a revised script, and new story details.",Shinji Mikami,Joe Whyte,Heidi Anderson-Swan,Ed Smaron,Hope Levy,3891,M
93,X-COM: UFO Defense,(1994 Video Game),"Action, Sci-Fi, Thriller",9.1,"Because aliens are attempting to invade the Earth, you will have to command X-com, an international organisation to fight the alien invasion. By shooting down UFO's and recovering ...                 »",Julian Gollop,,,,,378,
94,Shenmue II,(2001 Video Game),"Action, Adventure, Crime",9.1,Ryo continues his quest of vengence for his father. In his second outing Ryo must travel to Hong Kong to have a lethal face off with Lan-Di.,Shin Ishikawa,Eric Kelso,Takao Yotsuji,Corey Marshall,Akasha Scholen,821,T
95,Final Fantasy X,(2001 Video Game),"Adventure, Fantasy, Romance",9.1,A celebrated young athlete is drawn from his futuristic hometown and convenient lifestyle to a harsh and techno-phobic land by a mysterious force only known as Sin.,Yoshinori Kitase,James Arnold Taylor,Hedy Burress,John DiMaggio,Paula Tiso,6993,T
96,Baldur's Gate II: Throne of Bhaal,(2001 Video Game),"Action, Adventure, Fantasy",9.1,"The main character, Gorion's ward, and his or her party must overcome five children of the dead god Bhaal, who've raised armies to conquer the world through carnage and claim their father's sinister throne and title.",Feargus Urquhart,Michael Bell,Jeff Bennett,Keith Compton,Jim Cummings,1230,
97,The Legend of Zelda: Majora's Mask,(2000 Video Game),"Action, Adventure, Family",9.1,"After becoming the hero of Hyrule, Link stumbles into the enchanted land of Termina, where a falling moon will crush the world in three days.",Eiji Aonuma,Mari Maruta,Fujiko Takimoto,Sachi Matsumoto,Kôji Tobe,3406,E
98,Indiana Jones and the Fate of Atlantis,(1992 Video Game),"Action, Adventure, Fantasy",9.1,"Indiana Jones must fight the nazis again in search for Atlantis and a newly discovered mineral of unbelievable power, the Orichalcum.",Hal Barwood,Denny Delk,David Gitin,Jane Jacobs,Nick Jameson,1563,
99,Shenmue,(1999 Video Game),"Action, Adventure, Crime",9.1,"Ryo, a respected Japanese student sees his father killed in front of his own eyes. He sets out to find the man in charge of his fathers death and the mystery of who and why?",Keiji Okayasu,Robert Jefferson,Hiroshi Fujioka,Masaya Matsukaze,Corey Marshall,1164,T
100,StarCraft,(1998 Video Game),"Action, Adventure, Sci-Fi",9.1,"In 2499 in the Koprulu sector, a ferocious collective race known as the Zerg arrives to massacre the exiled human colonies while a highly advanced race, the Protoss, intervenes to exterminate the Zerg.",Chris Metzen,Glynnis Talken,Mark Schwarz,Glenn Stafford,Duane Stinnett,5140,T
101,Super Metroid,(1994 Video Game),"Action, Adventure, Mystery",9.1,Samus Aran returns to the brooding planet Zebes to recover the last metroid from the Space Pirates.,Yoshio Sakamoto,Kenji Yamamoto,Dan Owsen,,,1958,
102,GoldenEye 007,(1997 Video Game),"Action, Adventure, Thriller",9.1,James Bond must track down agent-turned-terrorist Alec Trevelyan to stop the launch of a powerful satellite. Play the game that set the stage for the First-person shooter genre on the console.,Martin Hollis,Kevin Bayliss,Ken Lobb,Scott Hochberg,,5418,T
103,Super Mario 64,(1996 Video Game),"Action, Adventure, Comedy",9.1,"When the evil Bowser steals 120 power stars and traps Princess Peach within the walls of her own castle, it's up to Mario to save her once again.",Shigeru Miyamoto,Charles Martinet,Leslie Swan,,,5710,K-A
104,Silent Hill,(1999 Video Game),"Drama, Horror, Mystery",9.1,"Harry awakes from a car crash to notice his daughter, Cheryl, vanished. As he searches through the eerie town of Silent Hill, a terrifying descent into the unknown is set.",Keiichiro Toyama,Michael Guinn,Susan Papa,Thessaly Lerner,Jarion Monroe,5454,M
105,Resident Evil 2,(1998 Video Game),"Action, Horror, Sci-Fi",9.1,"Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.",Hideki Kamiya,Paul Haddad,Alyson Court,Sally Cahill,Lisa Jai,5682,M
106,The Curse of Monkey Island,(1997 Video Game),"Adventure, Comedy, Fantasy",9.1,"After unwittingly turning his true love Elaine into solid gold with a cursed engagement ring, Guybrush Threepwood must find a map, a ship and a crew, sail to Blood Island and track down an uncursed diamond ring to reverse the curse.",Jonathan Ackley,Denny Delk,Dominic Armato,Alexandra Boyd,Earl Boen,2609,K-A
107,Gabriel Knight: Sins of the Fathers,(1993 Video Game),"Adventure, Drama, Horror",9.1,"Gabriel Knight, the owner of a New Orleans, Louisiana bookstore, gets tangled up in the investigation of a series of voodoo-related murders currently plaguing the city.",Jane Jensen,Tim Curry,Mark Hamill,Leah Remini,Virginia Capers,664,T
108,Hades,(2018 Video Game),"Action, Adventure, Fantasy",9,"Hades is a rogue-like dungeon crawler from the creators of Bastion and Transistor, in which you defy the god of death as you hack and slash your way out of the Underworld of Greek myth.",Logan Cunningham,Darren Korb,Marin M. Miller,Peter Canavese,,1008,T
109,Super Mario Odyssey,(2017 Video Game),"Animation, Action, Adventure",9,Mario must travel to worlds unknown in order to stop Bowser from marrying Princess Peach.,Kenta Motokura,Kate Higgins,Nobuyuki Hiyama,Kenny James,Samantha Kelly,3523,E10+
110,Psychonauts 2,(2021 Video Game),"Action, Adventure, Comedy",8.9,"The game will pick up after the conclusion of Psychonauts in the Rhombus of Ruin, following Zanotto's rescue, the team returns to Psychonaut Headquarters, where Raz discovers that the ...                 »",Tim Schafer,Richard Steven Horvitz,Carson Annable,Krizia Bajos,Poonam Basu,423,T
111,Yakuza 0,(2015 Video Game),"Action, Crime, Drama",9,"Kiryu and Majima, both Yakuza's who are in different cities in Japan in 1988, as the fate of the two characters become intertwined in a gritty, violent, and often touching narrative.",Kazuki Hosokawa,Miyuki Sawashiro,Takaya Kuroda,Hidenari Ugaki,Kazuhiro Nakaya,1268,M
112,Batman: Arkham Knight,(2015 Video Game),"Action, Adventure, Crime",9,"With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.",Sefton Hill,Carlos Alazraqui,Laura Bailey,Troy Baker,Jonathan Banks,16873,M
113,The Last of Us: Left Behind,(2014 Video Game),"Action, Adventure, Drama",9,"Find out what set Ellie on her course to the life changing events in  (2013), whilst filling in the gaps during winter with Joel.",Bruce Straley,Ashley Johnson,Yaani King Mondschein,Troy Baker,Chris Jai Alex,8982,M
114,Uncharted 3: Drake's Deception,(2011 Video Game),"Action, Adventure, Fantasy",9,"Treasure hunter Nathan Drake embarks on a quest in search of the Atlantis of the Sands while battling an ancient, sinister organization.",Amy Hennig,Claudia Black,Nolan North,Richard McGonagle,Emily Rose,20345,T
115,Xenoblade Chronicles,(2010 Video Game),"Action, Adventure, Fantasy",9,"In a world of endless ocean, all life lives on the decaying corpses of two gigantic titans, the Bionis and Mechonis. When the army of Mechonis attacks his home, young scientist Shulk sets out for revenge.",Ko Kojima,Ryô Horikawa,Tetsuya Takahashi,Shintarô Asanuma,Eri Nakao,589,T
116,Call of Duty 4: Modern Warfare,(2007 Video Game),"Action, Adventure, Thriller",9,"The Call of Duty series returns this time into a modern day setting. The player takes control of a character nicknamed ""Soap,"" for the majority of the campaign and will need to progress through many modern warfare scenarios.",Jason West,Billy Murray,Craig Fairbrass,David Sobolov,Mark Grigsby,21655,M
117,Shin Megami Tensei: Persona 3,(2006 Video Game),"Action, Adventure, Fantasy",9,A new student arrives at a school full of monsters that attack at night. A team of Persona users recruit him to help battle alongside them to rid the monsters for good.,Katsura Hashino,Akira Ishida,Megumi Toyoguchi,Rie Tanaka,Maaya Sakamoto,742,M
118,Gothic,(2001 Video Game),"Action, Adventure, Fantasy",9,An unnamed hero gets thrown in a colony of prisoners surrounded by a magical barrier.,Don Delciappo,Stefan Ashton Frank,Armand Hart,Bradley Lavelle,,742,
119,Super Mario Galaxy,(2007 Video Game),"Animation, Action, Adventure",9.1,"When Princess Peach is abducted as part of Bowser's galaxy creation scheme, stalwart plumber Mario must leap to her rescue, with the help of new celestial friends and powers.",Yoshiaki Koizumi,Charles Martinet,Kenny James,Samantha Kelly,Mercedes Rose,4916,E
120,Mother 3,(2006 Video Game),"Adventure, Comedy, Drama",9,"A young boy from the island of Tazmily must defeat a familiar enemy and his many cohorts, meeting many new friends along the way.",Nobuyuki Inoue,,,,,405,T
121,The Legend of Zelda: Twilight Princess,(2006 Video Game),"Action, Adventure, Fantasy",9,"Link, a young man from a small farming village, finds Hyrule is being consumed by an otherworldly twilight. Guided by a strange pixie named Midna, he endeavors to return light to the land and confront the usurper king Zant.",Eiji Aonuma,Akira Sasanuma,Akiko Kômoto,Hironori Miyata,Junji Kitajima,4813,T
122,Heroes of Might and Magic III: The Restoration of Erathia,(1999 Video Game),"Action, Adventure, Fantasy",9,"Turn-based strategy game in which the player goes through 7 different campaigns, controlling a number of heroes that command an army of creatures inspired by myth and legend.",David Mullich,Catherine Battistone,Richard Epcar,Wendee Lee,Laird Macintosh,1191,
123,Metal Gear Solid: The Twin Snakes,(2004 Video Game),"Action, Adventure, Drama",9,A retired mercenary is called upon by the U.S. government to handle a hostile takeover of an Alaskan military base by his former special forces group. A remake of  (1998).,Carey Murray,Jennifer Hale,David Hayter,Cam Clarke,Debi Mae West,1586,M
124,Metal Gear Solid 2: Substance,(2002 Video Game),"Action, Adventure, Drama",9,"Enhanced version of  (2001); adding VR missions, 5 Short-Story missions with Snake at the helm, ""Skater Mode"" and more.",Hideo Kojima,David Hayter,Quinton Flynn,Christopher Randolph,Lara Cody,2090,M
125,The Legend of Zelda: The Wind Waker,(2002 Video Game),"Action, Adventure, Fantasy",9,"After his sister gets kidnapped from their peaceful island, a young boy aims to emulate the Hero of Time by saving her.",Eiji Aonuma,Nate Bihldorff,Osamu Hosoi,Asami Imai,Eiji Maruyama,3180,E
126,System Shock 2,(1999 Video Game),"Action, Adventure, Horror",9,"An agent is deployed on a mission to explore a distant planet, but instead wakes up from his cryosleep five months later only to discover that the ship's artificial intelligence has been corrupted and the humans infected by an alien race.",Ken Levine,Kemal Amarasingham,Laura Baldwin,Matt Boynton,Eric Brosius,1118,M
127,StarCraft: Brood War,(1998 Video Game),"Action, Adventure, Sci-Fi",9,After the events of  (1998) the Protoss try to unite their divided race while still fighting the weakened Zerg which is also attacked by human expedition from Earth.,Matthew Samia,Glynnis Talken,Jack Ritschel,Paul Ainsley,Castulo Guerra,2223,T
128,Diablo II: Lord of Destruction,(2001 Video Game),"Action, Adventure, Fantasy",9,"Warriors and rebels stand against Diablo and his malignant forces as they prepare to fight in an apocalyptic conflict. In the expansion, Baal takes over command of Diablo's forces as the end of the war draws near.",Larry B. Scott,Liana Young,Michael McConnohie,Jessica Straus,,2581,M
129,Diablo II,(2000 Video Game),"Action, Adventure, Fantasy",9,"Evil has survived. Diablo, the Lord of Terror, now seeks to free his demonic brothers. The armies of the High Heavens are forbidden to interfere with Diablo's plan.",Frank Gorshin,Milton James,James Harper,Ed Trotta,,3889,M
130,Metal Gear Solid 2: Sons of Liberty,(2001 Video Game),"Action, Adventure, Drama",9,"Two years after the death of Solid Snake, a rookie FOX-HOUND agent, on his first mission, infiltrates an offshore decontamination facility to rescue the President.",Hideo Kojima,David Hayter,Quinton Flynn,Christopher Randolph,Lara Cody,8297,M
131,Jagged Alliance 2,(1999 Video Game),,9,"When an overthrown and believed to be dead Monarch, Enrico Chivaldori, witnesses his country enslaved under the cruel regime of his former wife; Queen Deidranna, the former ruler contacts a...                 »",Ian Currie,Sonja Ball,Tyrone Benskin,Maria Bircher,Thor Bishopric,301,
132,The Longest Journey,(1999 Video Game),"Adventure, Drama, Fantasy",9,"April Ryan is a young visual-arts student in Venice, Newport. She's been having some strange dreams lately, but little does she know about the important role she'll have in changing the future.",Didrik Tollefsen,Roger Raines,Sarah Hamilton,Regina Lund,Louis Aguirre,1135,M
133,The Neverhood,(1996 Video Game),"Adventure, Comedy, Mystery",9,"Long ago, a mysterious being known as Hoborg created a world called the Neverhood, made entirely of an odd substance known as ""Klay."" However, Hoborg was lonely and, using a mystical ""life seed"", created a ""Klay man"" that he called Klogg.",Doug TenNapel,Mark Lorenzen,Edward Schofield,Doug TenNapel,,555,T
134,Final Fantasy VI,(1994 Video Game),"Action, Adventure, Fantasy",9,A mysterious woman joins a group of mercenaries in order to find out about her destiny and means of saving the world from an evil madman.,Hiroyuki Itô,Yoshinori Kitase,,,,2351,T
135,Day of the Tentacle,(1993 Video Game),"Adventure, Comedy, Sci-Fi",9,"A disembodied tentacle is accidentally exposed to nuclear waste, giving it human abilities and an ambition to take over the world.",Dave Grossman,Ginny Westcott,Denny Delk,Jane Jacobs,Nick Jameson,1819,
136,Baldur's Gate,(1998 Video Game),"Action, Adventure, Fantasy",9,"The main character, ward of mystical monk Gorion, whose name, sex, race and class are defined by the players, leaves his order's keep for the first time and starts a journey to discover his true identity. But someone wants him dead.",Feargus Urquhart,Dee Bradley Baker,Michael Bell,Jeff Bennett,Gregg Berger,1792,T
137,The Beast Within: A Gabriel Knight Mystery,(1996 Video Game),"Adventure, Drama, Horror",9,"Shortly after moving to Rittersburg to take over duties as the lone ""Schattenjager"", Gabriel Knight is called by the townsfolk to investigate the killing of a child believed to be caused by a werewolf.",Will Binder,Dean Erickson,Joanne Takahashi,Russell Mitchell,Peter J. Lucas,753,M
138,Fire Emblem: Three Houses,(2019 Video Game),"Adventure, Drama, Fantasy",8.9,"On the continent of Fódlan, divided between three rival nations, a newly hired professor at Garreg Mach Monastery must choose a nation to support and guide just as a conspiracy begins to reopen Fódlan's dark and violent past.",Toshiyuki Kusakihara,Ai Kakuma,Takashi Sano,Yûsuke Kobayashi,Shizuka Itô,553,T
139,Yakuza Kiwami 2,(2017 Video Game),"Action, Crime, Drama",8.9,"Kazuma Kiryu is called back to Kamurocho and tasked with finding a new chairman for the Tojo Clan, which brings him into conflict with the legendary 'Dragon Of Kansai'.",Hiroyuki Sakamoto,Kazuhiro Yamaji,Takaya Kuroda,Aya Hisakawa,Satoshi Tokushige,539,M
140,Steins;Gate,(2009 Video Game),"Comedy, Drama, Romance",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",Mamoru Miyano,Asami Imai,Kana Hanazawa,Tomokazu Seki,,291,M
141,Death Stranding,(2019 Video Game),"Action, Adventure, Drama",8.9,Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.,Hideo Kojima,Norman Reedus,Mads Mikkelsen,Léa Seydoux,Troy Baker,7137,M
142,Undertale,(2015 Video Game),"Adventure, Comedy, Drama",8.9,"Enter the Underground, a massive subterranean cave where monsters, who once lived harmoniously with humans on the surface, now have been banished after losing a war with humanity.",Toby Fox,Stephanie MacIntire,Willard Scott,,,2792,E10+
143,NieR: Automata,(2017 Video Game),"Action, Adventure, Drama",8.9,"In the forsaken wasteland below, the war between the machines and the androids rages on. A war that is soon to unveil the long-forgotten truth of this world.",Yoko Taro,Yui Ishikawa,Natsuki Hanae,Ayaka Suwa,Tatsuhisa Suzuki,2499,M
144,Life Is Strange,(2015 Video Game),"Drama, Mystery, Sci-Fi",8.9,"An awkward photography student named Max discovers her ability to rewind time, and reunites with her estranged best friend Chloe to investigate the mysterious disappearance of a local girl.",Raoul Barbet,Dani Knights,Hannah Telle,Ashly Burch,Nik Shriner,11038,M
145,Tales from the Borderlands: A Telltale Games Series,(2014 Video Game),"Adventure, Comedy, Sci-Fi",8.9,"Corporate stooge Rhys, and Con woman Fiona team up to discover the secret of an alien vault on the dangerous planet Pandora.",Martin Montgomery,Laura Bailey,Jonathan Stauder,Nick Herman,Troy Baker,3654,M
146,The Wolf Among Us,(2013 Video Game),"Action, Crime, Drama",8.9,"As Bigby Wolf, the big bad wolf in human form, you will discover that the brutal, bloody murder of a Fable is just a taste of things to come when another dead Fable is found which starts the hunt for a serial killer.",Nick Herman,Chuck Kourouklis,Dennis Lenart,Adam Harrington,Erin Yvette,6633,M
147,Far Cry 3,(2012 Video Game),"Action, Adventure",8.9,"While skydiving, Jason Brody and his friends land on an island overrun by pirates, where Jason is torn between fighting for the Rakyat resistance and rescuing his friends.",Laurent Bernier,Kristian Hodko,Lane Edwards,Alex Harrouch,Mylène Dinh-Robic,17662,M
148,South Park: The Stick of Truth,(2014 Video Game),"Animation, Action, Adventure",8.9,"As the New Kid, discover the lost Stick of Truth, and earn your place at the side of Stan, Kyle, Cartman and Kenny as their new friend.",Chris Parker,April Stewart,Trey Parker,Matt Stone,Mona Marshall,4437,M
149,The Witcher 2: Assassins of Kings,(2011 Video Game),"Action, Adventure, Drama",8.9,"Witcher Geralt must track down a mysterious assassin known as the Kingslayer, who appears to also have the powers of a witcher. Is the Kingslayer simply working for the leaders of a non-human rebellion or is there more to this mystery?",Adam Badowski,Doug Cockle,Jacek Rozenek,Adam Bauman,Alexander Morton,5149,M
150,Super Mario Galaxy 2,(2010 Video Game),"Action, Adventure, Family",8.9,Mario goes back in the galaxy to save Princess Peach from Bowser.,Koichi Hayashida,Charles Martinet,Dex Manley,Scott Burns,Mercedes Rose,2282,E
151,Heroes of Might and Magic III: The Shadow of Death,(2000 Video Game),"Action, Adventure, Fantasy",8.9,Second expansion pack for  (1999).,David Mullich,Laird Macintosh,Catherine Battistone,Aric Devone,Mari Devon,584,
152,Kingdom Hearts: Birth by Sleep,(2010 Video Game),"Action, Adventure, Family",8.9,"Ten years before Sora held the Keyblade, three young Keyblade wielders bound by friendship, face being torn apart by the sinister monsters terrorizing other worlds and the manipulative mastermind behind them.",Tetsuya Nomura,Jason Dohring,Willa Holland,Jesse McCartney,Leonard Nimoy,1549,E10+
153,Okami,(2006 Video Game),"Action, Adventure, Fantasy",8.9,"A cel-shaded action game set in feudal Japan, in which the wolf deity Amaterasu defends the land from evil forces.",Hideki Kamiya,,,,,1254,T
154,Grand Theft Auto IV,(2008 Video Game),"Action, Crime, Drama",8.9,"Niko Bellic comes to Liberty City, America to live the good life, but ends up having to assist his dangerously indebted cousin Roman with his financial troubles, by any (mostly illegal) means necessary.",Michael Hollick,Jason Zumwalt,Timothy Adams,Moti Margolin,,33464,M
155,The Warriors,(2005 Video Game),"Action, Crime",8.9,"The Warriors, a gang from Coney Island, go to a gang leader's meeting, when suddenly the gang leader is shot and killed. Framed for this murder, they must travel all the way back to Coney with 60,000 gang members standing in their way.",James Remar,Ephraim Benton,Dorsey Wright,David Harris,,1787,M
156,The Elder Scrolls IV: Oblivion,(2006 Video Game),"Action, Adventure, Fantasy",8.9,"After being freed by the Emperor of Tamriel, the hero must prevent the gates of Oblivion from spreading throughout the Empire.",Todd Howard,Sean Bean,Lynda Carter,Terence Stamp,Patrick Stewart,12006,T
157,Star Wars: Knights of the Old Republic II - The Sith Lords,(2004 Video Game),"Action, Adventure, Drama",8.9,You play an exiled and depowered Jedi Knight who has returned to the Republic and must restore both your powers and the devastated Jedi Order to challenge the Sith.,Sara Kestelman,Nicky Katt,Roger Guenveur Smith,Kelly Hu,,4980,T
158,Sly 2: Band of Thieves,(2004 Video Game),"Action, Adventure, Comedy",8.9,"Two years after defeating Clockwerk, Sly Cooper and his band of thieves must recover and destroy all of the stolen Clockwerk parts from a sinister organization before their old nemesis can return from the dead.",Kevin Miller,Matt Olsen,Chris Murphy,Alesia Glidewell,,1068,E
159,Warcraft III: The Frozen Throne,(2003 Video Game),"Action, Adventure, Fantasy",8.9,"Survivors in the reign of chaos try to resolve their differences in a new world, that was shaped after the fall of the Burning Legion.",Nicholas S. Carpenter,Kevin Beardslee,Michael Bradberry,William Bassett,Piera Coppola,3264,
160,Eternal Darkness: Sanity's Requiem,(2002 Video Game),"Adventure, Fantasy, Horror",8.9,"Over the course of two millenia, twelve men and women are linked together by an accursed book known as the Tome of Eternal Darkness.",Denis Dyack,Michael Bell,Earl Boen,Cam Clarke,Neil Dickson,773,M
161,The Elder Scrolls III: Morrowind,(2002 Video Game),"Action, Adventure, Fantasy",8.9,"The protagonist travels by Morrowind, eastern province of the Septim Empire in Tamriel. He/she can save it from enslavement or explore for personal purposes.",Todd Howard,Jeff Baker,Jonathan Bryce,Lynda Carter,Linda Canyon,3280,T
162,Thief: The Dark Project,(1998 Video Game),"Adventure, Crime, Fantasy",8.9,"Unbeknownst to him, a cynical but witty master-thief Garrett will become a key player in the secret war between the cult of builders and the cult of pagans in a medieval city where certain types of magic and advanced technology exist.",Daniel Thron,Daniel Thron,Stephen Russell,Joffrey Spaulding,Terri Brosius,667,M
163,Undying,(2001 Video Game),"Action, Horror, Mystery",8.9,Former soldier Patrick Galloway receives a plea for help from his old friend and former comrade in arms Jeremiah Covenant.,Brady Bell,Kai Vilhelmsen,Ryan Drummond,Clive Barker,Marc Biagi,908,M
164,Super Mario RPG: Legend of the Seven Stars,(1996 Video Game),"Action, Adventure, Fantasy",8.8,"Just as Mario trounces Bowser for the millionth time, a giant, malevolent sword crashes into Bowser's keep, casting Mario, Princess Toadstool and Bowser far and wide, and breaking seven pieces from the wish-granting Star Road.",Chihiro Fujioka,Yoshihiko Maekawa,,,,1409,E
165,The Operative: No One Lives Forever,(2000 Video Game),"Action, Adventure, Comedy",8.9,"A 1960's female spy must battle an eccentric terrorist organization in this classic first person shooter, a stylish and tongue-in-cheek spoof of Cold War era James Bond.",Craig Hubbard,Kit Harris,Jock Blaney,Ken Boynton,John Patrick Lowrie,617,T
166,Warcraft III: Reign of Chaos,(2002 Video Game),"Action, Adventure, Fantasy",8.9,"Years after the fall of the Orcish Horde to the human Alliance of Lordaeron, the remaining humans and orcs find themselves facing a common enemy: the demons of the Burning Legion and their armies of undead monsters.",Nicholas S. Carpenter,Michael Barken,Milton James,Michael Bradberry,William Bassett,3428,
167,Xenogears,(1998 Video Game),"Action, Adventure, Fantasy",8.9,Young warrior and artist Fei Fong Wong sets off on a journey that tests his faith as well as courage as he is suddenly thrown into a battle where no one is who they seem.,Tetsuya Takahashi,Hikaru Midorikawa,Tomokazu Seki,Yumi Tôma,Hideyuki Tanaka,625,T
168,Pokémon Red Version,(1996 Video Game),"Action, Adventure, Family",8.9,Play as a young Pokémon trainer trying to catch all 150 Pokémon.,Satoshi Tajiri,,,,,2365,E
169,Broken Sword: Circle of Blood,(1996 Video Game),"Adventure, Mystery, Romance",8.9,"George Stobbart, an American tourist in Paris, attempts to unravel a conspiracy when he witnesses a bomb attack on a small Parisian cafe.",Charles Cecil,Rolf Saxon,Hazel Ellerby,Rachel Atkins,David Bannerman,1057,
170,EarthBound,(1994 Video Game),"Adventure, Comedy, Fantasy",8.9,"Ness, a boy from Onett, Eagleland, teams up with new friends to defeat an Evil Destroyer named Giygas. During the epic pursuits, Ness and his allies attempt to find the sacred Eight Melodies.",Shigesato Itoi,Shigesato Itoi,Yukari Saito,Hirokazu Koyano,Etsuko Kawano,947,K-A
171,Resident Evil,(1996 Video Game),"Action, Horror, Mystery",8.9,"The RPD are investigating strange cannibalized corpses on the outskirts of the city. The Alpha squad, Jill and Chris, are sent to locate missing team members. While there, mutated dogs cause them to flee into a supposedly abandoned mansion.",Shinji Mikami,Linda,Charlie Kraslavsky,Inezh,Greg Smith,5267,M
172,Super Mario Bros.,(1985 Video Game),"Animation, Action, Adventure",8.9,A plumber named Mario and his brother Luigi travel through the Mushroom Kingdom to save the princess from the evil Bowser.,Shigeru Miyamoto,,,,,5797,
173,Titanic: Adventure Out of Time,(1996 Video Game),"Action, Adventure, Mystery",8.9,A video game about a british espionage agent sent back in time to a failed mission aboard Titanic. At stake: The fate of the entire world!,Kevin Garrett,Erik Sigvard Quist,Stephanie B. Quist,Lona Livingston,,303,T
174,The Pandora Directive,(1996 Video Game),"Action, Adventure, Comedy",8.9,"In a neo-noir post-WWIII future, an old man hires Tex Murphy, a witty mellow private detective, to find his friend, a former government scientist. The clues lead Tex to a serial killer, NSA and an ominous project called Pandora.",Adrian Carr,Chris Jones,Barry Corbin,Kevin McCarthy,Tanya Roberts,263,
175,Blade Runner,(1997 Video Game),"Mystery, Sci-Fi, Thriller",8.9,"You play a blade runner investigating a series of violent replicant crimes, only to discover far more than you bargained for.",Joseph D. Kucan,Martin Azarow,Mark Benninghoffen,Warren Burton,Gwen Castaldi,1877,T
176,Wing Commander III: Heart of the Tiger,(1994 Video Game),"Action, Adventure, Sci-Fi",8.9,"When the Terran Confederation faces the possibility of humanity losing the war with the Kilrathi, Colonel Christopher Blair (Mark Hamill), who the Kilrathi have dubbed ""The Heart of the Tiger"", is summoned.",Chris Roberts,Mark Hamill,Malcolm McDowell,John Rhys-Davies,Jason Bernard,781,T
177,Hollow Knight,(2017 Video Game),"Action, Adventure, Fantasy",8.8,"This is the story of a knight, in a quest to uncover the secrets of the long-abandoned kingdom of the Hallownest insects, whose depths attract the adventurous and brave with the promise of treasure or the answer to ancient mysteries.",,,,,,1481,E10+
178,Horizon Zero Dawn: The Frozen Wilds,(2017 Video Game),"Action, Adventure, Mystery",8.8,"Aloy's battle with the machines continues when she travels to The Cut, the home of the Banuk. There, she finds an AI that is being worshiped, and a mysterious 'Daemon' constantly attacking the Banuk.",Mathijs de Jonge,Ashly Burch,Richard Neil,Necar Zadegan,Gary Anthony Williams,1271,T
179,Divinity: Original Sin II,(2017 Video Game),"Action, Adventure, Fantasy",8.8,"Set in a fantasy world where a form of energy known as Source, and individuals called Sourcerers can manipulate this energy, are hunting down an organization to protect their world from the evil Voidwokens who are drawn by that energy.",Swen Vincke,Rachel Atkins,Christopher Bonwell,Brian Bowles,Jay Britton,661,M
180,Danganronpa 2: Goodbye Despair,(2012 Video Game),"Adventure, Mystery, Thriller",8.8,"16 students from the famous Hope's Peak Academy are forced to live on an island, or kill each other in order to escape.",Minami Takayama,Megumi Ogata,Akira Ishida,Tomokazu Sugita,,517,M
181,Enderal: The Shards of Order,(2016 Video Game),"Action, Adventure, Fantasy",8.9,"2 years after the events of ""Nehrim"", the world of Vyn has fallen into chaos, prompting a Nehrimese refugee to travel to the isolated continent of Enderal to start over, unaware of the threatening, mysterious challenges he would soon face.",Nicolas Lietzau,Till Hagen,Andreas Wilde,Martin Sabel,Michelle Winter,254,
182,Halo: The Master Chief Collection,(2014 Video Game),"Action, Adventure, Sci-Fi",8.8,"Compilation of Master Chief's entire story. Featuring a re-mastered Halo 2: Anniversary, along with Halo: Anniversary, Halo 3, Halo 4, Halo Nightfall, and access to the Halo 5 Multiplayer Beta.",Adam Adcock,Chris Anderson,Cas Anvar,Dee Bradley Baker,,1844,M
183,Inside,(2016 Video Game),"Adventure, Horror, Mystery",8.8,"Hunted and alone, a boy finds himself drawn into the center of a dark project.",Arnt Jensen,,,,,3093,M
184,BioShock Infinite: Burial at Sea,(2013 Video Game),"Action, Adventure, Mystery",8.8,"1958. After the events of  (2013) and on the eve of the civil war that will destroy the underwater city, Elizabeth goes to Rapture to find Booker DeWitt and offers him her help to investigate the disappearance of an orphan girl.",Ken Levine,Troy Baker,Michael Navarra,Courtnee Draper,Kimberly Brooks,1910,M
185,Fire Emblem: Awakening,(2012 Video Game),"Action, Adventure, Fantasy",8.9,"During a turbulent era, Chrom, the prince of Ylisse and descendant of the Hero-King Marth, leads The Shepherds in observing and combating the bizarre activities of the neighboring country Plegia.",Kouhei Maeda,Akemi Okamura,Tomokazu Sugita,Yû Kobayashi,Kana Asumi,890,T
