"Season","Player","WS"
1979,"Kenny Higgs",2.2
1979,"Kent Benson",6.4
1979,"Kermit Washington",6.9
1979,"Kevin Grevey",3.4
1979,"Kevin Kunnert",2.3
1979,"Kevin Porter",6.2
1979,"Kevin Restani",2.6
1979,"Kevin Stacom",-0.8
1979,"Kim Anderson",-0.4
1979,"Kim Hughes",2.2
1979,"Larry Kenon",8.8
1979,"Larry McNeill",0.1
1979,"Larry Steele",2
1979,"Larry Wright",3.5
1979,"Lars Hansen",0.6
1979,"Len Elmore",2.1
1979,"Leon Douglas",3.1
1979,"Lionel Hollins",2.3
1979,"Lloyd Neal",-0.1
1979,"Lloyd Walton",1.9
1979,"Lonnie Shelton",5.1
1979,"Lou Hudson",3.3
1979,"Louie Dampier*",1.6
1979,"Lucius Allen",0.1
1979,"M.L. Carr",7.9
1979,"Mark Landsberger",2.2
1979,"Mark Olberding",4.2
1979,"Marlon Redmond",0.3
1979,"Marques Johnson",12.2
1979,"Marty Byrnes",0.9
1979,"Marvin Barnes",1
1979,"Marvin Webster",2.8
1979,"Maurice Cheeks",4.9
1979,"Maurice Lucas",6.2
1979,"Michael Cooper",0
1979,"Micheal Ray Richardson",0.3
1979,"Mickey Johnson",3.7
1979,"Mike Bantom",5.2
1979,"Mike Bratz",1.7
1979,"Mike Dunleavy",3.4
1979,"Mike Gale",3.6
1979,"Mike Glenn",2.8
1979,"Mike Green",3.8
1979,"Mike Mitchell",3.6
1979,"Mike Newlin",2.9
1979,"Mitch Kupchak",5.9
1979,"Moses Malone*",14.1
1979,"Mychal Thompson",4.4
1979,"Nate Williams",2.9
1979,"Nick Weatherspoon",3.7
1979,"Norm Nixon",9.6
1979,"Norm Van Lier",1.1
1979,"Ollie Johnson",3.1
1979,"Otis Birdsong",8.8
1979,"Otis Howard",0.2
1979,"Paul Griffin",1.6
1979,"Paul Silas",3.9
1979,"Paul Westphal",10.4
1979,"Pete Maravich*",0.1
1979,"Phil Chenier",-0.1
1979,"Phil Ford",5.7
1979,"Phil Hicks",0
1979,"Phil Jackson*",1.9
1979,"Phil Smith",5.2
1979,"Purvis Short",2.6
1979,"Quinn Buckner",2
1979,"Ralph Simpson",-0.2
1979,"Randy Smith",5.8
1979,"Ray Epps",0.1
1979,"Ray Williams",3.9
1979,"Raymond Townsend",0.8
1979,"Reggie Theus",3.2
1979,"Rich Kelley",8.6
1979,"Richard Washington",0
1979,"Rick Barry*",4.2
1979,"Rick Robey",3.1
1979,"Rick Wilson",0.3
1979,"Rickey Green",-0.1
1979,"Ricky Sobers",4.3
1979,"Robert Hawkins",0.1
1979,"Robert Parish*",7.1
1979,"Robert Reid",4.5
1979,"Robert Smith",2.9
1979,"Roger Phegley",0
1979,"Ron Behagen",0.2
1979,"Ron Boone",0.4
1979,"Ron Brewer",5.6
1979,"Ron Carter",0
1979,"Ron Lee",0.3
1979,"Rudy Tomjanovich",6.2
1979,"Sam Lacey",6.5
1979,"Sam Smith",0.2
1979,"Scott Lloyd",-0.6
1979,"Scott May",-0.1
1979,"Scott Wedman",8.6
1979,"Sidney Wicks",1.5
1979,"Slick Watts",1.2
1979,"Sonny Parker",7
1979,"Spencer Haywood*",4.3
1979,"Stan Pietkiewicz",0
1979,"Steve Green",0.4
1979,"Steve Hawes",5.4
1979,"Steve Mix",4.9
1979,"Steve Sheppard",0.1
1979,"Swen Nater",5.5
1979,"T.R. Dunn",3.7
1979,"Tate Armstrong",-0.1
1979,"Ted McClain",0.5
1979,"Terry Furlow",3.3
1979,"Terry Tyler",5.4
1979,"Tim Bassett",1.4
1979,"Tiny Archibald*",1.6
1979,"Toby Knight",5.7
1979,"Tom Abernethy",3.7
1979,"Tom Barker",0.3
1979,"Tom Boswell",5.6
1979,"Tom Burleson",2.7
1979,"Tom Henderson",4.5
1979,"Tom LaGarde",1.7
1979,"Tom McMillen",2.9
1979,"Tom Owens",10.4
1979,"Tommie Green",-0.3
1979,"Tony Robertson",0
1979,"Tree Rollins",6.4
1979,"Truck Robinson",5.1
1979,"Wally Walker",1.8
1979,"Walt Frazier*",0.2
1979,"Walter Davis",9.4
1979,"Wayne Cooper",1.2
1979,"Wayne Radford",0.7
1979,"Wes Unseld*",8.7
1979,"Wesley Cox",-0.5
1979,"Wilbur Holland",3.8
1979,"Willie Smith",0.3
1979,"Wilson Washington",1.8
1979,"Winford Boynes",0.6
1979,"World B. Free",10.1
1980,"Abdul Jeelani",3.8
1980,"Adrian Dantley*",10.5
1980,"Al Skinner",0
1980,"Alex English*",5.3
1980,"Allan Bristow",4.4
1980,"Allen Leavell",4
1980,"Alonzo Bradley",-0.2
1980,"Alvan Adams",7
1980,"Alvin Scott",1.7
1980,"Andre Wakefield",-0.2
1980,"Anthony Roberts",0.1
1980,"Armond Hill",2.5
1980,"Artis Gilmore*",5.6
1980,"Arvid Kramer",-0.1
1980,"Austin Carr",2
1980,"Ben Poquette",4.9
1980,"Bernard King*",0
1980,"Bernard Toone",-0.1
1980,"Bill Cartwright",9.7
1980,"Bill Robinzine",5.5
1980,"Bill Walton*",0.8
1980,"Bill Willoughby",3
1980,"Billy Knight",5.8
1980,"Billy McKinney",2.7
1980,"Billy Paultz",4
1980,"Billy Ray Bates",0.9
1980,"Bingo Smith",2.1
1980,"Bo Ellis",0.9
1980,"Bob Carrington",0
1980,"Bob Dandridge",1.7
1980,"Bob Elliott",0.8
1980,"Bob Gross",1.7
1980,"Bob Lanier*",7.4
1980,"Bob McAdoo*",2
1980,"Bob Wilkerson",0.2
1980,"Bobby Jones",8.1
1980,"Brad Davis",0.6
1980,"Brad Holland",0.3
1980,"Brian Taylor",5.6
1980,"Brian Winters",6.2
1980,"Bubba Wilson",-0.2
1980,"Butch Lee",-0.2
1980,"Caldwell Jones",3.9
1980,"Calvin Murphy*",7.2
1980,"Calvin Natt",7.1
