Incident_Date,Aircaft_Model,Aircaft_Registration,Aircaft_Operator,Aircaft_Nature,Incident_Category,Incident_Cause(es),Incident_Location,Aircaft_Damage_Type,Date,Time,Arit,Aircaft_Engines,Onboard_Crew,Onboard_Passengers,Onboard_Total,Fatalities,Aircaft_First_Flight,Aircraft_Phase,Departure_Airport,Destination_Airport,Ground_Casualties,Collision_Casualties
05-DEC-2020,Beechcraft A100 King Air,C-FWYO,Airco Aircraft Charters,Domestic Non Scheduled Passenger,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Landing gear collapse, Result - Emergency, forced landing - On runway",Edmonton Int...,Substantial,Saturday 5 December 2020,14:20,05-DEC-2020,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 5,0,1970,Landing (LDG),"Edmonton International Airport, AB (YEG/CYEG) , Canada","Kelowna Airport, BC (YLW/CYLW) , Canada",,
05-DEC-2020,British Aerospace BAe-125-800A,N484AR,private,Illegal Flight,Accident | hull-loss,Info-Unavailable,Jesús María ...,Damaged beyond repair,Saturday 5 December 2020,20:00,05-DEC-2020,,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities:  / Occupants:,0,1984,Landing (LDG),?,?,,
09-DEC-2020,Antonov An-2R,UR-33642,private,Illegal Flight,Accident | hull-loss,"Result - Emergency, forced landing - Outside airport",near Zolota Slobo...,Destroyed,Wednesday 9 December 2020,16:11,09-DEC-2020,,Fatalities: 1 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 1,1,1989,Landing (LDG),?,?,,
10-DEC-2020,Gulfstream Aerospace G-1159A Gulfstream III,(N370JL),private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Result - Damaged on the ground,southern Belize,Destroyed,Thursday 10 December 2020,,10-DEC-2020,,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,0,1984,Standing (STD),?,?,,
13-DEC-2020,Eclipse 500,N686TM,private,Private,Accident | repairable-damage,"Landing/takeoff - Landing, Landing/takeoff - Landing - Late, far down rwy, Landing/takeoff - Landing - Unstabilized approach, Result - Runway excursion",Leadville Ai...,Substantial,Sunday 13 December 2020,20:00,13-DEC-2020,2 Pratt Whitney Canada PW610F-A,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 1,0,2008,Landing (LDG),"San Diego-Montgomery Field, CA (MYF/KMYF) , United States of America","Leadville Airport, CO (LXV/KLXV) , United States of America",,
19-DEC-2020,British Aerospace BAe-125-700A,(N326TD),private,Illegal Flight,Accident | hull-loss,Info-Unavailable,Parque Nacio...,Destroyed,Saturday 19 December 2020,ca 05:00,19-DEC-2020,2 Garrett TFE731-3-1,Fatalities: 1 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 1 / Occupants: 3,1,1982,Landing (LDG),?,?,,
20-DEC-2020,Raytheon Hawker 800XP,N412JA,Talon Air,Unknown,Accident | hull-loss,Result - Runway excursion,Farmingdale-...,Substantial,Sunday 20 December 2020,20:35,20-DEC-2020,2 Garrett TFE731-5BR,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,2001,Landing (LDG),"Miami-Opa locka Executive Airport, FL (OPF/KOPF) , United States of America","Farmingdale-Republic Airport, NY (FRG/KFRG) , United States of America",,
30-DEC-2020,Cessna 208B Supervan 900,PZ-TSK,Blue Wing Airlines,Passenger,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Landing gear collapse, Result - Runway mishap",Kawemhaken-L...,Substantial,Wednesday 30 December 2020,c. 16:45,30-DEC-2020,1 Garrett TPE331-12JR,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 4,0,1995,Landing (LDG),"Paramaribo-Zorg en Hoop Airport (ORG/SMZO) , Suriname","Kawemhaken-Lawa Anapaike Airstrip (SMLA) , Suriname",,
07-JAN-2019,Saab 340B,YL-RAF,RAF-AVIA,Ferry/positioning,Accident | repairable-damage,Result - Runway excursion,Savonlinna A...,Substantial,Monday 7 January 2019,05:50,07-JAN-2019,2 General Electric CT7-9B,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,0,1991,Landing (LDG),"Riga International Airport (RIX/EVRA) , Latvia","Savonlinna Airport (SVL/EFSA) , Finland",,
12-JAN-2019,Canadair CL-600-2A12 Challenger 601,N813WT,TW 601-C Investment,Executive,Accident | hull-loss,"Landing/takeoff - Landing, Landing/takeoff - Landing - Heavy, Result - Runway excursion, Weather - Windshear/downdraft",Uvalde-Ox Ra...,Substantial,Saturday 12 January 2019,11:30,12-JAN-2019,2 General Electric CF34-1A,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 9,0,1983,Landing (LDG),"Fort Worth-Meacham Field, TX (FTW/KFTW) , United States of America","Uvalde-Ox Ranch Airport ,TX , United States of America",,
