Code,College,1st choice,2nd choice,No of applicants admitted to their 1st choice,No of applicants admitted to their 2nd choice,Total admitted
CAI,Gonville and Caius College,360,276,67,20,103
CC,Corpus Christi College,393,444,63,21,99
CHR,Christ's College,446,513,56,28,113
CHU,Churchill College,585,428,88,24,147
CL,Clare College,391,460,56,15,105
CLH,Clare Hall,265,299,40,13,124
CTH,St Catharine's College,200,252,58,10,105
DAR,Darwin College,578,711,102,64,308
DOW,Downing College,422,459,73,19,155
ED,St Edmund's College,165,207,25,9,239
EM,Emmanuel College,299,356,55,14,93
F,Fitzwilliam College,517,268,80,21,174
G,Girton College,103,272,15,13,104
HH,Hughes Hall,290,295,82,16,421
HO,Homerton College,431,214,263,37,405
JE,Jesus College,461,444,110,36,175
JN,St John's College,1200,1072,109,16,129
K,King's College,1616,1300,82,2,87
LC,Lucy Cavendish College,103,92,19,7,150
M,Magdalene College,208,217,48,14,84
N,Newnham College,169,146,38,6,109
NH,Murray Edwards College,42,40,7,1,78
PEM,Pembroke College,471,658,67,18,110
PET,Peterhouse,297,314,53,9,71
Q,Queens' College,612,558,111,49,217
R,Robinson College,120,98,26,5,111
SE,Selwyn College,281,222,59,18,114
SID,Sidney Sussex College,105,151,34,12,101
T,Trinity College,2764,1146,108,1,117
TH,Trinity Hall,380,397,56,10,71
W,Wolfson College,366,395,75,17,357
null,No preference,9260,11194,null,null,null
