Code,College,1st choice,2nd choice,No of applicants admitted to their 1st choice,No of applicants admitted to their 2nd choice,Total admitted
CAI,Gonville and Caius College,433,312,68,16,99
CC,Corpus Christi College,706,782,71,26,105
CHR,Christ's College,442,483,49,31,112
CHU,Churchill College,652,378,101,24,145
CL,Clare College,336,404,67,20,125
CLH,Clare Hall,245,232,49,16,139
CTH,St Catharine's College,321,311,64,19,130
DAR,Darwin College,625,764,115,50,297
DOW,Downing College,393,483,78,34,173
ED,St Edmund's College,223,240,33,16,273
EM,Emmanuel College,324,381,58,17,99
F,Fitzwilliam College,529,262,93,22,213
G,Girton College,182,625,30,49,155
HH,Hughes Hall,364,317,93,19,453
HO,Homerton College,458,255,287,41,456
JE,Jesus College,647,542,130,30,192
JN,St John's College,1027,1051,103,18,130
K,King's College,1304,1098,81,2,86
LC,Lucy Cavendish College,117,127,32,10,163
M,Magdalene College,252,220,52,19,86
N,Newnham College,185,151,43,10,104
NH,Murray Edwards College,29,51,4,7,95
PEM,Pembroke College,453,595,62,24,111
PET,Peterhouse,337,293,49,11,68
Q,Queens' College,485,519,84,49,189
R,Robinson College,71,80,14,5,65
SE,Selwyn College,246,205,54,9,97
SID,Sidney Sussex College,86,131,17,9,103
T,Trinity College,3194,1162,116,6,126
TH,Trinity Hall,363,332,71,18,99
W,Wolfson College,321,433,85,23,385
null,No preference,9763,11894,null,null,nul
