Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Ligue 1 ,12,11/2/18,Home,Paris Saint-Germain,LOSC Lille,2:1,CF,84',2:0,Right-footed shot,Kylian Mbappé
Ligue 1 ,13,11/11/18,Away,Paris Saint-Germain,AS Monaco,0:4,AM,64',0:4,Penalty,Not Applicable
Champions League ,Group Stage,11/28/18,Home,Paris Saint-Germain,Liverpool FC,2:1,LW,37',2:0,Tap-in,Edinson Cavani
Ligue 1 ,15,12/2/18,Away,Paris Saint-Germain,FC Girondins Bordeaux,2:2,LW,34',0:1,Right-footed shot,Dani Alves
Champions League ,Group Stage,12/11/18,Away,Paris Saint-Germain,Red Star Belgrade,1:4,LW,40',0:2,Right-footed shot,Kylian Mbappé
Coupe de France ,Third Round,1/6/19,Away,Paris Saint-Germain,GSI Pontivy,0:4,SS,70',0:2,Right-footed shot,Moussa Diaby
Coupe de la Ligue ,Quarter-Finals,1/9/19,Home,Paris Saint-Germain,EA Guingamp,1:2,SS,63',1:0,Header,Thomas Meunier
Ligue 1 ,21,1/19/19,Home,Paris Saint-Germain,EA Guingamp,9:0,LW,11',1:0,Right-footed shot,Dani Alves
Ligue 1 ,21,1/19/19,Home,Paris Saint-Germain,EA Guingamp,9:0,LW,68',6:0,Right-footed shot,Kylian Mbappé
Coupe de France ,Final,4/27/19,Away,Paris Saint-Germain,Stade Rennais FC,8:7,LW,21',0:2,Right-footed shot,Ángel Di María
Ligue 1 ,35,5/4/19,Home,Paris Saint-Germain,OGC Nice,1:1,SS,60',1:1,Penalty,Not Applicable
Ligue 1 ,36,5/11/19,Away,Paris Saint-Germain,Angers SCO,1:2,SS,20',0:1,Header,Dani Alves
Ligue 1 ,5,9/14/19,Home,Paris Saint-Germain,RC Strasbourg Alsace,1:0,SS,90'+2,1:0,Left-footed shot,Abdou Diallo
Ligue 1 ,6,9/22/19,Away,Paris Saint-Germain,Olympique Lyon,0:1,LW,87',0:1,Left-footed shot,Ángel Di María
Ligue 1 ,8,9/28/19,Away,Paris Saint-Germain,FC Girondins Bordeaux,0:1,CF,70',0:1,Right-footed shot,Kylian Mbappé
Ligue 1 ,9,10/5/19,Home,Paris Saint-Germain,Angers SCO,4:0,LW,90',4:0,Left-footed shot,Eric Maxim Choupo-Moting
Ligue 1 ,16,12/4/19,Home,Paris Saint-Germain,FC Nantes,2:0,LW,85',2:0,Penalty,Not Applicable
Ligue 1 ,17,12/7/19,Away,Paris Saint-Germain,Montpellier HSC,1:3,LW,74',1:1,Direct free kick,Not Applicable
Champions League ,Group Stage,12/11/19,Home,Paris Saint-Germain,Galatasaray,5:0,LW,47',3:0,Left-footed shot,Kylian Mbappé
Ligue 1 ,18,12/15/19,Away,Paris Saint-Germain,AS Saint-Étienne,0:4,LW,9',0:1,Deflected shot on goal,Leandro Paredes
Ligue 1 ,19,12/21/19,Home,Paris Saint-Germain,Amiens SC,4:1,LW,46',2:0,Right-footed shot,Mauro Icardi
Coupe de la Ligue ,Quarter-Finals,1/8/20,Home,Paris Saint-Germain,AS Saint-Étienne,6:1,LW,39',2:0,Right-footed shot,Ángel Di María
Ligue 1 ,20,1/12/20,Home,Paris Saint-Germain,AS Monaco,3:3,LW,3',1:0,Left-footed shot,Marco Verratti
Ligue 1 ,20,1/12/20,Home,Paris Saint-Germain,AS Monaco,3:3,LW,42',3:2,Penalty,Not Applicable
Ligue 1 ,15,1/15/20,Away,Paris Saint-Germain,AS Monaco,1:4,LW,45'+2,0:2,Penalty,Not Applicable
Ligue 1 ,21,1/26/20,Away,Paris Saint-Germain,LOSC Lille,0:2,LW,28',0:1,Right-footed shot,Marco Verratti
Ligue 1 ,21,1/26/20,Away,Paris Saint-Germain,LOSC Lille,0:2,LW,52',0:2,Penalty,Not Applicable
Champions League ,last 16,2/18/20,Away,Paris Saint-Germain,Borussia Dortmund,2:1,LW,75',1:1,Left-footed shot,Kylian Mbappé
Coupe de France ,Semi-Finals,3/4/20,Away,Paris Saint-Germain,Olympique Lyon,1:5,LW,64',1:2,Penalty,Not Applicable
Champions League ,last 16,3/11/20,Home,Paris Saint-Germain,Borussia Dortmund,2:0,LW,28',1:0,Header,Ángel Di María
Coupe de France ,Final,7/24/20,Home,Paris Saint-Germain,AS Saint-Étienne,1:0,LW,14',1:0,Left-footed shot,Not Applicable
Ligue 1 ,6,10/2/20,Home,Paris Saint-Germain,Angers SCO,6:1,LW,36',2:0,Left-footed shot,Kylian Mbappé
Ligue 1 ,6,10/2/20,Home,Paris Saint-Germain,Angers SCO,6:1,LW,47',3:0,Right-footed shot,Not Applicable
Champions League ,Group Stage,11/24/20,Home,Paris Saint-Germain,RB Leipzig,1:0,CF,11',1:0,Penalty,Not Applicable
Ligue 1 ,12,11/28/20,Home,Paris Saint-Germain,FC Girondins Bordeaux,2:2,LW,27',1:1,Penalty,Not Applicable
Champions League ,Group Stage,12/2/20,Away,Paris Saint-Germain,Manchester United,1:3,LW,6',0:1,Right-footed shot,Not Applicable
Champions League ,Group Stage,12/2/20,Away,Paris Saint-Germain,Manchester United,1:3,LW,90'+1,1:3,Left-footed shot,Rafinha
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,21',1:0,Right-footed shot,Marco Verratti
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,37',2:0,Counter attack goal,Kylian Mbappé
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,50',4:0,Right-footed shot,Ángel Di María
Trophée des Champions ,Final,1/13/21,Home,Paris Saint-Germain,Olympique Marseille,2:1,LW,85',2:0,Penalty,Not Applicable
Ligue 1 ,21,1/22/21,Home,Paris Saint-Germain,Montpellier HSC,4:0,LW,60',2:0,Right-footed shot,Kylian Mbappé
Ligue 1 ,22,1/31/21,Away,Paris Saint-Germain,FC Lorient,3:2,LW,45',1:1,Penalty,Not Applicable
Ligue 1 ,22,1/31/21,Away,Paris Saint-Germain,FC Lorient,3:2,LW,58',1:2,Penalty,Not Applicable
Coupe de France ,Quarter-Finals,4/21/21,Home,Paris Saint-Germain,Angers SCO,5:0,SS,65',3:0,Header,Julian Draxler
Ligue 1 ,35,5/1/21,Home,Paris Saint-Germain,RC Lens,2:1,LW,33',1:0,Right-footed shot,Julian Draxler
Ligue 1 ,36,5/9/21,Away,Paris Saint-Germain,Stade Rennais FC,1:1,LW,45'+6,0:1,Penalty,Not Applicable
Ligue 1 ,37,5/16/21,Home,Paris Saint-Germain,Stade Reims,4:0,SS,13',1:0,Penalty,Not Applicable
Ligue 1 ,6,9/19/21,Home,Paris Saint-Germain,Olympique Lyon,2:1,LW,66',1:1,Penalty,Not Applicable
Ligue 1 ,13,11/6/21,Away,Paris Saint-Germain,FC Girondins Bordeaux,2:3,LW,26',0:1,Right-footed shot,Kylian Mbappé
Ligue 1 ,13,11/6/21,Away,Paris Saint-Germain,FC Girondins Bordeaux,2:3,LW,43',0:2,Right-footed shot,Kylian Mbappé
Ligue 1 ,25,2/19/22,Away,Paris Saint-Germain,FC Nantes,3:1,LW,47',3:1,Right-footed shot,Lionel Messi
Ligue 1 ,28,3/13/22,Home,Paris Saint-Germain,FC Girondins Bordeaux,3:0,LW,52',2:0,Right-footed shot,Achraf Hakimi
Ligue 1 ,30,4/3/22,Home,Paris Saint-Germain,FC Lorient,5:1,LW,12',1:0,Right-footed shot,Kylian Mbappé
Ligue 1 ,30,4/3/22,Home,Paris Saint-Germain,FC Lorient,5:1,LW,90',5:1,Right-footed shot,Kylian Mbappé
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,6',0:1,Left-footed shot,Lionel Messi
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,71',1:3,Penalty,Not Applicable
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,83',1:6,Left-footed shot,Kylian Mbappé
Ligue 1 ,32,4/17/22,Home,Paris Saint-Germain,Olympique Marseille,2:1,LW,12',1:0,Left-footed shot,Marco Verratti
Ligue 1 ,36,5/8/22,Home,Paris Saint-Germain,ESTAC Troyes,2:2,LW,25',2:0,Penalty,Not Applicable
Ligue 1 ,38,5/21/22,Home,Paris Saint-Germain,FC Metz,5:0,LW,31',3:0,Right-footed shot,Not Applicable
Trophée des Champions ,Final,7/31/22,Home,Paris Saint-Germain,FC Nantes,4:0,LW,45'+5,2:0,Direct free kick,Not Applicable
Trophée des Champions ,Final,7/31/22,Home,Paris Saint-Germain,FC Nantes,4:0,LW,82',4:0,Penalty,Not Applicable
Ligue 1 ,1,8/6/22,Away,Paris Saint-Germain,Clermont Foot 63,0:5,LW,9',0:1,Right-footed shot,Lionel Messi
Ligue 1 ,2,8/13/22,Home,Paris Saint-Germain,Montpellier HSC,5:2,SS,43',2:0,Penalty,Not Applicable
Ligue 1 ,2,8/13/22,Home,Paris Saint-Germain,Montpellier HSC,5:2,SS,51',3:0,Header,Not Applicable
Ligue 1 ,3,8/21/22,Away,Paris Saint-Germain,LOSC Lille,1:7,LW,43',0:4,Right-footed shot,Not Applicable
Ligue 1 ,3,8/21/22,Away,Paris Saint-Germain,LOSC Lille,1:7,LW,52',0:5,Right-footed shot,Achraf Hakimi
Ligue 1 ,4,8/28/22,Home,Paris Saint-Germain,AS Monaco,1:1,LW,70',1:1,Penalty,Not Applicable
Ligue 1 ,5,8/31/22,Away,Paris Saint-Germain,FC Toulouse,0:3,LW,37',0:1,Right-footed shot,Lionel Messi
Ligue 1 ,7,9/10/22,Home,Paris Saint-Germain,Stade Brestois 29,1:0,SS,30',1:0,Left-footed shot,Lionel Messi
Champions League ,Group Stage,9/14/22,Away,Paris Saint-Germain,Maccabi Haifa,1:3,LW,88',1:3,Left-footed shot,Marco Verratti
Ligue 1 ,11,10/16/22,Home,Paris Saint-Germain,Olympique Marseille,1:0,AM,45'+2,1:0,Right-footed shot,Kylian Mbappé
Champions League ,Group Stage,10/25/22,Home,Paris Saint-Germain,Maccabi Haifa,7:2,AM,35',3:0,Right-footed shot,Lionel Messi
Ligue 1 ,13,10/29/22,Home,Paris Saint-Germain,ESTAC Troyes,4:3,LW,62',3:2,Right-footed shot,Lionel Messi
Ligue 1 ,14,11/6/22,Away,Paris Saint-Germain,FC Lorient,1:2,AM,9',0:1,Left-footed shot,Hugo Ekitiké
