time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-24T18:36:51.270Z,-9.4413,107.2374,10,4.4,mb,,83,1.872,0.58,us,us2000cp8z,2018-01-29T17:15:55.040Z,"202km ENE of Flying Fish Cove, Christmas Island",earthquake,8.5,1.9,0.123,19,reviewed,us,us
2018-01-24T06:57:07.680Z,2.6186,95.4701,22.19,4.9,mb,,133,2.476,0.77,us,us2000cnm1,2018-01-25T00:59:40.034Z,"102km W of Sinabang, Indonesia",earthquake,8.7,5.3,0.082,47,reviewed,us,us
2018-01-24T00:40:15.170Z,-4.6491,102.5962,69.24,4.7,mb,,95,2.723,0.71,us,us2000cnhp,2018-02-05T05:16:10.040Z,"100km SSE of Bengkulu, Indonesia",earthquake,8.4,7.7,0.076,52,reviewed,us,us
2018-01-23T06:34:54.240Z,-7.1958,105.9181,43.91,6,mww,,75,3.274,1.16,us,us2000cmwz,2018-02-10T11:26:32.796Z,"40km S of Binuangeun, Indonesia",earthquake,8.1,6.7,0.071,19,reviewed,us,us
2018-01-22T20:49:58.860Z,-8.9612,110.0071,77.72,4.4,mb,,61,1.16,0.85,us,us1000ceam,2018-02-06T18:54:38.040Z,"115km SSW of Bambanglipuro, Indonesia",earthquake,5.7,7.1,0.087,38,reviewed,us,us
2018-01-22T17:21:29.110Z,8.9363,126.255,42.79,4.2,mb,,133,1.971,0.7,us,us1000ceaj,2018-02-06T18:17:06.040Z,"3km W of Bacolod, Philippines",earthquake,10,9.6,0.113,22,reviewed,us,us
2018-01-22T13:45:52.710Z,-1.254,120.688,38.9,4.4,mb,,94,2.093,1.01,us,us1000ceau,2018-02-04T21:04:15.040Z,"17km NNW of Poso, Indonesia",earthquake,8.4,11.9,0.169,10,reviewed,us,us
2018-01-20T22:11:05.940Z,-7.6484,128.0708,147.29,4.7,mb,,33,3.215,0.75,us,us2000clyz,2018-02-04T05:09:08.040Z,"293km ENE of Dili, East Timor",earthquake,2.5,7.2,0.063,76,reviewed,us,us
2018-01-20T12:16:13.920Z,2.1621,128.193,50.74,4.2,mb,,160,1.609,0.63,us,us1000cdr8,2018-02-02T07:29:19.040Z,"52km NNE of Tobelo, Indonesia",earthquake,11.4,11.8,0.167,10,reviewed,us,us
2018-01-19T21:14:33.370Z,1.9136,126.3627,38.8,4.2,mb,,139,1.514,0.6,us,us1000cdm4,2018-02-04T06:02:11.040Z,"141km ENE of Bitung, Indonesia",earthquake,13.1,8.5,0.146,13,reviewed,us,us
2018-01-19T19:55:55.690Z,1.3354,96.9868,29.99,4.3,mb,,197,0.589,0.91,us,us2000clfn,2018-01-24T21:34:57.040Z,"143km SSE of Sinabang, Indonesia",earthquake,6.3,6.3,0.1,28,reviewed,us,us
2018-01-19T06:26:29.790Z,7.9121,127.2692,53.6,4.7,mb,,102,1.873,0.49,us,us2000cl2w,2018-02-01T14:08:05.744Z,"82km ENE of Kinablangan, Philippines",earthquake,5.8,7.9,0.083,44,reviewed,us,us
2018-01-19T01:03:53.720Z,1.5974,126.5113,53.86,4.6,mb,,99,1.184,0.62,us,us2000cl05,2018-01-19T03:56:46.040Z,"131km NW of Kota Ternate, Indonesia",earthquake,4.4,8.3,0.085,41,reviewed,us,us
2018-01-17T02:47:46.590Z,-2.2178,119.0911,30.78,4.4,mb,,101,2.447,0.5,us,us2000ck80,2018-01-31T02:02:11.040Z,"19km SW of Babana, Indonesia",earthquake,7.2,7.1,0.107,25,reviewed,us,us
2018-01-16T22:16:01.110Z,-9.7463,122.9814,81.46,4.2,mb,,83,1.267,0.59,us,us2000cqy2,2018-01-31T04:53:38.040Z,"80km NW of Kupang, Indonesia",earthquake,6.1,8.3,0.175,9,reviewed,us,us
2018-01-16T11:12:31.050Z,5.614,123.8697,520.84,4,mb,,168,6.701,0.42,us,us2000cqxk,2018-01-30T08:59:07.040Z,"74km SSW of Palimbang, Philippines",earthquake,20.1,10,0.138,14,reviewed,us,us
