name,price,description,host,rating,duration,lectures,level,url
Complete 2020 Data Science & Machine Learning Bootcamp,455,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more!","Philipp Muellauer, Dr. Angela Yu",4.6,41.5 total hours,207 lectures,All Levels,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/
Probability and Statistics for Business and Data Science,455,Learn how to apply probability and statistics to real data science and business applications!,Jose Portilla,4.6,5 total hours,53 lectures,All Levels,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/
Deep Learning Prerequisites: Logistic Regression in Python,468,"Data science, machine learning, and artificial intelligence in Python for students and professionals",Lazy Programmer Inc.,4.6,6.5 total hours,59 lectures,All Levels,https://www.udemy.com/course/data-science-logistic-regression-in-python/
Data Science Career Guide - Interview Preparation,455,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,Jose Portilla,4.6,4 total hours,110 lectures,All Levels,https://www.udemy.com/course/data-science-career-guide-interview-preparation/
Data Science 2021 : Complete Data Science & Machine Learning,455,"Machine Learning A-Z, Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science","Python, Data Science & Machine Learning A-Z Team",4.6,26 total hours,282 lectures,All Levels,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/
2021 Data Science & Machine Learning with R from A-Z Course,455,"Become a professional Data Scientist with R and learn Machine Learning, Data Analysis + Visualization, Web Apps + more!","Juan E. Galvan, Ismail Tigrek",4.6,28.5 total hours,80 lectures,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-with-r-from-a-z/
Statistics & Mathematics for Data Science & Data Analytics,455,Learn the statistics & probability for data science and business analysis,Nikolai Schuler,4.6,11.5 total hours,90 lectures,Beginner,https://www.udemy.com/course/statistics-for-data-science-data-analytics/
SQL For Data Science With Google Big Query,455,"Learn SQL for Data Visualization, Data Analysis, and Data Science Using Google Cloud Platform",Chris Levy,4.6,7 total hours,57 lectures,Beginner,https://www.udemy.com/course/sql-for-data-science-with-google-big-query/
Data Science and Machine Learning using Python - A Bootcamp,455,Numpy Pandas Matplotlib Seaborn Ploty Machine Learning Scikit-Learn Data Science Recommender system NLP Theory Hands-on,"Dr. Junaid Qazi, PhD",4.6,25 total hours,111 lectures,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-using-python-bootcamp-qazi/
"Full Stack Data Science with Python, Numpy and R Programming",455,"Learn data science with R programming and Python. Use NumPy, Pandas to manipulate the data and produce outcomes",Oak Academy,4.6,20 total hours,151 lectures,All Levels,https://www.udemy.com/course/full-stack-data-science-with-python-numpy-and-r-programming/
RA: Data Science and Supply chain analytics.(A-Z with R),455,"Learn R,Supply-chain Data Science, Inventory Optimization,Big Data forecasting, Machine learning and Revenue Management.",Haytham Omar,4.6,38 total hours,378 lectures,All Levels,https://www.udemy.com/course/ra-data-science-and-supply-chain-analytics/
Statistics for Data Analysis Using R,455,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science",Sandeep Kumar ­,4.6,12.5 total hours,110 lectures,All Levels,https://www.udemy.com/course/statistics-using-r/
Python for Data Science: Learn Data Science From Scratch,455,"Data Science with Python. Use NumPy, Pandas, Matplotlib with hands-on projects and learn Python for Data Science with us",Oak Academy,4.6,9.5 total hours,51 lectures,All Levels,https://www.udemy.com/course/python-for-data-science-learn-data-science-from-scratch/
Data Science Real-World Use Cases - Hands On Python,455,"Solve 3 real Business Problems, Build Robust AI, Ml , NLP and Time Series models in Real World Scenarios..",Shan Singh,4.6,11 total hours,58 lectures,All Levels,https://www.udemy.com/course/data-science-real-world-use-cases-hands-on-python/
Data Science With Python!,455,Test Studies in Data Science,Matthew Fried,4.6,19 total hours,108 lectures,All Levels,https://www.udemy.com/course/python-for-all-with-a-focus-on-financial-applications/
Causal Data Science with Directed Acyclic Graphs,455,"Get to know the modern tools for causal inference from machine learning and AI, with many practical examples in R",Paul Hünermund,4.6,5 total hours,27 lectures,All Levels,https://www.udemy.com/course/causal-data-science/
Data Science: Bitcoin Data Visualization & Price Prediction,455,Data Science: Hands-on & Practical Cryptocurrency Data Visualization & Bitcoin Price Forecasting using Machine Learning,School of Disruptive Innovation,4.6,1.5 total hours,14 lectures,Beginner,https://www.udemy.com/course/cryptocurrency-data-visualization-bitcoin-price-prediction/
Data Science Projects with Python,455,"A case study approach to successful data science projects using Python, pandas, and scikit-learn",Packt Publishing,4.6,6.5 total hours,63 lectures,Beginner,https://www.udemy.com/course/data-science-projects-with-python/
Data science on COVID-19 / CORONA virus spread data,455,"Analysis of CORONA / COVID-19 virus data with Python: data handling, machine learning, visualisation, spread simulations",Frank Kienle,4.6,7 total hours,65 lectures,All Levels,https://www.udemy.com/course/applied-data-science-covid-19-prototype/
Complete Machine Learning & Data Science Bootcamp 2021,455,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!","Andrei Neagoie, Daniel Bourke",4.7,43 total hours,376 lectures,All Levels,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/
Data Science and Machine Learning Bootcamp with R,618,Learn how to use the R programming language for data science and machine learning and data visualization!,Jose Portilla,4.7,18 total hours,128 lectures,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/
Tableau 20 Advanced Training: Master Tableau in Data Science,455,Master Tableau 20 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,"Kirill Eremenko, Ligency Team",4.7,10 total hours,74 lectures,Intermediate,https://www.udemy.com/course/tableau10-advanced/
100 Days of Code - The Complete Python Pro Bootcamp for 2021,618,"Master Python by building 100 projects in 100 days. Learn to build websites, games, apps, plus scraping and data science",Dr. Angela Yu,4.7,63.5 total hours,675 lectures,All Levels,https://www.udemy.com/course/100-days-of-code/
R Programming: Advanced Analytics In R For Data Science,455,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2","Kirill Eremenko, Ligency Team",4.7,6 total hours,53 lectures,Intermediate,https://www.udemy.com/course/r-analytics/
2021 Python for Machine Learning & Data Science Masterclass,455,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",Jose Portilla,4.7,40 total hours,210 lectures,All Levels,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/
Python for Excel: Use xlwings for Data Science and Finance,455,"Integrate Excel and Python and get the best of two Worlds! Python Beginners welcome. Use Pandas, Seaborn & co. in Excel",Alexander Hagmann,4.7,16 total hours,195 lectures,All Levels,https://www.udemy.com/course/python-for-excel-xlwings-for-data-science-and-finance/
"Ensemble Machine Learning in Python: Random Forest, AdaBoost",618,"Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python","Lazy Programmer Team, Lazy Programmer Inc.",4.7,5.5 total hours,43 lectures,All Levels,https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/
TABLEAU 2018 ADVANCED: Master Tableau in Data Science,455,Master Tableau in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,"Kirill Eremenko, Ligency Team",4.7,9.5 total hours,72 lectures,Intermediate,https://www.udemy.com/course/tableau-2018-advanced/
Deep Learning: Convolutional Neural Networks in Python,455,"Use CNNs for Image Recognition, Natural Language Processing (NLP) +More! For Data Science, Machine Learning, and AI",Lazy Programmer Inc.,4.7,12 total hours,73 lectures,All Levels,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/
Python Coding MADE EASY : A Python Coding Course in Python 3,455,Python coding for beginners. Python coding for Data Science. AI Python. Web Python. Business Python. Engineering Python.,Cher Hin Chong,4.7,2 total hours,20 lectures,Beginner,https://www.udemy.com/course/python-programming-tutorial-a-z/
Data Science in Action using Python,455,Gain hands-on experience in building a Data Driven AI engagement using Python,Neena Sathi,4.7,7.5 total hours,43 lectures,All Levels,https://www.udemy.com/course/data-science-in-action-using-python/
R for Data Science: Learn R Programming in 2 Hours,455,Enter the world of R Programming: Everything you need to get started with R and Data Science in just 2 HOURS!,Ajay R Warrier,4.7,2 total hours,34 lectures,Beginner,https://www.udemy.com/course/r-for-data-science-learn-r-programming-in-2-hours/
Data Science for Professionals,455,It's time to leave spreadsheets behind...,Gregory Sward,4.7,6.5 total hours,33 lectures,Beginner,https://www.udemy.com/course/data-science-for-professionals/
R for Data Science: R Programming Bootcamp,455,"Learn R Programming Fundamentals, Data Wrangling, Data Visualization for Data Science",Syed Mohiuddin,4.7,6 total hours,82 lectures,Beginner,https://www.udemy.com/course/r-programming-for-beginners-hands-on-tutorial/
The Complete Python 3 Masterclass - From Beginner To Pro,455,"Python for beginners, Learn Python Programming and build your own Python programs: Data Science, Machine Learning, etc.","Denis Panjuta, Jannis Seemann, Tutorials.eu by Denis Panjuta",4.7,27.5 total hours,279 lectures,All Levels,https://www.udemy.com/course/the-complete-python-masterclass/
"Python Beyond Basics for Machine Learning, Data Science, AI",455,"Data Science, Machine Learning and Artificial Intelligence with Python",Piyush Dave,4.7,13.5 total hours,97 lectures,All Levels,https://www.udemy.com/course/python-basic-to-advance-mhm/
Python in a Weekend: The Easiest Python for Beginners Course,455,"Jump into Python by Building Your First 3 Python-Based Apps. Python = Data Science, Machine Learning, App Development+","Nick Walter, Phil Ebiner, Video School",4.7,4.5 total hours,46 lectures,Beginner,https://www.udemy.com/course/python-in-a-weekend/
Machine Learning for Absolute Beginners - Level 2,455,Learn the Python Fundamentals and Pandas Library for Data Science Projects,Idan Gabrieli,4.7,4 total hours,42 lectures,Beginner,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-2/
Data Science Project Planning,618,Fundamental Concepts for Beginners,Gopinath Ramakrishnan,4.7,5 total hours,56 lectures,Beginner,https://www.udemy.com/course/data-science-project-planning/
Tableau for Data Science with R & Python Integration,455,Master Data Visualization and Improve Your Data Science Skills with Tableau Desktop integrated with R and Python,Candas Bilgin,4.7,5.5 total hours,38 lectures,All Levels,https://www.udemy.com/course/tableau-desktop-advanced/
Ultimate Data Science Bootcamp in Python with 5 Projects,455,Master Data Science and Machine Learning with Python and complete 5 Data Science Capstone Projects,Data is Good,4.8,15 total hours,258 lectures,All Levels,https://www.udemy.com/course/data-science-bootcamp-with-python/
How to Start a Career in Data Science 2021,455,"The Ultimate Guide to Starting a Data Science Career: Create a Project Portfolio, Build Your Resume, Get an Interview","365 Careers, Ken Jee",4.8,4.5 total hours,53 lectures,All Levels,https://www.udemy.com/course/how-to-start-a-career-in-data-science/
Machine Learning and AI: Support Vector Machines in Python,455,Artificial Intelligence and Data Science Algorithms in Python for Classification and Regression,"Lazy Programmer Team, Lazy Programmer Inc.",4.8,9 total hours,73 lectures,Expert,https://www.udemy.com/course/support-vector-machines-in-python/
Complete Python + Django + Data Science course,455,"Python Fundamentals, OOP, Data Science, Django and more!",YouRa Allakhverdov,4.8,38 total hours,211 lectures,All Levels,https://www.udemy.com/course/python-3-development-from-zero-to-mastery-complete-course/
R Programming for Data Science and Machine Learning,"1,920","Learn R Programming Language for Data Science, Machine Learning, Data Analysis and Data Visualization with Libraries",The Tech X Learners,4.8,7.5 total hours,84 lectures,Beginner,https://www.udemy.com/course/r-programming-for-data-science-and-machine-learning/
Complete Python for data science and cloud computing,455,A complete & in-depth use case course taught by data science PHD & business consultants with thousand examples,Datagist INC,4.8,49 total hours,361 lectures,All Levels,https://www.udemy.com/course/complete-python-for-data-science-and-cloud-computing/
Data Science Job: How to become a Data Scientist,455,Find your first job as a Data Scientist.,Przemek Chojecki,4.8,1 total hour,7 lectures,Beginner,https://www.udemy.com/course/data-science-job-how-to-become-a-data-scientist/
Data science and Data preparation with KNIME,455,KNIME - a powerful tool for data science and machine learning Data science with higher efficiency. KNIME data cleaning,Dan We,4.8,4 total hours,24 lectures,Beginner,https://www.udemy.com/course/data-science-and-data-preparation-with-knime/
R Programming for Data Science and Machine Learning,455,Learn R programming to implement Machine Learning & DS algorithms,"Sunil Kumar Gupta, DataQrious Academy",4.8,13.5 total hours,84 lectures,Beginner,https://www.udemy.com/course/r-for-data-science-and-machine-learning/
Statistical Thinking and Data Science with R.,455,"R from A-Z! Statistics, Advanced Regression,Visualizations, Probabilities, Inference, Simulations and Machine learning.",Haytham Omar,4.8,24.5 total hours,222 lectures,All Levels,https://www.udemy.com/course/statistical-thinking-for-data-science-business-analytics/
Data Science Quick Start: Focus On Correlation & Python,455,Make 2021 The Year To Get Started in Data Science: Learn The Rudiments of Correlation Analysis & Python.,Adam Ross Nelson,4.9,2.5 total hours,25 lectures,Beginner,https://www.udemy.com/course/data-science-quick-start/
Data Science with SAP - Machine Learning for Enterprise Data,455,"An Ultimate Hands On Masterclass for Applying Machine Learning, Data Science techniques on SAP Data to derive insights",Manifold AI Learning ®,5,20 total hours,184 lectures,All Levels,https://www.udemy.com/course/data-science-with-sap-machine-learning-for-enterprise-data/
Python and Data Science from Scratch With RealLife Exercises,455,"Learn Data Science with Python programming. Use NumPy, Pandas, Matplotlib and dive in Data Science with Python Examples",Oak Academy,5,12.5 total hours,95 lectures,All Levels,https://www.udemy.com/course/python-and-data-science-from-scratch-with-reallife-exercises/
